Date,Open,High,Low,Close,Volume
2016-01-04,18.21,18.5,18.1,18.48,17323
2016-01-05,18.34,18.55,18.3,18.48,8317
2016-01-06,18.37,18.5,18.37,18.47,11268
2016-01-07,18.34,18.45,18.05,18.19,25708
2016-01-08,18.16,18.22,17.63,17.9,35306
2016-01-11,17.91,17.97,17.57,17.82,49488
2016-01-12,17.87,17.94,17.25,17.62,65375
2016-01-13,17.61,17.66,16.8,17.07,53820
2016-01-14,17.19,17.2,16.81,16.86,28798
2016-01-15,16.64,16.79,16.5,16.73,52664
2016-01-19,16.84,16.95,16.42,16.57,24934
2016-01-20,16.42,16.83,15.87,16.38,86342
2016-01-21,16.38,17.12,16.28,16.73,35143
2016-01-22,16.87,17.43,16.85,17.43,33239
2016-01-25,17.28,17.99,17.28,17.86,31166
2016-01-26,17.78,17.95,17.75,17.94,19798
2016-01-27,17.89,17.95,17.63,17.89,14871
2016-01-28,17.94,18.25,17.88,18.14,79165
2016-01-29,18.2,18.52,18.2,18.52,20286
2016-02-01,18.57,18.58,18.3,18.45,22226
2016-02-02,18.24,18.4,17.79,18.12,20515
2016-02-03,18.15,18.52,17.96,17.98,12189
2016-02-04,18.02,18.37,18.02,18.24,24775
2016-02-05,18.11,18.27,17.65,17.73,18495
2016-02-08,17.65,17.89,16.97,17.12,13598
2016-02-09,17.0,17.84,16.61,17.83,31056
2016-02-10,17.87,18.37,17.68,18.35,27056
2016-02-11,18.1,18.1,17.26,17.35,19240
2016-02-12,17.3,17.59,17.15,17.5,8797
2016-02-16,17.66,17.99,17.42,17.86,27193
2016-02-17,17.51,17.99,17.51,17.99,7639
2016-02-18,17.88,18.17,17.86,17.89,12574
2016-02-19,17.79,17.87,17.41,17.83,9203
2016-02-22,17.92,17.99,17.79,17.99,21135
2016-02-23,18.0,18.11,17.5,18.0,16902
2016-02-24,17.87,18.1,17.8,17.9,15608
2016-02-25,17.95,18.0,17.9,17.96,15835
2016-02-26,17.51,17.92,17.51,17.77,16305
2016-02-29,17.82,18.1,17.75,17.97,14022
2016-03-01,18.05,18.49,18.05,18.3,18024
2016-03-02,18.33,18.64,18.26,18.64,57532
2016-03-03,18.7,18.93,18.7,18.9,51296
2016-03-04,18.91,18.96,18.82,18.85,23014
2016-03-07,18.72,18.8,18.65,18.79,48018
2016-03-08,18.77,19.0,18.71,19.0,54256
2016-03-09,18.98,19.01,18.84,18.84,38445
2016-03-10,18.93,18.97,18.41,18.56,32471
2016-03-11,18.79,18.94,18.75,18.8,34147
2016-03-14,18.81,18.98,18.8,18.85,65229
2016-03-15,18.9,18.91,18.7,18.83,50206
2016-03-16,18.88,18.97,18.81,18.84,70636
2016-03-17,18.87,19.04,18.81,18.98,91740
2016-03-18,19.1,19.39,18.07,18.1,467927
2016-03-21,18.12,18.57,18.12,18.34,116840
2016-03-22,18.24,18.49,18.09,18.32,71848
2016-03-23,18.3,18.94,18.3,18.76,69570
2016-03-24,18.7,18.98,18.54,18.97,25295
2016-03-28,19.0,19.0,18.71,18.77,82385
2016-03-29,18.67,18.9,18.55,18.77,96745
2016-03-30,18.85,18.85,18.53,18.59,96174
2016-03-31,18.62,18.7,18.35,18.49,59988
2016-04-01,18.13,18.44,17.95,18.13,107827
2016-04-04,18.1,18.28,18.07,18.21,39414
2016-04-05,18.06,18.26,17.75,17.84,42502
2016-04-06,17.99,18.29,17.81,17.87,162984
2016-04-07,17.72,17.95,17.7,17.82,1263485
2016-04-08,17.92,18.05,17.81,17.82,341981
2016-04-11,17.94,18.24,17.84,18.15,145700
2016-04-12,18.15,18.34,17.94,18.24,295847
2016-04-13,18.28,18.63,18.2,18.25,230398
