Date,Open,High,Low,Close,Volume
2016-01-04,148.25,148.25,145.61,146.78,151477
2016-01-05,147.31,148.2,145.88,147.68,99341
2016-01-06,146.25,149.35,145.01,148.71,89399
2016-01-07,146.96,146.96,141.0,141.46,163264
2016-01-08,141.54,144.08,140.86,141.25,114134
2016-01-11,142.08,143.76,140.44,142.45,99988
2016-01-12,144.34,147.26,142.65,144.38,191161
2016-01-13,144.74,145.01,138.2,138.7,85925
2016-01-14,139.48,141.64,139.04,140.0,103702
2016-01-15,136.79,140.14,136.1,139.9,140352
2016-01-19,141.27,142.35,138.07,140.24,144994
2016-01-20,138.47,144.26,136.54,142.26,156256
2016-01-21,142.37,142.45,136.57,137.86,129948
2016-01-22,138.83,140.61,137.7,140.27,123313
2016-01-25,140.3,141.98,137.59,137.95,222687
2016-01-26,138.37,141.38,137.19,140.55,101924
2016-01-27,140.72,142.93,138.34,139.52,146011
2016-01-28,140.46,140.76,135.58,136.0,109261
2016-01-29,136.15,140.56,136.15,140.32,155535
2016-02-01,139.26,143.0,138.59,141.5,108021
2016-02-02,139.9,141.58,139.12,139.86,106233
2016-02-03,140.89,141.29,133.22,135.5,123917
2016-02-04,134.62,137.79,134.18,135.62,90757
2016-02-05,135.4,135.7,130.04,130.74,136396
2016-02-08,128.95,130.72,126.81,129.38,163142
2016-02-09,128.07,131.79,128.07,130.37,164506
2016-02-10,131.05,133.07,129.28,130.85,99101
2016-02-11,128.95,131.74,128.52,130.63,169382
2016-02-12,132.27,134.16,131.55,133.09,150846
2016-02-16,133.82,136.1,132.39,134.0,129373
2016-02-17,134.84,137.26,134.42,135.0,164820
2016-02-18,132.58,134.14,125.84,126.48,292850
2016-02-19,126.47,127.97,124.77,126.57,145814
2016-02-22,126.62,129.06,126.37,128.64,143822
2016-02-23,127.97,129.32,127.69,128.39,132643
2016-02-24,127.08,128.48,126.41,127.73,178029
2016-02-25,127.98,131.16,127.89,131.06,188963
2016-02-26,131.31,131.6,129.02,130.11,144343
2016-02-29,129.94,131.03,128.2,128.5,179799
2016-03-01,128.66,129.94,128.0,129.28,225839
