Date,Open,High,Low,Close,Volume
2016-01-04,6.67,6.67,6.17,6.24,970014
2016-01-05,6.26,6.57,6.15,6.56,382196
2016-01-06,6.46,6.5,6.26,6.36,428196
2016-01-07,6.21,6.3,5.97,6.15,1280659
2016-01-08,6.18,6.27,6.12,6.24,527274
2016-01-11,6.3,6.36,6.17,6.32,568659
2016-01-12,6.38,6.49,6.15,6.2,430681
2016-01-13,6.22,6.29,5.8,6.0,478877
2016-01-14,6.06,6.23,5.94,6.08,503260
2016-01-15,5.89,6.04,5.82,6.01,783466
2016-01-19,6.11,6.11,5.73,5.82,556490
2016-01-20,5.7,5.9,5.57,5.83,541832
2016-01-21,5.83,5.96,5.71,5.82,487536
2016-01-22,5.93,5.97,5.77,5.9,312999
2016-01-25,5.86,5.92,5.52,5.55,628685
2016-01-26,5.58,5.83,5.58,5.72,620905
2016-01-27,5.68,5.76,5.46,5.66,464977
2016-01-28,5.71,5.84,5.66,5.72,352703
2016-01-29,5.72,5.85,5.68,5.8,342721
2016-02-01,5.74,5.83,5.62,5.77,308196
2016-02-02,5.68,5.74,5.6,5.64,593049
2016-02-03,5.71,5.75,5.5,5.62,394491
2016-02-04,5.57,5.74,5.54,5.61,223191
2016-02-05,5.58,5.58,5.28,5.29,459060
2016-02-08,5.22,5.22,4.93,5.11,359826
2016-02-09,5.04,5.21,4.97,4.99,434896
2016-02-10,5.03,5.09,4.89,4.92,457858
2016-02-11,4.81,4.94,4.75,4.77,472362
2016-02-12,4.82,4.95,4.78,4.86,433469
2016-02-16,4.92,5.09,4.8,5.04,505070
2016-02-17,5.09,5.14,4.98,5.03,600601
2016-02-18,5.04,5.16,4.99,5.15,519426
2016-02-19,5.14,5.22,5.1,5.2,555813
2016-02-22,5.27,5.43,5.21,5.34,1018563
2016-02-23,3.78,3.78,3.15,3.47,10117848
2016-02-24,3.94,4.15,3.81,4.12,4798180
2016-02-25,4.12,4.18,4.0,4.04,1151141
2016-02-26,4.15,4.35,4.13,4.24,1498690
2016-02-29,4.25,4.38,4.25,4.29,846880
2016-03-01,4.34,4.56,4.29,4.5,727801
2016-03-02,4.51,4.6,4.42,4.46,732120
2016-03-03,4.48,4.51,4.35,4.47,863858
2016-03-04,4.5,4.51,4.39,4.4,677275
2016-03-07,4.41,4.54,4.38,4.47,510220
2016-03-08,4.45,4.5,4.3,4.33,491816
2016-03-09,4.33,4.5,4.3,4.47,405832
2016-03-10,4.5,4.5,4.41,4.41,446648
2016-03-11,4.47,4.54,4.36,4.5,378972
2016-03-14,4.5,4.52,4.36,4.38,342059
2016-03-15,4.34,4.43,4.21,4.31,355720
2016-03-16,4.28,4.37,4.27,4.37,244807
2016-03-17,4.33,4.45,4.29,4.4,312856
2016-03-18,4.44,4.58,4.44,4.55,661310
2016-03-21,4.55,4.58,4.39,4.5,441448
2016-03-22,4.48,4.55,4.34,4.36,262755
2016-03-23,4.35,4.4,4.28,4.32,492966
2016-03-24,4.32,4.32,4.03,4.12,853391
2016-03-28,4.18,4.36,4.1,4.33,386013
2016-03-29,4.3,4.43,4.18,4.42,465178
2016-03-30,4.43,4.51,4.35,4.48,508831
2016-03-31,4.47,4.51,4.38,4.46,404370
2016-04-01,4.38,4.4,4.26,4.29,552748
2016-04-04,4.31,4.48,4.31,4.4,558468
2016-04-05,4.35,4.38,4.32,4.37,344171
2016-04-06,4.35,4.5,4.32,4.47,223355
2016-04-07,4.42,4.48,4.35,4.35,279771
2016-04-08,4.38,4.43,4.26,4.31,365843
2016-04-11,4.35,4.47,4.3,4.36,293815
2016-04-12,4.35,4.49,4.33,4.41,318867
2016-04-13,4.42,4.57,4.39,4.44,516264
2016-04-14,4.46,4.49,4.38,4.42,372358
2016-04-15,4.39,4.56,4.39,4.44,385923
2016-04-18,4.44,4.57,4.44,4.51,263507
2016-04-19,4.5,4.54,4.46,4.5,275081
2016-04-20,4.5,4.5,4.39,4.44,335967
2016-04-21,4.46,4.59,4.46,4.54,468458
2016-04-22,4.52,4.66,4.52,4.66,321372
2016-04-25,4.66,4.74,4.55,4.59,251692
2016-04-26,4.6,4.7,4.57,4.67,238005
2016-04-27,4.66,4.73,4.65,4.67,278242
2016-04-28,4.68,4.76,4.6,4.61,358393
2016-04-29,4.62,4.64,4.51,4.54,391143
2016-05-02,4.59,4.71,4.55,4.64,702268
2016-05-03,4.8,4.9,4.5,4.54,952266
2016-05-04,4.49,4.49,4.27,4.34,771091
2016-05-05,4.38,4.4,4.26,4.27,288617
2016-05-06,4.26,4.4,4.26,4.36,749139
2016-05-09,4.34,4.44,4.33,4.38,418675
2016-05-10,4.42,4.49,4.38,4.49,586444
2016-05-11,4.46,4.63,4.46,4.5,676741
2016-05-12,4.5,4.53,4.37,4.42,480766
2016-05-13,4.4,4.47,4.3,4.42,341682
2016-05-16,4.4,4.48,4.4,4.44,309100
2016-05-17,4.4,4.48,4.31,4.37,308494
2016-05-18,4.39,4.58,4.33,4.52,1008919
2016-05-19,4.52,4.55,4.34,4.37,546173
2016-05-20,4.4,4.57,4.4,4.54,404802
2016-05-23,4.56,4.66,4.54,4.62,377642
2016-05-24,4.68,4.8,4.68,4.79,481761
2016-05-25,4.79,4.8,4.62,4.74,511870
2016-05-26,4.75,4.75,4.7,4.73,169564
2016-05-27,4.72,4.85,4.69,4.83,440813
2016-05-31,4.86,4.98,4.85,4.88,408194
2016-06-01,4.88,5.0,4.82,4.99,386879
2016-06-02,4.9,5.01,4.89,5.0,359971
2016-06-03,5.0,5.0,4.87,4.93,324922
2016-06-06,4.92,5.02,4.87,4.96,380537
2016-06-07,4.95,5.08,4.92,5.02,600074
2016-06-08,5.01,5.01,4.93,4.94,342180
2016-06-09,4.9,5.0,4.86,4.9,397260
2016-06-10,4.87,4.95,4.79,4.87,342395
2016-06-13,4.8,4.95,4.67,4.86,363408
2016-06-14,4.84,4.92,4.79,4.81,262320
2016-06-15,4.82,4.88,4.79,4.85,170978
2016-06-16,4.79,4.88,4.73,4.86,262438
2016-06-17,4.86,4.97,4.84,4.84,483579
2016-06-20,4.89,5.13,4.89,5.08,474444
2016-06-21,5.09,5.1,4.89,4.97,205581
2016-06-22,4.95,5.03,4.92,4.97,246129
2016-06-23,5.04,5.08,4.97,5.05,268638
2016-06-24,4.9,4.95,4.84,4.85,833967
2016-06-27,4.8,4.88,4.58,4.61,373807
2016-06-28,4.67,4.85,4.67,4.71,318961
2016-06-29,4.79,4.86,4.74,4.82,266427
2016-06-30,4.79,5.02,4.79,5.0,496173
2016-07-01,5.02,5.1,4.97,5.06,286646
2016-07-05,5.0,5.06,4.86,4.9,210766
2016-07-06,4.89,4.98,4.82,4.92,175778
2016-07-07,4.94,5.0,4.92,4.99,183655
2016-07-08,5.0,5.3,4.99,5.29,441692
2016-07-11,5.25,5.41,5.25,5.31,358860
2016-07-12,5.4,5.81,5.38,5.56,913106
2016-07-13,5.55,5.8,5.55,5.61,551577
2016-07-14,5.69,5.76,5.48,5.49,313059
2016-07-15,5.55,5.55,5.47,5.51,248377
2016-07-18,5.52,5.56,5.45,5.49,335368
2016-07-19,5.43,5.52,5.43,5.5,185175
2016-07-20,5.5,5.57,5.45,5.5,118630
2016-07-21,5.52,5.61,5.43,5.45,168490
2016-07-22,5.47,5.5,5.41,5.45,206604
2016-07-25,5.4,5.49,5.37,5.41,244221
2016-07-26,5.39,5.46,5.38,5.4,187164
2016-07-27,5.37,5.43,5.34,5.4,238168
2016-07-28,5.38,5.43,5.28,5.32,303333
2016-07-29,5.34,5.44,5.28,5.39,546009
2016-08-01,5.42,5.55,5.4,5.54,855330
2016-08-02,6.0,6.39,5.83,6.15,2202179
2016-08-03,6.15,6.32,6.04,6.3,629277
2016-08-04,6.35,6.5,6.26,6.5,916274
2016-08-05,6.49,6.62,6.44,6.6,1191791
2016-08-08,6.59,6.75,6.59,6.73,425558
2016-08-09,6.7,6.74,6.5,6.63,449085
2016-08-10,6.66,6.71,6.6,6.69,294311
2016-08-11,6.66,6.84,6.66,6.78,334290
2016-08-12,6.77,6.87,6.74,6.86,243322
2016-08-15,6.8,6.99,6.79,6.95,347022
2016-08-16,6.96,7.0,6.91,6.93,526449
2016-08-17,6.93,6.98,6.83,6.91,404890
2016-08-18,6.93,6.98,6.82,6.95,369715
2016-08-19,6.92,6.99,6.87,6.93,391269
2016-08-22,6.85,6.89,6.66,6.81,742846
2016-08-23,6.82,6.98,6.81,6.97,493254
2016-08-24,6.96,7.04,6.92,6.96,606679
2016-08-25,6.95,7.06,6.91,7.03,440571
2016-08-26,7.0,7.05,6.89,6.97,342257
2016-08-29,6.95,7.01,6.92,6.95,196337
2016-08-30,6.92,6.99,6.86,6.88,261052
2016-08-31,6.89,6.89,6.62,6.73,371828
2016-09-01,6.72,6.79,6.65,6.75,260800
2016-09-02,6.79,6.84,6.75,6.83,179319
2016-09-06,6.86,7.01,6.84,6.97,353672
2016-09-07,6.97,7.05,6.94,7.0,352541
2016-09-08,6.95,7.13,6.95,7.04,585950
2016-09-09,6.99,7.02,6.91,6.96,528770
2016-09-12,6.92,6.98,6.83,6.97,575598
2016-09-13,6.94,6.98,6.82,6.97,444217
2016-09-14,7.0,7.14,6.98,7.01,322099
2016-09-15,6.94,7.1,6.93,7.05,441302
2016-09-16,7.02,7.15,6.99,7.02,1581393
2016-09-19,7.04,7.14,7.01,7.06,597151
2016-09-20,7.07,7.21,7.04,7.15,1888855
2016-09-21,7.15,7.23,7.12,7.21,865630
2016-09-22,7.25,7.29,7.13,7.18,453382
2016-09-23,7.14,7.24,7.11,7.18,470612
2016-09-26,7.17,7.17,7.0,7.04,393897
2016-09-27,7.09,7.18,7.0,7.14,1349251
