Date,Open,High,Low,Close,Volume
2016-01-04,12.87,13.04,12.83,12.96,24870
2016-01-05,13.04,13.14,12.92,12.95,21346
2016-01-06,12.96,13.12,12.96,13.0,7132
2016-01-07,12.88,12.99,12.61,12.68,13425
2016-01-08,12.79,12.79,12.65,12.65,8412
2016-01-11,13.29,13.29,12.65,12.75,64921
2016-01-12,12.84,12.84,12.65,12.66,25774
2016-01-13,12.65,12.72,12.6,12.72,87445
2016-01-14,12.77,13.58,12.62,13.48,180002
2016-01-15,13.09,13.45,12.89,13.35,66659
2016-01-19,13.36,13.54,13.3,13.44,87939
2016-01-20,13.29,13.51,13.1,13.4,51638
2016-01-21,13.37,14.23,13.27,13.4,70760
2016-01-22,13.54,14.0,13.54,14.0,27837
2016-01-25,13.91,13.91,12.95,13.15,93565
2016-01-26,13.29,13.64,13.28,13.4,10687
2016-01-27,13.38,13.56,13.25,13.31,30983
2016-01-28,13.38,13.57,13.35,13.42,29472
2016-01-29,13.44,13.7,13.28,13.61,53353
2016-02-01,13.53,13.77,13.53,13.68,11514
2016-02-02,13.55,13.75,13.04,13.7,49915
2016-02-03,13.7,14.0,13.59,13.61,27291
2016-02-04,13.7,13.7,13.44,13.59,10478
2016-02-05,13.54,13.7,13.4,13.42,22697
2016-02-08,13.28,13.49,13.19,13.45,42621
2016-02-09,13.29,13.49,13.22,13.25,9328
2016-02-10,13.13,13.44,13.13,13.33,19945
2016-02-11,13.14,13.23,13.14,13.17,14445
2016-02-12,13.19,13.38,13.16,13.36,19604
2016-02-16,13.46,13.66,13.35,13.49,9506
2016-02-17,13.59,13.82,13.47,13.53,22278
2016-02-18,13.5,13.69,13.5,13.56,13941
2016-02-19,13.55,13.73,13.55,13.56,6035
2016-02-22,13.58,13.74,13.55,13.58,6975
2016-02-23,13.62,13.7,13.55,13.55,3932
2016-02-24,13.55,13.77,13.55,13.64,8676
2016-02-25,13.76,13.97,13.58,13.91,16985
2016-02-26,13.97,14.37,13.82,14.29,70399
2016-02-29,14.2,14.25,14.02,14.23,11041
2016-03-01,14.21,14.41,14.02,14.34,19805
2016-03-02,14.31,14.4,14.26,14.35,22931
2016-03-03,14.41,14.49,14.27,14.34,19217
2016-03-04,14.31,14.56,14.31,14.45,17054
2016-03-07,14.38,14.55,14.28,14.39,5624
2016-03-08,14.17,14.42,14.17,14.21,10114
2016-03-09,14.17,14.53,14.13,14.25,21511
2016-03-10,14.26,14.46,14.0,14.13,8251
2016-03-11,14.24,14.34,14.22,14.34,5396
2016-03-14,14.24,14.48,14.24,14.38,11240
2016-03-15,14.32,14.4,14.22,14.23,6525
2016-03-16,14.22,14.4,14.2,14.29,15464
2016-03-17,14.35,14.61,14.34,14.47,19055
2016-03-18,14.31,14.57,14.27,14.28,59228
2016-03-21,14.38,14.59,14.35,14.55,13987
2016-03-22,14.45,14.56,14.41,14.41,10862
2016-03-23,14.46,14.5,14.16,14.17,16141
2016-03-24,14.2,14.49,14.2,14.41,13302
2016-03-28,14.5,14.63,14.33,14.5,29981
2016-03-29,14.05,14.23,14.05,14.2,11867
2016-03-30,14.2,14.29,14.2,14.24,11324
2016-03-31,14.28,14.28,14.11,14.16,24376
2016-04-01,14.12,14.25,14.07,14.23,9601
2016-04-04,14.25,14.25,14.08,14.17,18592
2016-04-05,14.07,14.19,14.01,14.18,8789
2016-04-06,14.08,14.18,14.06,14.15,3615
2016-04-07,14.15,14.22,14.05,14.14,1922
2016-04-08,14.22,14.24,14.05,14.12,2563
2016-04-11,14.18,14.19,14.05,14.12,15726
2016-04-12,14.12,14.24,14.1,14.19,14450
2016-04-13,14.23,14.25,14.17,14.24,9038
2016-04-14,14.25,14.26,14.07,14.07,15487
2016-04-15,14.13,14.25,14.01,14.24,19911
2016-04-18,14.13,14.3,14.09,14.2,9075
2016-04-19,14.14,14.28,14.03,14.27,5931
2016-04-20,14.13,14.3,14.13,14.21,4782
2016-04-21,14.15,14.25,14.15,14.23,4438
2016-04-22,14.2,14.3,14.18,14.2,7315
2016-04-25,14.18,14.25,14.15,14.24,6537
2016-04-26,14.19,14.3,14.18,14.27,19634
2016-04-27,14.21,14.33,14.21,14.27,14114
2016-04-28,14.19,14.25,14.19,14.23,20036
2016-04-29,14.25,14.26,14.15,14.21,13223
2016-05-02,14.25,14.35,14.22,14.32,4381
2016-05-03,14.29,14.29,14.15,14.19,7393
2016-05-04,14.18,14.26,14.15,14.15,10861
2016-05-05,14.15,14.36,14.15,14.29,23713
2016-05-06,14.14,14.4,14.14,14.4,10785
2016-05-09,14.31,14.43,14.31,14.39,11502
2016-05-10,14.4,14.45,14.37,14.4,5929
2016-05-11,14.45,14.54,14.38,14.49,32886
2016-05-12,14.54,14.6,14.52,14.59,35301
2016-05-13,14.58,14.74,14.58,14.74,34726
2016-05-16,14.77,14.97,14.76,14.96,31367
2016-05-17,14.98,15.1,14.94,15.05,26171
2016-05-18,15.11,15.15,15.05,15.05,36894
2016-05-19,15.06,15.08,14.81,14.98,20159
2016-05-20,15.05,15.15,14.97,15.13,25318
2016-05-23,15.19,15.28,15.11,15.23,49476
2016-05-24,15.22,15.32,15.17,15.21,17213
2016-05-25,15.21,15.29,15.11,15.21,25776
2016-05-26,15.16,15.31,15.16,15.22,29584
2016-05-27,15.23,15.4,15.23,15.4,34486
2016-05-31,15.5,15.6,15.48,15.57,40682
2016-06-01,15.57,15.63,15.45,15.58,23569
2016-06-02,15.58,15.84,15.58,15.77,25869
2016-06-03,15.72,15.78,15.47,15.48,24188
2016-06-06,15.36,15.61,15.21,15.57,51074
2016-06-07,15.33,15.65,15.33,15.65,13954
2016-06-08,15.78,15.8,15.6,15.8,53084
2016-06-09,15.8,15.8,15.68,15.76,27018
2016-06-10,15.72,15.8,15.69,15.74,24748
2016-06-13,15.65,15.79,15.65,15.67,19719
2016-06-14,15.72,15.94,15.68,15.89,56371
2016-06-15,15.95,15.95,15.79,15.85,62936
2016-06-16,15.8,15.89,15.8,15.84,23033
2016-06-17,15.87,15.95,15.8,15.93,81140
2016-06-20,15.93,16.04,15.93,16.04,31365
2016-06-21,16.0,16.09,15.9,16.01,40176
