Date,Open,High,Low,Close,Volume
2016-01-04,20.19,20.36,19.75,20.24,3919310
2016-01-05,20.35,20.37,19.91,20.05,3200746
2016-01-06,19.74,19.89,19.27,19.52,3456328
2016-01-07,19.13,19.18,18.43,18.62,4180734
2016-01-08,18.8,18.82,18.1,18.17,3222092
2016-01-11,18.33,18.64,17.97,18.16,2033317
2016-01-12,18.73,19.39,18.14,18.57,3660206
2016-01-13,18.69,18.96,18.16,18.34,2642884
2016-01-14,18.38,18.56,18.01,18.33,2383382
2016-01-15,17.77,18.23,17.66,18.02,2839086
2016-01-19,18.25,18.38,17.46,17.59,2739084
2016-01-20,17.28,17.57,16.63,17.34,3790393
2016-01-21,17.5,17.89,17.3,17.45,2941459
2016-01-22,17.77,18.23,17.52,17.99,2289692
2016-01-25,17.92,18.02,17.57,17.6,1538786
2016-01-26,17.75,18.12,17.53,18.04,2782802
2016-01-27,17.77,18.26,17.62,17.8,1978656
2016-01-28,17.99,18.1,17.24,17.28,2603250
2016-01-29,17.42,17.81,17.41,17.77,3979470
2016-02-01,17.7,18.02,17.35,17.94,2772264
2016-02-02,17.76,18.43,17.64,17.77,3238765
2016-02-03,18.35,18.61,18.16,18.59,3122935
2016-02-04,18.5,19.34,18.46,19.17,3254845
2016-02-05,19.29,19.52,18.58,18.62,3181038
2016-02-08,18.34,18.5,17.34,17.66,3203143
2016-02-09,17.42,17.98,17.23,17.79,3178777
2016-02-10,17.86,18.26,17.3,17.59,3197755
2016-02-11,17.28,17.73,17.15,17.5,2359573
2016-02-12,17.82,18.37,17.48,18.28,2661657
2016-02-16,18.56,19.34,18.47,19.29,2816631
2016-02-17,19.41,19.81,19.36,19.52,2367745
2016-02-18,19.5,19.72,19.1,19.38,2253835
2016-02-19,19.32,19.62,19.18,19.57,1391389
2016-02-22,19.98,20.16,19.85,20.02,2098517
2016-02-23,20.01,20.16,19.8,19.89,2317607
2016-02-24,19.65,20.71,19.47,20.66,2941305
2016-02-25,20.73,20.95,20.21,20.71,2105483
2016-02-26,20.81,21.12,20.57,20.75,3332056
2016-02-29,20.75,20.84,20.45,20.5,3296900
2016-03-01,20.77,21.14,20.64,21.0,3626074
2016-03-02,20.99,21.08,20.04,20.71,7033803
2016-03-03,16.95,17.5,16.32,16.99,30110308
2016-03-04,17.17,17.39,16.77,17.28,8365075
2016-03-07,17.12,17.25,16.87,16.96,4143705
2016-03-08,16.95,16.97,16.56,16.63,5094801
2016-03-09,16.75,17.45,16.67,17.45,5135681
2016-03-10,17.45,17.8,16.98,17.13,3960802
2016-03-11,17.4,17.68,17.29,17.55,3191712
2016-03-14,17.47,17.71,17.38,17.55,2261311
2016-03-15,17.38,17.42,16.81,16.93,3661660
2016-03-16,16.93,17.36,16.81,17.28,2728489
2016-03-17,17.28,18.02,17.14,18.01,3606943
2016-03-18,18.09,18.44,17.83,18.21,4324324
2016-03-21,17.96,18.41,17.91,18.21,2436531
2016-03-22,18.23,19.0,18.1,18.91,4618869
2016-03-23,18.78,18.87,18.27,18.31,3055096
2016-03-24,18.2,18.73,18.01,18.57,2201298
2016-03-28,18.57,18.58,18.19,18.28,1780241
2016-03-29,18.25,18.93,18.15,18.87,2582005
2016-03-30,18.96,19.2,18.66,18.76,2277032
2016-03-31,18.73,19.07,18.68,19.02,1932386
2016-04-01,18.76,19.07,18.7,18.85,1654354
2016-04-04,18.86,18.94,18.55,18.65,1715405
2016-04-05,18.46,18.58,18.32,18.33,1521270
2016-04-06,18.42,18.67,18.28,18.64,1844660
2016-04-07,18.48,18.53,17.66,17.71,4222811
2016-04-08,17.85,18.26,17.83,18.21,3351751
2016-04-11,18.24,18.37,17.89,17.9,2055305
2016-04-12,17.7,17.76,17.35,17.47,4082292
2016-04-13,17.61,18.14,17.61,17.96,2453214
2016-04-14,17.98,18.1,17.71,17.94,2382863
2016-04-15,17.86,18.0,17.54,17.8,2449136
2016-04-18,17.72,18.06,17.57,17.8,1844345
2016-04-19,17.86,17.86,17.26,17.27,2666123
2016-04-20,17.21,17.31,16.9,17.09,5890955
2016-04-21,17.06,17.22,16.62,16.67,6536197
2016-04-22,16.74,17.23,16.71,17.1,3069382
2016-04-25,17.01,17.17,16.73,16.89,2340475
2016-04-26,16.95,17.36,16.89,17.35,2337652
2016-04-27,17.0,17.44,17.0,17.4,1894541
2016-04-28,16.95,17.14,16.57,16.63,4235003
2016-04-29,16.71,16.86,16.5,16.83,3483099
2016-05-02,16.82,17.01,16.65,16.81,2396444
2016-05-03,16.67,16.71,16.38,16.49,2370027
2016-05-04,16.5,16.64,16.05,16.06,2618194
2016-05-05,16.14,16.31,16.0,16.02,2671587
2016-05-06,15.97,16.28,15.72,16.26,2227928
2016-05-09,16.29,16.35,16.01,16.16,2123285
2016-05-10,16.15,16.4,16.03,16.15,3188320
2016-05-11,16.16,16.3,16.1,16.24,2561627
2016-05-12,16.29,16.37,15.76,15.83,2007267
2016-05-13,15.74,16.05,15.62,15.73,2207691
2016-05-16,15.73,15.98,15.65,15.86,3202214
2016-05-17,15.89,16.54,15.79,16.16,3459873
2016-05-18,16.06,16.54,15.97,16.31,3918940
2016-05-19,16.32,16.41,15.7,15.89,2780242
2016-05-20,16.0,16.24,15.95,16.1,1825418
2016-05-23,16.1,16.45,16.03,16.29,2777165
2016-05-24,16.45,16.86,16.4,16.82,3247841
2016-05-25,16.75,16.94,16.66,16.84,1816655
2016-05-26,16.84,16.98,16.77,16.86,1975123
2016-05-27,16.91,17.21,16.78,17.2,2748330
2016-05-31,17.29,17.55,17.2,17.46,2743482
2016-06-01,17.36,17.82,17.32,17.76,4355863
2016-06-02,19.57,20.45,19.33,20.03,15379304
2016-06-03,19.98,21.18,19.98,21.03,8487173
2016-06-06,21.03,21.38,20.98,21.27,4167768
2016-06-07,21.29,21.75,21.27,21.75,3590267
2016-06-08,21.75,21.87,21.64,21.68,4277408
2016-06-09,21.57,21.69,21.41,21.61,2900419
2016-06-10,21.33,21.6,20.98,21.12,3387571
2016-06-13,21.07,21.39,20.82,20.86,2699217
2016-06-14,20.85,21.11,20.75,20.91,2246383
2016-06-15,20.95,21.21,20.84,20.86,2964861
2016-06-16,20.73,20.99,20.52,20.99,2734813
2016-06-17,20.94,20.99,20.58,20.65,3199422
2016-06-20,20.93,21.01,20.62,20.64,1605020
2016-06-21,20.4,20.46,20.13,20.3,2484518
2016-06-22,20.33,20.5,20.07,20.11,2210447
2016-06-23,20.24,20.59,20.19,20.59,2435680
2016-06-24,19.5,19.79,19.08,19.11,6179695
2016-06-27,19.04,19.04,17.86,17.95,4342785
2016-06-28,18.24,18.41,17.7,18.34,4967253
2016-06-29,18.52,18.72,18.04,18.64,4625174
2016-06-30,18.66,18.84,18.48,18.75,2936318
2016-07-01,18.75,19.05,18.28,18.47,2104354
2016-07-05,18.26,18.36,17.9,18.0,2465131
2016-07-06,17.89,18.15,17.59,18.09,3296076
2016-07-07,18.23,18.5,18.15,18.37,2326897
2016-07-08,18.56,19.16,18.56,19.09,3404527
2016-07-11,19.19,19.42,19.02,19.39,2525504
2016-07-12,19.56,20.01,19.46,19.95,3638418
2016-07-13,20.17,20.22,19.58,19.68,3727785
2016-07-14,19.92,19.98,19.48,19.48,2083300
2016-07-15,19.57,20.2,19.35,20.0,5454857
2016-07-18,20.05,20.25,19.98,20.17,2270471
2016-07-19,20.21,20.33,19.94,20.01,1769369
2016-07-20,20.11,20.29,20.0,20.26,1415874
2016-07-21,20.15,20.27,19.89,19.94,1559328
2016-07-22,19.93,20.11,19.7,20.08,1386696
2016-07-25,20.15,20.47,19.97,20.31,1661781
2016-07-26,20.32,20.68,20.32,20.52,1725748
2016-07-27,20.5,20.79,20.15,20.41,1855386
2016-07-28,18.84,19.39,18.5,19.39,9424828
2016-07-29,19.42,19.52,18.9,19.19,3445330
