Date,Open,High,Low,Close,Volume
2016-01-04,2.25,2.3,2.24,2.29,51058
2016-01-05,2.27,2.27,2.26,2.26,36282
2016-01-06,2.26,2.28,2.26,2.26,10384
2016-01-07,2.26,2.29,2.26,2.26,60670
2016-01-08,2.26,2.27,2.26,2.26,39616
2016-01-11,2.26,2.27,2.26,2.27,18022
2016-01-12,2.29,2.29,2.24,2.25,28497
2016-01-13,2.25,2.27,2.2,2.2,52631
2016-01-14,2.2,2.22,2.17,2.22,51967
2016-01-15,2.16,2.18,2.15,2.15,55100
2016-01-19,2.12,2.14,2.09,2.11,46408
2016-01-20,2.1,2.1,2.04,2.09,87625
2016-01-21,2.06,2.11,2.06,2.1,58618
2016-01-22,2.13,2.16,2.12,2.13,50569
2016-01-25,2.11,2.13,2.11,2.12,31728
2016-01-26,2.11,2.18,2.11,2.17,42888
2016-01-27,2.17,2.18,2.15,2.16,69727
2016-01-28,2.17,2.18,2.17,2.17,59221
2016-01-29,2.19,2.21,2.16,2.19,25704
2016-02-01,2.15,2.2,2.15,2.19,49132
2016-02-02,2.17,2.18,2.17,2.17,20722
2016-02-03,2.16,2.18,2.14,2.18,60570
2016-02-04,2.17,2.18,2.15,2.18,21421
2016-02-05,2.18,2.18,2.17,2.17,2871
2016-02-08,2.13,2.14,2.11,2.11,14893
2016-02-09,2.06,2.11,2.06,2.09,48899
2016-02-10,2.09,2.12,2.09,2.09,56463
2016-02-11,2.06,2.08,2.06,2.07,19563
2016-02-12,2.08,2.09,2.07,2.07,91552
2016-02-16,2.05,2.07,2.05,2.06,32828
2016-02-17,2.09,2.1,2.08,2.09,174316
2016-02-18,2.09,2.12,2.08,2.1,87195
2016-02-19,2.07,2.12,2.07,2.11,36505
2016-02-22,2.1,2.14,2.1,2.13,144137
2016-02-23,2.13,2.14,2.12,2.13,61755
2016-02-24,2.13,2.14,2.12,2.14,71569
2016-02-25,2.12,2.14,2.12,2.14,39842
2016-02-26,2.12,2.16,2.12,2.15,46541
2016-02-29,2.16,2.18,2.15,2.17,68973
2016-03-01,2.18,2.25,2.17,2.22,64672
2016-03-02,2.19,2.23,2.19,2.22,61853
2016-03-03,2.21,2.26,2.21,2.24,72568
2016-03-04,2.25,2.29,2.24,2.28,90062
2016-03-07,2.25,2.32,2.25,2.31,144219
2016-03-08,2.31,2.32,2.27,2.29,85440
2016-03-09,2.29,2.33,2.29,2.3,92997
2016-03-10,2.32,2.33,2.3,2.33,25252
2016-03-11,2.33,2.37,2.32,2.37,20812
2016-03-14,2.37,2.37,2.35,2.37,32081
2016-03-15,2.34,2.34,2.29,2.31,109954
2016-03-16,2.32,2.34,2.31,2.34,5484
2016-03-17,2.35,2.37,2.34,2.34,33130
2016-03-18,2.33,2.38,2.31,2.34,52524
2016-03-21,2.32,2.38,2.32,2.35,35209
2016-03-22,2.34,2.38,2.34,2.37,48617
2016-03-23,2.38,2.38,2.37,2.38,21150
2016-03-24,2.37,2.37,2.32,2.34,38504
2016-03-28,2.32,2.34,2.32,2.34,72647
2016-03-29,2.3,2.37,2.3,2.35,56145
2016-03-30,2.34,2.35,2.33,2.33,20969
2016-03-31,2.33,2.35,2.32,2.34,105476
2016-04-01,2.32,2.35,2.32,2.35,26132
2016-04-04,2.33,2.34,2.32,2.34,48888
2016-04-05,2.33,2.35,2.33,2.33,118981
2016-04-06,2.35,2.37,2.33,2.34,113988
2016-04-07,2.34,2.44,2.34,2.34,229632
2016-04-08,2.34,2.37,2.34,2.35,92839
2016-04-11,2.35,2.38,2.35,2.38,2977
2016-04-12,2.39,2.41,2.38,2.41,123294
2016-04-13,2.43,2.43,2.4,2.41,43429
2016-04-14,2.41,2.41,2.4,2.41,16195
2016-04-15,2.41,2.41,2.39,2.41,40027
2016-04-18,2.41,2.43,2.4,2.42,25169
2016-04-19,2.42,2.42,2.4,2.41,28477
2016-04-20,2.38,2.42,2.38,2.42,54564
2016-04-21,2.43,2.44,2.41,2.41,53168
2016-04-22,2.43,2.43,2.4,2.42,66653
2016-04-25,2.4,2.42,2.4,2.42,19217
2016-04-26,2.43,2.43,2.38,2.43,14405
2016-04-27,2.43,2.45,2.41,2.43,32655
2016-04-28,2.44,2.45,2.44,2.45,32832
2016-04-29,2.46,2.46,2.44,2.44,37844
2016-05-02,2.45,2.46,2.38,2.43,76341
2016-05-03,2.43,2.45,2.4,2.44,78847
2016-05-04,2.44,2.45,2.44,2.45,46594
2016-05-05,2.46,2.46,2.44,2.45,59946
2016-05-06,2.45,2.47,2.43,2.45,29245
2016-05-09,2.45,2.45,2.44,2.44,9510
2016-05-10,2.45,2.46,2.44,2.46,23899
2016-05-11,2.47,2.47,2.45,2.46,59405
2016-05-12,2.45,2.46,2.45,2.45,37463
2016-05-13,2.45,2.49,2.45,2.45,50462
2016-05-16,2.45,2.49,2.44,2.48,22181
2016-05-17,2.47,2.47,2.44,2.44,44793
2016-05-18,2.45,2.46,2.44,2.44,38672
2016-05-19,2.39,2.44,2.39,2.42,52351
2016-05-20,2.43,2.44,2.43,2.44,8645
2016-05-23,2.44,2.45,2.44,2.45,25236
2016-05-24,2.44,2.45,2.44,2.45,16312
2016-05-25,2.45,2.46,2.45,2.46,35124
2016-05-26,2.46,2.46,2.45,2.46,16602
2016-05-27,2.46,2.5,2.44,2.49,22613
2016-05-31,2.5,2.5,2.48,2.49,24256
2016-06-01,2.48,2.49,2.48,2.49,43806
2016-06-02,2.5,2.52,2.47,2.49,22042
2016-06-03,2.49,2.49,2.47,2.49,6804
2016-06-06,2.5,2.54,2.48,2.53,26193
2016-06-07,2.54,2.54,2.47,2.51,79158
2016-06-08,2.52,2.53,2.49,2.53,18284
2016-06-09,2.53,2.54,2.52,2.53,12892
2016-06-10,2.51,2.54,2.51,2.54,21574
2016-06-13,2.54,2.54,2.5,2.51,39196
2016-06-14,2.5,2.5,2.4,2.45,72820
2016-06-15,2.46,2.49,2.44,2.46,55072
2016-06-16,2.43,2.45,2.43,2.45,207164
2016-06-17,2.45,2.47,2.45,2.47,17205
2016-06-20,2.45,2.5,2.45,2.49,63082
2016-06-21,2.48,2.5,2.48,2.49,181400
2016-06-22,2.48,2.5,2.47,2.47,182197
2016-06-23,2.49,2.49,2.46,2.48,196756
2016-06-24,2.43,2.5,2.43,2.45,95589
2016-06-27,2.4,2.45,2.4,2.42,35897
2016-06-28,2.42,2.44,2.42,2.44,33056
2016-06-29,2.44,2.48,2.41,2.45,63950
2016-06-30,2.46,2.49,2.45,2.47,42814
2016-07-01,2.46,2.5,2.46,2.46,60673
2016-07-05,2.47,2.5,2.47,2.47,20631
2016-07-06,2.47,2.5,2.47,2.48,49475
2016-07-07,2.47,2.49,2.47,2.48,33624
2016-07-08,2.5,2.52,2.49,2.51,52777
2016-07-11,2.51,2.52,2.5,2.52,63489
2016-07-12,2.53,2.54,2.52,2.53,66558
2016-07-13,2.52,2.54,2.52,2.54,12371
2016-07-14,2.54,2.54,2.5,2.54,44983
2016-07-15,2.52,2.54,2.52,2.53,17790
2016-07-18,2.52,2.54,2.52,2.53,25559
2016-07-19,2.52,2.53,2.51,2.53,20372
2016-07-20,2.53,2.55,2.53,2.54,55358
2016-07-21,2.55,2.55,2.52,2.53,131463
2016-07-22,2.55,2.55,2.52,2.53,135501
2016-07-25,2.54,2.54,2.52,2.53,43385
2016-07-26,2.52,2.53,2.52,2.52,17062
2016-07-27,2.52,2.53,2.52,2.52,24255
2016-07-28,2.51,2.54,2.5,2.53,57469
2016-07-29,2.54,2.55,2.52,2.55,24385
2016-08-01,2.54,2.55,2.53,2.55,63587
2016-08-02,2.55,2.55,2.51,2.51,34863
2016-08-03,2.5,2.55,2.5,2.54,92199
2016-08-04,2.54,2.55,2.53,2.53,25159
2016-08-05,2.53,2.54,2.51,2.51,18937
2016-08-08,2.54,2.55,2.53,2.55,37211
2016-08-09,2.54,2.55,2.53,2.54,29324
2016-08-10,2.54,2.55,2.53,2.55,34806
2016-08-11,2.54,2.57,2.54,2.56,33789
2016-08-12,2.56,2.58,2.53,2.57,102220
2016-08-15,2.57,2.6,2.56,2.59,81870
2016-08-16,2.58,2.58,2.56,2.57,45339
2016-08-17,2.57,2.59,2.56,2.58,46398
2016-08-18,2.59,2.61,2.58,2.58,122186
2016-08-19,2.58,2.61,2.56,2.59,28745
2016-08-22,2.57,2.58,2.57,2.58,47830
2016-08-23,2.58,2.6,2.57,2.58,30517
2016-08-24,2.58,2.59,2.56,2.58,16265
2016-08-25,2.57,2.59,2.57,2.58,17870
2016-08-26,2.59,2.61,2.58,2.58,84312
2016-08-29,2.59,2.59,2.57,2.58,30350
2016-08-30,2.58,2.59,2.57,2.58,19648
2016-08-31,2.58,2.61,2.57,2.59,55754
2016-09-01,2.59,2.59,2.58,2.59,30858
2016-09-02,2.6,2.61,2.59,2.61,19369
2016-09-06,2.61,2.63,2.58,2.61,89584
2016-09-07,2.61,2.65,2.6,2.6,173220
2016-09-08,2.61,2.61,2.58,2.61,70086
2016-09-09,2.6,2.6,2.54,2.54,86721
2016-09-12,2.51,2.55,2.51,2.54,154310
2016-09-13,2.54,2.54,2.5,2.5,68626
2016-09-14,2.51,2.53,2.5,2.52,92458
2016-09-15,2.51,2.54,2.5,2.52,97871
2016-09-16,2.52,2.52,2.5,2.51,108842
2016-09-19,2.5,2.53,2.5,2.5,53258
2016-09-20,2.5,2.51,2.48,2.49,33028
2016-09-21,2.5,2.53,2.5,2.51,116421
2016-09-22,2.53,2.55,2.51,2.52,33399
2016-09-23,2.54,2.54,2.51,2.51,24350
2016-09-26,2.52,2.55,2.51,2.52,66418
2016-09-27,2.53,2.59,2.53,2.56,66128
2016-09-28,2.54,2.56,2.54,2.56,21358
