Date,Open,High,Low,Close,Volume
2016-01-04,22.0,22.85,22.0,22.46,16871
2016-01-05,22.31,22.67,22.0,22.01,22892
2016-01-06,22.01,22.49,22.0,22.02,18417
2016-01-07,21.91,22.0,21.72,21.75,26170
2016-01-08,21.79,21.79,20.38,21.02,317871
2016-01-11,21.65,21.65,20.73,21.02,20841
2016-01-12,21.05,21.21,19.56,20.27,194475
2016-01-13,20.44,20.44,19.75,20.2,91595
2016-01-14,20.26,21.21,20.15,21.1,92088
2016-01-15,20.62,20.93,20.52,20.78,36015
2016-01-19,21.04,21.21,20.22,20.35,37864
2016-01-20,20.0,20.0,18.8,19.73,236342
2016-01-21,19.76,20.67,19.76,20.51,15179
2016-01-22,21.6,21.85,20.99,21.23,21694
2016-01-25,21.2,21.2,20.51,20.78,24380
2016-01-26,21.13,21.15,20.1,20.82,262646
2016-01-27,20.5,21.77,20.05,21.37,251155
2016-01-28,21.73,21.87,21.12,21.27,41493
2016-01-29,21.53,22.52,21.42,21.95,37010
2016-02-01,22.13,22.71,21.96,22.3,21453
2016-02-02,22.2,22.87,21.94,22.22,30151
2016-02-03,22.13,22.58,22.04,22.21,39395
2016-02-04,22.34,23.25,22.34,22.91,28981
2016-02-05,22.85,23.05,22.5,22.91,22026
2016-02-08,22.85,23.89,22.85,23.6,68107
2016-02-09,23.63,23.63,22.26,22.26,21767
2016-02-10,22.41,22.99,22.12,22.2,24648
2016-02-11,21.7,21.7,20.51,20.58,51862
2016-02-12,21.08,21.44,20.85,21.01,25889
2016-02-16,21.03,21.24,20.48,21.23,56722
2016-02-17,21.25,21.8,21.01,21.38,29152
2016-02-18,21.18,21.95,21.02,21.65,125085
2016-02-19,21.66,21.66,21.24,21.27,21247
2016-02-22,21.5,21.88,20.76,21.36,45566
2016-02-23,21.24,21.54,21.01,21.47,28614
2016-02-24,21.38,21.9,21.37,21.69,47082
2016-02-25,21.8,21.8,21.6,21.79,5965
2016-02-26,22.0,22.0,21.59,21.97,13245
2016-02-29,21.94,22.85,21.81,22.65,32588
2016-03-01,22.95,23.44,22.48,22.62,17562
2016-03-02,23.09,23.09,22.21,22.9,21781
2016-03-03,22.91,23.39,22.91,23.29,25183
2016-03-04,23.26,23.7,23.2,23.46,17977
2016-03-07,23.52,23.84,23.47,23.82,14877
2016-03-08,23.76,23.8,23.26,23.63,10751
2016-03-09,23.88,23.9,23.33,23.88,18174
2016-03-10,23.98,23.98,23.76,23.81,10147
2016-03-11,23.91,23.91,23.76,23.8,6627
2016-03-14,23.8,24.48,23.8,24.12,152965
2016-03-15,24.12,24.98,24.12,24.75,112237
2016-03-16,25.01,25.96,24.91,25.76,106357
2016-03-17,25.75,26.0,25.13,25.57,65652
2016-03-18,25.57,25.89,25.0,25.76,166378
2016-03-21,26.26,26.45,25.11,25.7,122753
2016-03-22,25.35,25.65,25.35,25.6,42606
2016-03-23,25.6,25.6,24.55,25.3,66010
2016-03-24,25.14,25.65,25.14,25.5,37242
2016-03-28,25.5,25.5,24.81,25.27,47874
2016-03-29,25.41,25.92,25.04,25.88,29950
2016-03-30,25.81,26.0,25.64,25.9,65102
2016-03-31,25.76,25.99,25.65,25.86,19260
2016-04-01,25.62,26.24,25.26,26.24,40947
2016-04-04,26.2,26.35,25.9,26.18,48302
2016-04-05,25.71,26.02,25.71,25.9,38016
2016-04-06,25.71,26.17,25.71,26.16,35338
2016-04-07,26.15,26.35,26.04,26.35,23172
2016-04-08,26.25,27.14,26.22,27.13,34750
2016-04-11,27.08,27.15,26.84,26.94,43404
2016-04-12,26.95,27.92,26.84,27.4,35196
2016-04-13,27.42,28.28,27.33,27.88,47020
2016-04-14,27.85,28.13,27.47,27.88,41467
2016-04-15,27.85,28.11,27.76,28.03,54771
2016-04-18,28.05,28.44,27.95,27.95,64222
2016-04-19,28.41,28.44,28.25,28.3,61811
2016-04-20,28.48,28.97,28.3,28.77,49283
2016-04-21,28.77,29.57,28.54,29.45,62876
2016-04-22,29.53,29.8,28.51,29.32,116166
2016-04-25,29.35,29.71,29.25,29.47,69715
2016-04-26,29.25,29.68,29.11,29.29,90459
2016-04-27,28.71,29.49,28.5,29.49,52591
2016-04-28,29.19,29.93,29.03,29.64,55990
2016-04-29,29.71,30.61,29.18,29.6,60932
2016-05-02,29.6,29.6,28.53,29.59,47258
2016-05-03,29.17,29.28,27.65,28.28,71792
2016-05-04,27.97,28.26,27.25,27.81,110654
2016-05-05,27.85,28.83,27.26,28.29,63741
2016-05-06,28.0,28.8,27.25,28.63,56174
2016-05-09,28.5,28.68,27.09,27.56,64212
2016-05-10,27.69,28.15,27.3,27.93,54022
2016-05-11,28.01,28.31,27.92,28.27,34432
2016-05-12,28.55,28.79,28.19,28.19,62142
2016-05-13,28.2,28.75,28.2,28.35,58649
2016-05-16,28.41,28.96,28.26,28.51,55006
2016-05-17,28.5,29.02,28.5,28.67,27710
2016-05-18,28.69,28.69,27.68,27.75,29380
2016-05-19,27.62,27.97,27.34,27.63,30217
