Date,Open,High,Low,Close,Volume
2016-01-04,12.07,12.11,11.66,12.07,48096
2016-01-05,12.11,12.35,12.04,12.29,39250
2016-01-06,12.13,12.3,12.13,12.23,18456
2016-01-07,12.0,12.1,11.97,12.0,39656
2016-01-08,12.05,12.15,11.9,11.99,30962
2016-01-11,12.06,12.06,11.9,11.96,22269
2016-01-12,11.97,12.0,11.76,11.78,17630
2016-01-13,11.74,11.87,11.2,11.26,27991
2016-01-14,11.44,11.44,11.15,11.23,28029
2016-01-15,11.11,11.25,11.03,11.14,26873
2016-01-19,11.35,11.35,10.96,11.2,28281
2016-01-20,11.22,11.26,10.65,11.12,34953
2016-01-21,11.13,11.45,11.13,11.29,43519
2016-01-22,11.44,11.75,11.27,11.72,11670
2016-01-25,11.76,11.81,11.38,11.81,16654
2016-01-26,11.83,11.87,11.67,11.73,18098
2016-01-27,11.7,11.7,11.53,11.63,5370
2016-01-28,11.7,11.72,11.45,11.46,22077
2016-01-29,11.47,11.79,11.39,11.75,73096
2016-02-01,11.65,11.81,11.53,11.65,15993
2016-02-02,11.53,11.67,11.41,11.53,20627
2016-02-03,11.54,11.66,11.4,11.5,43962
2016-02-04,11.46,11.67,11.26,11.67,24963
2016-02-05,11.66,11.67,11.42,11.56,11901
2016-02-08,11.43,11.43,11.18,11.35,46021
2016-02-09,11.18,11.29,11.14,11.15,22448
2016-02-10,11.18,11.29,11.13,11.28,19628
2016-02-11,11.13,11.2,10.76,10.9,16335
2016-02-12,10.99,11.24,10.92,11.03,16441
2016-02-16,11.04,11.56,10.96,11.39,32538
2016-02-17,11.43,11.54,11.29,11.41,9525
2016-02-18,11.46,11.66,11.45,11.53,6070
2016-02-19,11.37,11.63,11.37,11.61,10681
2016-02-22,11.63,11.7,11.6,11.66,17685
2016-02-23,11.66,11.9,11.56,11.9,22295
2016-02-24,11.78,11.95,11.41,11.93,17034
2016-02-25,11.94,11.95,11.88,11.94,11841
2016-02-26,11.78,12.23,11.78,12.15,52898
2016-02-29,12.23,12.23,11.95,12.1,30358
2016-03-01,12.18,12.45,12.08,12.38,31920
2016-03-02,12.4,12.4,12.0,12.2,40445
2016-03-03,12.15,12.5,12.15,12.36,27077
2016-03-04,12.27,12.3,11.93,12.05,58076
2016-03-07,12.01,12.16,11.91,12.01,37239
2016-03-08,12.0,12.12,11.8,11.87,52857
2016-03-09,11.89,12.05,11.83,11.9,29179
2016-03-10,11.73,11.94,11.71,11.74,41776
2016-03-11,11.89,12.22,11.78,12.03,36440
2016-03-14,11.88,12.23,11.88,12.11,26860
2016-03-15,11.99,12.24,11.88,12.22,39063
2016-03-16,12.19,12.34,12.05,12.29,27093
2016-03-17,12.27,12.47,12.16,12.3,43219
2016-03-18,12.47,13.08,12.38,13.08,325251
2016-03-21,12.89,12.93,12.57,12.64,65329
2016-03-22,12.59,12.75,12.5,12.7,28846
2016-03-23,12.89,12.97,12.65,12.71,36071
2016-03-24,12.68,12.8,12.61,12.72,40616
2016-03-28,12.59,12.9,12.58,12.78,53886
2016-03-29,12.25,12.45,11.89,12.01,189028
2016-03-30,12.0,12.0,11.26,11.6,749924
2016-03-31,11.43,11.64,11.4,11.4,5589840
2016-04-01,11.16,11.34,11.16,11.2,488925
2016-04-04,11.29,11.34,11.2,11.24,257157
2016-04-05,11.26,11.28,11.15,11.25,184102
2016-04-06,11.22,11.38,11.21,11.23,237791
2016-04-07,11.21,11.29,11.21,11.27,183709
2016-04-08,11.32,11.35,11.14,11.14,380373
2016-04-11,11.24,11.35,11.17,11.21,120703
2016-04-12,11.26,11.28,11.15,11.21,180382
2016-04-13,11.2,11.24,11.05,11.21,212005
2016-04-14,11.21,11.25,11.15,11.19,89006
2016-04-15,11.25,11.25,11.18,11.19,150101
2016-04-18,11.2,11.23,11.14,11.18,90238
2016-04-19,11.23,11.25,11.09,11.19,231573
2016-04-20,11.22,11.22,11.11,11.21,283887
2016-04-21,11.29,11.31,11.02,11.04,156116
2016-04-22,11.1,11.19,11.01,11.13,168343
2016-04-25,11.07,11.2,11.05,11.18,63498
2016-04-26,11.1,11.25,11.1,11.22,96065
2016-04-27,11.19,11.25,11.14,11.2,128197
2016-04-28,11.21,11.27,11.21,11.23,73787
2016-04-29,11.22,11.25,11.2,11.23,67660
2016-05-02,11.22,11.25,11.2,11.22,76579
2016-05-03,11.22,11.25,11.14,11.21,82055
2016-05-04,11.08,11.26,11.07,11.23,77749
2016-05-05,11.26,11.39,11.2,11.33,165431
2016-05-06,11.42,11.49,11.28,11.46,121789
2016-05-09,11.44,11.6,11.33,11.58,154087
2016-05-10,11.61,11.65,11.52,11.59,208246
2016-05-11,11.6,11.64,11.52,11.59,83186
2016-05-12,11.64,11.64,11.54,11.57,75094
2016-05-13,11.55,11.59,11.5,11.59,113216
2016-05-16,11.53,11.76,11.53,11.73,146005
2016-05-17,11.74,11.76,11.46,11.55,72628
