Date,Open,High,Low,Close,Volume
2016-01-04,41.5,41.82,40.72,41.56,66751
2016-01-05,41.53,42.4,40.91,41.28,66081
2016-01-06,40.77,41.01,40.04,40.18,57089
2016-01-07,39.61,39.61,38.24,38.25,122045
2016-01-08,37.82,38.03,35.9,35.92,210749
2016-01-11,35.77,36.12,34.66,35.31,106161
2016-01-12,35.72,35.72,34.67,35.45,91195
2016-01-13,35.49,35.83,33.63,33.83,112813
2016-01-14,33.9,35.64,33.51,35.31,199334
2016-01-15,34.25,35.48,34.25,35.14,123089
2016-01-19,35.65,35.65,33.99,34.18,130570
2016-01-20,33.69,34.82,32.97,34.37,192252
2016-01-21,34.19,34.44,32.79,33.32,171519
2016-01-22,34.14,34.67,33.24,33.91,95291
2016-01-25,33.47,33.95,32.89,32.94,69824
2016-01-26,33.25,33.98,32.82,33.94,154172
2016-01-27,33.89,35.02,33.49,34.07,80806
2016-01-28,34.67,35.18,34.03,34.19,58408
2016-01-29,34.36,35.49,34.36,35.49,163763
2016-02-01,35.25,35.35,34.41,34.9,80395
2016-02-02,34.26,34.77,33.75,34.21,81519
2016-02-03,34.69,35.19,33.5,35.1,77642
2016-02-04,35.02,37.05,35.02,36.02,87430
2016-02-05,35.93,37.21,35.65,36.01,131742
2016-02-08,35.49,36.56,35.09,36.42,116739
2016-02-09,35.93,35.93,34.93,35.26,105210
2016-02-10,35.58,35.58,34.19,34.87,235341
2016-02-11,34.45,34.63,33.31,33.9,86993
2016-02-12,34.19,35.3,34.15,34.87,96495
2016-02-16,35.4,36.21,34.45,35.72,69358
2016-02-17,35.99,37.21,35.28,36.43,122689
2016-02-18,36.51,37.72,35.78,36.42,156343
2016-02-19,35.83,37.54,34.08,37.21,148937
2016-02-22,36.75,40.16,36.75,38.89,193129
2016-02-23,38.63,39.05,37.44,37.52,163933
2016-02-24,36.89,38.74,36.75,38.7,86838
2016-02-25,38.7,39.12,38.17,39.08,110946
2016-02-26,39.41,40.57,39.1,39.84,79194
2016-02-29,39.78,40.43,39.71,40.09,94272
2016-03-01,40.72,40.87,39.97,40.86,80121
2016-03-02,40.6,41.38,40.5,41.38,73229
2016-03-03,41.23,41.78,41.07,41.77,66467
2016-03-04,41.63,43.71,41.62,42.73,111852
2016-03-07,42.63,44.66,42.63,44.64,103248
2016-03-08,44.48,44.48,41.61,41.65,101333
2016-03-09,40.92,41.85,40.59,41.45,99017
2016-03-10,41.4,41.4,39.88,40.71,102682
2016-03-11,41.08,41.99,40.88,41.88,146919
2016-03-14,41.48,42.24,41.36,41.78,94094
2016-03-15,41.17,41.86,40.55,40.59,71153
2016-03-16,40.54,41.49,40.2,41.08,121107
2016-03-17,41.41,44.14,41.12,44.09,129163
2016-03-18,44.53,45.6,44.39,45.37,212920
2016-03-21,45.45,47.45,45.45,47.08,164671
2016-03-22,46.58,47.49,45.97,46.03,129953
2016-03-23,45.84,46.04,44.43,44.54,115608
2016-03-24,44.36,46.16,43.84,46.14,102004
2016-03-28,46.14,46.58,45.11,45.73,113783
2016-03-29,45.73,46.96,45.27,46.76,123947
2016-03-30,47.08,48.02,46.45,46.71,90075
2016-03-31,46.57,47.03,46.28,46.39,65629
2016-04-01,45.64,47.7,45.64,47.55,109568
2016-04-04,47.49,47.49,45.95,45.99,155307
2016-04-05,45.53,46.41,45.41,45.87,100354
2016-04-06,45.81,46.12,45.32,45.88,66130
2016-04-07,45.49,46.2,45.49,46.16,138120
2016-04-08,46.64,47.01,45.74,46.0,157608
2016-04-11,46.17,47.51,46.17,46.49,48159
2016-04-12,46.62,47.5,46.13,47.32,76194
2016-04-13,47.72,48.84,47.61,48.66,73277
2016-04-14,46.9,47.97,45.88,46.69,265519
2016-04-15,46.6,47.77,46.6,47.0,104891
2016-04-18,46.74,47.4,46.59,46.74,63945
2016-04-19,47.2,48.5,46.9,48.26,78268
2016-04-20,48.42,49.22,48.04,48.97,85946
2016-04-21,49.02,49.42,48.43,49.09,132931
2016-04-22,49.25,49.9,49.0,49.52,117773
2016-04-25,49.08,49.78,47.47,47.65,113974
2016-04-26,48.0,48.8,47.52,48.48,110436
2016-04-27,48.64,49.16,48.16,48.55,75706
2016-04-28,48.38,48.79,48.14,48.48,185376
2016-04-29,54.38,57.08,52.86,56.45,338977
2016-05-02,58.57,61.63,57.4,61.38,722986
2016-05-03,58.92,59.97,56.83,57.08,300155
2016-05-04,56.63,56.94,54.36,55.24,198850
2016-05-05,55.77,55.96,54.1,54.2,168418
2016-05-06,54.07,56.15,54.07,55.26,209631
2016-05-09,54.99,55.34,53.67,54.19,133275
2016-05-10,54.38,55.3,54.0,54.98,134923
2016-05-11,55.01,56.04,54.58,55.02,124057
2016-05-12,55.19,55.71,54.58,55.3,119305
2016-05-13,55.09,55.79,54.14,54.43,80723
2016-05-16,54.83,55.91,54.83,55.27,77308
2016-05-17,55.62,57.04,54.94,55.81,278979
2016-05-18,55.39,55.8,53.76,54.2,120249
2016-05-19,53.44,53.99,52.21,53.3,94818
2016-05-20,53.61,54.57,53.45,54.23,67166
2016-05-23,54.09,54.67,53.55,54.45,98898
2016-05-24,54.69,56.11,54.08,55.91,94201
2016-05-25,56.06,57.63,56.06,57.52,129758
2016-05-26,57.86,58.4,56.42,56.5,51364
2016-05-27,56.32,57.0,55.76,56.25,56150
2016-05-31,56.47,56.47,55.49,56.04,97147
2016-06-01,55.75,57.59,55.24,57.3,68492
2016-06-02,57.24,58.45,56.1,57.73,65810
2016-06-03,57.95,58.07,57.2,57.73,81726
2016-06-06,57.65,58.62,57.6,58.28,81443
2016-06-07,58.32,59.73,58.32,59.33,129221
2016-06-08,59.56,60.82,59.3,60.55,78188
2016-06-09,60.23,60.34,59.07,59.79,98342
2016-06-10,59.27,60.22,58.39,59.33,112995
2016-06-13,59.03,59.58,57.83,58.58,105600
2016-06-14,58.28,59.28,57.18,57.61,86828
2016-06-15,58.09,58.48,56.94,57.59,77192
2016-06-16,56.5,57.54,55.89,57.43,73608
2016-06-17,57.58,58.36,57.58,58.21,106641
2016-06-20,57.42,59.64,57.42,58.64,60781
2016-06-21,58.67,58.67,57.64,58.12,36481
2016-06-22,58.42,59.0,58.13,58.45,74521
2016-06-23,59.2,60.16,58.45,60.14,57310
2016-06-24,58.25,58.74,54.84,55.09,148220
