Date,Open,High,Low,Close,Volume
2016-01-04,15.5,15.69,14.8,15.56,1827720
2016-01-05,15.56,15.83,15.2,15.64,1030957
2016-01-06,15.42,15.84,15.09,15.75,944984
2016-01-07,15.12,15.74,15.06,15.6,1169810
2016-01-08,15.96,16.25,15.6,16.01,994635
2016-01-11,16.2,16.2,15.25,15.48,1127857
2016-01-12,15.61,16.11,15.51,15.74,1492755
2016-01-13,15.9,16.1,14.82,15.11,1330228
2016-01-14,15.13,15.59,14.91,15.5,557564
2016-01-15,14.62,15.06,14.58,15.0,757464
2016-01-19,15.42,15.42,14.01,14.48,1163275
2016-01-20,14.25,14.58,13.62,14.4,1459010
2016-01-21,14.3,14.85,14.15,14.27,422145
2016-01-22,14.66,14.9,14.36,14.5,345376
2016-01-25,14.42,14.69,14.05,14.14,422414
2016-01-26,14.05,14.72,13.7,14.56,554444
2016-01-27,14.38,14.45,13.9,14.0,367054
2016-01-28,14.19,14.61,13.88,14.06,685447
2016-01-29,14.34,14.79,13.96,14.23,489762
2016-02-01,14.06,14.13,13.85,13.94,831051
2016-02-02,13.9,14.34,13.9,14.0,640291
2016-02-03,14.07,14.27,13.71,14.16,692754
2016-02-04,14.12,15.92,14.09,15.69,1875283
2016-02-05,15.31,15.79,14.39,14.58,1076244
2016-02-08,14.26,14.8,14.13,14.53,1102017
2016-02-09,14.32,14.88,14.01,14.34,824559
2016-02-10,14.73,14.85,14.31,14.76,410417
2016-02-11,14.44,14.59,14.08,14.24,1071535
2016-02-12,14.5,14.7,14.15,14.26,876969
2016-02-16,14.65,15.49,14.63,15.19,656829
2016-02-17,15.48,17.0,15.3,16.99,1314782
2016-02-18,17.14,17.18,16.23,16.33,336158
2016-02-19,16.38,16.79,16.2,16.3,333640
2016-02-22,16.5,16.93,16.36,16.66,318816
2016-02-23,16.81,16.81,16.2,16.22,255777
2016-02-24,16.21,16.43,15.63,15.7,541542
2016-02-25,15.64,15.69,15.03,15.23,1006580
2016-02-26,15.47,15.6,15.23,15.4,428543
2016-02-29,15.4,15.49,14.3,14.82,2059029
2016-03-01,15.14,15.2,14.2,14.28,732228
2016-03-02,14.35,15.37,14.35,15.28,710443
2016-03-03,15.13,15.43,14.93,15.33,245584
2016-03-04,15.34,15.84,14.9,15.0,819075
2016-03-07,15.01,15.21,14.85,15.0,442121
2016-03-08,15.0,15.5,14.85,15.05,275247
2016-03-09,15.04,15.34,14.9,15.22,200686
2016-03-10,15.27,15.39,14.85,14.95,621413
2016-03-11,14.97,15.28,14.89,15.24,494929
2016-03-14,15.3,15.81,15.07,15.68,1575924
2016-03-15,15.88,16.19,15.55,15.85,1345284
2016-03-16,15.56,16.06,14.9,15.96,1463184
2016-03-17,15.96,16.94,15.76,16.92,1160914
2016-03-18,17.23,17.58,17.02,17.44,1448101
