Date,Open,High,Low,Close,Volume
2016-01-04,47.27,48.29,46.5,47.25,471520
2016-01-05,47.28,47.85,46.51,47.5,553143
2016-01-06,46.73,48.06,46.73,47.48,300159
2016-01-07,46.77,47.1,45.73,45.96,963296
2016-01-08,46.32,47.14,45.28,45.32,379666
2016-01-11,45.53,46.67,44.38,45.0,614510
2016-01-12,45.22,45.48,42.61,44.12,959925
2016-01-13,44.4,46.76,44.27,44.59,449627
2016-01-14,44.5,46.51,42.9,45.99,498348
2016-01-15,44.75,47.61,43.64,46.58,1022166
2016-01-19,47.18,48.64,45.95,47.13,1002764
2016-01-20,46.01,48.65,44.21,47.5,829014
2016-01-21,47.5,48.52,47.17,47.83,658182
2016-01-22,48.58,51.08,47.5,49.45,577657
2016-01-25,49.39,50.02,48.49,49.22,309461
2016-01-26,49.58,51.19,48.84,51.06,423326
2016-01-27,50.87,53.61,49.58,49.71,647765
2016-01-28,50.08,50.61,44.07,44.57,1714834
2016-01-29,44.86,47.76,44.85,47.1,736226
2016-02-01,46.98,49.53,46.0,48.94,519708
2016-02-02,47.55,47.61,45.0,46.0,544517
2016-02-03,46.34,48.2,45.13,47.97,476572
2016-02-04,47.84,47.98,46.64,47.96,881650
2016-02-05,47.42,52.54,47.0,47.37,863336
2016-02-08,47.21,48.15,45.58,47.84,754253
2016-02-09,47.45,50.0,46.43,49.44,504396
2016-02-10,50.14,50.47,48.82,49.33,400346
2016-02-11,48.43,49.45,46.6,48.88,485424
2016-02-12,49.0,51.9,48.95,51.31,781780
2016-02-16,53.0,55.48,51.4,55.19,1090229
2016-02-17,55.61,57.9,53.57,53.65,1571646
2016-02-18,56.53,61.0,56.13,59.96,1679821
2016-02-19,59.87,60.11,56.92,57.84,819722
2016-02-22,59.33,60.52,58.4,59.04,557752
2016-02-23,58.79,60.95,58.01,59.98,631693
2016-02-24,59.5,60.4,58.74,60.14,668887
2016-02-25,57.62,60.18,57.62,59.94,491956
2016-02-26,60.07,60.55,59.13,59.71,594392
2016-02-29,59.61,61.44,59.04,61.06,539498
2016-03-01,60.46,62.0,60.2,61.7,506723
2016-03-02,61.8,65.92,61.44,65.0,833281
2016-03-03,65.29,66.37,64.71,65.8,927472
2016-03-04,66.22,68.23,65.9,66.94,873432
2016-03-07,66.0,66.25,64.18,65.83,730351
2016-03-08,65.0,65.94,62.79,64.29,566541
2016-03-09,64.62,65.26,63.0,64.11,467244
2016-03-10,64.56,66.53,64.18,66.08,660473
2016-03-11,66.15,66.83,65.29,65.98,375446
2016-03-14,65.27,65.61,63.17,64.91,386265
2016-03-15,64.14,64.18,61.39,61.6,507293
2016-03-16,61.38,66.64,61.38,66.43,679160
2016-03-17,66.51,72.0,66.09,70.45,1219144
2016-03-18,70.96,71.95,69.77,69.91,413849
2016-03-21,69.7,70.22,69.05,69.88,296765
2016-03-22,68.11,69.74,66.59,68.9,449197
2016-03-23,68.76,69.06,67.19,67.62,362808
2016-03-24,67.02,67.02,65.37,65.88,381399
2016-03-28,66.32,66.81,65.27,66.44,309696
2016-03-29,66.1,67.24,64.95,66.84,344355
2016-03-30,67.48,68.75,66.38,66.89,540059
2016-03-31,67.49,68.5,67.04,67.75,399121
2016-04-01,66.4,67.86,65.57,66.77,279083
2016-04-04,67.0,67.94,66.56,66.6,374760
2016-04-05,66.16,67.0,65.5,66.08,369029
2016-04-06,65.76,66.34,64.47,65.5,388742
2016-04-07,65.52,66.62,62.34,63.47,602742
2016-04-08,63.99,65.99,63.48,63.57,551615
2016-04-11,64.4,65.0,62.9,62.93,413628
2016-04-12,63.1,64.37,61.4,63.54,638969
2016-04-13,65.24,66.68,64.61,66.2,486407
2016-04-14,66.51,66.99,65.04,65.24,195222
2016-04-15,65.25,66.39,64.37,66.07,421206
2016-04-18,66.16,66.97,65.0,66.29,309186
2016-04-19,66.77,70.74,66.25,68.88,787020
2016-04-20,69.05,70.88,67.22,67.3,923792
2016-04-21,66.31,67.67,65.81,66.18,838686
2016-04-22,64.92,67.15,64.66,65.46,643362
2016-04-25,65.21,66.41,65.14,65.42,449570
2016-04-26,65.56,67.12,65.25,67.11,432474
2016-04-27,66.92,67.83,66.01,67.62,270127
2016-04-28,67.02,67.86,64.78,65.03,397748
2016-04-29,64.97,65.82,63.44,63.75,329307
2016-05-02,64.15,64.65,62.63,63.3,505216
2016-05-03,63.21,65.92,62.07,64.1,709365
2016-05-04,63.55,64.95,63.26,63.44,522784
2016-05-05,63.57,64.18,62.14,62.39,557948
2016-05-06,57.71,57.71,50.38,53.56,3625695
2016-05-09,52.0,53.1,50.8,52.48,1627896
2016-05-10,52.79,55.09,52.56,54.65,591945
2016-05-11,54.38,56.99,54.0,54.3,708549
2016-05-12,54.3,55.42,53.77,53.86,569009
2016-05-13,53.78,54.24,51.59,52.99,521675
2016-05-16,52.83,54.35,52.27,53.94,461242
2016-05-17,53.69,54.83,53.14,53.8,621202
2016-05-18,53.78,55.02,52.97,53.55,364821
2016-05-19,53.18,54.33,52.8,53.66,378006
2016-05-20,54.14,55.51,53.68,54.93,408433
2016-05-23,54.41,55.59,53.71,54.3,410661
2016-05-24,54.15,54.81,53.86,54.03,225052
2016-05-25,54.43,54.99,53.95,53.99,259289
2016-05-26,52.96,54.25,50.86,51.13,540192
2016-05-27,51.85,51.85,50.88,51.54,568037
2016-05-31,51.27,52.68,51.27,51.57,415510
2016-06-01,51.46,52.1,50.0,50.97,829718
