Date,Open,High,Low,Close,Volume
2016-01-04,14.41,14.7,14.22,14.45,3947547
2016-01-05,14.51,14.7,14.18,14.68,3381630
2016-01-06,14.51,14.51,14.26,14.34,2889447
2016-01-07,14.1,14.54,14.03,14.35,4245615
2016-01-08,14.41,14.67,14.1,14.53,9559294
2016-01-11,14.57,14.63,14.19,14.41,5499890
2016-01-12,14.47,14.56,13.67,13.69,6493497
2016-01-13,13.73,14.09,13.27,13.33,5785265
2016-01-14,13.35,14.39,13.18,14.31,3960821
2016-01-15,13.98,14.09,13.15,13.63,5640535
2016-01-19,13.76,14.22,13.6,14.01,6516244
2016-01-20,13.81,14.38,12.98,14.18,6022465
2016-01-21,14.16,14.88,14.01,14.54,7137852
2016-01-22,14.82,15.18,14.12,14.51,8084194
2016-01-25,14.35,14.35,13.29,13.35,4504604
2016-01-26,13.48,14.04,13.2,13.86,3564162
2016-01-27,13.72,14.28,13.42,14.25,5982564
2016-01-28,14.49,14.86,14.23,14.42,3390824
2016-01-29,14.66,15.38,14.58,15.31,5001051
2016-02-01,15.25,15.58,14.92,15.26,4631443
2016-02-02,15.1,15.24,14.62,15.18,2810835
2016-02-03,15.33,15.96,15.26,15.94,12289412
2016-02-04,15.96,16.49,15.7,15.81,10613980
2016-02-05,15.68,16.07,15.31,15.31,10245328
2016-02-08,15.2,15.22,13.79,14.14,9036054
2016-02-09,14.03,14.78,13.88,14.58,4890328
2016-02-10,14.48,14.7,14.04,14.37,3225290
2016-02-11,14.12,14.12,13.14,13.21,8851878
2016-02-12,13.07,13.45,11.53,12.35,12239576
2016-02-16,12.56,13.12,12.5,12.99,6316646
2016-02-17,12.99,13.46,12.88,13.09,7358561
2016-02-18,13.05,13.13,12.64,12.99,4003616
2016-02-19,12.88,12.89,12.21,12.21,4789029
2016-02-22,12.32,12.59,12.27,12.3,5903559
2016-02-23,12.23,12.36,12.07,12.21,4739358
2016-02-24,12.13,12.63,11.9,12.56,3574309
2016-02-25,12.65,12.77,12.26,12.52,4678182
2016-02-26,12.62,12.83,12.36,12.37,3629938
2016-02-29,12.29,12.66,12.29,12.56,4042061
2016-03-01,12.73,12.89,12.55,12.82,2350658
2016-03-02,12.79,13.32,12.51,13.3,3502886
2016-03-03,13.37,13.97,13.24,13.88,4594519
2016-03-04,13.84,14.42,13.75,14.14,5784179
2016-03-07,14.11,14.63,14.08,14.19,3973116
2016-03-08,14.01,14.01,13.35,13.52,5087438
2016-03-09,13.62,14.08,13.38,13.79,2807163
2016-03-10,13.8,14.26,13.65,14.18,2281089
2016-03-11,14.33,14.83,14.32,14.66,4014096
2016-03-14,14.55,14.64,14.07,14.45,2221826
2016-03-15,14.34,14.4,14.0,14.28,2064616
2016-03-16,14.3,14.8,14.28,14.55,3554589
2016-03-17,14.68,14.97,14.39,14.66,3834920
2016-03-18,14.66,15.01,14.63,14.98,3409736
2016-03-21,14.92,14.94,14.51,14.66,2360333
2016-03-22,14.58,14.82,14.47,14.65,2078216
2016-03-23,14.6,14.6,14.21,14.24,1947753
2016-03-24,14.11,14.27,13.8,14.18,2283697
2016-03-28,14.25,14.35,13.93,14.33,1847117
2016-03-29,14.25,14.62,13.99,14.6,3446022
2016-03-30,14.71,14.92,14.61,14.77,3359714
2016-03-31,14.78,15.18,14.72,15.17,3074776
2016-04-01,14.92,15.52,14.87,15.41,4099064
2016-04-04,15.36,15.44,14.65,14.72,3849783
2016-04-05,14.63,14.71,14.22,14.28,5389184
2016-04-06,14.3,14.41,13.93,14.34,3521079
2016-04-07,14.3,14.82,14.11,14.23,5665345
2016-04-08,14.41,14.71,14.28,14.39,3784695
2016-04-11,14.46,14.71,14.32,14.49,5909532
2016-04-12,14.53,14.89,14.43,14.85,6073484
2016-04-13,14.89,15.05,14.76,14.91,3816486
2016-04-14,14.92,15.02,14.81,14.96,3048410
2016-04-15,14.9,15.07,14.9,14.97,2119047
2016-04-18,14.81,15.29,14.75,15.23,4816862
2016-04-19,15.33,15.76,15.17,15.73,4362402
2016-04-20,15.66,15.66,15.37,15.44,5677116
2016-04-21,15.4,15.64,15.28,15.57,5045437
2016-04-22,15.63,15.82,15.38,15.41,3163333
2016-04-25,15.3,15.49,14.94,14.99,2959190
2016-04-26,15.08,15.32,14.92,15.23,3289804
2016-04-27,15.27,15.72,15.27,15.56,3085635
2016-04-28,15.66,16.0,15.46,15.55,5953806
2016-04-29,14.25,15.84,14.25,15.78,5358538
2016-05-02,15.74,15.83,15.26,15.33,3827903
2016-05-03,15.22,15.25,14.77,15.01,4610169
2016-05-04,14.93,15.19,14.89,15.02,2746682
2016-05-05,15.19,15.45,14.9,15.0,2475895
2016-05-06,14.87,15.28,14.85,15.28,2791157
2016-05-09,15.16,15.26,14.84,14.91,5050527
2016-05-10,14.95,15.31,14.82,15.29,5604300
2016-05-11,15.32,15.33,14.97,15.03,2426453
2016-05-12,15.19,15.3,14.8,15.03,3961390
2016-05-13,15.01,15.03,14.66,14.71,4354202
2016-05-16,14.82,14.91,14.7,14.77,1648064
2016-05-17,14.76,14.94,14.58,14.77,2230986
2016-05-18,14.67,14.8,14.26,14.42,2732076
2016-05-19,14.24,14.56,14.22,14.53,1880660
2016-05-20,14.55,14.98,14.46,14.95,3764626
2016-05-23,14.93,15.01,14.68,14.83,2851502
2016-05-24,14.91,15.07,14.74,14.95,2564823
2016-05-25,14.46,14.78,14.25,14.51,5134590
2016-05-26,14.55,14.78,14.46,14.52,2104330
2016-05-27,14.51,14.8,14.45,14.74,2814528
2016-05-31,14.76,14.94,14.64,14.8,2691978
2016-06-01,14.76,15.11,14.55,15.08,3729078
2016-06-02,15.06,15.42,15.04,15.19,2293555
2016-06-03,15.41,15.46,14.97,15.3,2280238
2016-06-06,15.44,16.03,15.39,16.0,5231593
2016-06-07,15.96,16.04,15.73,15.86,2230523
2016-06-08,15.98,16.07,15.83,15.85,2208275
2016-06-09,15.63,15.73,15.42,15.6,2905550
2016-06-10,15.28,15.38,14.48,14.51,6048365
2016-06-13,14.34,14.58,14.13,14.25,6732507
2016-06-14,14.24,14.37,13.62,13.88,7535670
2016-06-15,13.81,13.96,13.53,13.56,3352467
2016-06-16,13.37,13.86,13.32,13.75,3775792
2016-06-17,13.81,14.26,13.76,14.24,3710353
2016-06-20,14.26,14.69,14.09,14.14,4080587
2016-06-21,14.13,14.24,13.9,14.11,3132590
2016-06-22,14.14,14.16,13.75,13.79,4122356
2016-06-23,13.97,14.2,13.88,14.18,3124476
2016-06-24,13.8,13.84,13.5,13.7,5812964
2016-06-27,13.56,13.6,13.22,13.41,4363200
2016-06-28,13.52,14.28,13.52,14.22,4617523
2016-06-29,14.44,14.98,14.44,14.58,4447998
2016-06-30,14.58,14.79,14.35,14.75,2825070
2016-07-01,14.81,14.92,14.6,14.71,2653331
2016-07-05,14.61,14.61,14.1,14.31,3317831
2016-07-06,14.28,14.47,14.17,14.33,3976535
2016-07-07,14.34,14.54,14.12,14.23,1888823
2016-07-08,14.33,14.52,14.25,14.51,4171210
2016-07-11,14.51,14.76,14.5,14.73,1911180
2016-07-12,14.81,15.12,14.81,14.98,3502225
2016-07-13,15.04,15.09,14.81,15.02,1867074
2016-07-14,15.02,15.11,14.84,15.0,2145632
2016-07-15,15.03,15.08,14.86,14.92,1353394
2016-07-18,14.92,14.98,14.86,14.95,1613101
2016-07-19,14.97,15.03,14.38,14.49,4010819
2016-07-20,14.55,14.72,14.25,14.43,3895896
2016-07-21,14.46,14.9,14.46,14.63,3784568
2016-07-22,14.68,14.95,14.57,14.76,1871575
2016-07-25,14.71,14.9,14.66,14.69,1580005
2016-07-26,14.95,14.95,14.64,14.75,4581283
2016-07-27,14.79,14.87,14.02,14.06,4290269
2016-07-28,14.06,14.43,13.96,14.23,3115742
2016-07-29,14.38,14.38,13.2,13.74,13208075
2016-08-01,13.67,13.73,13.35,13.43,5615515
2016-08-02,13.29,13.5,13.2,13.45,5455786
2016-08-03,13.5,13.56,13.23,13.52,3640921
2016-08-04,13.5,13.54,12.85,12.97,5593005
2016-08-05,12.98,13.14,12.86,13.01,4090171
2016-08-08,13.07,13.25,13.03,13.09,3649840
2016-08-09,13.14,13.18,12.62,12.67,7358577
2016-08-10,12.66,12.72,12.4,12.51,3246333
2016-08-11,12.51,12.64,12.32,12.63,3850415
2016-08-12,12.65,12.97,12.59,12.73,4004568
2016-08-15,12.8,12.85,12.62,12.66,3236280
2016-08-16,12.75,12.93,12.66,12.77,4946602
2016-08-17,12.7,12.78,12.56,12.61,2682859
2016-08-18,12.59,12.66,12.51,12.57,3117337
2016-08-19,12.5,12.53,12.2,12.26,2653751
2016-08-22,12.21,12.29,11.97,12.24,3264836
2016-08-23,12.26,12.74,12.26,12.57,3826528
2016-08-24,12.54,12.64,12.4,12.46,3347971
2016-08-25,12.43,12.58,12.3,12.42,2346998
2016-08-26,12.48,12.91,12.42,12.46,4536322
2016-08-29,12.49,12.73,12.48,12.59,2884936
2016-08-30,12.57,12.66,12.38,12.41,2994309
2016-08-31,12.42,12.75,12.29,12.48,3113475
2016-09-01,12.54,12.56,12.07,12.13,3351165
2016-09-02,12.22,12.57,12.2,12.48,2269654
2016-09-06,12.51,12.8,12.51,12.72,4221524
2016-09-07,12.73,13.44,12.73,13.42,6122278
2016-09-08,13.4,13.92,13.27,13.86,7029282
2016-09-09,13.72,13.76,13.37,13.4,7565398
2016-09-12,13.33,13.67,13.24,13.62,4759300
2016-09-13,13.42,13.42,12.87,13.03,6838135
2016-09-14,13.0,13.14,12.77,12.91,6051911
2016-09-15,12.87,13.28,12.75,13.12,4966076
2016-09-16,12.99,13.32,12.89,13.29,6152308
2016-09-19,13.37,13.44,13.04,13.26,3460078
2016-09-20,13.29,13.65,13.22,13.62,5358153
2016-09-21,13.67,13.91,13.63,13.79,4343298
2016-09-22,13.89,13.96,13.66,13.91,3090510
2016-09-23,13.8,14.0,13.75,13.9,3699849
2016-09-26,13.88,13.89,13.56,13.67,3235383
2016-09-27,13.61,13.65,13.34,13.47,4038814
2016-09-28,13.52,13.58,13.29,13.31,6965420
2016-09-29,13.22,13.22,12.7,12.76,9129499
2016-09-30,12.81,12.82,12.54,12.64,8428549
2016-10-03,12.66,12.78,12.34,12.5,5776891
2016-10-04,12.52,12.61,12.15,12.2,7364248
2016-10-05,12.3,12.46,12.2,12.33,2893272
2016-10-06,12.23,12.47,12.2,12.34,3306705
2016-10-07,12.44,12.66,12.44,12.55,5409998
2016-10-10,12.82,13.19,12.66,13.15,7368332
2016-10-11,13.09,13.13,12.9,12.96,7598127
2016-10-12,12.96,12.98,12.79,12.95,3623373
2016-10-13,12.93,13.12,12.77,13.02,3971603
2016-10-14,13.04,13.22,12.88,12.91,3620368
2016-10-17,12.86,12.98,12.61,12.63,4224131
2016-10-18,12.79,12.96,12.65,12.83,5692097
2016-10-19,12.88,13.14,12.82,13.07,2990950
2016-10-20,13.04,13.12,12.85,12.98,2999671
2016-10-21,12.85,13.04,12.66,12.66,3827599
2016-10-24,12.69,12.78,12.35,12.42,3620754
2016-10-25,12.41,12.51,12.15,12.16,6320411
2016-10-26,12.03,12.08,11.79,11.9,7788870
2016-10-27,11.92,12.03,11.82,11.93,5150988
2016-10-28,12.05,12.1,11.27,11.76,12747827
2016-10-31,11.77,12.02,11.75,11.9,8600683
2016-11-01,11.91,12.0,11.72,11.8,5303077
2016-11-02,11.5,11.51,10.81,10.89,15762440
2016-11-03,10.88,11.28,10.85,11.1,5445341
2016-11-04,11.29,11.52,11.14,11.14,5359421
2016-11-07,11.32,11.47,11.28,11.47,4353656
2016-11-08,11.47,11.58,11.4,11.46,3879061
2016-11-09,11.55,12.13,11.5,11.74,9781619
2016-11-10,11.74,11.83,11.18,11.2,6096607
2016-11-11,11.19,11.4,11.03,11.24,3574356
2016-11-14,11.23,11.66,11.23,11.58,3684681
2016-11-15,11.63,11.8,11.55,11.77,2722883
2016-11-16,11.75,11.89,11.54,11.6,2373760
2016-11-17,11.63,11.95,11.61,11.85,3514710
2016-11-18,11.84,11.88,11.62,11.63,1907879
2016-11-21,11.74,11.88,11.65,11.75,3566919
2016-11-22,11.63,11.69,11.33,11.48,4115165
2016-11-23,11.39,11.64,11.37,11.61,2702584
2016-11-25,11.68,11.78,11.6,11.72,753689
2016-11-28,11.77,11.92,11.74,11.92,2522937
2016-11-29,11.82,11.92,11.46,11.53,2906977
2016-11-30,11.6,11.6,11.15,11.15,5749654
2016-12-01,11.12,11.21,10.39,10.41,7065554
2016-12-02,10.52,10.76,10.41,10.5,6827565
2016-12-05,10.52,10.86,10.45,10.83,4338091
2016-12-06,10.9,11.16,10.89,11.1,6868115
2016-12-07,11.1,11.21,11.05,11.06,5592234
2016-12-08,11.05,11.41,10.95,11.28,6682688
2016-12-09,11.4,11.74,11.28,11.66,9061382
2016-12-12,11.59,11.78,11.36,11.43,4009841
2016-12-13,11.54,11.63,11.43,11.56,3529093
2016-12-14,11.57,11.7,11.34,11.36,3446057
2016-12-15,11.33,11.54,11.21,11.5,4312523
2016-12-16,11.45,11.67,11.45,11.56,18920117
2016-12-19,11.6,11.73,11.48,11.67,3753126
2016-12-20,11.63,11.68,11.43,11.47,2599454
2016-12-21,11.49,11.66,11.44,11.51,2531681
2016-12-22,11.53,11.64,11.45,11.54,4786445
2016-12-23,11.58,11.66,11.47,11.64,1850071
2016-12-27,11.69,11.81,11.6,11.71,2661830
2016-12-28,11.78,11.79,11.46,11.46,3649518
2016-12-29,11.45,11.65,11.39,11.64,2978959
2016-12-30,11.61,11.61,11.4,11.43,2777689
2017-01-03,11.46,11.54,11.32,11.45,3167367
2017-01-04,11.42,11.8,11.42,11.7,5952687
2017-01-05,11.76,11.82,11.6,11.66,5572284
2017-01-06,11.7,12.09,11.59,12.07,3296870
2017-01-09,12.04,12.04,11.77,11.83,2341882
2017-01-10,11.87,11.89,11.7,11.85,2020636
2017-01-11,11.89,12.16,11.89,12.12,2601226
2017-01-12,12.04,12.18,11.99,12.13,2736980
2017-01-13,12.09,12.24,12.08,12.23,2467795
2017-01-17,12.35,12.6,12.19,12.41,3688783
2017-01-18,12.37,12.44,12.18,12.2,3722803
2017-01-19,12.18,12.29,12.09,12.19,3993375
2017-01-20,12.33,12.43,12.0,12.07,4522912
2017-01-23,12.08,12.16,11.63,11.71,5840819
2017-01-24,11.76,11.96,11.72,11.84,3623295
2017-01-25,11.87,11.94,11.76,11.81,6348943
2017-01-26,11.83,11.91,11.67,11.77,8485272
2017-01-27,11.77,11.83,11.66,11.77,2301735
2017-01-30,11.75,11.77,11.43,11.55,2976338
2017-01-31,11.46,11.85,11.46,11.8,3085560
2017-02-01,11.81,11.88,11.42,11.47,4540861
2017-02-02,11.49,11.6,11.31,11.51,3936540
2017-02-03,11.64,11.82,11.56,11.65,2254859
2017-02-06,11.41,11.47,11.06,11.12,4954502
2017-02-07,11.05,11.14,11.01,11.1,3934286
2017-02-08,11.05,11.43,11.04,11.42,11845951
2017-02-09,11.32,11.54,10.9,11.08,14488446
2017-02-10,11.31,11.69,11.1,11.65,10005061
2017-02-13,11.66,11.83,11.61,11.71,4117640
2017-02-14,11.61,11.66,11.35,11.36,2429142
2017-02-15,11.33,11.72,11.3,11.69,3262689
2017-02-16,11.72,11.76,11.48,11.56,2065394
2017-02-17,11.56,11.56,11.29,11.47,2346006
2017-02-21,11.51,11.86,11.51,11.74,4292984
2017-02-22,11.73,11.81,11.65,11.79,2318615
2017-02-23,11.85,11.95,11.66,11.8,4529641
2017-02-24,11.77,11.91,11.72,11.76,3480078
2017-02-27,11.62,11.71,11.51,11.7,5502900
2017-02-28,11.67,11.91,11.57,11.71,6086877
2017-03-01,11.7,11.89,11.59,11.62,3373387
2017-03-02,11.6,12.0,11.53,11.86,2712458
2017-03-03,11.83,11.92,11.7,11.86,2018322
2017-03-06,11.86,11.92,11.62,11.69,4746671
2017-03-07,11.71,11.78,11.18,11.24,4108294
2017-03-08,11.17,11.21,10.72,10.97,5303743
2017-03-09,10.98,11.15,10.94,11.08,2866708
2017-03-10,11.13,11.18,10.99,11.01,2602349
2017-03-13,11.02,11.07,10.87,10.91,1995583
2017-03-14,10.9,10.9,10.57,10.76,3260888
2017-03-15,10.78,11.14,10.77,11.05,2908259
2017-03-16,11.05,11.21,10.98,11.2,2532413
2017-03-17,11.11,11.24,10.84,10.88,4223457
2017-03-20,10.88,10.88,10.64,10.65,2935841
2017-03-21,10.72,10.93,10.59,10.9,3422642
2017-03-22,10.89,10.97,10.53,10.66,3250336
2017-03-23,10.59,10.78,10.59,10.73,2349162
2017-03-24,10.72,10.86,10.69,10.8,2522296
2017-03-27,10.78,10.86,10.62,10.77,1954006
2017-03-28,10.72,10.78,10.62,10.75,1756045
2017-03-29,10.7,11.0,10.68,10.91,1941556
2017-03-30,10.87,10.92,10.72,10.83,2113740
2017-03-31,10.88,11.09,10.75,11.05,3170814
2017-04-03,11.03,11.04,10.75,10.93,3460799
2017-04-04,10.9,11.06,10.7,10.91,3031798
2017-04-05,10.95,11.15,10.95,11.02,7248313
2017-04-06,11.0,11.0,10.75,10.87,2348396
2017-04-07,10.89,10.89,10.53,10.53,3650420
2017-04-10,10.51,10.66,10.45,10.61,2653735
2017-04-11,10.56,10.65,10.4,10.61,5598935
2017-04-12,10.57,10.84,10.51,10.82,3675227
2017-04-13,10.83,10.84,10.58,10.69,3502101
2017-04-17,10.66,10.89,10.66,10.85,3877394
2017-04-18,10.79,10.95,10.76,10.93,3648052
2017-04-19,10.91,10.98,10.28,10.28,6653850
2017-04-20,10.28,10.31,9.89,10.08,5891263
2017-04-21,10.06,10.29,10.02,10.17,4840440
2017-04-24,10.21,10.3,10.14,10.27,4040342
2017-04-25,10.23,10.26,9.97,10.02,3624782
2017-04-26,10.05,10.05,9.89,9.92,4523246
2017-04-27,9.93,9.95,9.55,9.59,6252093
2017-04-28,9.8,10.22,9.3,10.2,13520618
2017-05-01,10.05,10.56,10.05,10.37,4486015
