Date,Open,High,Low,Close,Volume
2016-01-04,22.7,23.3,20.0,20.3,736211
2016-01-05,20.5,20.7,18.5,18.6,1170120
2016-01-06,18.5,18.9,17.8,18.5,1123331
2016-01-07,18.0,18.1,15.0,15.0,1309776
2016-01-08,15.8,18.1,15.1,17.3,1021247
2016-01-11,17.0,17.3,15.1,16.0,536878
2016-01-12,17.5,17.6,15.2,15.9,568089
2016-01-13,16.1,16.9,13.0,13.5,1332186
2016-01-14,13.3,15.2,13.0,14.7,1259776
2016-01-15,13.1,14.0,11.7,12.8,941355
2016-01-19,12.8,13.0,9.21,10.8,1422245
2016-01-20,9.75,10.4,8.9,9.68,1043869
2016-01-21,9.55,12.9,9.52,12.1,1182132
2016-01-22,14.3,15.7,12.8,15.6,1109942
2016-01-25,14.3,15.2,11.5,11.6,829202
2016-01-26,12.6,13.8,11.9,13.3,895173
2016-01-27,13.0,13.8,12.05,12.2,4342999
2016-01-28,13.0,13.4,12.7,12.9,1307168
2016-01-29,13.5,14.3,13.0,14.3,963215
2016-02-01,13.4,13.4,10.9,11.0,903154
2016-02-02,10.5,10.9,9.9,10.5,855470
2016-02-03,11.2,11.6,10.0,11.6,1202612
2016-02-04,11.7,12.4,11.3,12.2,760404
2016-02-05,12.0,12.0,10.3,10.3,739843
2016-02-08,9.85,10.1,9.2,9.2,919985
2016-02-09,9.2,9.3,8.01,8.52,598718
2016-02-10,8.8,8.8,8.0,8.3,564329
2016-02-11,8.18,8.18,5.64,6.1,1914158
2016-02-12,6.7,6.78,5.6,5.62,1441663
2016-02-16,6.49,6.74,5.02,5.1,1142434
2016-02-17,5.5,5.5,4.8,5.15,1610710
2016-02-18,5.5,5.5,3.8,3.8,1802167
2016-02-19,3.8,3.81,3.1,3.21,2669239
2016-02-22,3.79,4.4,3.33,4.39,2307659
2016-02-23,4.4,4.7,4.02,4.26,1203749
2016-02-24,4.0,4.0,2.85,3.0,6179315
2016-02-25,3.2,3.25,2.81,3.1,2344213
2016-02-26,3.35,5.2,3.2,4.9,2682523
2016-02-29,5.0,5.78,4.51,5.62,1916537
2016-03-01,6.7,10.6,6.7,8.41,3935773
2016-03-02,7.9,9.1,7.51,8.5,2121453
2016-03-03,7.91,12.9,7.91,11.9,2840627
2016-03-04,13.5,18.2,13.0,17.6,3954209
2016-03-07,19.9,22.0,18.8,20.0,3129952
2016-03-08,19.2,19.4,13.8,14.3,2135604
2016-03-09,16.9,18.1,14.8,16.1,1673668
2016-03-10,15.9,16.5,14.5,15.0,1530909
2016-03-11,16.5,17.5,15.7,17.5,2067086
2016-03-14,16.6,16.9,15.1,15.5,750169
2016-03-15,14.8,16.2,13.3,16.0,771306
2016-03-16,16.3,17.7,16.0,16.9,1119114
2016-03-17,17.7,19.0,17.2,17.8,1308585
2016-03-18,18.9,19.4,14.8,15.8,4264917
2016-03-21,15.8,16.6,14.7,14.8,1106714
2016-03-22,14.4,14.9,13.6,14.4,1042252
2016-03-23,14.1,14.3,12.8,13.0,1286406
2016-03-24,11.8,12.9,11.0,12.4,1907917
2016-03-28,13.0,13.1,11.0,11.7,1378901
2016-03-29,10.7,10.9,8.9,10.5,3579148
2016-03-30,11.0,12.1,9.5,10.5,2801292
2016-03-31,9.8,11.0,9.7,10.3,1548326
2016-04-01,10.0,10.4,9.2,10.4,1833711
2016-04-04,9.61,12.2,9.61,11.6,2269137
2016-04-05,10.7,12.15,10.4,10.5,2800087
2016-04-06,11.1,12.1,10.7,11.7,1683065
2016-04-07,11.0,11.6,11.0,11.3,1297164
2016-04-08,12.2,13.7,12.0,13.0,2025066
2016-04-11,13.4,14.0,12.8,12.8,1291982
2016-04-12,13.3,15.6,13.0,14.6,2723699
2016-04-13,14.4,16.6,14.4,15.6,1809274
2016-04-14,16.1,16.5,14.1,15.1,1103020
2016-04-15,14.2,15.2,14.0,15.0,1157528
2016-04-18,13.6,15.9,13.1,15.6,1322279
2016-04-19,16.0,18.5,15.8,17.4,1608196
2016-04-20,17.0,19.9,16.6,19.1,1512993
2016-04-21,19.9,20.9,19.3,20.1,1799204
2016-04-22,20.2,22.8,20.1,22.8,1600107
