Date,Open,High,Low,Close,Volume
2016-01-04,28.08,28.08,27.08,27.77,33161
2016-01-05,27.81,28.26,27.12,27.54,41471
2016-01-06,27.32,27.78,26.95,27.25,30614
2016-01-07,26.97,27.45,25.82,26.0,23626
2016-01-08,26.07,26.07,25.09,25.16,17464
2016-01-11,25.01,25.28,24.7,25.06,13959
2016-01-12,25.23,25.45,24.71,25.36,19144
2016-01-13,25.28,25.89,25.02,25.09,24006
2016-01-14,25.36,25.5,24.9,25.18,20247
2016-01-15,24.61,24.93,24.35,24.47,27540
2016-01-19,24.92,25.08,24.4,24.57,20206
2016-01-20,24.5,25.26,24.12,24.84,31501
2016-01-21,24.83,26.12,24.49,25.72,31849
2016-01-22,26.06,26.66,25.57,26.12,26681
2016-01-25,26.15,26.58,25.03,25.14,14440
2016-01-26,25.33,26.28,25.2,26.28,33596
2016-01-27,25.89,26.69,25.76,26.37,21868
2016-01-28,26.64,26.69,26.3,26.5,17889
2016-01-29,26.69,28.01,26.1,28.01,25808
2016-02-01,27.74,27.95,27.07,27.81,20253
2016-02-02,27.56,27.8,27.04,27.42,12533
2016-02-03,27.82,27.95,26.83,27.71,19199
2016-02-04,27.58,28.4,27.39,27.99,20079
2016-02-05,27.95,27.95,26.82,26.82,26910
2016-02-08,26.76,27.63,26.57,27.24,20789
2016-02-09,26.97,27.9,26.97,27.3,17139
2016-02-10,27.72,28.14,27.15,27.44,18724
2016-02-11,27.01,27.24,26.5,26.57,10047
2016-02-12,26.76,27.05,25.56,25.77,22095
2016-02-16,25.87,26.97,25.87,26.72,13087
2016-02-17,26.98,27.54,26.65,26.83,15008
2016-02-18,27.6,27.6,26.5,26.54,10362
2016-02-19,26.52,27.05,26.31,26.45,17186
2016-02-22,26.63,27.35,26.55,26.81,15840
2016-02-23,26.69,27.88,26.07,27.07,12077
2016-02-24,26.62,26.92,26.12,26.75,10269
2016-02-25,26.94,27.32,26.89,27.15,13607
2016-02-26,27.0,27.21,26.5,26.83,8497
2016-02-29,26.81,27.93,26.81,27.07,44960
2016-03-01,27.22,27.57,27.1,27.47,41491
2016-03-02,27.22,27.59,26.98,27.34,16504
2016-03-03,27.45,28.89,27.32,28.75,21761
2016-03-04,28.52,29.29,27.91,28.1,20230
2016-03-07,28.07,29.13,27.92,28.45,28153
2016-03-08,28.88,28.88,27.6,27.61,19533
2016-03-09,27.61,28.14,27.45,27.78,9984
2016-03-10,28.07,28.68,27.62,27.72,8989
2016-03-11,27.86,28.14,27.69,28.06,12269
2016-03-14,28.0,28.33,27.8,28.09,11907
2016-03-15,27.92,28.15,27.43,27.69,17064
2016-03-16,27.69,28.21,27.37,27.7,41286
2016-03-17,27.65,28.11,27.42,27.99,25140
2016-03-18,28.15,28.15,27.05,27.12,56764
2016-03-21,26.97,27.41,26.91,27.12,34661
2016-03-22,27.26,27.39,26.79,26.79,26753
2016-03-23,26.82,26.83,25.9,26.03,22775
2016-03-24,26.46,27.26,26.28,27.24,16912
2016-03-28,27.24,27.49,27.24,27.45,10199
2016-03-29,27.5,28.67,27.5,28.56,17159
2016-03-30,28.81,29.5,28.5,28.96,24893
2016-03-31,29.09,29.09,27.64,27.93,31666
2016-04-01,28.21,28.42,27.78,27.86,14013
2016-04-04,27.97,28.35,27.85,28.06,13667
2016-04-05,27.85,28.42,27.37,27.94,26403
2016-04-06,28.0,28.38,28.0,28.25,12151
2016-04-07,28.09,28.47,27.87,28.03,17307
2016-04-08,28.45,28.45,27.41,27.64,17583
2016-04-11,27.68,28.34,27.26,27.42,21322
2016-04-12,27.28,27.77,27.25,27.68,24723
2016-04-13,27.76,28.32,27.73,28.15,18341
2016-04-14,28.14,28.54,27.9,28.26,15245
2016-04-15,28.32,29.04,28.32,28.45,8826
2016-04-18,28.5,28.55,28.28,28.3,8474
2016-04-19,28.32,28.6,28.02,28.07,21414
2016-04-20,28.02,28.38,28.02,28.24,12365
2016-04-21,28.08,28.25,27.91,27.91,14359
2016-04-22,28.01,28.39,27.78,27.88,13080
2016-04-25,27.95,27.95,27.57,27.71,8751
2016-04-26,27.73,28.34,27.73,28.1,17353
2016-04-27,28.08,28.15,27.88,27.95,8123
2016-04-28,27.91,28.13,27.88,27.89,10819
2016-04-29,27.88,28.05,27.79,27.96,17404
2016-05-02,28.1,28.41,27.95,28.39,20794
2016-05-03,28.28,28.28,27.72,27.77,18384
2016-05-04,27.75,28.0,27.64,27.72,11249
2016-05-05,27.87,27.87,27.32,27.41,14098
2016-05-06,27.54,27.8,27.25,27.52,12347
2016-05-09,27.57,27.95,27.55,27.6,7140
2016-05-10,27.7,27.99,27.61,27.8,11584
2016-05-11,27.59,27.96,27.57,27.63,8251
2016-05-12,27.57,27.83,27.34,27.42,9351
2016-05-13,27.57,27.7,27.49,27.55,4217
2016-05-16,27.46,27.93,27.46,27.64,8488
2016-05-17,27.68,27.68,26.52,26.8,29237
2016-05-18,26.65,27.25,26.58,27.18,17895
2016-05-19,27.45,27.45,26.75,26.89,11693
2016-05-20,26.84,27.6,26.84,27.6,12703
2016-05-23,27.63,27.7,27.42,27.42,9119
2016-05-24,27.53,28.32,27.53,28.07,15474
2016-05-25,28.24,28.42,28.02,28.11,12930
2016-05-26,28.08,28.19,27.77,27.93,12533
2016-05-27,27.83,27.83,27.37,27.48,18519
2016-05-31,27.5,27.5,26.61,26.74,28632
2016-06-01,26.75,27.2,26.75,27.09,25668
2016-06-02,26.82,26.95,26.71,26.83,15364
2016-06-03,26.8,26.88,26.6,26.71,14250
2016-06-06,26.82,27.35,26.77,27.09,20331
2016-06-07,27.2,27.28,26.91,26.95,11476
2016-06-08,26.88,27.1,26.65,26.8,19243
2016-06-09,26.66,26.7,26.35,26.38,14785
