Date,Open,High,Low,Close,Volume
2016-01-04,7.68,8.29,7.59,8.17,977207
2016-01-05,8.2,8.36,7.8,8.22,988870
2016-01-06,8.1,8.65,7.73,7.88,1280996
2016-01-07,7.73,7.83,7.44,7.56,892547
2016-01-08,7.59,8.08,7.46,7.78,865947
2016-01-11,7.73,7.81,6.76,7.23,1625998
2016-01-12,7.25,7.45,6.82,7.26,851033
2016-01-13,7.31,7.73,7.3,7.3,820430
2016-01-14,7.27,7.37,6.7,6.96,999823
2016-01-15,6.61,6.87,6.51,6.75,1028604
2016-01-19,6.81,6.81,6.0,6.25,901219
2016-01-20,6.07,6.37,5.79,6.2,889623
2016-01-21,6.17,6.69,6.17,6.46,630280
2016-01-22,6.61,7.14,6.02,6.17,1222501
2016-01-25,6.1,6.18,5.55,5.69,824910
2016-01-26,5.72,6.0,5.58,6.0,325618
2016-01-27,5.93,6.15,5.68,5.72,491636
2016-01-28,5.76,5.88,5.38,5.45,559486
2016-01-29,5.5,6.42,5.46,6.26,1126571
2016-02-01,6.15,6.23,5.53,5.88,1345485
2016-02-02,5.81,5.86,5.6,5.86,669416
2016-02-03,5.84,5.99,5.57,5.88,723895
2016-02-04,5.85,6.48,5.27,5.58,2340661
2016-02-05,5.54,5.54,4.92,5.21,2008552
2016-02-08,5.08,5.14,4.93,5.0,689746
2016-02-09,4.99,5.03,4.59,4.8,1475793
2016-02-10,4.91,4.93,4.42,4.47,1549699
2016-02-11,4.46,4.6,3.99,4.13,1617215
2016-02-12,4.23,4.37,4.12,4.16,941612
2016-02-16,4.22,4.26,3.95,4.03,1656126
2016-02-17,4.16,4.92,4.16,4.89,3805746
2016-02-18,4.96,5.3,4.4,5.23,1638460
2016-02-19,5.24,5.28,4.95,5.16,720714
2016-02-22,5.25,5.26,5.09,5.14,919900
2016-02-23,5.13,5.18,4.82,4.99,1022316
2016-02-24,4.99,5.27,4.75,5.2,1783311
2016-02-25,5.17,5.23,4.95,5.08,1078749
2016-02-26,5.15,5.29,5.02,5.21,1035633
2016-02-29,5.27,5.32,5.18,5.22,926812
2016-03-01,5.24,5.41,5.04,5.24,1098696
2016-03-02,5.27,5.81,5.22,5.8,1798026
2016-03-03,5.83,6.49,5.8,6.3,1507617
2016-03-04,6.34,6.69,6.13,6.23,1638442
2016-03-07,6.31,6.48,5.87,6.18,1677814
2016-03-08,6.06,6.06,5.45,5.56,1193774
2016-03-09,5.61,6.14,5.58,5.84,895017
2016-03-10,6.0,7.06,6.0,6.8,2509727
2016-03-11,6.94,7.43,6.75,6.88,1555719
2016-03-14,6.79,6.93,6.36,6.87,1128168
2016-03-15,5.93,6.11,4.16,4.31,8768655
2016-03-16,4.32,4.7,4.26,4.57,2752669
2016-03-17,4.6,5.25,4.6,5.05,2433985
2016-03-18,5.0,5.4,4.89,4.95,1603963
2016-03-21,4.91,4.96,4.62,4.82,865712
2016-03-22,4.79,5.39,4.62,5.06,2028157
2016-03-23,5.02,5.09,4.67,4.76,1031644
2016-03-24,4.69,5.01,4.62,4.98,939460
2016-03-28,4.97,5.04,4.79,4.81,422705
2016-03-29,4.78,5.04,4.67,4.93,662545
2016-03-30,5.0,5.28,5.0,5.16,720781
2016-03-31,5.19,5.3,5.15,5.19,802753
2016-04-01,5.12,5.22,5.06,5.1,502616
2016-04-04,5.11,5.17,4.9,4.9,501763
2016-04-05,4.85,5.14,4.79,5.05,627379
2016-04-06,5.08,5.08,4.85,4.88,596247
2016-04-07,4.86,4.95,4.73,4.85,600594
2016-04-08,4.94,5.06,4.87,4.92,483034
2016-04-11,4.98,5.14,4.93,5.05,522471
2016-04-12,5.07,5.35,5.07,5.31,744905
2016-04-13,5.34,5.6,5.34,5.4,925263
2016-04-14,5.45,5.5,5.24,5.5,418021
2016-04-15,5.48,5.68,5.38,5.43,501610
2016-04-18,5.36,5.44,5.06,5.41,872336
2016-04-19,5.51,5.86,5.48,5.82,966750
2016-04-20,5.76,6.03,5.75,5.78,774651
2016-04-21,5.79,5.86,5.61,5.64,465641
2016-04-22,5.72,5.92,5.55,5.66,673148
2016-04-25,5.7,5.77,5.56,5.69,572392
2016-04-26,5.7,5.99,5.56,5.92,724992
2016-04-27,5.99,6.53,5.9,6.47,1310498
2016-04-28,6.4,6.47,5.7,5.84,1270446
2016-04-29,5.87,6.18,5.8,5.83,853312
2016-05-02,5.83,5.85,5.52,5.66,616302
2016-05-03,5.64,5.67,5.41,5.61,554442
2016-05-04,5.56,5.95,5.48,5.54,809706
2016-05-05,5.65,5.65,5.41,5.47,657300
2016-05-06,5.43,5.83,5.38,5.64,746094
2016-05-09,5.52,5.55,5.28,5.45,470668
2016-05-10,5.48,5.63,5.36,5.58,591507
2016-05-11,5.6,5.94,5.56,5.74,619038
2016-05-12,5.67,5.67,5.0,5.26,1555869
2016-05-13,5.26,5.47,5.2,5.32,780307
2016-05-16,5.39,5.53,5.19,5.21,662785
2016-05-17,5.19,5.37,5.15,5.26,957310
2016-05-18,5.21,5.38,5.12,5.18,740406
2016-05-19,5.09,5.34,5.09,5.23,603288
2016-05-20,5.03,5.1,4.8,4.89,1423293
2016-05-23,4.88,5.09,4.77,4.98,616513
2016-05-24,5.01,5.07,4.92,4.95,521664
2016-05-25,5.01,5.24,4.98,5.23,481893
2016-05-26,5.3,5.4,5.14,5.22,509776
2016-05-27,5.19,5.23,4.98,5.02,305772
2016-05-31,5.09,5.19,4.98,5.02,248162
2016-06-01,4.99,5.0,4.81,4.96,372756
2016-06-02,4.92,5.01,4.84,4.97,327142
2016-06-03,5.0,5.0,4.74,4.79,468391
2016-06-06,4.9,5.26,4.9,5.24,667088
2016-06-07,5.23,5.42,5.2,5.25,576511
2016-06-08,5.31,5.48,5.22,5.24,790786
2016-06-09,5.17,5.19,4.85,4.96,634939
2016-06-10,4.9,4.9,4.65,4.68,632377
2016-06-13,4.67,4.73,4.47,4.5,670226
2016-06-14,4.59,4.66,4.27,4.39,647637
2016-06-15,4.41,4.66,4.41,4.52,506854
2016-06-16,4.48,4.55,4.25,4.32,529994
2016-06-17,4.44,4.54,4.25,4.3,723525
2016-06-20,4.47,4.54,4.39,4.52,586158
2016-06-21,4.48,4.6,4.34,4.42,568299
2016-06-22,4.45,4.55,4.36,4.53,535174
2016-06-23,4.46,4.88,4.46,4.86,661148
2016-06-24,4.37,4.66,4.34,4.51,713108
