Date,Open,High,Low,Close,Volume
2016-01-04,37.43,37.43,36.5,36.91,422817
2016-01-05,37.04,37.13,36.06,36.1,432280
2016-01-06,35.74,35.84,34.13,34.51,920767
2016-01-07,33.78,34.15,33.38,33.65,897231
2016-01-08,34.05,34.26,32.58,33.0,750409
2016-01-11,33.26,35.21,33.04,35.05,1148489
2016-01-12,35.7,35.98,35.0,35.6,792635
2016-01-13,35.74,36.21,35.46,35.68,1188001
2016-01-14,35.78,35.9,34.55,35.12,577820
2016-01-15,34.06,34.84,33.88,34.59,479275
2016-01-19,34.95,35.19,34.41,35.05,459394
2016-01-20,34.49,35.44,34.26,35.06,581029
2016-01-21,35.27,35.62,34.73,34.76,348136
2016-01-22,35.29,35.89,35.03,35.89,548607
2016-01-25,35.8,36.0,35.08,35.54,324938
2016-01-26,35.78,37.53,35.78,37.5,923914
2016-01-27,37.28,37.37,35.5,35.65,411959
2016-01-28,36.05,36.2,35.45,35.75,514058
2016-01-29,35.68,36.49,35.58,36.46,589320
2016-02-01,36.23,37.04,36.02,36.95,470811
2016-02-02,36.32,36.57,34.71,35.06,791357
2016-02-03,35.44,35.7,34.06,34.5,628138
2016-02-04,34.38,34.64,33.67,34.11,623102
2016-02-05,34.04,34.62,33.34,33.53,609579
2016-02-08,33.01,34.33,32.95,34.02,559217
2016-02-09,33.8,35.33,33.6,34.86,612891
2016-02-10,35.24,36.58,35.21,36.12,555127
2016-02-11,35.45,37.21,35.45,36.0,400737
2016-02-12,36.53,37.2,36.12,37.06,437156
2016-02-16,37.44,37.49,36.6,37.16,490641
2016-02-17,37.43,37.76,36.87,37.32,535027
2016-02-18,37.29,37.43,36.09,36.25,594889
2016-02-19,36.22,36.92,35.77,36.6,338619
2016-02-22,37.08,37.85,36.85,37.73,791103
2016-02-23,39.16,39.59,37.76,38.71,1472663
2016-02-24,38.85,39.31,38.46,39.26,770860
2016-02-25,39.68,40.34,39.51,40.3,727167
2016-02-26,40.52,40.75,39.47,40.08,585627
2016-02-29,40.13,40.43,39.19,39.3,740292
2016-03-01,39.71,39.97,39.05,39.23,815123
2016-03-02,39.11,39.44,38.91,39.29,576651
2016-03-03,39.34,39.72,38.63,39.34,505556
2016-03-04,39.58,39.85,39.1,39.85,451066
2016-03-07,39.63,39.83,38.3,38.48,715147
2016-03-08,38.31,38.8,38.2,38.45,766582
2016-03-09,38.62,39.24,38.61,39.11,374711
2016-03-10,39.3,39.33,38.18,38.54,341185
2016-03-11,38.86,39.21,38.66,39.1,666336
2016-03-14,38.4,38.94,36.15,36.18,2174953
2016-03-15,36.2,37.09,35.78,36.52,1335870
2016-03-16,36.56,37.2,36.54,36.84,665931
2016-03-17,36.73,36.89,35.66,36.31,1030168
2016-03-18,36.46,37.01,36.32,36.87,972740
2016-03-21,36.92,37.09,36.75,37.04,822022
2016-03-22,36.96,37.55,36.85,36.96,603247
2016-03-23,36.92,37.22,36.59,36.59,428835
2016-03-24,36.5,36.57,35.77,36.0,504196
2016-03-28,36.0,36.27,35.42,35.59,879846
2016-03-29,35.6,36.69,35.47,36.66,635822
2016-03-30,36.8,36.96,36.02,36.6,636057
2016-03-31,36.64,37.26,36.57,37.02,482408
2016-04-01,36.67,36.85,36.12,36.23,461885
2016-04-04,36.13,36.2,35.32,35.57,485985
2016-04-05,35.11,35.19,34.51,35.1,493674
2016-04-06,35.07,35.94,34.76,35.84,655361
2016-04-07,36.32,36.34,35.4,36.05,887838
2016-04-08,36.09,36.38,35.86,36.1,401984
2016-04-11,36.21,36.32,35.61,35.63,794671
