Date,Open,High,Low,Close,Volume
2016-10-07,23.75,24.35,22.03,22.5,11437686
2016-10-10,22.61,22.99,22.0,22.26,946205
2016-10-11,22.16,22.3,21.6,21.7,713914
2016-10-12,21.62,21.8,21.1,21.4,742749
2016-10-13,21.5,21.5,20.83,21.0,665763
2016-10-14,21.05,21.19,20.85,21.06,285277
2016-10-17,21.03,21.03,20.45,20.52,321013
2016-10-18,20.58,21.36,20.5,21.15,284453
2016-10-19,21.27,21.56,21.07,21.36,373442
2016-10-20,21.75,21.75,21.15,21.68,295242
2016-10-21,21.55,22.18,21.53,21.92,314543
2016-10-24,22.15,23.0,22.0,22.47,384022
2016-10-25,22.4,22.97,22.4,22.76,154970
2016-10-26,23.03,23.03,22.45,22.69,141965
2016-10-27,22.82,22.84,22.0,22.26,240207
2016-10-28,22.09,22.7,22.08,22.36,191100
2016-10-31,22.46,22.68,22.15,22.36,163277
2016-11-01,22.21,22.49,21.9,21.94,273187
2016-11-02,21.95,22.54,21.5,21.58,467842
2016-11-03,21.55,21.87,21.41,21.66,175240
2016-11-04,21.66,22.16,21.6,22.03,254544
2016-11-07,22.15,22.26,21.28,21.28,109346
2016-11-08,21.21,21.5,20.9,21.01,166820
2016-11-09,20.71,21.98,20.51,21.94,168701
2016-11-10,22.16,22.46,21.93,22.27,231857
2016-11-11,22.6,24.38,22.32,24.07,1044200
2016-11-14,24.5,24.97,24.22,24.5,526787
2016-11-15,24.48,24.61,23.07,23.98,225617
2016-11-16,24.2,24.31,23.44,24.0,99345
2016-11-17,24.24,24.66,23.93,23.99,121559
2016-11-18,23.95,24.22,23.48,23.98,91502
2016-11-21,24.32,24.32,23.89,24.1,100084
2016-11-22,24.1,25.28,24.1,25.23,326500
2016-11-23,24.98,26.35,24.98,26.11,276305
2016-11-25,26.13,27.07,25.91,26.92,89158
2016-11-28,26.97,27.03,26.42,26.84,137750
2016-11-29,27.45,27.89,26.95,27.67,423255
2016-11-30,27.88,28.22,27.67,27.9,215939
2016-12-01,28.0,28.19,27.0,27.79,244855
2016-12-02,27.86,27.89,26.68,27.07,193410
2016-12-05,27.18,27.61,26.74,27.04,212610
2016-12-06,26.99,27.38,26.79,27.21,189473
2016-12-07,27.3,28.24,27.08,28.05,161163
2016-12-08,28.4,29.14,28.05,28.76,311358
2016-12-09,28.97,30.34,28.9,30.26,420375
2016-12-12,30.5,31.33,30.36,30.95,374152
2016-12-13,31.44,31.54,30.18,30.6,493743
2016-12-14,30.51,30.64,29.75,30.07,542739
2016-12-15,30.29,33.03,30.08,31.57,647717
2016-12-16,31.96,32.7,31.21,31.77,1814073
2016-12-19,32.0,32.35,31.51,31.84,316939
2016-12-20,31.97,32.3,31.55,32.06,246323
2016-12-21,32.2,32.61,31.57,32.36,228417
2016-12-22,33.0,33.31,32.11,32.31,252593
2016-12-23,32.5,32.6,31.75,32.27,168124
2016-12-27,32.43,33.5,32.32,33.23,309515
2016-12-28,33.56,33.59,32.14,32.85,304014
2016-12-29,33.04,33.27,32.0,32.09,259427
2016-12-30,32.05,32.74,32.05,32.59,179328
2017-01-03,34.07,34.14,32.2,32.87,279269
2017-01-04,32.93,34.29,32.56,34.21,346742
2017-01-05,34.07,34.07,33.11,33.23,344392
2017-01-06,33.39,33.46,32.75,32.8,364722
2017-01-09,32.75,32.75,32.11,32.41,327283
2017-01-10,32.47,32.68,32.18,32.2,206103
2017-01-11,32.33,32.63,31.35,32.2,370700
2017-01-12,32.08,32.25,31.54,31.73,173426
2017-01-13,31.75,31.9,30.76,30.8,332162
2017-01-17,30.7,31.29,29.41,31.27,315131
2017-01-18,31.41,31.6,30.94,31.27,162303
2017-01-19,31.27,31.47,30.66,30.69,276620
2017-01-20,30.87,31.35,30.5,31.22,160541
2017-01-23,31.27,31.85,31.2,31.73,175045
2017-01-24,31.9,31.91,31.43,31.58,96143
