Date,Open,High,Low,Close,Volume
2016-01-04,4.91,4.96,4.91,4.95,28129
2016-01-05,4.96,4.97,4.94,4.96,150538
2016-01-06,4.97,5.02,4.93,5.01,111371
2016-01-07,5.02,5.03,4.96,4.98,119245
2016-01-08,5.0,5.02,4.97,5.0,74976
2016-01-11,5.01,5.02,4.96,4.96,68202
2016-01-12,4.99,5.03,4.98,5.0,56909
2016-01-13,5.0,5.02,4.96,4.96,110812
2016-01-14,4.96,5.02,4.94,5.0,181855
2016-01-15,5.0,5.08,4.99,5.06,186042
2016-01-19,5.06,5.06,4.97,4.97,48490
2016-01-20,4.99,4.99,4.84,4.89,128602
2016-01-21,4.93,5.0,4.89,4.99,109073
2016-01-22,4.99,5.0,4.94,4.97,128943
2016-01-25,4.99,4.99,4.92,4.92,51209
2016-01-26,4.95,4.97,4.91,4.97,57934
2016-01-27,4.96,4.99,4.95,4.95,68890
2016-01-28,4.97,5.01,4.95,5.01,58116
2016-01-29,5.02,5.05,5.0,5.03,97094
2016-02-01,5.06,5.08,5.01,5.04,78576
2016-02-02,5.05,5.06,5.0,5.05,71306
2016-02-03,5.05,5.05,5.01,5.02,70323
2016-02-04,5.02,5.02,5.01,5.01,43846
2016-02-05,5.0,5.11,4.97,5.08,227976
2016-02-08,5.11,5.11,5.06,5.1,24338
2016-02-09,5.08,5.12,5.07,5.08,55026
2016-02-10,5.09,5.09,5.06,5.07,71882
2016-02-11,5.08,5.14,5.05,5.06,68015
2016-02-12,5.08,5.13,5.0,5.02,134265
2016-02-16,5.02,5.02,4.92,4.93,104364
2016-02-17,4.96,5.01,4.93,4.94,98518
2016-02-18,4.95,4.99,4.92,4.99,97254
2016-02-19,4.95,5.02,4.93,5.01,108020
2016-02-22,5.03,5.03,4.93,4.95,88102
2016-02-23,4.95,5.0,4.94,5.0,81258
2016-02-24,5.0,5.03,5.0,5.03,123393
2016-02-25,5.05,5.06,5.02,5.02,99923
2016-02-26,5.02,5.04,4.97,4.98,158456
2016-02-29,5.02,5.06,4.95,4.98,112673
2016-03-01,5.01,5.06,4.98,5.01,241844
2016-03-02,5.04,5.12,5.0,5.07,210227
2016-03-03,5.04,5.12,5.04,5.12,74740
2016-03-04,5.11,5.17,5.01,5.04,275110
2016-03-07,5.04,5.14,5.04,5.1,113180
2016-03-08,5.12,5.12,5.07,5.08,107222
2016-03-09,5.11,5.13,5.09,5.1,57325
2016-03-10,5.1,5.13,5.08,5.08,45356
2016-03-11,5.09,5.15,5.09,5.11,65786
2016-03-14,5.15,5.16,5.11,5.14,54228
2016-03-15,5.13,5.14,5.09,5.14,43344
2016-03-16,5.14,5.15,5.1,5.15,42352
2016-03-17,5.16,5.16,5.1,5.12,65455
2016-03-18,5.14,5.14,5.1,5.1,69380
2016-03-21,5.08,5.13,5.08,5.13,34638
2016-03-22,5.13,5.14,5.1,5.11,84385
2016-03-23,5.1,5.16,5.1,5.11,49429
2016-03-24,5.13,5.16,5.13,5.13,31406
2016-03-28,5.1,5.11,5.08,5.08,83087
2016-03-29,5.08,5.13,5.08,5.09,95965
2016-03-30,5.09,5.11,5.08,5.09,101819
2016-03-31,5.1,5.17,5.1,5.14,106476
2016-04-01,5.16,5.2,5.12,5.12,181237
2016-04-04,5.17,5.2,5.16,5.19,99676
2016-04-05,5.2,5.32,5.2,5.32,156385
2016-04-06,5.32,5.39,5.17,5.3,201082
2016-04-07,5.2,5.27,5.2,5.27,64610
2016-04-08,5.31,5.33,5.27,5.32,70203
2016-04-11,5.32,5.32,5.24,5.27,65009
2016-04-12,5.29,5.38,5.29,5.38,74098
2016-04-13,5.34,5.37,5.29,5.35,109778
2016-04-14,5.33,5.35,5.27,5.27,133589
2016-04-15,5.29,5.32,5.26,5.32,53941
2016-04-18,5.31,5.35,5.3,5.33,71958
2016-04-19,5.33,5.33,5.22,5.24,121806
2016-04-20,5.25,5.3,5.19,5.22,166866
2016-04-21,5.25,5.25,5.19,5.21,101965
2016-04-22,5.21,5.26,5.18,5.22,65994
2016-04-25,5.23,5.24,5.16,5.21,144280
2016-04-26,5.21,5.3,5.21,5.29,80834
2016-04-27,5.29,5.29,5.22,5.26,84864
2016-04-28,5.24,5.26,5.22,5.24,58531
2016-04-29,5.24,5.27,5.21,5.24,74678
2016-05-02,5.26,5.27,5.22,5.24,70758
2016-05-03,5.23,5.27,5.23,5.27,89794
2016-05-04,5.25,5.3,5.25,5.27,50288
2016-05-05,5.28,5.29,5.25,5.26,72428
2016-05-06,5.25,5.3,5.25,5.3,94508
2016-05-09,5.29,5.34,5.29,5.34,47318
2016-05-10,5.35,5.35,5.28,5.32,81350
2016-05-11,5.32,5.35,5.28,5.28,112395
2016-05-12,5.3,5.31,5.26,5.27,94698
2016-05-13,5.27,5.31,5.27,5.29,42064
2016-05-16,5.32,5.33,5.26,5.28,111446
2016-05-17,5.25,5.27,5.23,5.24,50083
2016-05-18,5.26,5.3,5.2,5.22,201849
2016-05-19,5.23,5.31,5.21,5.3,168660
