Date,Open,High,Low,Close,Volume
2016-01-04,23.17,23.49,23.02,23.49,2713256
2016-01-05,23.61,23.62,23.24,23.48,1264719
2016-01-06,23.12,23.28,23.03,23.14,1393341
2016-01-07,22.75,23.1,22.67,22.72,2470082
2016-01-08,22.82,22.86,22.08,22.1,2341527
2016-01-11,22.75,22.77,22.4,22.68,2476096
2016-01-12,23.03,23.13,22.64,22.93,1777292
2016-01-13,23.1,23.15,22.14,22.17,2824730
2016-01-14,21.83,22.16,21.48,22.01,3445482
2016-01-15,20.96,21.18,20.73,20.96,3594002
2016-01-19,20.68,20.73,20.23,20.42,3284939
2016-01-20,19.74,19.83,19.09,19.33,7172875
2016-01-21,18.18,18.79,18.05,18.58,8222302
2016-01-22,19.15,19.28,18.94,19.06,2542629
2016-01-25,18.14,18.22,17.84,17.87,3187883
2016-01-26,18.34,18.66,18.26,18.66,2129718
2016-01-27,18.46,18.74,18.31,18.42,2559102
2016-01-28,17.95,18.04,17.61,17.76,2847693
2016-01-29,17.76,17.91,17.62,17.89,2077083
2016-02-01,17.86,17.9,17.68,17.84,2075304
2016-02-02,17.23,17.25,16.9,16.94,3776568
2016-02-03,16.73,16.73,16.12,16.65,8389429
2016-02-04,16.66,17.15,16.63,16.96,4083994
2016-02-05,17.14,17.2,16.84,16.89,3880670
2016-02-08,16.1,16.1,15.08,15.54,8116554
2016-02-09,14.83,15.68,14.78,15.38,10383973
2016-02-10,16.18,16.78,15.98,16.21,8427637
2016-02-11,15.53,15.93,15.19,15.51,9225293
2016-02-12,16.98,17.43,16.49,17.38,8605693
2016-02-16,16.94,17.29,16.74,17.16,5148232
2016-02-17,17.51,18.1,17.51,17.93,4149915
2016-02-18,17.64,17.65,17.07,17.09,3334691
2016-02-19,16.86,16.99,16.63,16.9,3495622
2016-02-22,17.11,17.43,17.09,17.39,1930105
2016-02-23,17.24,17.25,16.68,16.68,2825082
2016-02-24,16.31,16.48,16.07,16.44,4333798
2016-02-25,16.52,16.82,16.38,16.77,2556157
2016-02-26,17.31,17.52,17.17,17.32,3136990
2016-02-29,17.36,17.43,17.17,17.19,3227973
2016-03-01,17.46,17.97,17.31,17.91,3148200
2016-03-02,18.25,18.72,18.19,18.72,3388877
2016-03-03,19.44,19.54,19.22,19.51,4174758
2016-03-04,19.58,19.9,19.48,19.65,3804550
2016-03-07,19.08,19.56,19.06,19.47,3017238
2016-03-08,19.46,19.46,18.99,19.0,3785744
2016-03-09,19.16,19.2,18.75,18.98,2363857
2016-03-10,19.65,19.98,18.92,19.27,10173994
2016-03-11,20.23,20.64,20.12,20.62,5472962
2016-03-14,20.62,20.7,20.43,20.59,2888013
2016-03-15,20.07,20.16,19.9,20.15,2347772
2016-03-16,18.91,19.34,18.82,19.31,5334186
2016-03-17,18.96,19.24,18.81,19.12,3616171
2016-03-18,19.47,19.59,19.09,19.27,2708029
2016-03-21,19.19,19.35,19.0,19.07,2302517
2016-03-22,18.53,18.81,18.46,18.71,2988166
2016-03-23,18.5,18.57,17.99,18.0,3225438
2016-03-24,17.44,17.62,17.33,17.54,4046031
2016-03-28,17.65,17.71,17.43,17.61,1647891
2016-03-29,17.1,17.48,16.99,17.45,2583479
2016-03-30,17.22,17.42,17.1,17.12,4402781
2016-03-31,16.98,17.21,16.92,16.94,3577883
2016-04-01,16.91,17.11,16.9,17.07,3216824
2016-04-04,16.81,16.98,16.69,16.74,3588424
2016-04-05,16.08,16.15,15.91,15.93,4406592
2016-04-06,15.94,16.2,15.9,16.16,3026192
2016-04-07,15.78,15.83,15.31,15.41,5392933
2016-04-08,16.0,16.09,15.81,15.87,3582168
2016-04-11,16.15,16.25,15.91,15.92,3510596
2016-04-12,15.78,16.08,15.48,16.0,5475271
2016-04-13,16.99,17.38,16.99,17.36,6801918
2016-04-14,17.41,17.43,17.17,17.28,3950497
2016-04-15,17.32,17.38,17.23,17.3,2220269
2016-04-18,17.45,17.78,17.4,17.69,2816322
2016-04-19,17.86,17.95,17.64,17.84,3406040
2016-04-20,18.48,18.74,18.4,18.72,4691912
2016-04-21,19.15,19.16,18.62,18.67,4360397
2016-04-22,18.69,18.96,18.67,18.89,2734537
2016-04-25,18.32,18.36,17.97,18.14,3292296
2016-04-26,18.73,18.73,18.45,18.64,2165094
2016-04-27,18.78,19.06,18.76,19.02,3510108
2016-04-28,19.37,19.7,19.32,19.46,3933385
2016-04-29,19.15,19.26,18.78,18.96,3536139
2016-05-02,18.39,18.53,18.2,18.48,3324330
2016-05-03,17.61,17.62,17.3,17.34,5368450
2016-05-04,17.35,17.57,17.11,17.2,3134637
2016-05-05,16.81,16.88,16.56,16.67,4828627
2016-05-06,16.52,16.99,16.5,16.91,4050196
2016-05-09,16.96,17.03,16.65,16.72,2663873
2016-05-10,16.98,17.18,16.96,17.15,2443004
2016-05-11,16.69,16.93,16.62,16.7,3252269
2016-05-12,16.89,17.02,16.47,16.6,2814996
2016-05-13,16.62,16.75,16.34,16.39,2347114
2016-05-16,16.37,16.47,16.28,16.37,2346393
2016-05-17,16.3,16.44,16.1,16.16,3588064
2016-05-18,16.14,16.8,16.14,16.75,4276727
2016-05-19,16.91,17.07,16.67,16.79,3258774
2016-05-20,16.85,17.05,16.85,16.91,2162464
2016-05-23,16.93,17.13,16.71,16.93,3433926
2016-05-24,17.09,17.39,17.08,17.37,2667877
2016-05-25,17.88,18.08,17.86,17.99,3387080
2016-05-26,18.19,18.23,18.01,18.05,2514354
2016-05-27,18.18,18.31,18.07,18.13,1755023
2016-05-31,18.2,18.26,17.74,17.8,2955800
2016-06-01,17.36,17.62,17.23,17.62,3892691
2016-06-02,17.43,17.62,17.36,17.54,2095991
2016-06-03,17.28,17.3,16.88,17.06,4467694
2016-06-06,16.89,17.19,16.88,17.14,2433654
2016-06-07,17.34,17.46,17.26,17.27,2107095
2016-06-08,17.24,17.36,17.0,17.05,2133760
2016-06-09,16.71,16.83,16.6,16.71,2793811
2016-06-10,15.96,16.0,15.65,15.74,7059563
2016-06-13,15.22,15.53,15.15,15.18,4901590
2016-06-14,15.02,15.17,14.59,14.73,6419140
2016-06-15,14.88,15.16,14.77,14.82,5816791
2016-06-16,14.32,14.92,14.13,14.9,7838167
2016-06-17,15.39,15.67,15.29,15.62,6051574
2016-06-20,16.41,16.45,16.29,16.3,5688751
2016-06-21,16.66,16.88,16.4,16.81,4874707
2016-06-22,17.15,17.22,16.86,16.87,4824321
2016-06-23,17.6,17.86,17.31,17.84,6265077
2016-06-24,14.63,15.31,14.62,14.72,18288294
2016-06-27,13.96,13.99,13.4,13.87,10687580
2016-06-28,14.39,14.46,13.88,14.17,7835119
2016-06-29,13.97,14.12,13.94,14.09,8707552
2016-06-30,13.65,13.9,13.47,13.73,12054501
2016-07-01,13.97,14.07,13.82,13.91,7633656
2016-07-05,13.73,13.76,13.34,13.4,7357621
2016-07-06,12.77,12.99,12.5,12.97,9924348
2016-07-07,12.76,12.91,12.5,12.6,8240384
2016-07-08,13.13,13.14,12.89,12.97,6053789
2016-07-11,13.18,13.4,13.1,13.3,5739393
2016-07-12,14.11,14.24,14.01,14.1,7882457
2016-07-13,14.21,14.26,13.88,13.95,5461064
2016-07-14,14.36,14.62,14.31,14.54,7149911
2016-07-15,14.62,14.62,14.38,14.43,3496673
2016-07-18,14.36,14.61,14.24,14.54,4330100
2016-07-19,14.0,14.08,13.95,14.01,4685330
2016-07-20,14.13,14.32,14.01,14.3,3135467
2016-07-21,14.66,14.79,14.38,14.44,4047851
2016-07-22,14.52,14.55,14.31,14.35,2024244
2016-07-25,14.5,14.57,14.36,14.4,2481750
2016-07-26,14.16,14.24,14.06,14.18,3265313
2016-07-27,13.78,13.88,13.53,13.63,7702521
2016-07-28,13.3,13.32,13.2,13.25,5227932
2016-07-29,13.5,13.53,13.3,13.44,6928245
2016-08-01,13.25,13.27,13.04,13.07,4861435
2016-08-02,12.72,12.79,12.55,12.58,7634996
2016-08-03,12.56,12.71,12.48,12.69,7207296
2016-08-04,12.71,12.8,12.63,12.7,3763502
2016-08-05,12.85,13.16,12.83,13.15,6015603
2016-08-08,13.4,13.5,13.36,13.47,3325684
2016-08-09,13.51,13.78,13.51,13.73,4014051
