Date,Open,High,Low,Close,Volume
2016-01-04,29.71,29.8,28.93,29.5,747207
2016-01-05,29.51,29.66,28.89,28.91,429312
2016-01-06,28.53,28.59,27.88,28.0,412780
2016-01-07,27.51,27.51,26.32,26.75,706730
2016-01-08,26.98,27.0,25.92,25.99,472851
2016-01-11,26.21,26.22,25.67,26.08,414700
2016-01-12,26.24,26.34,25.49,25.84,545758
2016-01-13,25.86,26.06,24.63,24.69,496402
2016-01-14,24.86,25.72,24.24,25.51,530260
2016-01-15,24.72,25.36,24.32,25.04,965022
2016-01-19,25.37,25.39,24.54,24.85,568149
2016-01-20,24.37,25.31,23.95,25.21,690454
2016-01-21,25.39,25.62,24.6,24.84,526182
2016-01-22,25.44,25.86,25.15,25.84,741564
2016-01-25,26.19,28.21,25.84,26.9,1407828
2016-01-26,27.08,27.34,26.6,26.99,700591
2016-01-27,26.82,27.27,26.42,26.51,349723
2016-01-28,26.7,26.82,26.18,26.72,351792
2016-01-29,26.81,27.72,26.67,27.72,643635
2016-02-01,27.49,27.77,27.06,27.56,395850
2016-02-02,27.14,27.32,26.56,26.66,359972
2016-02-03,27.0,27.6,26.29,27.39,353577
2016-02-04,27.1,28.03,26.97,27.5,468227
2016-02-05,27.34,27.82,26.84,26.97,618210
2016-02-08,26.7,26.8,25.39,26.07,678393
2016-02-09,24.96,26.1,24.96,25.88,375459
2016-02-10,25.87,26.36,25.47,25.78,510887
2016-02-11,24.4,24.96,22.86,23.01,1421269
2016-02-12,23.23,23.31,22.88,23.04,1005936
2016-02-16,23.25,24.58,23.05,24.41,894259
2016-02-17,24.44,24.95,24.41,24.52,692911
2016-02-18,24.63,24.96,24.45,24.85,617089
2016-02-19,24.71,24.86,23.63,24.04,1113500
2016-02-22,24.33,24.51,24.05,24.25,607575
2016-02-23,24.09,24.17,23.82,23.9,679615
2016-02-24,23.28,24.39,22.84,24.34,574594
2016-02-25,24.29,24.33,24.04,24.23,470417
2016-02-26,24.29,24.71,24.07,24.42,601040
2016-02-29,24.41,25.17,24.34,24.82,776508
2016-03-01,25.06,25.63,24.62,25.62,612787
2016-03-02,25.57,25.99,25.37,25.71,955694
2016-03-03,25.54,25.64,25.07,25.34,680649
2016-03-04,25.32,25.67,25.06,25.41,1135434
