Date,Open,High,Low,Close,Volume
2016-01-04,24.65,25.37,23.93,24.37,988715
2016-01-05,24.27,24.61,23.78,24.3,623692
2016-01-06,23.74,23.92,22.82,23.09,688748
2016-01-07,22.36,22.99,21.35,21.39,1147102
2016-01-08,21.82,22.15,21.21,21.83,1340425
2016-01-11,21.65,21.87,20.36,20.62,1220348
2016-01-12,21.07,21.59,19.9,20.69,964015
2016-01-13,21.13,21.71,19.51,19.61,1024169
2016-01-14,19.58,20.95,19.35,20.68,845419
2016-01-15,19.9,20.41,19.26,19.3,1052942
2016-01-19,19.58,19.58,17.64,17.76,1300328
2016-01-20,16.88,17.04,15.09,15.69,1926533
2016-01-21,15.76,16.54,15.52,15.87,1539739
2016-01-22,16.72,17.23,16.29,17.05,1341332
2016-01-25,16.64,17.64,16.42,17.06,1334302
2016-01-26,17.55,18.54,16.79,18.54,1374675
2016-01-27,18.38,18.59,17.26,17.67,995460
2016-01-28,17.85,18.9,17.83,18.71,657194
2016-01-29,19.01,19.39,18.58,18.77,535300
2016-02-01,18.51,18.7,17.74,18.4,629121
2016-02-02,18.04,18.24,17.53,17.71,739310
2016-02-03,18.1,19.28,17.62,19.09,660395
2016-02-04,18.44,19.23,17.99,18.71,829182
2016-02-05,18.32,19.57,18.06,19.49,1120929
2016-02-08,18.87,19.17,17.54,17.96,905875
2016-02-09,17.43,17.49,15.91,16.81,1039246
2016-02-10,16.67,17.31,16.32,16.68,566300
2016-02-11,15.96,16.76,15.25,15.6,1092918
2016-02-12,16.16,16.49,15.5,16.43,1289050
2016-02-16,16.99,18.1,16.87,17.85,3230093
2016-02-17,18.25,18.4,17.5,17.69,866905
2016-02-18,17.75,18.05,17.3,17.78,596337
2016-02-19,17.38,17.43,16.87,17.06,667158
2016-02-22,17.59,18.23,17.25,17.87,1205454
2016-02-23,17.69,17.69,16.46,16.72,584586
2016-02-24,16.38,16.91,16.05,16.74,729142
2016-02-25,16.7,17.38,16.42,17.08,608371
2016-02-26,17.48,18.73,17.27,18.42,1564844
2016-02-29,18.58,19.58,18.43,19.41,809990
2016-03-01,19.43,20.9,18.73,20.84,978023
2016-03-02,20.64,22.9,20.45,22.22,1378376
2016-03-03,22.24,24.61,22.21,23.42,977677
2016-03-04,23.77,24.15,22.83,23.53,1600875
2016-03-07,23.65,23.97,23.31,23.65,1150206
2016-03-08,23.06,23.45,22.43,22.55,784892
2016-03-09,22.88,23.3,22.56,22.95,465155
2016-03-10,22.72,23.6,22.61,22.93,710191
2016-03-11,23.48,24.2,23.23,24.18,977536
2016-03-14,23.63,24.91,23.54,24.55,500253
2016-03-15,24.06,24.88,23.95,24.86,649539
2016-03-16,24.76,26.59,24.76,26.3,843990
2016-03-17,26.33,28.15,26.01,27.25,1117595
2016-03-18,27.58,28.52,26.61,27.22,1988096
2016-03-21,27.29,27.65,26.49,27.14,693961
2016-03-22,26.84,28.04,26.84,27.68,724106
2016-03-23,27.31,28.15,26.5,26.61,655177
2016-03-24,26.34,26.8,25.71,26.51,473157
2016-03-28,26.55,26.76,25.5,25.96,565209
2016-03-29,25.76,26.75,25.15,26.61,438899
2016-03-30,27.07,27.71,26.77,27.39,408311
2016-03-31,27.4,28.05,27.22,27.23,595452
2016-04-01,26.54,26.86,25.51,25.8,637930
2016-04-04,25.78,26.58,25.32,25.34,587303
2016-04-05,25.0,25.55,24.7,24.78,440450
2016-04-06,25.17,26.72,24.99,26.18,533348
2016-04-07,25.8,26.39,25.77,26.17,749141
2016-04-08,27.09,27.99,26.88,27.43,630664
2016-04-11,27.74,28.4,26.95,27.59,593858
2016-04-12,28.04,29.58,27.6,29.23,633922
2016-04-13,29.15,29.8,28.57,29.3,450761
2016-04-14,29.5,29.5,28.65,29.36,201386
