Date,Open,High,Low,Close,Volume
2016-01-04,47.71,48.48,47.32,47.79,7903
2016-01-05,48.36,48.52,47.6,48.44,16041
2016-01-06,48.05,48.85,48.03,48.5,72908
2016-01-07,48.14,48.71,48.14,48.67,13837
2016-01-08,48.61,49.45,48.61,49.33,9050
2016-01-11,49.3,49.38,48.81,49.07,5489
2016-01-12,49.0,49.12,48.4,48.7,64296
2016-01-13,48.88,49.15,48.58,48.98,32878
2016-01-14,48.75,49.46,48.75,49.22,10825
2016-01-15,48.48,49.13,48.48,49.01,28017
2016-01-19,49.33,49.48,48.87,49.2,32595
2016-01-20,48.91,49.43,48.47,49.04,11173
2016-01-21,48.76,49.38,48.42,49.01,25216
2016-01-22,49.35,49.45,48.63,49.21,55898
2016-01-25,49.17,49.45,48.88,49.22,24280
2016-01-26,49.5,49.84,48.87,49.48,193222
2016-01-27,49.22,49.49,48.75,49.0,7600
2016-01-28,49.32,49.81,48.95,48.95,93847
2016-01-29,49.11,50.36,49.11,49.76,205276
2016-02-01,49.7,49.7,49.1,49.1,59465
2016-02-02,49.05,49.18,48.2,48.83,119787
2016-02-03,48.97,48.97,48.25,48.86,43176
2016-02-04,48.76,49.45,48.73,49.25,65877
2016-02-05,48.85,49.55,48.85,49.39,26246
2016-02-08,49.02,49.02,48.69,48.84,4940
2016-02-09,48.5,49.28,48.46,49.28,7549
2016-02-10,49.3,49.49,48.56,49.02,238124
2016-02-11,48.57,48.73,48.45,48.58,54196
2016-02-12,48.7,49.27,48.16,48.5,5432
2016-02-16,48.79,48.79,48.1,48.56,15022
2016-02-17,48.72,48.85,48.36,48.52,3160
2016-02-18,48.35,48.95,48.35,48.82,6387
2016-02-19,48.52,48.65,48.27,48.52,100818
2016-02-22,48.72,48.98,48.68,48.96,65265
2016-02-23,49.0,49.23,48.85,48.92,35687
2016-02-24,48.88,49.25,48.27,48.27,457071
2016-02-25,48.75,49.23,48.75,48.98,9366
2016-02-26,49.16,49.17,48.53,48.71,6300
2016-02-29,48.75,49.17,48.52,48.52,47402
2016-03-01,48.95,49.13,48.2,48.44,18329
2016-03-02,48.94,48.94,47.52,48.35,63596
2016-03-03,48.28,48.82,48.0,48.52,168259
2016-03-04,49.0,49.02,48.52,48.92,96441
2016-03-07,48.91,49.36,48.91,49.1,98728
2016-03-08,48.99,49.53,48.99,49.34,78301
2016-03-09,49.36,49.75,49.36,49.37,7668
2016-03-10,49.48,49.6,49.31,49.56,8112
2016-03-11,49.6,49.76,49.2,49.52,8808
2016-03-14,49.5,50.04,49.5,49.83,13555
2016-03-15,49.7,50.04,49.7,50.04,3792
2016-03-16,49.78,50.34,49.78,50.33,177721
2016-03-17,50.14,50.75,50.14,50.56,532783
2016-03-18,50.8,50.9,50.35,50.35,135516
2016-03-21,50.3,50.55,50.07,50.48,283261
2016-03-22,50.28,50.55,50.19,50.33,228641
2016-03-23,50.08,50.69,50.08,50.64,32749
2016-03-24,50.46,50.61,50.2,50.6,3952
2016-03-28,50.47,50.62,50.21,50.47,5483
2016-03-29,49.67,50.49,49.65,50.49,232204
2016-03-30,50.5,50.55,50.11,50.5,11111
2016-03-31,50.55,50.67,50.3,50.3,245669
2016-04-01,50.3,50.69,50.22,50.58,77372
2016-04-04,50.64,50.64,50.18,50.3,114628
2016-04-05,50.15,50.15,49.35,49.68,140698
2016-04-06,49.59,49.85,49.44,49.44,206656
2016-04-07,49.67,49.92,49.43,49.55,105298
2016-04-08,49.56,49.98,49.5,49.96,11861
2016-04-11,50.0,50.1,49.65,49.89,295278
2016-04-12,49.91,50.1,49.88,49.95,3071
2016-04-13,49.92,50.0,49.71,49.87,13991
2016-04-14,49.76,50.17,49.65,49.92,174096
2016-04-15,50.08,50.14,49.91,50.14,358175
2016-04-18,50.21,50.21,49.65,50.11,75923
2016-04-19,50.01,50.31,49.73,50.18,318758
2016-04-20,50.11,50.17,49.26,49.47,93727
2016-04-21,49.25,49.44,48.75,48.78,323653
2016-04-22,49.4,49.56,48.88,49.03,45035
2016-04-25,49.21,49.6,49.07,49.2,53486
2016-04-26,49.44,49.5,48.8,48.83,69023
2016-04-27,49.18,49.44,49.0,49.25,284395
2016-04-28,49.56,49.58,49.0,49.28,144415
2016-04-29,49.3,49.5,48.95,49.33,20806
2016-05-02,49.5,49.87,49.5,49.57,35381
2016-05-03,49.57,50.49,49.44,49.72,60801
2016-05-04,49.34,50.32,49.34,50.25,190044
2016-05-05,50.16,50.75,49.51,49.58,9453
2016-05-06,49.64,50.5,49.15,49.28,38721
2016-05-09,49.73,49.73,49.39,49.52,4984
2016-05-10,49.94,50.19,49.42,49.56,5127
2016-05-11,49.39,50.35,49.26,49.62,53709
2016-05-12,49.73,50.18,49.67,49.93,112941
2016-05-13,50.19,50.2,49.68,49.7,28663
2016-05-16,50.23,50.29,49.65,49.68,9508
2016-05-17,49.91,49.91,49.25,49.29,61274
2016-05-18,49.29,49.94,49.05,49.07,17093
2016-05-19,49.0,49.82,49.0,49.7,158408
2016-05-20,49.46,49.81,49.02,49.45,57237
2016-05-23,49.52,49.52,49.06,49.06,16574
2016-05-24,49.34,49.63,49.1,49.35,66995
2016-05-25,49.07,49.61,49.07,49.61,10385
2016-05-26,49.55,49.81,49.5,49.57,14688
2016-05-27,49.73,49.77,49.55,49.65,13767
2016-05-31,49.55,50.24,49.52,50.15,63095
2016-06-01,49.93,50.21,49.82,50.21,32399
2016-06-02,49.97,50.01,49.76,49.92,55880
2016-06-03,50.45,50.77,50.25,50.42,47779
2016-06-06,50.33,50.74,50.31,50.42,42119
2016-06-07,50.67,50.79,49.74,50.18,33783
2016-06-08,50.4,50.79,50.37,50.42,21505
2016-06-09,50.41,50.6,50.4,50.59,174687
2016-06-10,50.55,51.02,50.5,50.65,44780
2016-06-13,51.05,51.06,50.5,50.62,21767
2016-06-14,50.87,51.08,50.69,50.9,7587
2016-06-15,51.0,51.14,50.57,51.14,9083
2016-06-16,51.19,51.19,50.6,50.9,181857
2016-06-17,50.9,51.21,50.9,51.03,391364
2016-06-20,51.38,51.49,50.93,51.28,8372
2016-06-21,51.28,51.29,51.09,51.2,7348
2016-06-22,51.26,51.26,50.82,50.82,108737
2016-06-23,51.5,51.6,50.82,50.82,4089
2016-06-24,50.52,51.6,50.52,51.39,37886
2016-06-27,51.88,51.88,51.09,51.25,42781
2016-06-28,50.96,51.5,50.83,50.97,1577051
2016-06-29,51.12,51.41,50.91,51.04,101586
2016-06-30,51.47,51.84,51.15,51.84,8234
2016-07-01,51.77,52.23,51.5,51.81,6070
2016-07-05,51.94,52.0,51.5,51.77,26595
2016-07-06,52.47,52.47,51.77,51.98,2202
2016-07-07,52.08,52.17,51.25,51.74,98857
2016-07-08,51.69,52.15,51.58,52.1,6647
2016-07-11,52.13,52.3,51.55,51.79,6822
2016-07-12,51.87,51.88,51.56,51.84,11405
2016-07-13,52.07,52.37,51.7,52.3,284356
2016-07-14,52.14,52.14,51.74,52.06,137497
2016-07-15,52.48,52.48,51.73,52.25,63776
2016-07-18,52.32,52.46,51.71,52.3,17357
2016-07-19,52.25,53.0,51.56,51.95,77023
2016-07-20,52.41,52.41,51.84,52.1,11030
2016-07-21,51.9,52.75,51.9,52.46,6040
2016-07-22,52.64,52.64,52.1,52.58,14401
2016-07-25,52.56,52.56,52.14,52.19,10302
2016-07-26,52.0,52.25,51.9,52.06,206078
2016-07-27,51.95,52.15,51.66,51.93,42670
2016-07-28,52.0,52.87,52.0,52.2,1247
2016-07-29,52.18,52.9,51.85,52.14,22322
2016-08-01,52.1,52.65,52.1,52.16,3085
2016-08-02,52.0,52.0,51.84,51.9,56501
2016-08-03,51.99,51.99,51.1,51.5,419947
2016-08-04,51.57,51.95,51.44,51.95,75960
2016-08-05,51.75,51.95,51.03,51.34,9177
2016-08-08,51.25,51.36,50.73,51.19,121545
2016-08-09,51.27,51.27,50.4,50.75,1139159
2016-08-10,51.08,51.17,50.59,50.65,661826
2016-08-11,50.57,51.44,50.57,51.09,409247
2016-08-12,51.05,51.26,50.43,51.2,269920
2016-08-15,51.0,51.35,50.6,50.62,20226
2016-08-16,50.64,51.31,50.4,50.59,262640
2016-08-17,50.34,51.35,50.06,51.35,126169
2016-08-18,51.37,51.43,51.05,51.05,2446
2016-08-19,51.0,51.27,50.67,50.7,8259
2016-08-22,50.85,51.48,50.84,51.03,2691
2016-08-23,51.4,51.43,50.79,51.15,36195
2016-08-24,50.75,51.43,50.75,51.43,6146
2016-08-25,51.41,51.52,51.1,51.2,32745
2016-08-26,51.28,51.4,50.78,50.89,6576
2016-08-29,50.71,51.58,50.55,51.06,13878
2016-08-30,51.2,51.52,50.62,50.63,3856
2016-08-31,50.99,50.99,50.4,50.46,20267
2016-09-01,50.66,51.29,50.46,50.73,31536
2016-09-02,51.09,51.47,50.66,50.8,9460
2016-09-06,51.0,51.57,50.95,51.57,10118
2016-09-07,51.26,51.47,50.96,51.28,28220
2016-09-08,51.21,51.32,50.76,51.2,6602
2016-09-09,51.0,51.46,50.1,50.42,26459
2016-09-12,50.4,50.79,50.3,50.75,161974
2016-09-13,50.53,50.75,50.31,50.32,8142
2016-09-14,50.96,51.33,50.25,50.75,303583
2016-09-15,50.58,50.97,50.58,50.63,49996
2016-09-16,51.09,51.14,50.58,50.93,12720
2016-09-19,50.92,51.35,50.82,51.35,12545
2016-09-20,51.21,51.66,51.0,51.05,8898
2016-09-21,50.59,51.6,50.51,51.6,65203
2016-09-22,51.65,51.65,51.45,51.65,7317
2016-09-23,51.43,51.79,51.35,51.69,12023
2016-09-26,51.6,51.68,51.45,51.58,6894
2016-09-27,51.39,51.58,51.1,51.1,95437
2016-09-28,50.68,50.68,50.26,50.56,46154
2016-09-29,50.92,50.92,50.01,50.01,69076
2016-09-30,50.19,50.38,49.76,49.76,82238
2016-10-03,49.77,49.91,49.63,49.84,59456
2016-10-04,49.99,49.99,49.1,49.5,44666
2016-10-05,49.5,49.61,49.11,49.42,13018
2016-10-06,49.46,49.6,49.15,49.15,17562
2016-10-07,49.42,49.84,49.03,49.2,62991
2016-10-10,49.43,49.71,49.15,49.71,9715
2016-10-11,49.6,49.6,49.26,49.36,18313
2016-10-12,49.55,49.75,49.25,49.74,205406
2016-10-13,49.5,50.19,49.38,49.7,17769
2016-10-14,49.8,50.06,49.65,49.81,5053
2016-10-17,49.7,49.82,49.51,49.62,16618
2016-10-18,49.88,49.99,49.5,49.96,35809
2016-10-19,49.95,50.03,49.85,49.9,39365
2016-10-20,49.87,50.02,49.82,49.98,46637
2016-10-21,49.88,49.97,49.65,49.83,17967
2016-10-24,49.79,50.04,49.6,49.86,34628
2016-10-25,49.76,50.28,49.76,50.12,122802
2016-10-26,49.86,50.4,49.86,50.4,40165
2016-10-27,50.23,50.26,49.85,50.06,64596
2016-10-28,50.05,50.23,49.86,50.02,166533
2016-10-31,50.28,50.79,50.23,50.23,399922
2016-11-01,50.25,50.48,50.16,50.16,7109
2016-11-02,49.98,50.17,49.69,49.99,39349
2016-11-03,49.88,50.35,49.88,50.06,212596
2016-11-04,50.05,50.28,49.6,49.71,30200
2016-11-07,49.98,50.27,49.68,50.25,111721
2016-11-08,50.09,50.75,50.09,50.45,16700
2016-11-09,50.31,51.5,49.79,50.02,220039
2016-11-10,49.75,49.75,49.09,49.34,218085
2016-11-11,49.16,49.47,49.03,49.12,8016
2016-11-14,48.99,49.1,48.77,48.93,15000
2016-11-15,48.75,49.6,48.75,49.4,175142
2016-11-16,49.21,49.47,48.74,48.74,13388
2016-11-17,48.88,49.51,48.88,49.41,17867
2016-11-18,49.21,49.37,49.03,49.2,61065
2016-11-21,49.17,49.8,49.17,49.8,3735
2016-11-22,49.8,49.83,49.47,49.8,71378
2016-11-23,49.55,50.0,49.55,49.71,34140
2016-11-25,49.98,50.4,49.98,50.2,8544
