Date,Open,High,Low,Close,Volume
2016-01-04,17.1,17.17,16.66,16.81,96006
2016-01-05,16.89,17.7,16.85,17.51,89520
2016-01-06,17.35,17.74,17.35,17.56,45660
2016-01-07,17.41,17.69,17.37,17.58,63404
2016-01-08,17.6,17.65,17.25,17.27,74285
2016-01-11,17.35,17.58,17.19,17.31,75910
2016-01-12,17.41,17.41,17.01,17.07,98750
2016-01-13,17.14,17.75,17.14,17.37,134598
2016-01-14,17.5,17.76,17.21,17.21,64093
2016-01-15,17.11,17.23,17.0,17.15,74513
2016-01-19,17.33,17.54,17.04,17.25,168265
2016-01-20,17.12,17.12,16.5,16.59,137864
2016-01-21,16.7,16.99,16.41,16.53,47785
2016-01-22,16.69,16.99,16.69,16.93,42935
2016-01-25,16.93,16.95,16.71,16.81,39398
2016-01-26,16.95,17.43,16.92,17.13,37997
2016-01-27,17.25,17.25,16.81,17.02,38148
2016-01-28,17.14,17.53,17.09,17.14,48154
2016-01-29,17.26,17.82,17.26,17.82,78097
2016-02-01,17.76,18.25,17.72,17.92,55494
2016-02-02,17.99,18.3,17.52,17.92,98333
2016-02-03,18.01,18.01,17.33,17.45,58705
2016-02-04,17.43,17.56,17.13,17.29,55421
2016-02-05,17.22,17.45,16.94,17.07,163789
2016-02-08,17.06,17.06,16.83,16.96,106847
2016-02-09,16.94,16.99,16.42,16.61,98938
2016-02-10,16.62,17.08,16.62,17.0,88333
2016-02-11,16.8,17.03,16.53,16.76,84551
2016-02-12,16.79,17.21,16.73,17.16,41608
2016-02-16,17.3,17.41,17.0,17.19,44883
2016-02-17,17.25,17.41,17.11,17.22,52468
2016-02-18,17.19,17.39,16.96,17.12,36866
2016-02-19,17.09,17.1,16.95,16.96,162711
2016-02-22,17.07,17.29,17.0,17.11,48856
2016-02-23,17.04,17.26,16.6,16.91,70524
2016-02-24,16.8,17.06,16.76,17.0,44782
2016-02-25,17.0,17.06,16.76,16.99,80261
2016-02-26,17.03,17.28,17.03,17.2,19785
2016-02-29,17.13,17.45,17.03,17.1,60875
2016-03-01,17.13,17.55,17.13,17.5,50793
2016-03-02,17.5,17.99,17.43,17.49,96916
2016-03-03,18.0,18.0,17.46,17.69,78297
2016-03-04,17.34,17.44,16.91,17.39,112791
2016-03-07,17.39,17.64,17.22,17.46,51926
2016-03-08,17.25,17.58,17.22,17.52,92810
2016-03-09,17.52,17.78,17.26,17.63,50012
2016-03-10,17.65,17.73,17.14,17.21,55197
2016-03-11,17.51,18.06,17.33,18.05,65430
2016-03-14,17.94,17.94,17.71,17.75,34653
2016-03-15,17.65,17.88,17.62,17.72,30868
2016-03-16,17.64,17.89,17.54,17.87,34658
2016-03-17,17.85,18.18,17.85,18.0,83539
2016-03-18,18.12,18.25,17.84,17.95,68108
2016-03-21,17.91,18.04,17.76,17.8,106557
2016-03-22,17.7,18.33,17.7,18.26,43167
2016-03-23,18.21,18.28,17.91,18.0,29552
2016-03-24,17.95,18.03,17.89,17.99,21237
2016-03-28,18.0,18.05,17.83,17.92,29378
2016-03-29,17.84,18.32,17.84,18.31,65805
2016-03-30,18.3,19.07,18.3,19.0,80280
2016-03-31,18.96,18.97,18.49,18.52,216162
2016-04-01,18.25,18.35,17.92,18.01,51995
2016-04-04,17.98,18.15,17.89,17.99,62940
2016-04-05,17.87,18.19,17.82,18.12,137353
2016-04-06,18.08,18.37,17.95,18.33,26143
2016-04-07,18.22,18.42,18.06,18.27,30667
2016-04-08,18.25,18.67,18.2,18.64,48727
2016-04-11,18.66,18.8,18.35,18.51,40098
2016-04-12,18.32,18.83,18.32,18.73,30805
2016-04-13,18.7,18.79,18.32,18.58,41632
2016-04-14,18.6,18.64,18.37,18.53,27834
2016-04-15,18.46,18.73,18.46,18.69,20247
2016-04-18,18.59,18.72,18.48,18.68,31269
2016-04-19,18.67,18.69,18.5,18.62,16206
2016-04-20,18.53,18.66,18.37,18.61,33713
2016-04-21,18.65,18.65,18.16,18.48,199162
2016-04-22,18.55,18.55,18.23,18.44,49456
2016-04-25,18.38,18.46,18.16,18.3,15979
2016-04-26,18.29,18.54,18.29,18.5,41638
2016-04-27,18.33,18.54,18.31,18.49,38172
2016-04-28,18.51,18.51,18.33,18.37,25697
2016-04-29,18.39,18.5,18.06,18.45,47833
2016-05-02,18.5,18.62,18.4,18.5,105036
2016-05-03,18.5,18.55,18.17,18.47,26046
2016-05-04,18.47,18.99,18.31,18.87,91831
2016-05-05,18.91,18.98,18.61,18.65,25606
2016-05-06,18.6,18.85,18.4,18.83,17545
2016-05-09,18.35,18.98,18.35,18.64,19445
2016-05-10,18.79,18.82,18.57,18.69,52501
2016-05-11,18.63,18.63,18.1,18.2,31037
2016-05-12,18.31,18.9,18.15,18.77,110322
2016-05-13,18.98,18.98,18.38,18.64,24107
2016-05-16,18.7,18.78,18.51,18.6,68267
2016-05-17,18.48,18.71,17.9,18.04,67130
2016-05-18,18.01,18.29,17.62,17.88,36286
2016-05-19,17.77,17.9,17.58,17.8,37959
2016-05-20,17.89,18.19,17.68,18.1,66667
2016-05-23,18.21,18.67,18.14,18.57,66230
2016-05-24,18.63,18.93,18.4,18.44,91160
2016-05-25,18.36,18.69,18.18,18.57,75042
2016-05-26,18.6,18.99,18.55,18.67,35139
2016-05-27,18.41,18.89,18.41,18.83,32957
2016-05-31,18.9,18.9,18.56,18.72,103787
2016-06-01,18.72,18.99,18.67,18.98,59116
2016-06-02,18.33,18.64,18.2,18.64,4119338
2016-06-03,18.61,19.45,18.61,19.15,680836
2016-06-06,18.86,19.97,18.86,19.17,1540068
2016-06-07,19.09,19.23,18.64,18.65,280114
2016-06-08,18.74,18.99,18.63,18.91,132836
2016-06-09,18.83,19.1,18.74,18.95,214275
2016-06-10,18.98,19.3,18.76,18.9,544164
2016-06-13,18.97,19.2,18.85,18.86,150718
2016-06-14,18.79,19.03,18.76,19.01,184143
2016-06-15,19.08,19.11,18.64,18.83,137684
2016-06-16,18.83,19.01,18.78,18.98,87349
2016-06-17,18.98,19.21,18.65,18.85,243631
2016-06-20,18.98,18.98,18.61,18.67,139329
2016-06-21,18.66,18.9,18.57,18.85,189073
2016-06-22,18.84,18.86,18.56,18.68,79484
2016-06-23,18.74,18.82,18.67,18.7,116021
2016-06-24,18.64,19.64,18.23,19.29,1644598
2016-06-27,19.22,19.26,18.75,18.9,223659
2016-06-28,19.21,19.57,19.14,19.57,306820
2016-06-29,19.61,19.77,19.31,19.49,123343
2016-06-30,19.3,19.76,19.21,19.73,189337
2016-07-01,19.81,19.97,19.59,19.66,125278
2016-07-05,19.77,19.78,19.53,19.65,108288
2016-07-06,19.66,19.71,19.51,19.64,70558
2016-07-07,19.75,19.75,19.21,19.67,129855
2016-07-08,19.84,20.37,19.74,20.18,372154
2016-07-11,20.26,20.32,20.0,20.11,276021
2016-07-12,20.16,20.3,19.79,19.88,147011
2016-07-13,19.99,20.04,19.82,19.99,92716
2016-07-14,19.97,19.97,19.61,19.71,99693
2016-07-15,19.78,19.95,19.63,19.92,84495
2016-07-18,19.99,19.99,19.86,19.91,78090
2016-07-19,19.94,20.01,19.7,19.89,136162
2016-07-20,19.99,20.08,19.72,20.05,69316
2016-07-21,19.95,20.23,19.64,19.82,123617
2016-07-22,19.89,20.2,19.87,20.08,198350
2016-07-25,20.1,20.38,19.97,20.38,193890
2016-07-26,20.15,20.25,20.0,20.14,177337
2016-07-27,20.14,20.16,19.85,19.99,162686
2016-07-28,20.02,20.37,20.0,20.34,134718
2016-07-29,20.24,20.82,20.07,20.49,1218917
2016-08-01,20.43,20.65,20.28,20.6,165826
2016-08-02,20.64,20.64,20.07,20.1,122234
2016-08-03,20.07,20.12,19.77,19.97,205485
2016-08-04,20.03,20.04,19.72,19.87,163553
2016-08-05,19.94,19.99,19.78,19.95,194554
2016-08-08,19.75,19.75,19.15,19.6,432330
2016-08-09,19.6,19.76,19.45,19.66,282696
2016-08-10,19.73,19.98,19.66,19.95,262536
2016-08-11,19.91,20.14,19.64,19.65,152194
