Date,Open,High,Low,Close,Volume
2016-01-04,16.88,17.11,16.48,17.0,2434876
2016-01-05,17.01,17.17,16.83,17.11,1320608
2016-01-06,16.94,17.58,16.93,17.5,2018363
2016-01-07,17.25,17.74,17.11,17.59,3878179
2016-01-08,17.65,18.08,17.51,17.71,2618872
2016-01-11,17.77,17.82,17.11,17.44,2118903
2016-01-12,17.92,18.34,17.66,17.85,3058970
2016-01-13,17.86,17.99,17.68,17.8,2501672
2016-01-14,17.84,18.4,17.69,18.27,2282580
2016-01-15,17.85,18.18,17.62,18.07,4098130
2016-01-19,18.23,18.36,17.94,18.28,2679826
2016-01-20,18.05,18.44,17.6,18.33,3340012
2016-01-21,18.33,18.7,17.97,18.58,3376994
2016-01-22,18.76,19.16,18.53,18.9,4076286
2016-01-25,18.82,18.95,18.42,18.49,2679076
2016-01-26,18.64,19.26,18.58,19.09,2082739
2016-01-27,19.11,19.86,19.07,19.63,3895435
2016-01-28,19.86,20.0,19.47,19.52,3472074
2016-01-29,19.66,19.99,19.59,19.98,2871504
2016-02-01,19.88,20.01,19.69,19.84,2579553
2016-02-02,19.5,19.68,18.99,19.58,3913618
2016-02-03,19.68,19.8,19.16,19.27,2863355
2016-02-04,19.27,19.35,18.8,19.0,2818568
2016-02-05,19.0,19.59,19.0,19.3,3626359
2016-02-08,19.13,19.21,18.67,18.97,3198960
2016-02-09,18.72,19.16,18.1,19.02,4571458
2016-02-10,19.7,20.67,19.7,20.0,6339413
2016-02-11,19.78,20.18,19.69,20.02,2170985
2016-02-12,20.12,20.71,20.03,20.67,3570116
2016-02-16,21.0,21.17,20.41,20.96,2921572
2016-02-17,21.06,21.13,20.46,20.72,2851334
2016-02-18,20.79,21.0,20.01,20.73,3666425
2016-02-19,20.67,20.75,20.29,20.47,4024021
2016-02-22,20.6,20.91,18.57,18.88,11036837
2016-02-23,18.79,19.98,18.66,19.25,5740283
2016-02-24,19.16,19.26,18.74,19.1,4805513
2016-02-25,19.2,19.46,18.99,19.35,3590860
2016-02-26,19.4,19.72,19.22,19.29,2342609
2016-02-29,19.29,19.54,19.11,19.29,1444041
2016-03-01,19.45,19.62,19.12,19.22,1974230
2016-03-02,19.21,19.35,19.12,19.3,2518087
2016-03-03,19.33,19.34,19.06,19.17,2224159
2016-03-04,19.28,19.58,19.06,19.32,2735472
2016-03-07,19.28,19.57,19.22,19.4,2319200
2016-03-08,19.36,19.6,19.34,19.37,2398206
2016-03-09,19.41,19.56,19.2,19.51,2208191
2016-03-10,19.46,19.57,19.22,19.39,1999531
2016-03-11,19.51,19.75,19.33,19.44,2069854
2016-03-14,19.44,19.62,19.34,19.61,2106609
2016-03-15,19.56,19.62,19.33,19.56,2563491
2016-03-16,19.55,19.92,19.42,19.89,2421115
2016-03-17,19.87,19.94,19.7,19.73,2254936
