Date,Open,High,Low,Close,Volume
2016-01-04,13.67,13.94,13.5,13.51,106701
2016-01-05,13.6,14.02,13.5,13.81,46542
2016-01-06,13.81,14.11,13.26,13.28,83182
2016-01-07,12.92,13.33,12.45,12.9,71954
2016-01-08,12.96,13.08,12.53,12.65,81782
2016-01-11,12.36,12.64,12.15,12.15,93459
2016-01-12,12.24,12.58,12.11,12.47,79827
2016-01-13,12.4,13.19,12.4,12.56,86331
2016-01-14,12.56,12.92,11.81,12.82,105887
2016-01-15,12.37,12.55,11.31,11.5,140027
2016-01-19,11.74,12.18,11.71,11.89,55821
2016-01-20,11.59,11.75,11.2,11.5,90582
2016-01-21,11.4,11.68,11.4,11.52,33417
2016-01-22,11.65,11.99,11.4,11.42,73669
2016-01-25,11.17,11.65,11.17,11.25,69491
2016-01-26,11.46,11.67,11.45,11.56,64718
2016-01-27,11.66,11.9,11.47,11.47,28385
2016-01-28,11.74,11.92,11.54,11.67,34816
2016-01-29,11.77,11.93,11.3,11.44,68835
2016-02-01,11.39,12.0,11.27,11.98,39059
2016-02-02,11.85,12.0,11.57,11.95,89108
2016-02-03,11.95,12.23,11.67,11.9,103287
2016-02-04,11.9,12.0,11.52,11.53,32070
2016-02-05,11.53,11.53,11.13,11.19,25726
2016-02-08,10.9,11.17,10.77,10.86,27308
2016-02-09,11.04,11.04,10.48,10.5,16432
2016-02-10,10.69,10.83,10.53,10.54,15854
2016-02-11,10.19,11.01,10.12,10.79,44897
2016-02-12,10.69,11.15,10.69,11.02,54612
2016-02-16,11.32,11.41,10.86,10.93,62733
2016-02-17,11.06,11.74,11.06,11.53,71408
2016-02-18,11.43,12.1,11.43,12.0,201675
2016-02-19,12.12,12.33,11.81,11.85,74372
2016-02-22,11.86,12.59,11.86,12.06,44284
2016-02-23,11.98,12.67,11.91,12.0,29751
2016-02-24,12.0,12.47,11.9,11.9,40582
2016-02-25,12.91,13.16,12.25,12.4,55777
2016-02-26,12.47,12.76,12.47,12.55,44005
2016-02-29,12.6,12.7,12.54,12.6,44305
2016-03-01,12.7,12.72,12.4,12.62,47303
2016-03-02,12.54,13.12,12.54,12.92,53107
2016-03-03,12.92,13.67,12.92,13.55,84606
2016-03-04,13.61,14.23,13.45,13.91,67582
2016-03-07,14.0,14.13,13.3,13.82,109987
2016-03-08,13.53,14.1,13.53,13.81,75310
2016-03-09,13.97,14.16,13.91,14.1,72377
2016-03-10,13.99,14.1,13.87,13.96,47451
2016-03-11,14.08,14.1,13.87,14.06,58461
2016-03-14,14.07,14.49,13.95,14.22,65371
2016-03-15,14.2,14.54,14.08,14.37,49825
2016-03-16,14.38,14.8,14.29,14.65,70937
2016-03-17,14.43,14.78,14.16,14.2,72295
2016-03-18,14.33,14.9,14.33,14.44,110475
2016-03-21,14.49,14.85,14.4,14.57,63301
2016-03-22,14.84,14.84,14.5,14.63,79838
2016-03-23,14.64,14.85,14.57,14.58,71998
2016-03-24,14.58,14.67,14.16,14.46,78164
2016-03-28,14.16,14.5,14.1,14.1,38908
2016-03-29,14.19,14.76,14.05,14.65,97810
2016-03-30,14.57,15.06,14.57,14.96,100869
2016-03-31,14.94,15.07,14.72,14.72,56569
2016-04-01,14.74,15.01,14.67,14.7,59205
2016-04-04,14.61,14.93,14.6,14.64,49189
2016-04-05,14.61,14.84,14.35,14.74,80566
2016-04-06,14.49,14.92,14.24,14.66,133515
2016-04-07,14.48,14.9,14.48,14.7,56986
2016-04-08,14.72,15.15,14.72,14.98,140351
2016-04-11,14.99,15.42,14.98,15.2,58405
2016-04-12,15.0,15.3,14.92,14.96,52941
2016-04-13,14.96,15.28,14.92,14.98,79281
2016-04-14,15.03,15.46,14.93,14.93,172725
2016-04-15,14.81,14.92,14.1,14.19,127820
2016-04-18,14.15,14.4,14.07,14.18,90238
2016-04-19,14.36,14.68,14.16,14.58,106038
2016-04-20,14.42,14.63,14.11,14.15,78741
2016-04-21,14.13,14.31,13.68,13.75,74652
2016-04-22,13.83,13.94,13.3,13.39,91412
2016-04-25,13.46,13.46,12.95,13.35,121171
2016-04-26,13.49,14.06,13.49,13.83,87401
2016-04-27,13.72,13.95,13.61,13.7,48059
2016-04-28,13.75,13.88,13.45,13.72,24912
2016-04-29,13.36,13.81,13.36,13.51,67805
