Date,Open,High,Low,Close,Volume
2016-01-04,30.62,31.24,29.88,30.92,136548
2016-01-05,30.86,31.08,30.33,30.9,82502
2016-01-06,30.31,30.54,29.52,29.75,85543
2016-01-07,28.63,29.98,28.28,28.45,239600
2016-01-08,28.76,28.82,27.97,28.36,155944
2016-01-11,28.13,28.24,26.41,26.54,244655
2016-01-12,26.98,28.08,25.99,26.42,234149
2016-01-13,26.73,27.14,25.39,25.43,122666
2016-01-14,25.5,26.75,25.25,26.56,213383
2016-01-15,25.6,27.3,25.55,26.71,130850
2016-01-19,26.92,26.97,25.17,25.27,182902
2016-01-20,24.93,25.84,23.12,25.06,221668
2016-01-21,24.8,26.78,24.8,26.27,241051
2016-01-22,27.25,28.71,27.25,28.35,166008
2016-01-25,27.76,28.17,26.26,26.92,204786
2016-01-26,27.31,27.6,26.29,27.08,164615
2016-01-27,27.09,27.42,26.14,27.15,106306
2016-01-28,28.16,28.57,27.55,27.56,77484
2016-01-29,27.77,29.34,27.52,27.9,195674
2016-02-01,27.51,27.92,25.12,26.25,732059
2016-02-02,26.39,26.72,25.08,25.81,231488
2016-02-03,26.14,26.3,25.28,26.21,197642
2016-02-04,26.49,28.64,26.35,28.0,135250
2016-02-05,28.0,28.69,27.92,28.25,145571
2016-02-08,27.58,27.58,25.22,25.99,305816
2016-02-09,25.63,26.48,25.4,25.84,76873
2016-02-10,25.77,26.5,25.56,25.86,114511
2016-02-11,25.5,25.91,25.12,25.5,125408
2016-02-12,26.07,26.37,25.65,26.05,207210
2016-02-16,27.4,27.83,26.28,27.65,92072
2016-02-17,28.15,29.93,28.0,29.46,133081
2016-02-18,29.75,30.15,28.05,29.81,97030
2016-02-19,29.31,29.33,28.06,28.35,89846
2016-02-22,29.08,30.85,28.98,30.68,181445
2016-02-23,30.72,30.94,28.75,29.27,79406
2016-02-24,28.45,30.22,28.04,30.08,70762
2016-02-25,30.52,30.95,29.54,30.42,129208
2016-02-26,30.14,30.9,29.34,29.47,83455
2016-02-29,29.78,30.71,29.52,30.38,134108
2016-03-01,30.71,31.49,30.13,31.06,70775
2016-03-02,30.82,32.06,30.64,32.06,112664
2016-03-03,32.01,33.6,31.75,33.54,203144
2016-03-04,33.79,34.28,32.46,33.74,199783
2016-03-07,33.75,33.99,33.09,33.68,114006
2016-03-08,33.75,33.96,31.97,32.29,139900
2016-03-09,32.46,32.69,31.17,31.27,101254
2016-03-10,31.5,33.48,31.1,33.46,114616
2016-03-11,33.94,34.19,32.95,33.81,149896
2016-03-14,33.37,34.0,32.43,33.07,93110
2016-03-15,32.8,33.15,31.67,32.4,92177
2016-03-16,32.75,34.76,32.36,34.51,92186
2016-03-17,34.58,35.88,34.13,35.25,193100
2016-03-18,35.37,35.46,34.41,34.44,135814
2016-03-21,34.39,34.94,32.65,32.84,82130
2016-03-22,32.98,34.44,32.98,33.94,37114
2016-03-23,33.81,34.44,32.81,32.82,51085
2016-03-24,32.51,33.0,31.99,32.49,44320
2016-03-28,32.71,32.77,31.71,32.47,46079
2016-03-29,32.15,33.0,31.81,32.42,50046
2016-03-30,32.69,33.86,31.81,33.8,137966
2016-03-31,33.86,34.12,32.9,33.75,106720
2016-04-01,33.0,33.49,32.1,32.44,65294
2016-04-04,32.09,33.16,31.52,32.36,142568
2016-04-05,32.36,32.45,31.5,32.23,80686
2016-04-06,32.61,32.61,32.01,32.47,36728
2016-04-07,32.11,33.31,31.75,33.02,25289
2016-04-08,33.05,33.75,32.33,33.25,60407
2016-04-11,33.45,33.45,32.02,32.17,193358
2016-04-12,32.48,32.96,31.89,32.34,93297
2016-04-13,32.47,32.47,30.86,31.15,126251
2016-04-14,31.22,31.22,30.08,31.02,114460
2016-04-15,30.89,30.89,30.0,30.05,75574
2016-04-18,29.97,31.65,29.65,31.31,53161
2016-04-19,31.39,32.5,31.39,32.38,96288
2016-04-20,32.27,32.4,30.91,31.48,160841
2016-04-21,31.52,32.19,30.07,30.34,162754
2016-04-22,30.6,31.85,30.5,31.75,80629
2016-04-25,31.53,32.24,31.07,32.11,58591
2016-04-26,32.51,33.36,32.05,32.5,79467
2016-04-27,32.94,33.9,32.5,33.04,77811
2016-04-28,32.95,34.47,31.96,33.34,105492
2016-04-29,33.7,34.23,32.87,33.54,65248
2016-05-02,33.5,34.06,32.94,33.39,66898
2016-05-03,32.98,32.98,31.04,31.6,135974
2016-05-04,31.73,32.3,30.9,31.28,61253
2016-05-05,31.74,32.34,30.52,30.94,58567
2016-05-06,30.46,30.63,29.7,30.14,177104
2016-05-09,30.21,30.34,28.47,29.31,138211
2016-05-10,29.65,30.08,29.24,29.48,71146
2016-05-11,29.58,29.71,28.65,29.57,82229
2016-05-12,29.83,29.83,28.45,28.92,58663
2016-05-13,28.59,29.29,28.57,28.92,55228
2016-05-16,29.28,29.46,27.78,28.3,87945
2016-05-17,28.32,28.57,28.06,28.14,56161
2016-05-18,28.04,28.65,27.5,27.5,119585
2016-05-19,27.5,28.67,27.5,28.61,54055
2016-05-20,28.75,29.42,28.38,28.86,54833
2016-05-23,28.82,29.11,28.03,28.54,71086
2016-05-24,28.59,28.98,28.09,28.1,48973
2016-05-25,28.2,28.84,27.77,28.54,110035
2016-05-26,28.71,29.0,27.52,28.29,223306
2016-05-27,28.06,28.9,27.56,28.77,224185
2016-05-31,28.91,29.87,28.16,28.92,311891
2016-06-01,28.69,30.0,28.69,29.5,103171
2016-06-02,29.18,30.21,28.97,29.78,119846
2016-06-03,29.6,30.44,29.4,29.66,203469
2016-06-06,29.91,30.01,28.76,29.2,236995
2016-06-07,29.29,29.82,28.98,29.0,161923
2016-06-08,29.5,29.65,28.77,28.9,314801
2016-06-09,28.74,28.74,28.0,28.35,84639
2016-06-10,28.31,29.8,28.31,28.75,253710
2016-06-13,28.54,29.13,27.99,28.0,117471
2016-06-14,28.11,28.33,27.07,27.4,204125
2016-06-15,27.27,27.63,26.6,26.81,384969
2016-06-16,26.57,27.65,26.57,27.43,234617
2016-06-17,27.6,28.23,25.24,27.1,1211116
2016-06-20,27.46,29.14,27.06,28.79,379741
2016-06-21,28.87,29.22,28.3,28.46,182459
2016-06-22,28.5,28.98,27.68,28.0,142867
2016-06-23,28.25,28.36,27.6,27.85,352181
2016-06-24,27.44,27.57,26.3,27.01,159264
2016-06-27,27.04,28.09,25.67,26.4,250198
2016-06-28,26.66,27.12,26.32,26.62,123349
2016-06-29,27.02,27.33,26.74,27.14,102438
2016-06-30,27.14,28.5,26.86,28.13,224188
2016-07-01,28.25,28.92,28.13,28.36,183978
2016-07-05,28.16,28.6,27.51,27.95,98896
2016-07-06,27.73,28.19,27.25,28.05,58778
2016-07-07,28.26,28.7,26.91,27.11,93423
2016-07-08,27.59,27.63,27.06,27.11,85450
2016-07-11,27.34,27.72,27.11,27.69,173647
2016-07-12,27.66,27.86,26.58,27.55,124046
2016-07-13,27.45,27.65,26.1,26.5,265056
2016-07-14,26.83,27.95,26.55,26.64,344956
2016-07-15,26.71,27.37,26.64,27.19,78487
2016-07-18,27.07,27.72,27.07,27.7,55721
2016-07-19,27.58,27.65,27.17,27.44,35266
2016-07-20,27.23,27.75,26.88,27.64,99790
2016-07-21,27.42,27.71,26.62,27.1,95873
2016-07-22,26.85,27.15,26.51,27.0,118951
2016-07-25,26.67,26.83,26.2,26.38,184462
2016-07-26,26.36,26.86,26.28,26.39,192968
2016-07-27,26.42,26.52,25.9,26.27,100956
2016-07-28,26.27,26.74,26.15,26.57,174786
2016-07-29,26.48,26.48,26.16,26.33,60721
2016-08-01,26.39,26.75,26.07,26.2,150827
2016-08-02,26.25,26.71,25.86,26.42,149194
2016-08-03,25.9,27.43,25.26,27.4,119390
2016-08-04,27.4,27.4,26.64,26.73,114834
2016-08-05,26.83,26.99,25.25,25.39,162970
2016-08-08,25.63,26.69,25.39,25.42,122286
2016-08-09,25.41,25.79,24.31,25.33,260711
2016-08-10,25.58,25.58,24.5,24.72,126335
2016-08-11,24.81,25.75,24.55,25.74,51760
2016-08-12,25.92,26.09,25.48,25.54,25024
2016-08-15,25.58,26.19,25.47,26.01,77059
2016-08-16,26.02,26.27,25.59,26.05,120752
2016-08-17,25.95,26.12,25.81,25.86,65791
2016-08-18,25.33,26.18,25.26,25.98,214876
2016-08-19,26.09,26.09,25.17,25.49,111975
2016-08-22,25.29,25.8,25.01,25.37,148520
2016-08-23,25.24,25.46,24.9,24.94,244562
2016-08-24,24.97,25.11,24.2,24.41,73259
2016-08-25,24.49,25.15,24.3,24.86,94136
2016-08-26,25.01,25.52,25.0,25.5,196283
2016-08-29,25.42,25.76,25.3,25.64,75965
2016-08-30,25.61,25.95,25.5,25.7,80888
2016-08-31,25.66,25.66,25.27,25.46,70896
2016-09-01,25.21,25.47,24.84,25.08,88230
2016-09-02,25.2,25.27,24.91,25.08,74388
2016-09-06,25.25,25.55,25.25,25.43,101808
2016-09-07,25.56,25.97,25.4,25.61,109857
2016-09-08,25.81,26.24,25.73,25.94,154194
2016-09-09,25.93,26.04,25.32,25.32,52824
2016-09-12,25.1,26.02,25.1,25.58,100392
2016-09-13,25.29,25.78,24.77,24.77,169539
2016-09-14,25.6,25.76,24.56,24.64,180127
2016-09-15,24.64,25.5,24.5,24.53,171936
2016-09-16,24.55,25.17,24.48,24.52,343701
