Date,Open,High,Low,Close,Volume
2016-01-04,2.01,2.21,1.92,2.04,15753328
2016-01-05,2.0,2.05,1.88,2.01,11256434
2016-01-06,1.9,1.92,1.68,1.71,13010860
2016-01-07,1.64,1.73,1.6,1.61,10402631
2016-01-08,1.73,1.73,1.51,1.63,10258602
2016-01-11,1.66,1.66,1.49,1.49,9823627
2016-01-12,1.54,1.59,1.31,1.41,10489420
2016-01-13,1.42,1.54,1.34,1.34,10496739
2016-01-14,1.33,1.53,1.27,1.42,18942341
2016-01-15,1.3,1.37,1.16,1.22,14419749
2016-01-19,1.28,1.29,1.07,1.1,10274007
2016-01-20,1.03,1.1,0.86,1.08,12180248
2016-01-21,1.04,1.35,1.03,1.26,14426278
2016-01-22,1.39,1.52,1.33,1.34,17846380
2016-01-25,1.29,1.32,1.0,1.01,9761473
2016-01-26,1.09,1.12,0.98,1.05,15491702
2016-01-27,1.06,1.19,1.02,1.09,15141196
2016-01-28,1.29,1.35,1.14,1.32,11863570
2016-01-29,1.33,1.58,1.32,1.56,15213454
2016-02-01,1.42,1.46,1.21,1.26,12879063
2016-02-02,1.2,1.27,1.11,1.19,11109999
2016-02-03,1.24,1.48,1.11,1.48,15472046
2016-02-04,1.47,1.65,1.46,1.51,15621990
2016-02-05,1.41,1.67,1.35,1.56,12251087
2016-02-08,1.51,1.51,1.22,1.26,11127755
2016-02-09,1.24,1.31,1.11,1.17,9274065
2016-02-10,1.22,1.26,1.11,1.12,6873286
2016-02-11,1.1,1.12,1.0,1.03,13285387
2016-02-12,1.1,1.33,1.01,1.12,17974048
2016-02-16,1.19,1.23,1.02,1.03,11090958
2016-02-17,1.11,1.15,1.02,1.1,15627358
2016-02-18,1.08,1.14,1.02,1.05,9259108
2016-02-19,1.03,1.03,0.89,1.01,18425903
2016-02-22,1.06,1.11,1.02,1.08,10085121
2016-02-23,1.07,1.11,0.98,0.99,10872202
2016-02-24,0.93,1.01,0.9,0.95,9612923
2016-02-25,0.94,1.12,0.94,1.07,8866357
2016-02-26,1.11,1.24,1.1,1.19,16204251
2016-02-29,1.2,1.31,1.19,1.28,11568279
2016-03-01,1.31,1.41,1.22,1.39,15707109
2016-03-02,1.37,1.78,1.32,1.78,18021814
2016-03-03,1.69,2.31,1.67,2.13,26308576
2016-03-04,2.28,3.28,2.16,3.26,55134585
2016-03-07,3.19,3.7,3.05,3.66,49804164
2016-03-08,3.48,3.53,2.18,2.22,27822950
2016-03-09,2.6,2.64,2.2,2.29,23623932
2016-03-10,2.29,2.3,1.97,2.21,18748737
2016-03-11,2.34,2.53,2.3,2.4,16715039
2016-03-14,2.13,2.29,2.05,2.23,15289936
2016-03-15,2.09,2.09,1.95,2.07,13525302
2016-03-16,2.16,2.36,2.14,2.34,13358452
2016-03-17,2.42,2.68,2.4,2.61,15344647
2016-03-18,2.74,2.88,2.47,2.61,29941335
2016-03-21,2.54,2.71,2.46,2.58,9681432
2016-03-22,2.54,2.57,2.3,2.43,8937676
2016-03-23,2.34,2.38,2.15,2.19,7392273
2016-03-24,2.07,2.29,2.0,2.27,12954183
2016-03-28,2.25,2.32,2.13,2.25,9410783
2016-03-29,2.12,2.16,2.02,2.12,12569706
2016-03-30,2.25,2.28,2.1,2.17,11445179
2016-03-31,2.13,2.32,2.08,2.22,11567139
2016-04-01,2.14,2.16,2.01,2.03,14642576
2016-04-04,2.04,2.15,1.95,2.03,10363255
2016-04-05,2.0,2.08,1.97,2.01,16641876
2016-04-06,2.1,2.29,2.01,2.23,16333068
2016-04-07,2.22,2.32,2.13,2.17,9135124
2016-04-08,2.33,2.57,2.29,2.5,14944543
2016-04-11,2.63,2.72,2.53,2.56,10459176
2016-04-12,2.6,3.3,2.56,3.23,23139715
2016-04-13,3.09,3.29,3.01,3.15,15082282
2016-04-14,3.2,3.32,2.96,3.06,14093380
2016-04-15,2.94,3.25,2.88,3.18,12953089
2016-04-18,2.76,3.3,2.72,3.29,12616896
2016-04-19,3.37,3.77,3.36,3.6,15278148
2016-04-20,3.47,3.9,3.47,3.71,26529037
2016-04-21,3.85,4.0,3.6,3.66,21370555
2016-04-22,3.77,4.1,3.72,4.09,15349333
2016-04-25,4.12,4.17,3.75,3.95,18525528
2016-04-26,3.93,4.19,3.81,4.1,15530684
2016-04-27,4.21,4.7,4.19,4.64,21409460
2016-04-28,4.66,4.8,4.03,4.06,20276684
