Date,Open,High,Low,Close,Volume
2016-01-04,14.59,14.76,14.36,14.76,162977
2016-01-05,14.71,14.74,14.47,14.61,232978
2016-01-06,14.38,14.43,14.2,14.24,223095
2016-01-07,14.0,14.14,13.89,13.91,436080
2016-01-08,13.92,13.99,13.76,13.79,236937
2016-01-11,13.8,13.93,13.56,13.58,126368
2016-01-12,13.63,13.68,13.2,13.36,222352
2016-01-13,13.41,13.46,13.14,13.15,166924
2016-01-14,13.14,13.23,12.8,13.1,209754
2016-01-15,12.83,12.88,12.63,12.74,276892
2016-01-19,12.76,12.79,12.53,12.64,157701
2016-01-20,12.33,12.48,11.8,11.95,276044
2016-01-21,11.98,12.24,11.74,12.01,282370
2016-01-22,12.18,12.7,12.18,12.53,179909
2016-01-25,12.54,12.92,12.54,12.56,140049
2016-01-26,12.59,13.14,12.59,13.02,144476
2016-01-27,13.03,13.23,12.88,13.15,199331
2016-01-28,13.3,13.72,13.11,13.71,307186
2016-01-29,13.75,13.97,13.55,13.91,111638
2016-02-01,13.85,14.07,13.85,13.99,126820
2016-02-02,13.57,13.93,13.48,13.78,222466
2016-02-03,13.8,14.08,13.73,14.03,231270
2016-02-04,13.93,14.28,13.93,14.18,144682
2016-02-05,14.09,14.15,13.9,13.99,104254
2016-02-08,13.85,13.85,13.29,13.34,117198
2016-02-09,13.11,13.22,13.0,13.17,137424
2016-02-10,13.1,13.11,12.65,12.95,204559
2016-02-11,12.67,12.77,12.46,12.57,187799
2016-02-12,12.67,12.69,12.6,12.64,76106
2016-02-16,12.69,12.87,12.69,12.8,294013
2016-02-17,12.87,13.24,12.87,13.12,127080
2016-02-18,13.11,13.55,13.11,13.42,155885
2016-02-19,13.34,13.55,13.32,13.47,155764
2016-02-22,13.59,13.71,13.59,13.66,88442
2016-02-23,13.63,13.7,13.57,13.6,89049
2016-02-24,13.5,13.77,13.42,13.77,130695
2016-02-25,13.79,13.86,13.69,13.84,119706
2016-02-26,13.9,13.9,13.75,13.79,128479
2016-02-29,13.85,13.95,13.76,13.82,160000
2016-03-01,13.83,14.05,13.83,14.01,113870
2016-03-02,14.0,14.09,13.86,14.07,72226
2016-03-03,13.99,14.23,13.97,14.13,146215
2016-03-04,14.12,14.5,14.12,14.48,122619
2016-03-07,14.41,14.67,14.34,14.6,95153
2016-03-08,14.64,14.64,14.55,14.55,104013
2016-03-09,14.52,14.66,14.52,14.6,101470
2016-03-10,14.67,14.7,14.54,14.62,158527
2016-03-11,14.32,14.56,14.32,14.52,205450
2016-03-14,14.43,14.59,14.43,14.56,46608
2016-03-15,14.43,14.53,14.31,14.32,90641
2016-03-16,14.3,14.63,14.26,14.63,103647
2016-03-17,14.66,14.95,14.66,14.88,106846
2016-03-18,14.92,15.0,14.85,14.85,64095
2016-03-21,14.74,14.88,14.69,14.69,98999
2016-03-22,14.57,14.88,14.38,14.74,77878
2016-03-23,14.77,14.77,14.57,14.57,107474
2016-03-24,14.58,14.6,14.49,14.57,84903
2016-03-28,14.67,14.67,14.5,14.51,113873
2016-03-29,14.4,14.7,14.4,14.69,74991
2016-03-30,14.7,15.64,14.7,15.55,645240
2016-03-31,15.63,15.94,15.45,15.91,609274
2016-04-01,15.76,15.92,15.46,15.76,329178
2016-04-04,15.66,15.73,15.12,15.48,306888
2016-04-05,15.38,15.38,15.05,15.19,245376
2016-04-06,15.24,15.28,15.08,15.23,224715
2016-04-07,15.11,15.35,15.11,15.33,128567
2016-04-08,15.44,15.51,15.25,15.38,161886
2016-04-11,15.96,16.05,15.81,15.84,643225
2016-04-12,15.99,16.23,15.96,16.23,472948
2016-04-13,16.32,16.45,16.22,16.45,413722
2016-04-14,16.42,16.44,16.04,16.25,247658
2016-04-15,16.38,16.38,16.18,16.3,164955
2016-04-18,16.34,16.43,16.13,16.25,259824
2016-04-19,16.31,16.38,16.29,16.31,174574
2016-04-20,16.4,16.64,16.39,16.61,261732
2016-04-21,16.71,16.72,16.43,16.54,240167
2016-04-22,16.57,16.67,16.4,16.51,169014
2016-04-25,16.52,16.53,16.25,16.28,188115
2016-04-26,16.33,16.63,16.33,16.63,158442
2016-04-27,16.62,16.79,16.33,16.79,242932
2016-04-28,16.75,16.96,16.72,16.86,243105
2016-04-29,16.73,16.96,16.53,16.6,203390
2016-05-02,16.56,16.74,16.5,16.7,275833
2016-05-03,16.55,16.58,16.29,16.41,280931
2016-05-04,16.25,16.42,16.17,16.33,200613
2016-05-05,16.33,16.46,16.25,16.37,163073
2016-05-06,16.25,16.42,16.22,16.34,168060
2016-05-09,16.34,16.39,16.14,16.19,155183
2016-05-10,16.21,16.4,16.2,16.21,181836
2016-05-11,16.37,16.43,16.26,16.32,186890
2016-05-12,16.47,16.53,16.24,16.37,158341
2016-05-13,16.35,16.49,16.25,16.37,86182
2016-05-16,16.35,16.65,16.35,16.39,172369
2016-05-17,16.36,16.56,16.28,16.49,143348
2016-05-18,16.49,16.57,16.36,16.38,129100
2016-05-19,16.31,16.31,16.05,16.05,271512
2016-05-20,16.1,16.3,16.1,16.15,182216
2016-05-23,16.24,16.3,16.09,16.09,199770
2016-05-24,16.24,16.4,16.18,16.32,165908
2016-05-25,16.42,16.47,16.31,16.44,115885
2016-05-26,16.42,16.62,16.39,16.53,207113
2016-05-27,16.52,16.66,16.52,16.66,131079
2016-05-31,16.56,16.75,16.41,16.46,109814
2016-06-01,16.39,16.65,16.36,16.65,158811
2016-06-02,16.65,16.86,16.64,16.82,164845
2016-06-03,16.83,17.12,16.81,17.04,128107
2016-06-06,17.15,17.25,17.08,17.09,171074
2016-06-07,17.15,17.5,17.13,17.5,142134
2016-06-08,17.57,17.57,17.4,17.52,109605
2016-06-09,17.35,17.52,17.25,17.41,168055
2016-06-10,17.19,17.2,16.54,17.06,221479
2016-06-13,16.64,16.72,16.53,16.59,146967
2016-06-14,16.47,16.57,16.26,16.43,222826
2016-06-15,16.43,16.5,16.16,16.2,148025
2016-06-16,16.2,16.47,16.16,16.43,160137
2016-06-17,16.49,16.73,16.42,16.71,136651
2016-06-20,16.83,16.87,16.64,16.74,151905
2016-06-21,16.83,17.02,16.75,16.96,100300
2016-06-22,17.07,17.07,17.01,17.02,180601
2016-06-23,17.25,17.3,17.05,17.19,135403
2016-06-24,16.71,17.12,16.68,16.82,168721
2016-06-27,16.64,16.64,15.94,16.0,297051
2016-06-28,16.27,16.58,16.21,16.52,144242
2016-06-29,16.85,16.95,16.62,16.95,185911
2016-06-30,17.22,17.54,16.96,17.16,224106
2016-07-01,17.27,17.54,17.18,17.38,173990
2016-07-05,17.24,17.33,16.96,16.96,128861
2016-07-06,16.88,17.52,16.88,17.31,333403
2016-07-07,17.33,17.38,16.9,16.9,209953
2016-07-08,16.96,17.22,16.96,17.08,138140
2016-07-11,17.19,17.43,17.15,17.3,187303
