Date,Open,High,Low,Close,Volume
2016-01-04,33.35,34.11,32.86,34.07,782805
2016-01-05,34.21,35.17,34.07,35.0,583339
2016-01-06,35.26,35.75,34.58,35.0,877917
2016-01-07,34.3,34.4,32.6,33.09,726543
2016-01-08,33.33,33.57,32.19,32.29,534672
2016-01-11,32.61,32.93,30.92,31.82,807018
2016-01-12,32.21,33.1,31.25,32.14,686271
2016-01-13,32.2,32.2,29.32,29.71,1470487
2016-01-14,29.8,30.62,28.71,30.44,865330
2016-01-15,29.52,30.86,29.14,30.75,993716
2016-01-19,31.24,31.72,29.66,30.37,1120168
2016-01-20,29.66,32.03,28.67,31.21,1038540
2016-01-21,31.2,32.1,30.44,30.76,506182
2016-01-22,31.37,32.5,30.86,31.85,489749
2016-01-25,31.65,31.94,31.4,31.61,488146
2016-01-26,31.81,31.81,31.01,31.77,723234
2016-01-27,31.67,31.87,28.76,29.95,1105484
2016-01-28,30.25,30.25,27.59,27.91,960788
2016-01-29,27.68,27.8,26.28,27.21,1718696
2016-02-01,26.9,27.07,25.49,26.95,1039128
2016-02-02,26.67,28.2,26.67,27.5,1124720
2016-02-03,27.71,28.54,25.77,28.15,899339
2016-02-04,27.85,29.23,27.54,29.03,565152
2016-02-05,28.76,29.35,26.17,26.46,640199
2016-02-08,26.1,27.48,24.66,27.06,817441
2016-02-09,26.71,29.54,26.56,28.42,833768
2016-02-10,28.5,29.65,28.09,28.68,551470
2016-02-11,27.87,29.84,27.05,29.44,685958
2016-02-12,29.6,30.99,29.03,29.73,555291
2016-02-16,30.02,31.45,29.8,30.93,702886
2016-02-17,30.85,32.49,30.85,32.18,570017
2016-02-18,32.1,32.85,31.57,31.9,582233
2016-02-19,31.83,34.0,31.59,33.04,499721
2016-02-22,33.29,33.98,32.96,33.45,783907
2016-02-23,33.38,33.94,32.76,33.27,623962
2016-02-24,32.73,34.59,32.5,34.32,460315
2016-02-25,34.58,34.9,33.26,34.11,481197
2016-02-26,34.06,35.67,33.79,35.1,842173
2016-02-29,34.87,36.76,34.87,35.62,1480763
2016-03-01,25.14,28.97,24.8,26.95,8580602
2016-03-02,27.34,27.8,26.3,27.56,1808925
2016-03-03,27.5,27.97,27.28,27.48,1206273
2016-03-04,27.47,28.11,26.85,27.04,1029157
2016-03-07,27.5,27.76,26.77,27.16,914021
2016-03-08,27.16,27.75,26.7,26.82,478618
2016-03-09,26.95,27.04,25.26,25.3,868856
2016-03-10,25.54,25.93,24.74,25.21,674692
2016-03-11,25.33,26.25,25.26,26.1,531829
2016-03-14,26.1,26.98,25.9,26.71,568071
2016-03-15,26.71,27.06,25.88,25.93,550037
2016-03-16,25.6,26.63,25.52,26.2,513783
2016-03-17,26.04,26.17,25.5,25.66,442095
2016-03-18,25.88,26.2,25.51,25.83,760694
2016-03-21,25.79,26.09,25.76,25.92,379855
2016-03-22,25.89,26.56,25.76,26.22,385494
2016-03-23,27.48,27.92,26.27,26.61,1517516
2016-03-24,26.52,26.99,26.38,26.56,689777
2016-03-28,26.78,27.02,26.51,26.6,846654
2016-03-29,26.6,27.31,25.96,27.27,4723635
2016-03-30,27.29,27.85,27.07,27.43,875680
2016-03-31,27.37,27.78,27.28,27.4,508909
2016-04-01,27.11,29.32,27.11,29.26,1036868
2016-04-04,29.22,29.93,29.15,29.21,707203
2016-04-05,29.05,29.34,28.07,28.14,369222
2016-04-06,28.15,29.03,28.09,28.9,551634
2016-04-07,28.69,29.36,28.35,28.55,379874
2016-04-08,28.64,28.8,27.97,28.14,421742
2016-04-11,28.2,28.73,28.09,28.56,289237
2016-04-12,28.53,28.55,27.54,28.24,563168
2016-04-13,28.5,29.55,28.34,29.5,407256
2016-04-14,29.44,29.82,29.2,29.8,234807
2016-04-15,29.68,30.16,29.22,30.12,538122
2016-04-18,30.06,31.03,29.82,30.62,340881
2016-04-19,31.31,31.5,30.31,30.66,525199
2016-04-20,30.66,30.92,30.4,30.69,464294
2016-04-21,30.84,30.94,30.09,30.23,382374
2016-04-22,30.13,31.04,29.87,30.93,642160
2016-04-25,30.95,31.48,30.59,31.21,464602
2016-04-26,31.22,31.41,30.97,31.29,353655
2016-04-27,31.18,32.92,30.99,32.86,606194
2016-04-28,32.79,33.4,31.32,31.42,911144
2016-04-29,31.68,31.68,29.8,30.29,947209
2016-05-02,30.38,30.43,29.8,30.4,869078
2016-05-03,30.13,30.98,29.67,29.93,609015
2016-05-04,29.59,30.66,29.32,29.61,499687
2016-05-05,29.66,30.02,29.13,29.17,456716
2016-05-06,29.19,29.44,28.2,28.63,712701
2016-05-09,28.58,29.56,28.4,29.34,982140
2016-05-10,31.16,31.58,29.0,31.42,1516535
2016-05-11,31.43,31.72,30.52,30.8,828005
2016-05-12,30.9,30.9,29.46,29.55,523146
2016-05-13,29.51,30.04,29.13,29.89,347169
2016-05-16,29.94,30.59,29.49,30.2,344162
2016-05-17,30.11,30.26,28.85,29.14,419040
2016-05-18,29.19,30.02,29.09,29.74,270913
2016-05-19,29.48,30.2,28.89,29.57,397601
2016-05-20,29.76,30.38,29.43,30.22,252444
2016-05-23,30.23,30.89,30.03,30.65,280177
2016-05-24,30.72,31.9,30.61,31.46,388058
2016-05-25,31.52,31.94,31.24,31.56,243597
2016-05-26,31.58,31.78,31.26,31.4,133371
2016-05-27,31.48,31.84,31.18,31.62,287235
2016-05-31,31.74,32.69,31.62,32.58,507205
2016-06-01,32.5,33.13,31.8,32.97,343273
2016-06-02,32.87,33.87,32.38,33.87,442082
2016-06-03,33.92,33.99,32.72,33.42,336114
2016-06-06,33.33,33.99,33.05,33.91,244333
2016-06-07,33.89,34.74,33.75,34.61,267553
2016-06-08,34.57,35.0,34.35,34.95,217124
2016-06-09,34.99,35.45,34.17,34.18,266705
2016-06-10,33.98,34.44,33.15,33.51,259077
2016-06-13,33.28,34.0,33.28,33.42,275113
2016-06-14,33.4,34.09,33.25,33.86,235515
2016-06-15,33.97,34.44,33.86,34.09,303632
2016-06-16,33.88,33.97,33.21,33.88,205976
2016-06-17,33.97,33.97,32.97,33.26,465045
2016-06-20,33.66,34.57,33.66,34.29,279475
2016-06-21,34.29,34.41,33.58,34.2,189856
2016-06-22,34.33,35.62,34.07,34.16,345071
2016-06-23,33.86,34.44,33.52,34.28,435752
2016-06-24,33.2,34.02,32.9,33.51,1221896
2016-06-27,33.46,33.46,31.53,32.06,482817
2016-06-28,32.6,34.72,32.6,33.99,432855
2016-06-29,34.35,35.18,34.02,34.92,286851
2016-06-30,35.09,35.2,34.48,35.0,420840
2016-07-01,35.12,35.16,34.85,35.04,298894
2016-07-05,35.03,35.13,34.73,34.86,164479
2016-07-06,34.78,35.5,34.78,35.49,358898
