Date,Open,High,Low,Close,Volume
2016-01-04,5.89,6.13,5.86,6.09,163983
2016-01-05,6.15,6.17,6.01,6.14,189119
2016-01-06,6.0,6.03,5.65,5.76,178868
2016-01-07,5.68,5.69,5.4,5.48,262515
2016-01-08,5.53,5.57,5.38,5.4,134299
2016-01-11,5.42,5.54,4.86,4.97,182315
2016-01-12,5.07,5.13,4.5,4.83,145155
2016-01-13,4.9,5.06,4.27,4.27,214817
2016-01-14,4.32,4.48,4.09,4.47,432182
2016-01-15,4.16,4.29,4.05,4.21,294563
2016-01-19,4.21,4.24,3.73,3.79,213232
2016-01-20,3.66,3.68,3.22,3.49,358020
2016-01-21,3.46,3.69,3.41,3.6,558586
2016-01-22,3.84,4.16,3.83,4.16,281867
2016-01-25,4.1,4.45,3.96,3.98,224192
2016-01-26,4.09,4.34,3.95,4.32,226614
2016-01-27,4.3,4.4,4.13,4.32,190115
2016-01-28,4.59,4.71,4.44,4.6,198940
2016-01-29,4.68,4.9,4.67,4.85,195125
2016-02-01,4.79,4.79,4.61,4.7,173667
2016-02-02,4.64,4.64,4.48,4.63,96112
2016-02-03,4.77,4.81,4.5,4.72,185565
2016-02-04,4.72,4.93,4.67,4.85,175115
2016-02-05,4.87,4.87,4.67,4.76,119852
2016-02-08,4.64,4.64,4.23,4.27,278463
2016-02-09,3.97,4.09,3.51,3.58,375174
2016-02-10,3.56,3.8,3.5,3.5,282255
2016-02-11,3.46,3.5,3.17,3.25,139910
2016-02-12,3.31,3.49,3.21,3.41,192510
2016-02-16,3.54,3.7,3.53,3.67,189466
2016-02-17,3.87,4.29,3.8,3.98,251807
2016-02-18,4.12,4.21,3.99,4.12,190076
2016-02-19,4.08,4.16,4.02,4.14,208340
2016-02-22,4.31,4.49,4.3,4.49,190038
2016-02-23,4.47,4.49,4.27,4.34,161785
2016-02-24,4.19,4.48,4.11,4.47,146578
2016-02-25,4.44,4.46,4.31,4.44,152306
2016-02-26,4.54,4.78,4.54,4.6,228203
2016-02-29,4.59,4.84,4.58,4.73,173207
2016-03-01,4.8,4.88,4.7,4.76,87829
2016-03-02,4.74,5.04,4.69,5.03,93058
2016-03-03,5.01,5.24,4.98,5.17,110840
2016-03-04,5.22,5.4,5.16,5.24,139316
2016-03-07,5.32,5.49,5.25,5.44,139360
2016-03-08,5.34,5.4,5.08,5.12,85362
2016-03-09,5.29,5.29,5.06,5.14,83811
2016-03-10,5.14,5.18,4.93,5.01,100451
2016-03-11,5.13,5.25,5.1,5.18,128904
2016-03-14,5.1,5.21,5.06,5.19,85760
2016-03-15,5.09,5.1,4.86,4.91,109701
2016-03-16,4.94,5.2,4.94,5.19,100481
2016-03-17,5.28,5.48,5.23,5.4,164798
2016-03-18,5.48,5.55,5.34,5.51,86980
2016-03-21,5.5,5.5,5.26,5.3,72048
2016-03-22,5.23,5.42,5.23,5.4,79583
2016-03-23,5.28,5.36,5.15,5.16,71774
2016-03-24,4.99,5.19,4.93,5.09,87483
2016-03-28,5.1,5.1,4.99,5.04,101045
2016-03-29,4.98,5.1,4.92,5.09,119932
2016-03-30,5.15,5.31,5.15,5.22,65473
2016-03-31,5.2,5.44,5.2,5.43,103006
2016-04-01,5.28,5.33,5.1,5.25,47037
2016-04-04,5.25,5.25,5.01,5.04,54445
2016-04-05,4.99,5.03,4.92,4.95,81755
2016-04-06,5.0,5.16,5.0,5.1,65192
2016-04-07,5.09,5.16,5.04,5.15,57859
2016-04-08,5.3,5.38,5.26,5.33,75005
2016-04-11,5.41,5.51,5.36,5.42,50452
2016-04-12,5.43,5.85,5.43,5.84,178767
2016-04-13,5.84,5.88,5.76,5.86,205831
2016-04-14,5.88,6.07,5.78,6.07,136306
2016-04-15,6.02,6.02,5.75,5.84,144201
2016-04-18,5.75,6.0,5.63,6.0,87188
2016-04-19,6.0,6.4,5.99,6.34,131370
2016-04-20,6.31,6.83,6.31,6.74,209573
2016-04-21,6.84,6.9,6.65,6.65,114936
2016-04-22,6.78,6.94,6.75,6.8,181577
2016-04-25,6.72,6.87,6.72,6.76,167145
2016-04-26,6.82,6.89,6.74,6.82,110642
2016-04-27,6.94,7.38,6.91,7.35,255980
2016-04-28,7.25,7.42,7.22,7.26,141921
2016-04-29,7.33,7.72,7.23,7.59,239246
2016-05-02,7.57,7.68,7.3,7.5,183192
2016-05-03,7.39,7.47,7.28,7.29,183228
2016-05-04,7.3,7.54,7.28,7.46,139064
2016-05-05,7.74,8.01,7.7,7.91,139001
2016-05-06,7.88,8.59,7.78,8.13,265455
2016-05-09,8.12,8.12,7.77,7.88,100785
2016-05-10,7.68,7.9,7.23,7.37,123151
2016-05-11,7.35,7.44,7.03,7.05,117570
2016-05-12,7.1,7.22,6.96,7.04,105104
2016-05-13,7.19,7.19,6.89,6.93,149803
2016-05-16,7.06,7.36,7.04,7.22,195593
2016-05-17,7.2,7.39,7.15,7.22,118062
2016-05-18,7.21,7.34,7.03,7.17,91677
2016-05-19,7.19,7.39,7.06,7.22,117240
2016-05-20,7.41,7.61,7.33,7.61,94105
2016-05-23,7.6,7.82,7.5,7.66,115595
2016-05-24,7.74,7.82,7.58,7.67,122160
2016-05-25,7.67,7.83,7.62,7.73,129067
2016-05-26,7.8,7.85,7.59,7.72,169734
2016-05-27,7.59,7.68,7.43,7.5,123918
2016-05-31,7.51,7.65,7.39,7.45,92718
2016-06-01,7.31,7.71,7.29,7.54,93741
2016-06-02,7.46,7.84,7.46,7.84,77359
2016-06-03,7.79,7.99,7.79,7.9,94565
2016-06-06,8.07,8.3,7.95,8.19,119973
2016-06-07,8.33,8.34,8.16,8.3,88107
2016-06-08,8.36,8.5,8.3,8.31,134373
2016-06-09,8.18,8.25,8.08,8.15,110066
2016-06-10,8.01,8.09,7.73,7.73,105130
2016-06-13,7.57,7.72,7.47,7.49,82275
2016-06-14,7.37,7.48,7.27,7.33,71078
2016-06-15,7.27,7.46,7.2,7.41,90973
2016-06-16,7.29,7.45,7.2,7.38,90514
2016-06-17,7.42,7.58,7.42,7.51,54458
2016-06-20,7.69,7.69,7.58,7.63,40418
2016-06-21,7.63,7.87,7.59,7.84,68014
2016-06-22,7.89,7.97,7.77,7.83,42368
2016-06-23,7.88,8.04,7.84,8.01,80565
2016-06-24,7.93,7.93,7.51,7.6,89210
2016-06-27,7.5,7.5,7.16,7.27,115426
2016-06-28,7.53,7.87,7.31,7.71,107595
2016-06-29,7.81,8.0,7.81,7.88,95219
2016-06-30,7.86,7.96,7.68,7.88,82582
2016-07-01,7.83,7.98,7.81,7.82,43695
2016-07-05,7.62,7.79,7.5,7.72,53690
2016-07-06,7.54,7.71,7.52,7.68,51811
2016-07-07,7.78,7.78,7.46,7.46,65355
2016-07-08,7.57,7.78,7.51,7.67,49298
2016-07-11,7.67,7.81,7.61,7.64,44283
2016-07-12,7.8,8.03,7.8,7.85,63538
2016-07-13,7.96,7.96,7.63,7.67,75936
2016-07-14,7.8,7.85,7.66,7.74,56892
2016-07-15,7.78,7.78,7.6,7.67,65561
2016-07-18,7.62,7.76,7.6,7.75,59980
2016-07-19,7.78,7.81,7.61,7.73,62691
2016-07-20,7.76,7.88,7.68,7.81,72194
2016-07-21,7.8,8.0,7.75,7.86,143356
