Date,Open,High,Low,Close,Volume
2016-01-04,23.6,24.49,23.5,24.21,3756239
2016-01-05,24.35,24.77,24.16,24.67,3523471
2016-01-06,24.42,24.74,23.88,24.13,2705486
2016-01-07,23.61,24.6,23.61,24.0,2777419
2016-01-08,23.91,23.94,23.28,23.34,2383256
2016-01-11,23.33,23.74,23.15,23.55,3063140
2016-01-12,23.79,24.08,22.97,23.25,2467143
2016-01-13,23.29,23.61,22.54,22.57,2826673
2016-01-14,22.42,23.1,22.08,22.86,1958410
2016-01-15,22.24,23.1,22.19,23.0,1723035
2016-01-19,23.17,23.23,22.42,22.78,2182991
2016-01-20,22.56,23.29,21.94,23.02,2334196
2016-01-21,23.07,23.42,22.89,23.16,1339132
2016-01-22,23.39,23.74,22.74,23.03,1884607
2016-01-25,23.05,23.17,22.38,22.46,1537151
2016-01-26,22.46,23.35,22.43,23.3,1446035
2016-01-27,23.26,23.78,23.0,23.26,1396900
2016-01-28,23.4,23.44,22.71,22.9,1250592
2016-01-29,22.95,24.06,22.91,24.01,1885449
2016-02-01,23.95,24.52,23.28,24.3,1571858
2016-02-02,24.25,24.58,24.01,24.34,1456250
2016-02-03,24.41,24.72,24.0,24.53,2211180
2016-02-04,24.28,24.8,24.19,24.78,1202334
2016-02-05,24.55,24.68,23.7,23.76,1722836
2016-02-08,23.56,24.06,22.94,23.39,1927163
2016-02-09,23.27,23.59,23.07,23.44,1644693
2016-02-10,23.69,23.83,22.94,22.97,1119922
2016-02-11,22.8,22.96,21.99,22.14,1586757
2016-02-12,22.29,22.89,22.11,22.78,1276710
2016-02-16,23.0,23.92,22.77,23.6,1465303
2016-02-17,23.84,25.3,23.84,24.93,1922374
2016-02-18,24.93,25.7,24.93,25.34,1992645
2016-02-19,25.0,25.64,24.66,25.3,1533840
2016-02-22,25.38,25.91,25.19,25.9,1527020
2016-02-23,25.96,26.32,25.63,26.0,1423672
2016-02-24,25.89,26.67,25.52,26.56,1276400
2016-02-25,26.6,26.8,26.16,26.69,1190617
2016-02-26,26.71,26.72,26.18,26.46,954275
2016-02-29,26.35,26.46,26.19,26.2,1252853
2016-03-01,25.16,25.36,24.4,25.34,2940423
2016-03-02,25.34,25.63,25.08,25.38,1054329
2016-03-03,25.6,26.34,25.46,26.24,1138388
2016-03-04,25.5,26.35,25.46,25.83,1216207
2016-03-07,25.75,26.25,25.59,25.93,956314
2016-03-08,26.24,26.3,25.74,26.02,1021503
2016-03-09,26.05,26.28,25.79,26.12,792636
2016-03-10,26.22,26.59,26.0,26.49,1089115
2016-03-11,26.68,27.29,26.47,27.1,2524297
2016-03-14,27.16,27.56,26.71,27.49,2917934
2016-03-15,29.52,29.53,27.45,28.34,6702808
2016-03-16,27.96,28.01,26.26,26.82,3537075
2016-03-17,26.76,27.63,26.36,27.42,1834989
2016-03-18,27.62,27.77,26.88,26.98,3129862
2016-03-21,27.01,27.22,26.79,27.11,1883380
2016-03-22,27.12,27.33,26.72,27.0,1202898
2016-03-23,26.84,26.84,26.2,26.45,1258514
2016-03-24,26.43,26.75,26.0,26.58,992640
2016-03-28,26.64,27.52,26.45,26.97,1660147
2016-03-29,27.13,28.04,27.03,27.97,1174283
2016-03-30,27.77,28.04,27.53,27.86,1023345
2016-03-31,27.75,28.04,27.58,27.64,633236
2016-04-01,27.65,27.88,27.37,27.59,926236
2016-04-04,27.62,27.81,27.02,27.12,1166487
2016-04-05,27.0,27.18,26.75,27.06,1167948
2016-04-06,27.07,27.59,26.59,27.4,1473482
2016-04-07,27.48,27.48,26.8,27.02,2257060
2016-04-08,26.94,26.94,26.07,26.09,1488124
2016-04-11,26.3,26.56,26.08,26.1,863339
2016-04-12,26.13,26.52,25.55,26.29,1231803
2016-04-13,26.41,27.31,26.36,27.16,1352186
2016-04-14,27.13,27.25,26.63,26.64,1355493
2016-04-15,26.8,27.01,26.58,26.67,1755247
2016-04-18,26.49,26.5,25.38,25.52,3243531
2016-04-19,25.61,25.76,25.43,25.44,1250441
2016-04-20,25.4,25.67,25.26,25.55,1176834
2016-04-21,25.71,25.77,25.22,25.29,995673
2016-04-22,25.41,25.77,25.29,25.33,713062
2016-04-25,25.18,25.25,24.69,24.83,1401216
2016-04-26,24.84,25.45,24.66,25.23,968226
2016-04-27,25.09,25.17,24.66,24.97,1523868
2016-04-28,24.68,25.14,24.68,24.73,1335123
2016-04-29,24.7,24.85,24.0,24.57,1291974
2016-05-02,24.76,24.98,24.44,24.66,908757
2016-05-03,24.52,24.72,24.25,24.58,883991
2016-05-04,24.37,24.85,24.3,24.75,1060690
2016-05-05,24.56,24.7,23.65,23.67,1388410
2016-05-06,23.55,23.94,23.39,23.84,983449
2016-05-09,23.73,24.2,23.64,23.91,991932
2016-05-10,23.8,24.05,23.54,23.89,1009266
2016-05-11,23.47,23.47,22.98,23.02,967473
2016-05-12,22.75,23.08,22.4,22.69,1848878
2016-05-13,22.45,22.71,22.02,22.12,2074610
2016-05-16,22.0,22.28,21.79,21.93,1802404
2016-05-17,21.99,22.18,21.52,21.96,2223440
2016-05-18,21.81,21.81,20.98,20.99,2208250
2016-05-19,20.84,21.52,20.84,21.01,2558839
2016-05-20,21.01,21.61,20.89,21.36,2421060
2016-05-23,21.46,22.0,21.42,21.73,5527136
2016-05-24,19.55,19.85,18.51,19.2,16241014
2016-05-25,19.12,21.06,19.11,20.46,8286695
2016-05-26,20.3,20.89,20.28,20.39,2720489
2016-05-27,20.45,21.06,20.32,20.99,3326737
2016-05-31,20.85,21.28,20.85,21.16,2825860
2016-06-01,20.91,21.36,20.91,21.1,1553654
2016-06-02,21.1,21.42,21.01,21.31,2363812
2016-06-03,21.17,21.44,21.05,21.13,1989904
2016-06-06,21.01,21.14,20.72,20.93,1399886
2016-06-07,20.58,20.95,20.54,20.81,1916174
2016-06-08,20.81,20.94,20.59,20.9,1319212
2016-06-09,20.73,20.85,20.34,20.49,1467125
2016-06-10,20.31,20.58,20.1,20.48,1694128
2016-06-13,20.44,20.6,20.21,20.24,1107786
2016-06-14,20.06,20.18,19.61,19.99,1686228
2016-06-15,20.04,20.74,19.98,20.27,2171894
2016-06-16,20.21,20.81,20.17,20.63,2268034
2016-06-17,20.58,21.28,20.58,21.0,2078165
2016-06-20,21.35,21.61,20.9,20.99,1578717
2016-06-21,21.08,21.22,20.84,21.01,1616265
2016-06-22,21.07,21.39,21.0,21.02,887442
2016-06-23,21.18,21.25,21.02,21.13,1148695
2016-06-24,20.64,21.57,20.51,21.31,8077666
2016-06-27,21.26,21.35,19.88,20.28,2726407
2016-06-28,20.4,20.82,20.17,20.31,1831506
2016-06-29,20.54,21.12,20.48,20.88,1885160
2016-06-30,21.05,21.19,20.8,21.18,1121691
2016-07-01,21.16,21.57,21.09,21.29,1599984
2016-07-05,21.13,21.46,20.5,20.69,1373374
2016-07-06,20.65,21.15,20.47,21.09,3767069
2016-07-07,21.08,21.7,21.08,21.64,2109686
2016-07-08,21.89,22.5,21.88,22.36,2336385
2016-07-11,22.75,23.37,22.75,23.29,2185431
2016-07-12,23.41,24.13,23.41,23.87,2261861
2016-07-13,23.88,23.99,23.57,23.68,1906760
2016-07-14,23.75,23.89,23.6,23.76,1426582
2016-07-15,23.87,24.09,23.65,23.74,1428839
2016-07-18,23.87,24.34,23.83,24.04,1423186
2016-07-19,24.03,24.35,23.58,23.6,1709519
2016-07-20,23.77,23.82,23.52,23.74,1107304
2016-07-21,23.8,23.94,23.55,23.68,1182610
2016-07-22,23.55,23.74,23.15,23.39,1432733
2016-07-25,23.53,24.42,23.4,24.26,2515830
2016-07-26,24.32,24.69,24.23,24.48,1585962
2016-07-27,24.52,24.9,24.29,24.46,1618399
2016-07-28,24.4,24.51,23.88,24.18,1039481
2016-07-29,24.2,24.3,23.85,24.26,1023214
2016-08-01,24.23,24.27,23.66,23.88,1943578
2016-08-02,23.86,23.88,22.97,23.05,1912014
2016-08-03,22.53,23.15,21.74,23.14,2395525
2016-08-04,23.17,23.6,23.01,23.37,1236206
2016-08-05,23.56,24.11,23.56,23.92,929991
2016-08-08,23.86,24.02,23.43,23.54,1624197
2016-08-09,23.48,23.56,23.04,23.11,976036
2016-08-10,23.25,23.39,22.87,22.93,1067970
2016-08-11,23.55,24.02,23.35,23.77,1327001
2016-08-12,23.79,24.06,23.68,23.9,1127325
2016-08-15,24.0,24.46,23.91,24.44,847147
2016-08-16,24.38,24.77,24.28,24.35,1216047
2016-08-17,24.03,24.53,24.03,24.17,922539
2016-08-18,24.35,24.9,24.23,24.87,1140020
2016-08-19,24.89,25.52,24.79,25.36,1580055
2016-08-22,25.42,25.58,25.08,25.55,1737413
2016-08-23,25.72,26.17,25.61,26.03,1790079
2016-08-24,25.93,26.22,25.54,25.91,1703152
2016-08-25,26.0,26.2,25.78,25.97,2191412
2016-08-26,25.99,26.13,25.71,25.94,1408073
2016-08-29,25.97,26.09,25.61,26.02,4632731
2016-08-30,23.42,24.86,22.99,23.33,9904878
2016-08-31,23.25,24.66,23.15,23.95,4819831
2016-09-01,24.08,24.12,23.37,23.71,2564108
2016-09-02,23.7,23.87,23.46,23.86,1199843
2016-09-06,24.02,24.47,23.96,24.14,1993388
2016-09-07,24.15,25.1,24.14,25.06,1998745
2016-09-08,24.93,25.06,24.72,24.92,1139172
2016-09-09,24.89,25.04,24.42,24.42,1215410
2016-09-12,24.12,24.43,24.03,24.24,1860269
2016-09-13,24.11,24.28,23.53,23.67,1791887
2016-09-14,23.64,23.71,23.06,23.53,1754502
