Date,Open,High,Low,Close,Volume
2016-01-04,4.3,4.37,4.18,4.35,316324
2016-01-05,4.41,4.5,4.23,4.47,662824
2016-01-06,4.45,4.45,4.16,4.23,250411
2016-01-07,4.22,4.22,3.85,3.85,343317
2016-01-08,3.82,3.86,3.42,3.46,661641
2016-01-11,3.35,3.41,2.38,2.49,2417385
2016-01-12,2.59,2.64,2.45,2.49,988991
2016-01-13,2.49,2.5,2.15,2.15,984309
2016-01-14,2.12,2.7,2.05,2.59,1630346
2016-01-15,2.25,2.5,2.22,2.48,870391
2016-01-19,2.5,2.77,2.5,2.57,743917
2016-01-20,2.52,2.54,2.3,2.49,471391
2016-01-21,2.56,2.77,2.47,2.61,657862
2016-01-22,2.67,2.86,2.64,2.72,1801181
2016-01-25,2.72,2.74,2.44,2.45,733424
2016-01-26,2.46,2.64,2.45,2.51,696666
2016-01-27,2.54,2.69,2.52,2.62,558461
2016-01-28,2.7,2.71,2.45,2.54,340615
2016-01-29,2.55,2.65,2.45,2.5,321405
2016-02-01,2.51,2.51,2.33,2.42,403736
2016-02-02,2.42,2.48,2.31,2.35,474590
2016-02-03,2.41,2.49,2.22,2.46,527168
2016-02-04,2.6,2.93,2.55,2.58,1549709
2016-02-05,2.61,2.7,2.5,2.66,350586
2016-02-08,2.68,2.7,2.39,2.5,815549
2016-02-09,2.4,2.4,2.08,2.2,1279227
2016-02-10,2.25,2.25,2.05,2.11,449083
2016-02-11,2.07,2.12,1.96,2.02,611486
2016-02-12,2.0,2.28,1.95,2.25,638279
2016-02-16,2.33,2.45,2.28,2.44,483718
2016-02-17,2.46,2.55,2.3,2.37,614313
2016-02-18,2.44,2.47,2.19,2.25,238795
2016-02-19,2.25,2.37,2.12,2.32,274378
2016-02-22,2.4,2.62,2.36,2.53,480874
2016-02-23,2.6,2.6,2.26,2.26,306944
2016-02-24,2.27,2.31,2.11,2.21,237894
2016-02-25,2.28,2.33,2.19,2.27,167498
2016-02-26,2.36,2.48,2.32,2.45,198702
2016-02-29,2.39,2.54,2.39,2.53,156387
2016-03-01,2.53,2.68,2.5,2.57,474025
2016-03-02,2.55,2.76,2.35,2.41,610868
2016-03-03,2.38,2.76,2.38,2.67,1122863
2016-03-04,2.7,3.18,2.66,2.84,2281858
2016-03-07,2.95,3.7,2.92,3.49,2012373
2016-03-08,3.52,3.56,3.02,3.25,929540
2016-03-09,3.0,3.01,2.7,2.72,1015383
2016-03-10,2.78,2.85,2.45,2.57,673764
2016-03-11,2.6,2.75,2.5,2.65,409350
2016-03-14,2.6,2.74,2.55,2.65,392652
2016-03-15,2.63,2.75,2.44,2.63,372839
2016-03-16,2.66,2.67,2.55,2.66,402427
2016-03-17,2.68,2.72,2.53,2.65,544853
2016-03-18,2.69,2.78,2.56,2.78,679682
2016-03-21,2.76,2.79,2.57,2.58,267243
