Date,Open,High,Low,Close,Volume
2016-01-04,9.16,9.23,9.12,9.2,22572
2016-01-05,9.23,9.28,9.23,9.27,20548
2016-01-06,9.27,9.3,9.26,9.27,22753
2016-01-07,9.26,9.35,9.2,9.2,50011
2016-01-08,9.24,9.25,9.22,9.22,10901
2016-01-11,9.2,9.23,9.18,9.21,38860
2016-01-12,9.22,9.25,9.2,9.22,86108
2016-01-13,9.2,9.21,9.18,9.2,57686
2016-01-14,9.18,9.29,9.18,9.26,61726
2016-01-15,9.25,9.25,9.16,9.16,26088
2016-01-19,9.13,9.19,9.13,9.17,28676
2016-01-20,9.15,9.16,9.12,9.12,52591
2016-01-21,9.1,9.16,9.1,9.14,39911
2016-01-22,9.15,9.2,9.14,9.15,25896
2016-01-25,9.16,9.17,9.14,9.16,19867
2016-01-26,9.18,9.23,9.15,9.2,21478
2016-01-27,9.17,9.21,9.15,9.17,19688
2016-01-28,9.15,9.16,9.13,9.16,38393
2016-01-29,9.24,9.26,9.2,9.24,42328
2016-02-01,9.21,9.31,9.19,9.28,33874
2016-02-02,9.25,9.28,9.23,9.24,28181
2016-02-03,9.26,9.31,9.24,9.29,30141
2016-02-04,9.28,9.34,9.28,9.33,36021
2016-02-05,9.34,9.48,9.27,9.48,229800
2016-02-08,9.41,9.42,9.38,9.38,17293
2016-02-09,9.37,9.42,9.35,9.42,26393
2016-02-10,9.39,9.45,9.39,9.43,13754
2016-02-11,9.38,9.41,9.36,9.38,33737
2016-02-12,9.32,9.32,9.26,9.28,32910
2016-02-16,9.24,9.24,9.2,9.22,16677
2016-02-17,9.21,9.26,9.19,9.26,22239
2016-02-18,9.23,9.24,9.19,9.24,13667
2016-02-19,9.22,9.22,9.19,9.2,23831
2016-02-22,9.18,9.24,9.18,9.2,34795
2016-02-23,9.19,9.2,9.16,9.2,33988
2016-02-24,9.21,9.25,9.2,9.22,17809
2016-02-25,9.23,9.28,9.22,9.23,69479
2016-02-26,9.19,9.24,9.19,9.23,19626
2016-02-29,9.25,9.26,9.21,9.24,25075
2016-03-01,9.21,9.27,9.2,9.25,42079
2016-03-02,9.22,9.34,9.2,9.26,137536
2016-03-03,9.26,9.31,9.24,9.28,35304
2016-03-04,9.26,9.34,9.26,9.33,66305
2016-03-07,9.25,9.29,9.25,9.27,35499
2016-03-08,9.27,9.31,9.27,9.29,21655
2016-03-09,9.29,9.36,9.29,9.33,13765
2016-03-10,9.33,9.36,9.25,9.3,57168
2016-03-11,9.26,9.31,9.26,9.3,23239
2016-03-14,9.32,9.33,9.27,9.32,48351
2016-03-15,9.33,9.33,9.28,9.28,12685
2016-03-16,9.28,9.35,9.26,9.28,35528
2016-03-17,9.29,9.38,9.29,9.38,21981
2016-03-18,9.35,9.38,9.34,9.36,38116
2016-03-21,9.35,9.39,9.34,9.39,25731
2016-03-22,9.33,9.39,9.33,9.37,13989
2016-03-23,9.38,9.38,9.34,9.36,32995
2016-03-24,9.37,9.4,9.35,9.39,20912
2016-03-28,9.39,9.46,9.38,9.46,31473
2016-03-29,9.47,9.47,9.41,9.46,18165
2016-03-30,9.45,9.54,9.45,9.54,33529
2016-03-31,9.54,9.63,9.52,9.62,45205
2016-04-01,9.53,9.65,9.53,9.64,31625
2016-04-04,9.64,9.66,9.61,9.63,21022
2016-04-05,9.63,9.67,9.62,9.66,16094
2016-04-06,9.64,9.68,9.62,9.67,21803
2016-04-07,9.63,9.67,9.63,9.66,14883
2016-04-08,9.68,9.7,9.65,9.67,18168
2016-04-11,9.69,9.71,9.67,9.68,32071
2016-04-12,9.69,9.7,9.66,9.69,14616
2016-04-13,9.63,9.67,9.55,9.55,22909
