Date,Open,High,Low,Close,Volume
2016-01-04,2.33,2.33,2.27,2.3,22103
2016-01-05,2.25,2.3,2.25,2.28,450
2016-01-06,2.27,2.27,2.25,2.25,6727
2016-01-07,2.15,2.22,2.15,2.22,2363
2016-01-08,2.22,2.26,2.18,2.25,6939
2016-01-11,2.25,2.25,2.25,2.25,3059
2016-01-12,2.23,2.26,2.23,2.26,3357
2016-01-13,2.24,2.24,2.24,2.24,462
2016-01-14,2.19,2.19,2.12,2.18,1062
2016-01-15,2.2,2.2,2.18,2.18,1141
2016-01-19,2.14,2.18,2.12,2.18,4957
2016-01-20,2.14,2.14,2.05,2.11,25268
2016-01-21,2.08,2.08,2.03,2.03,464
2016-01-22,2.07,2.12,2.04,2.12,822
2016-01-25,2.12,2.2,2.12,2.15,2002
2016-01-26,2.19,2.2,2.17,2.17,3144
2016-01-27,2.19,2.2,2.19,2.19,1879
2016-01-28,2.2,2.2,2.17,2.17,9403
2016-01-29,2.2,2.27,2.13,2.22,29469
2016-02-01,2.2,2.2,2.19,2.2,464
2016-02-02,2.17,2.2,2.08,2.14,12089
2016-02-03,2.2,2.2,2.1,2.19,3217
2016-02-04,2.17,2.17,2.13,2.17,346
2016-02-05,2.11,2.13,2.1,2.13,2111
2016-02-08,2.06,2.06,2.0,2.02,17556
2016-02-09,1.99,1.99,1.97,1.98,11433
2016-02-10,2.01,2.01,2.01,2.01,184
2016-02-11,1.95,2.11,1.95,2.0,65015
2016-02-12,2.0,2.02,1.93,2.01,42618
2016-02-16,1.96,2.02,1.96,2.0,4012
2016-02-17,2.01,2.04,2.01,2.02,1540
2016-02-18,2.06,2.06,2.01,2.04,859
2016-02-19,2.13,2.19,2.09,2.17,2438
2016-02-22,2.21,2.21,2.21,2.21,318
2016-02-23,2.17,2.19,2.11,2.11,1543
2016-02-24,,,,2.11,0
2016-02-25,2.19,2.2,2.14,2.14,11811
2016-02-26,2.2,2.2,2.03,2.15,3427
2016-02-29,2.22,2.25,2.22,2.23,4525
2016-03-01,2.13,2.23,2.13,2.21,9596
2016-03-02,2.21,2.29,2.21,2.29,3735
2016-03-03,2.25,2.3,2.24,2.27,4715
2016-03-04,2.27,2.3,2.26,2.26,6576
2016-03-07,2.22,2.28,2.22,2.26,1589
2016-03-08,2.22,2.3,2.22,2.29,1073
2016-03-09,2.3,2.39,2.25,2.39,16296
2016-03-10,2.29,2.39,2.29,2.39,577
2016-03-11,2.36,2.43,2.36,2.4,330
2016-03-14,2.4,2.4,2.36,2.38,2615
2016-03-15,2.38,2.4,2.38,2.4,3890
2016-03-16,,,,2.4,0
2016-03-17,2.34,2.35,2.34,2.35,406
2016-03-18,2.36,2.37,2.24,2.24,34021
2016-03-21,2.26,2.29,2.26,2.29,632
2016-03-22,2.29,2.36,2.29,2.36,661
2016-03-23,2.32,2.32,2.32,2.32,599
2016-03-24,,,,2.32,0
2016-03-28,2.32,2.35,2.32,2.35,1099
2016-03-29,2.35,2.35,2.32,2.32,6184
2016-03-30,2.32,2.35,2.32,2.34,1932
2016-03-31,2.33,2.34,2.27,2.27,2895
2016-04-01,2.27,2.35,2.27,2.29,2556
2016-04-04,2.33,2.33,2.25,2.32,1417
2016-04-05,2.31,2.35,2.28,2.29,2336
2016-04-06,2.35,2.35,2.32,2.33,1777
2016-04-07,2.34,2.34,2.34,2.34,860
2016-04-08,2.35,2.35,2.25,2.3,16918
2016-04-11,2.35,2.35,2.29,2.35,15292
2016-04-12,2.35,2.35,2.3,2.35,699
2016-04-13,2.35,2.39,2.34,2.36,7888
2016-04-14,2.42,2.42,2.4,2.4,410
2016-04-15,2.4,2.4,2.35,2.39,7360
2016-04-18,2.36,2.42,2.36,2.38,26504
2016-04-19,2.47,2.5,2.44,2.48,572
2016-04-20,2.44,2.5,2.44,2.44,5784
2016-04-21,2.4,2.42,2.36,2.4,5629
2016-04-22,2.42,2.46,2.36,2.37,1195
2016-04-25,2.37,2.37,2.31,2.34,22200
2016-04-26,2.4,2.4,2.27,2.35,35267
2016-04-27,2.36,2.36,2.3,2.3,11925
2016-04-28,2.31,2.42,2.27,2.32,25227
2016-04-29,2.47,2.47,2.25,2.25,26450
2016-05-02,2.28,2.31,2.21,2.28,63111
2016-05-03,2.26,2.26,2.23,2.24,17442
2016-05-04,2.19,2.26,2.18,2.19,23045
2016-05-05,2.19,2.25,2.19,2.23,1533
2016-05-06,2.25,2.28,2.25,2.27,5699
2016-05-09,2.26,2.28,2.26,2.28,1792
2016-05-10,2.26,2.28,2.26,2.28,1964
2016-05-11,2.27,2.27,2.16,2.21,4801
2016-05-12,2.2,2.21,2.15,2.21,8789
2016-05-13,2.19,2.21,2.17,2.21,14300
2016-05-16,2.21,2.21,2.21,2.21,5150
2016-05-17,2.21,2.24,2.19,2.24,8394
2016-05-18,2.22,2.28,2.22,2.28,536
2016-05-19,2.27,2.27,2.27,2.27,1943
2016-05-20,2.28,2.3,2.23,2.23,5147
2016-05-23,2.38,2.38,2.28,2.29,689
2016-05-24,2.28,2.32,2.24,2.24,778
2016-05-25,2.25,2.28,2.21,2.25,6255
2016-05-26,,,,2.25,0
2016-05-27,2.25,2.25,2.2,2.25,7868
2016-05-31,2.22,2.22,2.22,2.22,1513
2016-06-01,2.26,2.28,2.21,2.21,4674
2016-06-02,2.2,2.26,2.19,2.26,6835
2016-06-03,2.15,2.21,2.15,2.21,3489
2016-06-06,2.25,2.27,2.23,2.23,515
2016-06-07,2.24,2.33,2.24,2.33,5939
2016-06-08,2.34,2.34,2.25,2.28,6127
2016-06-09,2.27,2.33,2.21,2.21,68622
2016-06-10,2.24,2.24,2.24,2.24,12100
2016-06-13,2.25,2.27,2.21,2.22,12487
2016-06-14,2.2,2.26,2.2,2.24,1888
2016-06-15,2.16,2.27,2.16,2.23,2308
2016-06-16,2.23,2.23,2.16,2.16,4614
2016-06-17,2.16,2.2,2.15,2.16,28502
2016-06-20,2.15,2.2,2.14,2.17,4534
2016-06-21,2.15,2.18,2.05,2.12,27864
2016-06-22,2.12,2.19,2.12,2.13,2922
2016-06-23,2.19,2.2,2.16,2.19,5804
2016-06-24,2.13,2.13,2.08,2.08,3513
2016-06-27,2.07,2.13,2.07,2.07,6585
2016-06-28,2.12,2.15,2.12,2.14,3199
2016-06-29,2.13,2.18,2.13,2.15,5041
2016-06-30,2.19,2.19,2.1,2.17,5133
2016-07-01,2.2,2.2,2.14,2.14,1865
2016-07-05,2.15,2.15,2.15,2.15,255
2016-07-06,2.14,2.14,2.08,2.1,7453
2016-07-07,2.14,2.14,2.04,2.1,17054
2016-07-08,2.1,2.1,2.1,2.1,529
2016-07-11,2.11,2.14,2.06,2.08,8953
2016-07-12,2.15,2.15,2.08,2.08,21681
2016-07-13,2.09,2.16,2.09,2.15,14018
2016-07-14,2.1,2.1,2.08,2.08,2030
2016-07-15,2.16,2.16,2.08,2.09,8212
2016-07-18,2.08,2.13,2.08,2.1,18533
2016-07-19,2.12,2.12,2.1,2.12,2269
2016-07-20,2.13,2.13,2.11,2.11,2150
2016-07-21,2.11,2.15,2.1,2.15,3083
2016-07-22,2.15,2.16,2.1,2.16,4586
2016-07-25,2.1,2.19,2.1,2.11,2600
2016-07-26,2.1,2.15,2.1,2.15,2030
2016-07-27,2.11,2.15,2.1,2.11,1926
2016-07-28,2.13,2.16,2.1,2.1,1986
2016-07-29,2.13,2.14,2.1,2.1,5262
2016-08-01,2.12,2.12,2.1,2.1,1093
2016-08-02,2.11,2.17,2.1,2.15,3783
2016-08-03,2.17,2.18,2.13,2.15,4101
2016-08-04,2.15,2.15,2.11,2.11,300
2016-08-05,2.1,2.18,2.1,2.13,5725
2016-08-08,2.12,2.13,2.11,2.13,9129
2016-08-09,,,,2.13,0
2016-08-10,2.12,2.12,2.1,2.11,5753
2016-08-11,2.13,2.13,2.12,2.13,1400
2016-08-12,2.1,2.12,2.1,2.12,610
2016-08-15,2.12,2.12,2.08,2.09,7053
2016-08-16,2.1,2.15,2.1,2.15,1063
2016-08-17,2.16,2.16,2.11,2.11,3023
2016-08-18,2.12,2.12,2.11,2.11,531
2016-08-19,2.12,2.13,2.11,2.13,3029
2016-08-22,2.13,2.13,2.1,2.1,22815
2016-08-23,2.1,2.13,2.08,2.13,4752
2016-08-24,2.1,2.2,2.1,2.19,3268
2016-08-25,2.2,2.2,2.15,2.15,5093
2016-08-26,2.42,2.5,2.25,2.4,127427
2016-08-29,2.38,2.5,2.37,2.5,45122
2016-08-30,2.5,2.51,2.45,2.45,66391
2016-08-31,2.45,2.45,2.39,2.44,17031
2016-09-01,2.43,2.49,2.43,2.48,2754
2016-09-02,2.49,2.5,2.43,2.43,1724
2016-09-06,2.43,2.49,2.42,2.48,5304
2016-09-07,2.48,2.48,2.43,2.43,9294
2016-09-08,2.43,2.46,2.42,2.42,1477
2016-09-09,2.43,2.43,2.42,2.42,2881
2016-09-12,2.43,2.44,2.42,2.42,1902
2016-09-13,2.43,2.5,2.43,2.47,11687
2016-09-14,2.48,2.52,2.45,2.45,51010
2016-09-15,2.49,2.49,2.43,2.48,4172
2016-09-16,2.44,2.5,2.42,2.47,14526
2016-09-19,2.45,2.45,2.4,2.42,14702
2016-09-20,2.41,2.44,2.41,2.41,3052
2016-09-21,2.42,2.49,2.42,2.43,15517
2016-09-22,2.46,2.5,2.46,2.47,2641
2016-09-23,2.43,2.53,2.43,2.49,112782
2016-09-26,2.47,2.5,2.47,2.49,3346
2016-09-27,2.46,2.46,2.37,2.38,10568
2016-09-28,2.37,2.46,2.37,2.41,15565
2016-09-29,2.4,2.5,2.4,2.45,40487
2016-09-30,2.54,2.54,2.44,2.47,17973
2016-10-03,2.48,2.48,2.41,2.41,3237
2016-10-04,2.43,2.43,2.36,2.36,3347
2016-10-05,2.39,2.44,2.39,2.43,4245
2016-10-06,2.41,2.41,2.35,2.41,1266
2016-10-07,2.4,2.42,2.39,2.42,1968
2016-10-10,2.45,2.45,2.38,2.42,887
2016-10-11,2.39,2.43,2.39,2.43,478
2016-10-12,2.4,2.45,2.4,2.45,204
2016-10-13,2.44,2.44,2.44,2.44,420
2016-10-14,2.43,2.44,2.41,2.44,10396
2016-10-17,2.39,2.4,2.37,2.37,1658
2016-10-18,2.38,2.4,2.38,2.4,285
2016-10-19,2.43,2.43,2.43,2.43,101
2016-10-20,,,,2.43,0
2016-10-21,2.35,2.38,2.35,2.38,2552
2016-10-24,2.35,2.35,2.35,2.35,335
2016-10-25,2.4,2.4,2.4,2.4,4054
2016-10-26,2.45,2.5,2.36,2.42,12102
2016-10-27,2.5,2.5,2.5,2.5,123
2016-10-28,2.45,2.45,2.35,2.36,1918
2016-10-31,2.35,2.4,2.35,2.4,1787
2016-11-01,2.4,2.4,2.4,2.4,417
2016-11-02,2.35,2.4,2.35,2.35,710
2016-11-03,2.35,2.4,2.35,2.35,2000
2016-11-04,2.35,2.4,2.35,2.35,288184
2016-11-07,2.35,2.4,2.3,2.35,1635
2016-11-08,2.35,2.45,2.35,2.4,8457
2016-11-09,2.35,2.35,2.3,2.3,201
2016-11-10,2.4,2.4,2.4,2.4,101
2016-11-11,2.4,2.4,2.35,2.35,300
2016-11-14,2.35,2.35,2.32,2.32,2153
2016-11-15,2.4,2.4,2.4,2.4,943
2016-11-16,2.45,2.45,2.45,2.45,357
2016-11-17,2.4,2.41,2.35,2.35,810
2016-11-18,2.35,2.4,2.3,2.4,790060
2016-11-21,2.4,2.4,2.35,2.35,24666
2016-11-22,2.35,2.39,2.35,2.35,20962
2016-11-23,2.35,2.4,2.3,2.3,37110
2016-11-25,2.33,2.35,2.3,2.35,1089
2016-11-28,2.35,2.35,2.3,2.3,580
2016-11-29,2.35,2.4,2.3,2.4,41299
2016-11-30,2.35,2.35,2.33,2.35,3344
2016-12-01,2.35,2.4,2.3,2.3,17533
2016-12-02,2.3,2.3,2.2,2.3,132292
2016-12-05,2.3,2.3,2.2,2.25,25543
2016-12-06,2.2,2.35,2.2,2.25,6111
2016-12-07,2.3,2.3,2.15,2.2,162402
2016-12-08,2.24,2.3,2.15,2.15,101625
2016-12-09,2.2,2.3,2.17,2.3,10531
2016-12-12,2.3,2.3,2.24,2.25,8515
2016-12-13,2.25,2.3,2.25,2.3,2834
2016-12-14,2.3,2.35,2.3,2.35,12244
2016-12-15,2.34,2.35,2.3,2.3,8730
2016-12-16,2.3,2.35,2.3,2.35,863
2016-12-19,2.4,2.4,2.25,2.35,5253
2016-12-20,2.35,2.35,2.3,2.3,27374
2016-12-21,2.3,2.31,2.3,2.3,1064
2016-12-22,2.3,2.3,2.3,2.3,538
2016-12-23,2.3,2.35,2.3,2.3,4788
2016-12-27,2.3,2.35,2.3,2.35,869
2016-12-28,2.3,2.35,2.25,2.35,2404
2016-12-29,2.3,2.35,2.25,2.25,8399
2016-12-30,2.25,2.3,2.05,2.3,15354
2017-01-03,2.3,2.3,2.25,2.27,11343
2017-01-04,2.27,2.35,2.27,2.3,1553
2017-01-05,2.3,2.34,2.3,2.34,1219
2017-01-06,2.35,2.35,2.3,2.3,12532
2017-01-09,2.35,2.35,2.3,2.35,29681
2017-01-10,2.35,2.35,2.3,2.3,3423
2017-01-11,2.35,2.4,2.34,2.4,16613
2017-01-12,2.4,2.4,2.3,2.35,6769
2017-01-13,2.3,2.4,2.3,2.4,5834
2017-01-17,2.4,2.4,2.3,2.35,9217
2017-01-18,2.3,2.35,2.3,2.35,5516
2017-01-19,2.3,2.35,2.25,2.35,9783
2017-01-20,2.35,2.4,2.3,2.4,15307
2017-01-23,2.4,2.45,2.3,2.3,604
2017-01-24,2.35,2.4,2.32,2.4,8691
2017-01-25,2.35,2.4,2.35,2.4,1116
2017-01-26,2.3,2.3,2.25,2.3,7988
2017-01-27,2.35,2.35,2.25,2.25,1390
2017-01-30,2.35,2.4,2.35,2.35,6755
2017-01-31,2.4,2.4,2.25,2.25,6457
2017-02-01,2.25,2.35,2.15,2.35,99530
2017-02-02,2.4,2.4,2.15,2.3,149589
2017-02-03,2.25,2.3,2.25,2.3,321
2017-02-06,2.3,2.3,2.25,2.3,927
2017-02-07,2.3,2.3,2.3,2.3,2307
2017-02-08,2.3,2.3,2.2,2.3,941
2017-02-09,,,,2.3,0
2017-02-10,2.25,2.3,2.25,2.25,52698
2017-02-13,2.25,2.3,2.25,2.25,37598
2017-02-14,2.25,2.25,2.25,2.25,371
2017-02-15,2.25,2.3,2.22,2.25,55155
2017-02-16,2.25,2.25,2.25,2.25,527
2017-02-17,2.25,2.35,2.2,2.35,12626
2017-02-21,2.35,2.35,2.29,2.35,5644
2017-02-22,2.35,2.4,2.3,2.4,12901
2017-02-23,2.35,2.35,2.3,2.35,3687
2017-02-24,2.3,2.35,2.29,2.35,25677
2017-02-27,2.35,2.35,2.25,2.3,23217
2017-02-28,2.3,2.3,2.15,2.2,71747
2017-03-01,2.2,2.25,2.15,2.25,17293
2017-03-02,2.25,2.25,2.15,2.2,9535
2017-03-03,2.2,2.2,2.2,2.2,235
2017-03-06,2.15,2.2,2.15,2.2,5572
2017-03-07,2.2,2.24,2.15,2.2,1982
2017-03-08,2.15,2.25,2.15,2.15,22623
2017-03-09,2.2,2.2,2.15,2.2,491
2017-03-10,2.25,2.25,2.15,2.15,2573
2017-03-13,2.15,2.2,2.1,2.15,2550
2017-03-14,2.1,2.25,2.1,2.2,37771
2017-03-15,2.2,2.25,2.2,2.2,3485
2017-03-16,2.2,2.25,2.15,2.2,3622
2017-03-17,2.2,2.2,2.1,2.1,15810
2017-03-20,2.1,2.15,2.05,2.1,2739
