Date,Open,High,Low,Close,Volume
2016-08-12,86.21,86.21,85.69,85.69,25970
2016-08-15,85.99,87.77,85.99,86.88,1494
2016-08-16,86.21,86.21,84.72,85.07,11035
2016-08-17,85.0,85.0,84.18,84.52,81680
2016-08-18,85.34,85.34,85.06,85.34,30293
2016-08-19,82.77,86.0,82.77,86.0,67453
2016-08-22,83.19,84.91,82.46,83.0,14643
2016-08-23,87.59,88.46,86.83,88.46,3915
2016-08-24,87.35,88.23,87.35,87.41,1081
2016-08-25,,,,87.41,0
2016-08-26,88.17,89.53,87.55,87.55,805
2016-08-29,89.02,89.02,88.04,88.3,5460
2016-08-30,88.65,88.65,85.98,86.0,41820
2016-08-31,85.18,86.1,84.91,84.91,745
2016-09-01,85.37,86.03,84.22,84.22,1100
2016-09-02,85.52,86.26,85.1,85.1,921
2016-09-06,85.46,86.44,85.46,86.44,1819
2016-09-07,88.78,88.91,88.23,88.91,880
2016-09-08,89.75,92.56,88.88,92.56,60870
2016-09-09,90.69,90.78,90.33,90.33,20603
2016-09-12,88.83,90.76,87.59,90.76,23671
2016-09-13,86.65,86.65,81.36,81.9,94408
2016-09-14,81.85,82.28,80.98,81.43,99653
2016-09-15,80.81,83.74,80.44,83.69,87068
2016-09-16,82.0,82.56,82.0,82.28,4620
2016-09-19,83.44,83.57,83.04,83.57,1801
2016-09-20,85.53,85.6,85.09,85.47,33891
2016-09-21,,,,85.47,0
2016-09-22,86.38,87.34,85.96,87.28,26840
2016-09-23,86.32,86.83,85.23,85.44,1588
2016-09-26,85.52,86.17,84.8,85.22,3633
2016-09-27,85.22,85.22,83.66,83.88,1239
2016-09-28,85.16,85.16,82.48,82.48,21115
2016-09-29,82.4,82.9,80.86,81.42,5285
2016-09-30,80.08,82.89,79.5,82.89,5484
2016-10-03,84.83,86.71,83.78,86.46,41655
2016-10-04,86.38,89.38,84.93,85.91,64542
2016-10-05,85.83,86.9,85.83,86.52,50947
2016-10-06,85.74,86.3,84.59,84.89,81872
2016-10-07,85.3,85.55,84.8,85.47,12185
2016-10-10,85.89,87.7,85.42,87.7,25201
2016-10-11,85.32,85.67,84.12,84.12,1800
2016-10-12,84.0,84.0,82.35,82.35,1525
2016-10-13,,,,82.35,0
2016-10-14,83.8,85.63,82.78,83.62,2010
2016-10-17,84.34,84.79,83.4,83.4,1260
2016-10-18,85.0,85.59,84.2,85.59,26000
2016-10-19,84.8,88.91,84.8,88.06,87232
2016-10-20,86.89,86.89,85.23,85.62,3969
2016-10-21,84.56,85.7,83.3,83.49,2752
2016-10-24,83.72,84.02,80.06,80.4,11900
2016-10-25,82.09,82.1,78.24,78.5,20683
2016-10-26,76.4,77.0,75.11,75.6,50083
2016-10-27,75.99,76.79,74.86,75.44,40279
2016-10-28,75.23,76.61,74.71,75.52,70454
2016-10-31,76.34,76.5,76.34,76.5,1170
2016-11-01,74.83,75.6,74.82,75.5,123463
2016-11-02,68.34,68.35,57.44,58.72,117548
2016-11-03,60.69,61.91,60.49,61.16,277677
2016-11-04,61.73,64.62,61.73,64.62,3622
2016-11-07,65.14,65.14,64.01,64.57,1131
2016-11-08,64.94,66.02,64.94,65.35,740
2016-11-09,67.73,67.85,65.29,67.0,5428
2016-11-10,68.31,68.31,62.7,63.45,53644
2016-11-11,63.14,64.07,61.49,63.45,16047
2016-11-14,64.23,65.53,64.01,64.01,705
2016-11-15,64.51,65.88,64.51,65.88,11523
2016-11-16,67.13,67.13,66.98,66.98,251
2016-11-17,67.9,69.19,67.68,68.78,2952
