Date,Open,High,Low,Close,Volume
2016-01-04,47.32,47.52,46.76,47.25,1383733
2016-01-05,47.43,48.81,47.26,48.32,1628641
2016-01-06,47.91,48.46,47.54,47.95,1660706
2016-01-07,47.42,47.68,46.65,46.73,1193401
2016-01-08,46.89,47.3,46.22,46.28,1268137
2016-01-11,46.53,46.88,45.59,46.26,1605234
2016-01-12,46.52,50.01,46.47,49.9,2852830
2016-01-13,49.45,49.56,48.1,48.44,2499881
2016-01-14,48.47,48.54,46.46,47.66,2258468
2016-01-15,46.78,47.5,46.16,47.46,1814446
2016-01-19,47.86,48.58,47.09,48.23,2075402
2016-01-20,47.58,47.98,44.25,46.63,4609368
2016-01-21,46.86,49.27,46.33,48.69,2309567
2016-01-22,49.0,50.03,48.79,49.89,1742571
2016-01-25,49.9,50.24,48.79,49.08,1508408
2016-01-26,49.07,50.18,49.07,49.78,973824
2016-01-27,49.82,50.2,48.6,49.06,1221986
2016-01-28,49.26,49.66,48.72,49.55,1247802
2016-01-29,49.12,49.79,48.41,49.74,2145193
2016-02-01,49.59,50.33,49.12,49.35,1836851
2016-02-02,49.18,50.15,48.94,49.07,1761936
2016-02-03,49.43,49.59,47.91,48.29,1658837
2016-02-04,48.24,48.97,47.74,48.52,1093120
2016-02-05,48.48,48.5,46.33,46.61,1483784
2016-02-08,46.55,47.18,45.48,46.63,2033711
2016-02-09,46.21,47.23,46.05,46.53,1251616
2016-02-10,46.92,47.16,46.21,46.27,698887
2016-02-11,45.85,46.53,44.75,46.01,1067356
2016-02-12,46.35,47.63,46.14,47.23,960230
2016-02-16,47.63,48.1,47.23,47.88,613704
2016-02-17,48.0,48.99,48.0,48.95,1270533
2016-02-18,48.57,48.8,48.2,48.69,690280
2016-02-19,48.74,49.3,48.38,48.45,1275533
2016-02-22,48.86,49.5,48.56,49.18,1025963
2016-02-23,49.21,50.32,48.94,49.79,1002871
2016-02-24,49.45,50.51,49.09,50.44,731786
2016-02-25,50.71,51.58,50.46,51.12,1146030
2016-02-26,51.39,51.48,49.89,50.36,878797
2016-02-29,50.4,50.58,49.76,49.8,1172012
2016-03-01,50.21,50.45,49.7,50.04,1110928
2016-03-02,49.77,49.77,48.96,49.25,772140
2016-03-03,49.29,49.93,48.62,49.84,838094
2016-03-04,49.78,50.72,49.56,50.28,947157
2016-03-07,49.97,50.24,49.18,50.24,1045743
2016-03-08,49.95,50.17,49.61,49.78,614417
2016-03-09,50.23,50.4,48.85,49.0,1221119
2016-03-10,49.31,49.62,47.96,48.27,790362
2016-03-11,48.59,48.91,48.12,48.83,414376
2016-03-14,47.94,48.22,46.46,47.06,2675091
2016-03-15,47.05,47.19,46.34,46.47,1057439
2016-03-16,46.47,47.1,46.04,46.7,697392
2016-03-17,46.54,47.07,46.13,46.81,742847
2016-03-18,46.6,47.61,46.5,46.86,1328773
2016-03-21,46.88,47.21,46.58,47.16,661959
2016-03-22,47.0,47.23,46.07,46.12,1081355
2016-03-23,46.01,46.11,45.39,45.68,741129
2016-03-24,45.32,45.37,44.3,45.1,974271
2016-03-28,45.44,46.1,45.31,45.88,707691
2016-03-29,45.98,46.74,45.98,46.6,656497
2016-03-30,47.0,47.29,46.43,46.46,718183
2016-03-31,46.46,46.71,45.69,45.95,1067579
2016-04-01,45.91,46.47,45.79,46.36,679776
2016-04-04,46.39,46.97,46.11,46.84,1038400
2016-04-05,46.5,46.56,45.76,46.3,1192354
2016-04-06,46.18,46.81,45.77,45.8,1107820
2016-04-07,45.5,46.33,45.42,45.85,977836
