Date,Open,High,Low,Close,Volume
2016-01-04,19.19,19.46,18.57,18.69,158540
2016-01-05,18.8,19.05,18.53,19.03,164040
2016-01-06,18.74,19.44,18.74,19.42,201832
2016-01-07,19.03,19.49,19.01,19.14,144179
2016-01-08,19.25,19.34,18.74,18.79,154894
2016-01-11,19.25,19.25,18.7,18.9,201231
2016-01-12,19.08,19.32,18.74,19.02,164082
2016-01-13,19.01,19.19,18.4,18.52,139912
2016-01-14,18.67,19.56,18.57,19.31,234061
2016-01-15,18.9,19.17,18.32,18.74,152340
2016-01-19,18.74,19.3,18.53,19.2,244580
2016-01-20,18.92,20.13,18.71,19.97,263369
2016-01-21,20.02,20.09,19.66,19.83,263221
2016-01-22,20.0,20.04,19.45,19.68,121083
2016-01-25,19.69,19.72,19.28,19.32,87706
2016-01-26,19.37,19.72,19.3,19.71,92217
2016-01-27,19.59,19.81,19.37,19.43,113588
2016-01-28,19.56,19.92,19.56,19.7,106325
2016-01-29,19.74,19.99,19.68,19.97,203073
2016-02-01,19.72,20.08,19.61,19.94,135045
2016-02-02,19.82,20.11,19.74,20.01,91286
2016-02-03,20.1,20.2,19.6,19.71,115800
2016-02-04,19.6,19.82,18.98,19.06,127434
2016-02-05,19.06,19.16,18.57,18.57,175589
2016-02-08,18.5,18.89,18.31,18.78,109986
2016-02-09,18.62,18.76,18.39,18.49,88788
2016-02-10,18.64,18.83,18.48,18.48,83161
2016-02-11,18.27,18.55,18.0,18.31,104800
2016-02-12,18.48,18.64,18.33,18.52,137704
2016-02-16,18.75,18.94,18.62,18.81,93161
2016-02-17,18.93,19.36,18.85,18.92,102032
2016-02-18,18.9,19.35,18.88,18.95,76757
2016-02-19,18.9,19.13,18.53,18.68,128650
2016-02-22,18.83,19.16,18.82,19.07,157637
2016-02-23,19.07,20.0,18.88,19.3,223807
2016-02-24,19.14,19.44,19.02,19.42,89604
2016-02-25,19.52,19.9,19.43,19.81,169204
2016-02-26,19.83,19.83,19.35,19.45,99989
2016-02-29,19.45,19.92,19.45,19.74,195728
2016-03-01,19.83,19.92,19.59,19.82,119011
2016-03-02,19.72,20.2,19.72,19.8,139845
2016-03-03,19.68,19.85,19.46,19.65,196195
2016-03-04,19.61,19.68,19.41,19.58,149188
2016-03-07,19.58,19.88,19.58,19.76,138822
2016-03-08,19.75,19.75,19.47,19.49,184373
2016-03-09,19.52,19.92,19.52,19.87,182129
2016-03-10,19.88,20.03,19.71,19.82,70699
2016-03-11,19.94,20.25,19.91,20.14,101121
2016-03-14,20.14,20.9,20.05,20.69,265491
2016-03-15,20.68,20.86,20.51,20.71,195053
2016-03-16,20.65,20.88,20.51,20.76,180847
2016-03-17,20.76,20.88,20.33,20.5,222165
2016-03-18,20.6,20.64,19.94,20.23,355861
2016-03-21,20.23,20.44,20.14,20.41,218161
2016-03-22,20.16,20.7,20.16,20.66,115978
2016-03-23,20.62,20.62,19.65,19.67,229810
2016-03-24,19.59,19.68,19.25,19.6,135214
2016-03-28,19.61,19.84,19.42,19.48,147376
2016-03-29,19.5,20.12,19.39,19.99,109617
2016-03-30,20.0,20.21,19.71,19.92,109102
2016-03-31,19.9,20.01,19.39,19.55,335128
2016-04-01,19.46,20.32,19.44,20.3,178175
2016-04-04,20.3,20.38,19.94,19.95,129952
2016-04-05,19.86,20.21,19.0,19.95,567973
2016-04-06,20.0,21.55,20.0,21.5,416874
2016-04-07,21.33,21.48,20.84,20.87,182967
2016-04-08,20.95,20.95,20.25,20.26,224492
2016-04-11,20.26,20.45,20.11,20.11,142841
2016-04-12,20.1,20.44,20.01,20.02,187591
2016-04-13,19.91,20.08,19.82,20.08,150334
2016-04-14,20.01,20.13,19.85,19.91,130218
2016-04-15,19.8,19.9,19.51,19.53,178770
2016-04-18,19.32,19.85,19.24,19.71,187891
2016-04-19,19.69,20.04,19.6,19.94,191132
2016-04-20,19.86,20.26,19.82,19.98,353203
2016-04-21,20.01,20.11,19.72,19.73,150138
2016-04-22,19.6,19.89,19.55,19.63,203956
2016-04-25,19.49,19.87,19.39,19.81,165656
2016-04-26,19.93,20.11,19.81,19.85,115313
2016-04-27,19.92,20.1,19.76,19.87,147959
2016-04-28,19.8,19.94,19.53,19.61,182037
2016-04-29,19.49,19.61,19.34,19.54,148750
2016-05-02,19.5,19.66,19.35,19.58,143347
2016-05-03,19.45,19.57,19.09,19.11,176102
2016-05-04,19.1,19.22,18.8,19.07,172356
2016-05-05,19.17,19.56,19.13,19.36,234727
2016-05-06,19.29,19.29,18.85,18.91,131766
2016-05-09,18.99,19.15,18.76,19.0,152506
2016-05-10,19.09,19.2,18.94,19.07,104223
2016-05-11,18.95,19.1,17.9,17.96,215068
2016-05-12,18.11,18.39,17.98,18.18,184056
2016-05-13,18.1,18.11,17.94,17.97,106711
2016-05-16,18.01,18.15,17.91,17.93,87096
2016-05-17,17.95,17.97,17.68,17.7,217805
2016-05-18,17.62,17.79,17.36,17.43,162664
2016-05-19,17.25,17.54,17.21,17.48,135874
2016-05-20,17.55,17.77,17.49,17.6,143816
2016-05-23,17.67,17.79,17.53,17.58,158598
