Date,Open,High,Low,Close,Volume
2016-01-04,2.44,2.45,2.36,2.36,68388
2016-01-05,2.4,2.48,2.33,2.48,46316
2016-01-06,2.47,2.54,2.41,2.5,46507
2016-01-07,2.48,2.51,2.41,2.47,70003
2016-01-08,2.43,2.45,2.33,2.36,100262
2016-01-11,2.41,2.41,2.23,2.27,36885
2016-01-12,2.29,2.36,2.25,2.33,35894
2016-01-13,2.34,2.34,2.25,2.28,143300
2016-01-14,2.25,2.28,2.2,2.26,44723
2016-01-15,2.2,2.27,2.19,2.26,30470
2016-01-19,2.22,2.22,2.1,2.15,44527
2016-01-20,2.09,2.1,1.89,2.05,154892
2016-01-21,2.09,2.12,2.04,2.06,38643
2016-01-22,2.15,2.17,2.06,2.13,93061
2016-01-25,2.02,2.22,2.02,2.1,41058
2016-01-26,1.99,2.01,1.97,1.99,243037
2016-01-27,2.1,2.17,2.08,2.14,269021
2016-01-28,2.23,2.31,2.22,2.29,231711
2016-01-29,2.46,2.54,2.44,2.52,433671
2016-02-01,2.5,2.59,2.48,2.57,88176
2016-02-02,2.57,2.57,2.47,2.47,101834
2016-02-03,2.55,2.59,2.5,2.59,42575
2016-02-04,2.61,2.69,2.55,2.6,115867
2016-02-05,2.56,2.59,2.48,2.5,74104
2016-02-08,2.48,2.48,2.4,2.45,11451
2016-02-09,2.22,2.39,2.17,2.39,12616
2016-02-10,2.44,2.55,2.42,2.43,92232
2016-02-11,2.45,2.48,2.38,2.41,40803
2016-02-12,2.42,2.43,2.34,2.34,54142
2016-02-16,2.34,2.37,2.31,2.34,31829
2016-02-17,2.43,2.49,2.41,2.48,204764
2016-02-18,2.48,2.49,2.4,2.4,111607
2016-02-19,2.43,2.52,2.41,2.47,567776
2016-02-22,2.6,2.66,2.6,2.66,202905
2016-02-23,2.58,2.59,2.49,2.53,100338
2016-02-24,2.45,2.46,2.4,2.46,47628
2016-02-25,2.53,2.53,2.45,2.47,69772
2016-02-26,2.47,2.48,2.38,2.39,19057
2016-02-29,2.45,2.48,2.39,2.42,129564
2016-03-01,2.43,2.53,2.43,2.53,20932
2016-03-02,2.52,2.61,2.51,2.55,24427
2016-03-03,2.66,2.83,2.65,2.78,225980
2016-03-04,2.91,2.99,2.87,2.89,64134
2016-03-07,2.83,2.91,2.74,2.77,108057
2016-03-08,2.81,2.93,2.8,2.9,69466
2016-03-09,2.97,3.0,2.89,2.93,25418
2016-03-10,2.92,3.08,2.91,3.08,30951
2016-03-11,3.06,3.08,3.04,3.04,5580
2016-03-14,3.08,3.14,2.97,2.98,49586
2016-03-15,2.76,2.85,2.67,2.74,59557
2016-03-16,2.72,2.85,2.67,2.79,74923
2016-03-17,2.97,3.05,2.9,3.03,220349
2016-03-18,3.02,3.08,3.0,3.04,59084
2016-03-21,3.06,3.08,3.01,3.01,25408
2016-03-22,3.05,3.08,3.04,3.07,43209
2016-03-23,2.97,3.0,2.93,2.95,12641
2016-03-24,2.9,2.91,2.84,2.88,17296
2016-03-28,3.0,3.05,2.95,2.99,26748
2016-03-29,2.96,3.03,2.9,2.94,45413
2016-03-30,2.95,3.0,2.84,2.86,22900
2016-03-31,2.92,2.96,2.85,2.91,138619
2016-04-01,2.93,3.0,2.93,2.93,20280
2016-04-04,2.89,2.94,2.82,2.83,23521
2016-04-05,2.84,2.91,2.84,2.85,20626
2016-04-06,2.84,2.84,2.7,2.75,26017
2016-04-07,2.71,2.73,2.64,2.7,7628
2016-04-08,2.81,2.88,2.79,2.81,41360
2016-04-11,2.93,2.94,2.84,2.87,35037
2016-04-12,2.89,2.96,2.83,2.94,37727
2016-04-13,3.04,3.08,3.02,3.08,52452
2016-04-14,3.01,3.13,2.95,3.11,984688
2016-04-15,3.09,3.2,3.08,3.19,889575
2016-04-18,3.05,3.15,3.05,3.08,355468
2016-04-19,3.16,3.21,3.15,3.18,164228
2016-04-20,3.18,3.21,3.12,3.14,166510
2016-04-21,3.15,3.19,2.87,3.09,65143
2016-04-22,3.2,3.44,3.2,3.42,78718
2016-04-25,3.44,3.68,3.42,3.56,954207
2016-04-26,3.55,3.64,3.53,3.57,137474
2016-04-27,3.59,3.63,3.56,3.59,45078
2016-04-28,3.56,3.68,3.56,3.66,173168
2016-04-29,3.7,3.76,3.67,3.72,458718
2016-05-02,3.64,3.72,3.61,3.72,93129
2016-05-03,3.61,3.66,3.53,3.66,205039
2016-05-04,3.61,3.84,3.58,3.76,119996
2016-05-05,3.8,3.85,3.69,3.75,48574
2016-05-06,3.71,3.87,3.67,3.8,47432
2016-05-09,3.73,3.78,3.57,3.73,296039
2016-05-10,3.78,3.8,3.69,3.79,74698
2016-05-11,3.8,3.81,3.69,3.75,496303
2016-05-12,3.74,3.81,3.67,3.74,160999
2016-05-13,3.68,3.78,3.68,3.72,131621
2016-05-16,3.69,3.69,3.52,3.57,369982
2016-05-17,3.41,3.47,3.38,3.43,324603
2016-10-13,7.9,7.9,7.59,7.75,111764
2016-10-14,7.91,7.91,7.7,7.7,94814
2016-10-17,7.77,8.03,7.73,8.03,221791
2016-10-18,7.97,8.36,7.92,8.34,180152
2016-10-19,8.26,8.26,7.91,8.15,74377
2016-10-20,8.06,8.29,8.06,8.29,773343
2016-10-21,8.28,8.39,8.22,8.38,60459
2016-10-24,8.69,8.69,8.35,8.37,97335
2016-10-25,8.25,8.55,8.1,8.49,32146
2016-10-26,8.53,8.54,8.35,8.54,44111
2016-10-27,8.69,8.74,8.46,8.54,23617
2016-10-28,8.64,8.66,8.47,8.54,12007
2016-10-31,8.87,8.9,8.5,8.67,36431
2016-11-01,8.45,8.45,8.16,8.33,20668
2016-11-02,8.0,8.2,8.0,8.1,1738
