Date,Open,High,Low,Close,Volume
2016-01-04,1.31,1.33,1.3,1.3,229625
2016-01-05,1.34,1.34,1.3,1.32,127899
2016-01-06,1.32,1.33,1.3,1.3,231827
2016-01-07,1.28,1.28,1.23,1.23,382301
2016-01-08,1.23,1.24,1.16,1.2,861004
2016-01-11,1.26,1.26,1.16,1.17,577386
2016-01-12,1.22,1.25,1.19,1.22,228811
2016-01-13,1.22,1.24,1.19,1.2,153276
2016-01-14,1.18,1.22,1.17,1.2,334857
2016-01-15,1.15,1.21,1.15,1.18,254225
2016-01-19,1.17,1.18,1.15,1.17,427137
2016-01-20,1.14,1.16,1.12,1.16,329999
2016-01-21,1.15,1.19,1.14,1.16,213080
2016-01-22,1.19,1.23,1.19,1.22,198595
2016-01-25,1.22,1.24,1.21,1.21,45886
2016-01-26,1.14,1.16,1.13,1.14,197317
2016-01-27,1.2,1.26,1.19,1.21,409368
2016-01-28,1.28,1.3,1.26,1.3,205798
2016-01-29,1.34,1.47,1.33,1.42,842668
2016-02-01,1.42,1.46,1.41,1.44,712428
2016-02-02,1.42,1.43,1.36,1.38,494624
2016-02-03,1.38,1.45,1.36,1.43,313893
2016-02-04,1.51,1.56,1.48,1.5,319322
2016-02-05,1.49,1.52,1.47,1.49,233106
2016-02-08,1.45,1.49,1.42,1.43,269654
2016-02-09,1.44,1.44,1.39,1.4,236977
2016-02-10,1.45,1.49,1.43,1.44,189291
2016-02-11,1.43,1.46,1.42,1.43,246748
2016-02-12,1.42,1.44,1.39,1.39,195532
2016-02-16,1.4,1.41,1.37,1.39,318878
2016-02-17,1.44,1.49,1.43,1.47,360010
2016-02-18,1.47,1.5,1.45,1.46,145779
2016-02-19,1.45,1.53,1.43,1.52,1542287
2016-02-22,1.58,1.6,1.57,1.6,342822
2016-02-23,1.56,1.57,1.5,1.5,177811
2016-02-24,1.43,1.44,1.4,1.41,446562
2016-02-25,1.46,1.48,1.42,1.43,146584
2016-02-26,1.43,1.44,1.36,1.37,267724
2016-02-29,1.4,1.43,1.39,1.42,280097
2016-03-01,1.41,1.45,1.41,1.44,202685
2016-03-02,1.45,1.54,1.45,1.51,229888
2016-03-03,1.6,1.74,1.58,1.72,1035224
2016-03-04,1.83,1.84,1.76,1.79,1519862
2016-03-07,1.72,1.8,1.67,1.69,1167245
2016-03-08,1.72,1.78,1.67,1.78,669394
2016-03-09,1.81,1.87,1.79,1.85,388184
2016-03-10,1.83,1.94,1.83,1.93,322280
2016-03-11,1.94,2.0,1.91,1.99,374019
