Date,Open,High,Low,Close,Volume
2016-01-04,16.49,16.79,16.31,16.56,21769
2016-01-05,16.5,16.87,16.5,16.68,12242
2016-01-06,16.49,16.98,16.49,16.89,5385
2016-01-07,16.75,16.93,16.73,16.73,11263
2016-01-08,16.76,16.89,16.56,16.72,8806
2016-01-11,16.71,17.22,16.6,16.8,37279
2016-01-12,16.74,17.15,16.74,16.97,11633
2016-01-13,16.97,16.97,16.57,16.7,11159
2016-01-14,16.68,16.8,16.4,16.52,25100
2016-01-15,16.45,16.62,16.45,16.46,10653
2016-01-19,16.59,16.59,15.66,15.97,36429
2016-01-20,15.62,15.8,15.15,15.72,39366
2016-01-21,15.69,16.47,15.69,16.32,15250
2016-01-22,16.57,16.7,16.1,16.27,31292
2016-01-25,16.03,16.18,15.75,16.14,56171
2016-01-26,16.24,16.57,16.23,16.23,3730
2016-01-27,16.43,16.52,15.84,16.28,19001
2016-01-28,16.43,16.47,15.93,16.37,2580
2016-01-29,16.47,16.47,15.99,16.13,5446
2016-02-01,16.17,16.2,15.96,16.1,9720
2016-02-02,15.95,16.1,15.88,15.94,5543
2016-02-03,15.89,15.89,15.73,15.75,2104
2016-02-04,15.83,15.83,15.28,15.43,40414
2016-02-05,15.51,15.51,14.92,14.95,13020
2016-02-08,14.77,14.77,14.13,14.23,30391
2016-02-09,13.98,13.98,13.61,13.8,19833
2016-02-10,13.92,13.97,13.81,13.86,9466
2016-02-11,13.72,13.76,13.59,13.65,7811
2016-02-12,13.79,13.79,13.61,13.61,4312
2016-02-16,13.74,13.74,13.3,13.52,21530
2016-02-17,13.62,14.9,13.59,14.57,31390
2016-02-18,14.67,14.67,14.07,14.07,11025
2016-02-19,13.99,14.18,13.96,14.18,6414
2016-02-22,14.2,14.52,14.2,14.26,13450
2016-02-23,14.39,14.39,14.25,14.34,12083
2016-02-24,14.1,14.41,14.09,14.28,6287
2016-02-25,14.26,14.96,14.26,14.55,15908
2016-02-26,14.34,14.83,14.34,14.65,13485
2016-02-29,14.62,15.3,14.62,15.09,25022
2016-03-01,15.0,15.07,14.97,15.06,5053
2016-03-02,15.23,15.45,15.13,15.44,15087
2016-03-03,15.43,15.7,15.04,15.46,17380
2016-03-04,15.46,15.87,15.46,15.87,23017
