Date,Open,High,Low,Close,Volume
2016-01-04,112.9,113.14,111.0,112.49,1766713
2016-01-05,112.55,113.69,112.29,112.9,1222819
2016-01-06,109.82,110.85,106.55,108.07,3836959
2016-01-07,105.95,107.87,104.94,105.27,1963091
2016-01-08,105.49,105.78,104.08,104.35,1297301
2016-01-11,104.66,105.18,103.61,104.62,1498438
2016-01-12,105.83,106.25,104.61,105.72,1349213
2016-01-13,106.65,106.76,103.02,103.13,1389893
2016-01-14,103.48,105.4,102.48,104.82,1485000
2016-01-15,103.39,103.91,100.59,102.58,2035599
2016-01-19,104.0,104.08,101.49,102.37,1426775
2016-01-20,100.88,103.54,99.99,102.44,1737357
2016-01-21,102.11,102.74,100.59,101.85,1627953
2016-01-22,103.88,106.81,103.61,104.99,1555548
2016-01-25,104.48,104.89,103.08,103.26,1200846
2016-01-26,103.41,104.16,103.12,104.13,1147972
2016-01-27,103.41,104.73,102.06,102.78,1143958
2016-01-28,104.08,105.2,103.38,104.0,1030241
2016-01-29,104.71,107.98,103.99,107.87,2124953
2016-02-01,106.56,107.65,105.48,107.42,1109264
2016-02-02,106.54,106.54,104.69,104.93,1327856
2016-02-03,106.9,107.9,104.15,107.28,1546060
2016-02-04,107.46,109.68,107.13,109.17,1373717
2016-02-05,108.89,108.89,105.67,106.17,1347229
2016-02-08,105.04,105.72,102.44,103.62,1652990
2016-02-09,102.91,107.7,102.21,107.2,1687769
2016-02-10,107.62,109.65,106.07,106.21,1239437
2016-02-11,104.02,104.6,102.55,103.3,1437884
2016-02-12,104.96,106.93,104.04,106.63,1190504
2016-02-16,108.23,108.88,106.38,108.65,1108922
2016-02-17,110.0,110.56,109.56,109.96,1352331
2016-02-18,109.73,110.0,108.34,108.76,1001044
2016-02-19,108.3,108.33,106.77,107.77,2189706
2016-02-22,109.27,109.47,106.85,108.09,2274668
2016-02-23,103.62,104.12,99.99,100.14,6279177
2016-02-24,99.41,102.31,98.62,102.13,2945831
2016-02-25,102.59,103.69,101.59,103.68,1250679
2016-02-26,104.45,106.56,104.22,106.28,1816356
2016-02-29,105.94,106.81,102.55,102.55,1820665
2016-03-01,103.55,106.14,102.68,105.86,1790316
2016-03-02,105.28,105.72,104.1,104.68,1366935
2016-03-03,104.73,105.48,104.46,105.24,1164357
2016-03-04,105.7,107.12,104.79,106.33,1235598
2016-03-07,105.7,106.67,105.27,105.96,1117587
2016-03-08,104.95,105.4,104.21,104.28,1355778
2016-03-09,104.74,105.33,103.92,104.22,2218941
2016-03-10,104.83,106.26,103.88,105.26,1638952
2016-03-11,106.01,106.82,105.95,106.36,1000572
2016-03-14,104.28,104.28,102.92,103.04,2157217
2016-03-15,102.77,104.19,102.38,104.05,1359882
2016-03-16,103.95,106.43,103.53,105.87,1168368
2016-03-17,106.03,108.08,106.03,107.84,1762164
2016-03-18,108.22,109.41,107.74,108.14,2387630
2016-03-21,108.13,109.68,107.83,108.98,1342670
2016-03-22,108.04,111.86,108.04,110.56,2041297
2016-03-23,110.25,110.91,109.61,110.0,893770
2016-03-24,109.27,110.6,109.08,110.53,1065802
2016-03-28,110.53,111.23,109.58,110.6,1110060
2016-03-29,110.12,111.55,109.77,111.46,879617
2016-03-30,112.09,113.22,111.92,112.42,982079
2016-03-31,112.62,113.4,111.06,111.52,1289121
2016-04-01,110.47,112.67,109.83,112.42,1355701
2016-04-04,111.97,112.82,111.69,112.08,1278802
2016-04-05,111.26,112.03,110.97,111.3,656871
2016-04-06,111.24,112.46,110.47,112.36,940188
