Date,Open,High,Low,Close,Volume
2016-01-04,13.6,14.02,13.26,13.67,188768
2016-01-05,13.8,14.07,13.15,13.57,204170
2016-01-06,13.34,13.71,13.16,13.51,100322
2016-01-07,13.24,13.35,12.38,12.52,212319
2016-01-08,12.61,13.4,12.61,12.94,192931
2016-01-11,12.99,13.25,12.54,13.22,237910
2016-01-12,13.38,13.64,12.63,13.23,172600
2016-01-13,13.29,13.3,12.0,12.39,185341
2016-01-14,12.42,12.86,12.07,12.65,130475
2016-01-15,12.27,12.65,11.9,12.57,234170
2016-01-19,12.75,12.92,12.01,12.21,182107
2016-01-20,12.03,12.93,11.65,12.69,229707
2016-01-21,12.71,12.8,12.01,12.26,125312
2016-01-22,12.5,12.77,12.43,12.52,111125
2016-01-25,12.43,12.49,12.21,12.36,87985
2016-01-26,12.37,12.38,12.01,12.12,74489
2016-01-27,12.06,12.19,11.53,11.59,136580
2016-01-28,11.69,11.75,11.41,11.64,126716
2016-01-29,11.62,12.49,11.62,12.23,92722
2016-02-01,12.17,12.55,11.76,12.49,162207
2016-02-02,12.3,12.5,11.83,11.9,171083
2016-02-03,11.97,11.97,11.26,11.44,148234
2016-02-04,11.41,12.01,11.31,11.82,224245
2016-02-05,13.39,14.3,11.39,11.62,640622
2016-02-08,11.45,11.45,10.77,10.84,187651
2016-02-09,10.72,11.35,10.54,10.77,202843
2016-02-10,10.86,11.48,10.71,11.03,122916
2016-02-11,10.85,11.5,10.59,11.44,150020
2016-02-12,11.66,11.84,11.32,11.37,127720
2016-02-16,11.62,11.72,11.17,11.19,202978
2016-02-17,11.33,11.72,11.06,11.66,170250
2016-02-18,11.64,11.64,10.99,11.23,121619
2016-02-19,11.21,11.34,10.98,11.03,116505
2016-02-22,11.17,11.33,10.82,11.03,146273
2016-02-23,10.96,11.11,10.62,10.64,104296
2016-02-24,10.55,10.89,10.36,10.81,154493
2016-02-25,10.76,10.85,10.5,10.83,73863
2016-02-26,10.82,10.98,10.8,10.9,79282
2016-02-29,10.92,10.94,10.53,10.63,140504
2016-03-01,10.7,11.12,10.5,10.75,164032
2016-03-02,10.75,11.29,10.67,11.28,164919
2016-03-03,11.24,11.64,11.21,11.54,102207
2016-03-04,11.52,12.03,11.36,11.9,87841
2016-03-07,11.8,12.21,11.6,12.09,166846
2016-03-08,11.88,12.24,11.81,12.0,158923
2016-03-09,11.94,12.17,11.77,12.04,53440
2016-03-10,11.97,12.03,11.33,11.42,91130
2016-03-11,11.44,11.45,10.88,10.99,148900
2016-03-14,11.08,11.17,10.44,10.86,195355
2016-03-15,10.85,11.19,10.4,10.43,172334
2016-03-16,10.43,10.9,10.43,10.79,81079
2016-03-17,10.75,11.08,10.69,10.89,156127
2016-03-18,10.98,10.99,10.52,10.71,184287
2016-03-21,10.72,10.81,10.34,10.41,216182
2016-03-22,10.4,11.14,10.35,10.94,218167
2016-03-23,10.98,10.98,10.4,10.42,81281
2016-03-24,10.35,10.53,10.28,10.48,53114
2016-03-28,10.48,10.86,10.36,10.61,70903
2016-03-29,10.56,11.11,10.36,10.96,105541
2016-03-30,11.01,11.42,10.9,11.28,146530
2016-03-31,11.27,11.56,11.19,11.25,143468
2016-04-01,11.2,11.32,11.03,11.26,50836
2016-04-04,11.37,11.42,11.13,11.19,53620
2016-04-05,11.13,11.66,11.13,11.65,171532
2016-04-06,11.62,12.32,11.62,11.83,73757
2016-04-07,11.76,12.05,11.61,11.71,75715
2016-04-08,11.79,11.86,11.55,11.84,114459
2016-04-11,11.85,12.05,11.72,11.77,122341
2016-04-12,11.77,12.1,11.33,12.06,155003
2016-04-13,12.04,12.41,12.01,12.39,134881
2016-04-14,12.3,12.68,12.24,12.53,168767
2016-04-15,12.55,12.7,12.4,12.5,88054
2016-04-18,12.4,12.6,12.39,12.49,115704
2016-04-19,12.47,12.62,12.22,12.52,103544
2016-04-20,12.57,12.57,12.2,12.31,47440
2016-04-21,12.36,12.45,12.26,12.38,49300
2016-04-22,12.3,12.46,12.17,12.29,45389
2016-04-25,12.31,12.69,12.1,12.57,171444
2016-04-26,12.58,12.7,12.4,12.5,167135
2016-04-27,12.46,12.73,12.32,12.64,111043
2016-04-28,12.72,13.06,12.46,12.59,171616
2016-04-29,12.6,12.76,12.29,12.46,94079
2016-05-02,12.59,12.75,12.17,12.66,85100
2016-05-03,12.68,12.8,12.42,12.47,80703
2016-05-04,12.45,12.63,12.16,12.5,123737
2016-05-05,12.55,12.79,12.37,12.59,155294
2016-05-06,14.26,14.26,12.37,12.46,203865
2016-05-09,12.45,12.79,12.35,12.65,140693
2016-05-10,12.65,12.88,12.41,12.71,106823
2016-05-11,12.66,13.0,12.58,12.58,78519
2016-05-12,12.57,12.78,12.26,12.39,62390
2016-05-13,12.42,12.65,12.2,12.22,93953
2016-05-16,12.27,12.58,12.18,12.38,87429
2016-05-17,12.31,12.41,11.58,11.62,101408
2016-05-18,11.55,12.13,11.54,11.92,103745
2016-05-19,11.8,11.99,11.57,11.58,61868
2016-05-20,11.65,12.36,11.61,11.9,90802
2016-05-23,11.81,11.99,11.71,11.81,131692
2016-05-24,11.8,12.45,11.72,12.4,197241
2016-05-25,12.38,12.43,12.16,12.26,76123
2016-05-26,12.14,12.52,12.08,12.21,67519
2016-05-27,12.13,12.34,11.84,12.27,87184
2016-05-31,12.34,12.64,12.12,12.4,188917
2016-06-01,12.9,12.9,12.44,12.66,147301
2016-06-02,12.6,12.77,12.35,12.63,127512
2016-06-03,12.66,13.79,12.37,13.35,282769
2016-06-06,13.21,13.71,13.19,13.52,98780
2016-06-07,13.51,14.28,13.44,14.24,277367
2016-06-08,14.27,14.45,14.11,14.42,134884
2016-06-09,14.4,14.47,14.12,14.16,115752
2016-06-10,14.0,14.36,13.81,13.93,84348
2016-06-13,13.83,14.18,13.64,13.87,97961
2016-06-14,13.78,14.02,13.66,13.92,157734
2016-06-15,13.92,14.43,13.8,14.38,106838
2016-06-16,14.21,14.6,14.2,14.46,96493
2016-06-17,14.47,14.56,14.07,14.19,181312
2016-06-20,14.31,14.81,14.29,14.53,124978
2016-06-21,14.51,14.76,14.36,14.64,78130
2016-06-22,14.69,15.0,14.62,14.7,101977
2016-06-23,14.82,14.99,14.75,14.85,105670
2016-06-24,14.14,14.43,13.84,14.14,448895
2016-06-27,13.9,13.9,13.01,13.56,326822
2016-06-28,13.57,13.8,13.38,13.67,235907
2016-06-29,13.91,14.11,13.77,13.98,88789
2016-06-30,13.99,14.51,13.99,14.49,111865
2016-07-01,14.5,14.75,14.4,14.57,81394
2016-07-05,14.46,14.6,14.21,14.28,67623
2016-07-06,14.24,14.61,14.21,14.51,79117
2016-07-07,14.55,14.73,14.48,14.61,43509
2016-07-08,14.82,15.09,14.73,14.83,95717
2016-07-11,14.89,15.48,14.87,15.25,106395
2016-07-12,15.41,15.62,15.17,15.28,101875
2016-07-13,15.3,15.53,14.87,14.98,73545
2016-07-14,15.1,15.47,14.93,15.43,127947
2016-07-15,15.53,15.69,15.22,15.67,129798
2016-07-18,15.61,15.75,15.23,15.6,108928
2016-07-19,15.48,15.68,15.33,15.34,64749
2016-07-20,15.46,15.65,15.27,15.59,84892
2016-07-21,15.56,15.6,15.11,15.21,67094
2016-07-22,15.27,15.48,15.02,15.34,21291
2016-07-25,15.38,15.45,15.07,15.31,24319
2016-07-26,15.23,15.69,15.23,15.68,59714
2016-07-27,15.66,15.66,15.46,15.57,49140
2016-07-28,15.59,15.73,15.44,15.66,35612
2016-07-29,15.73,15.86,15.52,15.76,88829
2016-08-01,15.7,15.91,15.25,15.5,83856
2016-08-02,15.51,15.76,15.11,15.32,62921
2016-08-03,15.35,15.63,14.84,15.61,62427
2016-08-04,15.58,15.76,15.31,15.71,65895
2016-08-05,13.77,14.08,12.71,13.49,541763
2016-08-08,13.5,13.5,13.05,13.05,153855
2016-08-09,13.07,13.25,13.06,13.11,74512
2016-08-10,13.07,13.42,13.05,13.24,127024
2016-08-11,13.28,13.3,13.08,13.12,40545
2016-08-12,13.14,13.24,12.95,12.97,125956
2016-08-15,12.96,13.12,12.87,12.88,124940
2016-08-16,12.85,12.93,12.7,12.71,113433
2016-08-17,12.7,12.7,12.25,12.36,135771
2016-08-18,12.27,12.59,12.13,12.58,109240
2016-08-19,12.53,12.53,12.21,12.3,132115
2016-08-22,12.31,12.37,12.03,12.08,263143
2016-08-23,12.26,12.36,12.07,12.2,202117
2016-08-24,12.53,12.79,12.45,12.52,342420
2016-08-25,12.42,12.59,12.17,12.23,105328
2016-08-26,12.67,13.13,12.44,12.66,154227
2016-08-29,12.73,12.73,12.23,12.55,102123
2016-08-30,12.57,12.64,12.33,12.36,76004
2016-08-31,12.31,12.5,12.15,12.45,86323
2016-09-01,12.45,12.58,12.25,12.46,108725
2016-09-02,12.52,12.66,12.34,12.56,69378
2016-09-06,12.5,12.63,12.4,12.49,70594
2016-09-07,12.43,12.62,12.39,12.56,84061
2016-09-08,12.58,12.58,12.26,12.33,58663
2016-09-09,12.28,12.36,12.05,12.06,111349
2016-09-12,12.01,12.26,12.0,12.2,98178
2016-09-13,12.04,12.08,11.81,11.87,102055
2016-09-14,11.84,11.94,11.61,11.68,78632
2016-09-15,11.67,12.13,11.67,12.08,59780
2016-09-16,12.08,12.46,12.0,12.17,167985
2016-09-19,12.28,12.28,11.99,12.01,50556
2016-09-20,12.13,12.36,11.89,12.28,87712
2016-09-21,12.3,12.36,12.05,12.31,123680
2016-09-22,12.4,12.58,12.22,12.56,89346
2016-09-23,12.65,13.0,12.33,12.52,153344
2016-09-26,12.47,12.47,12.23,12.27,40163
2016-09-27,12.25,12.6,12.25,12.46,87808
2016-09-28,12.46,12.46,12.3,12.41,46604
2016-09-29,12.43,12.51,12.21,12.3,57111
2016-09-30,12.36,12.99,12.28,12.93,162306
2016-10-03,12.86,12.92,12.52,12.86,79094
2016-10-04,12.87,13.04,12.78,12.83,64587
2016-10-05,12.81,12.85,12.61,12.68,67385
2016-10-06,12.62,12.75,12.5,12.61,48491
2016-10-07,12.46,12.54,12.34,12.34,35096
2016-10-10,12.4,12.73,12.33,12.67,49138
2016-10-11,12.53,12.64,12.16,12.29,52423
2016-10-12,12.17,12.42,12.16,12.24,51818
2016-10-13,12.13,12.13,11.95,11.97,47806
2016-10-14,12.13,12.27,11.97,11.99,53319
2016-10-17,11.95,12.05,11.65,11.65,38731
2016-10-18,11.85,11.9,11.7,11.75,39931
2016-10-19,11.75,11.9,11.55,11.55,69694
2016-10-20,11.5,11.55,11.25,11.45,62432
2016-10-21,11.3,11.45,11.25,11.35,56247
2016-10-24,11.5,11.65,11.15,11.15,56268
2016-10-25,11.15,11.35,11.05,11.2,76484
2016-10-26,11.15,11.35,11.0,11.0,69982
2016-10-27,11.1,11.1,10.55,10.65,98357
2016-10-28,10.7,11.05,10.6,10.95,75636
2016-10-31,10.95,11.05,10.75,11.0,115013
2016-11-01,11.1,11.4,10.9,11.25,305077
2016-11-02,11.4,11.5,10.5,10.7,104300
2016-11-03,10.8,11.0,10.5,10.5,132185
2016-11-04,11.0,12.25,10.75,11.85,219484
2016-11-07,12.0,12.7,11.9,12.6,103186
2016-11-08,11.9,12.6,11.65,12.05,174354
2016-11-09,12.0,12.5,11.9,12.45,239036
2016-11-10,12.7,13.32,12.35,13.15,130902
2016-11-11,13.15,14.2,13.05,13.75,387693
2016-11-14,13.95,14.0,13.6,13.9,136492
2016-11-15,13.75,14.05,13.6,13.65,96956
2016-11-16,13.5,14.0,13.45,13.85,156419
2016-11-17,13.75,14.25,13.5,13.95,103343
2016-11-18,14.0,14.25,13.65,14.25,78501
2016-11-21,14.15,14.75,14.1,14.4,67407
2016-11-22,14.35,14.75,14.35,14.75,83921
2016-11-23,14.6,14.7,14.05,14.5,110058
2016-11-25,14.4,14.95,14.4,14.85,37401
2016-11-28,14.7,14.9,14.35,14.4,54220
2016-11-29,14.55,14.8,14.32,14.45,60612
2016-11-30,14.4,14.6,14.1,14.4,80279
2016-12-01,14.5,14.65,13.55,13.7,65413
2016-12-02,13.8,14.25,13.5,14.05,59952
2016-12-05,14.2,14.6,14.05,14.3,390757
2016-12-06,14.55,14.63,14.25,14.5,68146
2016-12-07,14.6,14.6,14.05,14.35,98391
2016-12-08,14.3,15.35,14.2,15.0,116520
2016-12-09,14.85,15.3,14.8,15.15,94120
2016-12-12,15.0,15.6,14.65,14.75,82038
2016-12-13,14.9,15.4,14.9,15.35,77779
2016-12-14,15.2,15.4,15.0,15.3,77426
2016-12-15,15.4,15.5,15.05,15.4,95204
2016-12-16,15.45,15.85,14.75,14.85,205501
2016-12-19,14.95,15.45,14.8,15.35,57821
2016-12-20,15.5,15.6,15.0,15.35,122971
2016-12-21,15.25,15.25,14.7,15.05,95311
2016-12-22,15.0,15.05,14.65,14.9,65999
2016-12-23,14.9,15.0,14.65,14.95,59960
2016-12-27,14.85,15.2,14.75,14.9,46481
2016-12-28,14.85,14.95,14.47,14.6,32735
2016-12-29,14.6,14.75,14.35,14.65,37126
2016-12-30,14.7,14.7,14.25,14.35,68478
2017-01-03,14.45,14.7,14.15,14.25,87030
2017-01-04,14.25,14.65,14.25,14.5,105233
2017-01-05,14.4,15.0,14.4,14.6,78782
2017-01-06,14.75,15.0,14.55,14.75,47463
2017-01-09,14.65,14.8,14.4,14.6,40013
2017-01-10,14.55,15.0,14.48,14.9,66511
2017-01-11,14.8,15.15,14.7,15.0,37419
2017-01-12,14.85,14.95,14.3,14.55,39596
2017-01-13,14.7,15.0,14.6,14.9,30881
2017-01-17,14.75,14.75,14.35,14.45,41364
2017-01-18,14.5,14.95,14.4,14.8,133625
2017-01-19,14.85,14.95,14.35,14.4,48189
2017-01-20,14.4,14.5,14.2,14.25,50281
2017-01-23,14.15,14.7,14.15,14.6,41906
2017-01-24,14.6,14.85,14.3,14.8,46407
2017-01-25,15.0,15.0,14.55,14.7,33136
2017-01-26,14.75,14.75,14.45,14.65,25038
2017-01-27,14.65,14.65,14.1,14.2,31119
2017-01-30,14.2,14.2,13.7,13.75,54331
2017-01-31,13.6,14.05,13.45,13.85,46006
2017-02-01,13.95,14.1,13.55,13.9,198716
2017-02-02,13.85,14.5,13.7,14.25,63806
2017-02-03,14.4,14.4,14.15,14.2,43447
2017-02-06,14.15,14.15,13.6,13.6,49427
2017-02-07,13.7,13.85,13.5,13.55,49964
2017-02-08,13.5,13.65,13.25,13.35,59064
2017-02-09,13.35,14.7,13.35,14.25,162744
2017-02-10,10.65,11.25,10.5,10.85,1110832
2017-02-13,11.1,11.25,10.55,10.9,295182
2017-02-14,10.8,10.95,10.6,10.8,261896
2017-02-15,10.8,10.85,10.55,10.65,200055
2017-02-16,10.7,10.75,10.5,10.55,204844
2017-02-17,10.8,11.3,10.6,11.2,326469
2017-02-21,11.2,11.55,10.9,11.0,190074
2017-02-22,10.95,11.2,10.8,10.8,143599
2017-02-23,10.8,11.05,10.55,10.6,233771
2017-02-24,10.5,11.2,10.5,11.15,147369
2017-02-27,11.05,11.2,10.75,10.75,66192
2017-02-28,10.85,10.85,10.6,10.75,123031
2017-03-01,10.95,10.95,10.6,10.65,76848
2017-03-02,10.7,11.05,10.5,11.0,140194
2017-03-03,10.9,11.05,10.6,10.65,90236
2017-03-06,10.65,10.7,10.35,10.35,139939
2017-03-07,10.35,10.95,10.35,10.8,167911
2017-03-08,10.8,10.8,10.5,10.55,125517
2017-03-09,10.5,10.55,10.4,10.45,141012
2017-03-10,10.55,10.65,10.2,10.45,146879
2017-03-13,10.5,10.6,10.35,10.55,161729
2017-03-14,10.5,10.6,10.3,10.5,113107
2017-03-15,10.5,10.7,10.5,10.65,132028
2017-03-16,10.65,11.1,10.62,11.0,180672
2017-03-17,10.95,11.2,10.9,11.05,596503
2017-03-20,11.05,11.15,10.9,10.9,96810
2017-03-21,10.95,11.0,10.7,10.75,98366
2017-03-22,10.75,10.8,10.55,10.7,99784
2017-03-23,10.65,10.95,10.65,10.75,234850
2017-03-24,10.8,11.2,10.8,10.85,148438
2017-03-27,10.7,10.95,10.6,10.8,67013
2017-03-28,10.75,10.95,10.6,10.65,135154
2017-03-29,10.65,11.15,10.65,11.0,125212
2017-03-30,11.0,11.2,10.9,11.15,113409
2017-03-31,11.2,11.2,11.1,11.15,95324
2017-04-03,11.15,11.15,10.8,10.9,174940
2017-04-04,10.85,11.0,10.7,10.95,151088
2017-04-05,10.95,11.0,10.8,10.9,78214
2017-04-06,10.95,11.15,10.8,11.1,99962
2017-04-07,11.1,11.15,11.05,11.1,53519
2017-04-10,11.05,11.25,10.98,11.1,79104
2017-04-11,11.05,11.45,11.05,11.3,70695
2017-04-12,11.25,11.26,11.05,11.15,63905
2017-04-13,11.1,11.45,11.1,11.3,189163
2017-04-17,11.25,11.5,11.25,11.45,74718
2017-04-18,11.35,11.4,11.1,11.35,96250
2017-04-19,11.35,11.5,11.3,11.35,76544
2017-04-20,11.35,11.8,11.28,11.75,128747
2017-04-21,11.65,11.8,11.55,11.75,67429
2017-04-24,11.8,11.95,11.55,11.65,133558
2017-04-25,11.8,11.9,11.65,11.7,110284
2017-04-26,11.7,11.95,11.69,11.8,135059
2017-04-27,11.85,11.9,11.6,11.75,71276
2017-04-28,11.75,12.0,11.6,11.8,71218
2017-05-01,11.85,11.9,11.7,11.85,65207
2017-05-02,11.85,11.95,11.75,11.9,36908
2017-05-03,11.8,11.92,11.6,11.8,56634
