Date,Open,High,Low,Close,Volume
2016-01-04,1.83,1.94,1.68,1.86,588715
2016-01-05,1.8,1.8,1.66,1.75,486961
2016-01-06,1.68,1.7,1.58,1.64,371265
2016-01-07,1.57,1.64,1.53,1.54,532157
2016-01-08,1.59,1.61,1.49,1.53,975085
2016-01-11,1.51,1.52,1.37,1.45,317894
2016-01-12,1.43,1.48,1.35,1.38,260731
2016-01-13,1.41,1.46,1.24,1.26,390595
2016-01-14,1.28,1.31,1.0,1.0,2385044
2016-01-15,0.93,0.95,0.77,0.8,2847758
2016-01-19,0.82,0.88,0.78,0.78,1452545
2016-01-20,0.78,0.81,0.74,0.77,1445319
2016-01-21,0.8,1.45,0.8,1.29,1780291
2016-01-22,1.34,1.67,1.23,1.3,2996238
2016-01-25,1.23,1.49,1.12,1.14,900199
2016-01-26,1.15,1.3,1.08,1.13,1484568
2016-01-27,1.11,1.22,1.08,1.12,1191117
2016-01-28,1.19,1.23,1.14,1.18,558638
2016-01-29,1.15,1.28,1.15,1.21,838858
2016-02-01,1.15,1.2,1.1,1.12,471338
2016-02-02,1.05,1.1,0.94,0.94,375096
2016-02-03,0.99,1.12,0.91,1.0,650673
2016-02-04,1.02,1.08,0.8,0.84,920191
2016-02-05,0.85,0.93,0.8,0.81,837824
2016-02-08,0.81,0.87,0.72,0.75,693817
2016-02-09,0.73,0.75,0.7,0.73,477027
2016-02-10,0.74,0.79,0.68,0.74,343789
2016-02-11,0.72,0.74,0.65,0.71,309712
2016-02-12,0.76,0.89,0.7,0.71,899286
2016-02-16,0.81,0.82,0.69,0.73,541251
2016-02-17,0.75,0.79,0.71,0.78,330910
2016-02-18,0.8,0.84,0.71,0.75,295352
2016-02-19,0.71,0.76,0.7,0.7,315625
2016-02-22,0.68,0.76,0.68,0.74,236394
2016-02-23,0.74,0.8,0.7,0.72,377380
2016-02-24,0.71,0.76,0.7,0.75,155687
2016-02-25,0.77,0.8,0.72,0.8,265532
2016-02-26,0.8,0.87,0.75,0.86,825830
2016-02-29,0.95,1.02,0.87,0.95,1465953
2016-03-01,0.91,1.01,0.87,1.0,662256
2016-03-02,0.98,1.05,0.97,1.04,874428
2016-03-03,1.02,1.26,0.95,1.06,1252374
2016-03-04,1.1,1.2,1.04,1.15,2667655
2016-03-07,1.15,1.25,1.08,1.23,2105037
2016-03-08,1.29,1.29,0.98,1.02,1350891
2016-03-09,1.05,1.13,1.01,1.11,363033
2016-03-10,1.11,1.12,1.02,1.02,515681
2016-03-11,1.05,1.08,0.98,1.01,460101
2016-03-14,0.98,1.03,0.95,0.97,359610
2016-03-15,0.96,1.03,0.9,0.94,314245
2016-03-16,0.95,1.01,0.95,0.99,209629
2016-03-17,1.0,1.19,1.0,1.16,607004
2016-03-18,1.25,2.09,1.21,1.53,8180316
2016-03-21,1.37,1.5,1.3,1.43,1269508
2016-03-22,1.37,1.64,1.37,1.52,782261
2016-03-23,1.45,1.54,1.31,1.33,753107
2016-03-24,1.32,1.36,1.2,1.32,744061
2016-03-28,1.32,1.36,1.24,1.3,188516
2016-03-29,1.31,1.39,1.22,1.34,338863
2016-03-30,1.4,1.4,1.3,1.38,428538
2016-03-31,1.38,1.48,1.37,1.44,445943
2016-04-01,1.41,1.47,1.32,1.46,449231
2016-04-04,1.42,1.53,1.36,1.42,1127747
2016-04-05,1.41,1.42,1.32,1.39,1020942
2016-04-06,1.43,1.5,1.36,1.44,910349
2016-04-07,1.43,1.51,1.42,1.48,519310
2016-04-08,1.54,1.61,1.51,1.58,1092030
2016-04-11,1.61,1.77,1.57,1.74,821133
2016-04-12,1.76,1.77,1.66,1.74,758602
2016-04-13,1.77,2.0,1.69,1.88,739872
2016-04-14,1.88,1.89,1.69,1.71,638922
2016-04-15,1.69,1.79,1.64,1.77,453234
2016-04-18,1.55,1.78,1.46,1.78,876341
2016-04-19,1.76,1.96,1.76,1.95,590375
2016-04-20,1.95,2.01,1.8,1.93,814171
2016-04-21,1.91,2.01,1.82,1.91,407805
2016-04-22,1.85,2.15,1.85,2.02,814320
2016-04-25,2.05,2.29,2.0,2.15,760422
2016-04-26,2.15,2.26,2.07,2.18,621916
2016-04-27,2.24,2.58,2.24,2.52,1077441
2016-04-28,2.58,2.72,2.42,2.48,922884
2016-04-29,2.55,2.67,2.15,2.43,1345105
2016-05-02,2.42,2.54,2.22,2.53,652476
2016-05-03,2.46,2.46,2.27,2.28,642579
2016-05-04,2.28,2.44,2.2,2.35,399693
2016-05-05,2.38,2.55,2.35,2.4,789229
2016-05-06,2.39,2.94,2.39,2.59,1427001
2016-05-09,2.59,2.65,2.35,2.47,736200
2016-05-10,2.45,2.57,2.37,2.54,536193
2016-05-11,2.55,2.68,2.48,2.55,773185
2016-05-12,2.65,2.85,2.6,2.67,581951
2016-05-13,2.72,2.72,2.48,2.56,538982
2016-05-16,2.67,2.83,2.6,2.72,977748
2016-05-17,2.75,2.85,2.66,2.71,802619
2016-05-18,2.73,2.77,2.51,2.54,458327
2016-05-19,2.53,2.55,2.14,2.51,832256
2016-05-20,2.53,2.55,2.4,2.52,247690
2016-05-23,2.5,2.7,2.43,2.65,553006
2016-05-24,2.65,2.7,2.5,2.65,338852
2016-05-25,2.66,2.79,2.65,2.74,617555
2016-05-26,2.8,2.83,2.62,2.68,774619
2016-05-27,2.66,2.66,2.54,2.63,817480
2016-05-31,2.69,2.8,2.63,2.67,1787838
2016-06-01,2.66,2.79,2.58,2.66,1284654
2016-06-02,2.63,3.05,2.63,2.94,1494580
