Date,Open,High,Low,Close,Volume
2016-01-04,1.51,1.57,1.48,1.54,59928
2016-01-05,1.53,1.54,1.5,1.52,32021
2016-01-06,1.5,1.51,1.44,1.48,107472
2016-01-07,1.4,1.51,1.4,1.46,60450
2016-01-08,1.49,1.53,1.45,1.51,51096
2016-01-11,1.5,1.51,1.45,1.45,139090
2016-01-12,1.45,1.45,1.31,1.34,102312
2016-01-13,1.32,1.34,1.21,1.23,62597
2016-01-14,1.2,1.25,1.06,1.06,59333
2016-01-15,1.06,1.31,1.06,1.17,301082
2016-01-19,1.15,1.24,1.09,1.11,183783
2016-01-20,1.03,1.09,0.95,1.0,144767
2016-01-21,1.0,1.11,1.0,1.0,51767
2016-01-22,1.2,1.2,1.08,1.11,42746
2016-01-25,1.08,1.12,1.06,1.08,21635
2016-01-26,1.07,1.13,1.07,1.09,16075
2016-01-27,1.11,1.2,1.11,1.12,113356
2016-01-28,1.16,1.19,1.12,1.15,48159
2016-01-29,1.15,1.21,1.08,1.21,63365
2016-02-01,1.16,1.17,1.13,1.15,72512
2016-02-02,1.13,1.13,1.07,1.09,56599
2016-02-03,1.06,1.13,1.04,1.08,41785
2016-02-04,1.05,1.16,1.05,1.1,162189
2016-02-05,1.13,1.2,1.13,1.14,69615
2016-02-08,1.14,1.15,1.09,1.1,148081
2016-02-09,1.09,1.11,1.09,1.11,79991
2016-02-10,1.1,1.11,1.04,1.04,79041
2016-02-11,1.0,1.03,0.99,1.0,131574
2016-02-12,1.0,1.11,1.0,1.06,126768
2016-02-16,1.1,1.1,1.02,1.05,67459
2016-02-17,1.05,1.12,1.04,1.05,68988
2016-02-18,1.07,1.07,1.04,1.04,67677
2016-02-19,1.08,1.08,0.97,0.98,58641
2016-02-22,1.0,1.13,1.0,1.03,92420
2016-02-23,1.07,1.1,0.98,0.98,59649
2016-02-24,0.99,1.09,0.93,1.05,64778
2016-02-25,1.06,1.06,1.02,1.05,22152
2016-02-26,1.08,1.08,1.03,1.07,46046
2016-02-29,1.09,1.1,1.02,1.02,159338
2016-03-01,1.11,1.11,1.04,1.05,88246
2016-03-02,1.05,1.15,1.05,1.15,72595
2016-03-03,1.14,1.17,1.11,1.17,104320
2016-03-04,1.19,1.22,1.16,1.19,101889
2016-03-07,1.23,1.34,1.23,1.33,127247
2016-03-08,1.36,1.36,1.23,1.26,69584
2016-03-09,1.17,1.32,1.15,1.24,53818
