Date,Open,High,Low,Close,Volume
2016-01-04,22.43,22.83,21.99,22.55,506643
2016-01-05,22.52,23.12,22.34,23.0,376129
2016-01-06,22.53,22.7,21.66,21.94,419354
2016-01-07,21.46,22.01,20.74,20.88,477172
2016-01-08,21.02,21.38,20.66,21.02,209733
2016-01-11,21.02,21.02,19.41,19.77,419144
2016-01-12,19.91,20.58,18.21,19.39,662486
2016-01-13,19.55,19.86,17.95,18.3,320134
2016-01-14,18.39,18.88,17.63,18.7,762066
2016-01-15,17.56,18.29,17.33,17.63,375571
2016-01-19,17.61,17.71,16.34,16.72,526308
2016-01-20,16.13,16.27,14.29,14.93,1057502
2016-01-21,14.92,15.54,14.65,15.23,871111
2016-01-22,16.16,16.98,15.94,16.37,633658
2016-01-25,16.03,16.64,15.53,15.54,408024
2016-01-26,15.73,16.07,15.21,16.03,506757
2016-01-27,15.98,16.33,15.4,16.0,410641
2016-01-28,16.73,17.07,16.15,16.77,605489
2016-01-29,16.92,17.61,16.78,17.45,541477
2016-02-01,17.4,17.64,16.76,17.55,472587
2016-02-02,17.04,17.26,16.68,16.85,449654
2016-02-03,16.6,17.23,16.46,17.17,429737
2016-02-04,17.1,17.62,16.83,17.32,503607
2016-02-05,17.14,17.47,16.78,16.87,166073
2016-02-08,16.45,16.45,15.3,15.81,747965
2016-02-09,15.49,15.89,15.23,15.49,431112
2016-02-10,15.47,15.95,15.1,15.47,272548
2016-02-11,15.08,15.68,14.27,14.65,477725
2016-02-12,15.07,15.35,14.52,15.31,443030
2016-02-16,15.59,15.89,15.31,15.37,599727
2016-02-17,15.1,15.96,14.38,15.94,706864
2016-02-18,15.92,16.71,15.87,16.32,741755
2016-02-19,16.11,16.28,15.62,15.82,474401
2016-02-22,16.21,16.61,15.91,16.45,370004
2016-02-23,16.29,16.31,15.29,15.41,383512
2016-02-24,15.03,16.01,14.97,15.94,476091
2016-02-25,15.21,16.02,15.17,15.84,624039
2016-02-26,16.19,16.51,16.0,16.24,346166
2016-02-29,16.36,16.76,16.23,16.69,670984
2016-03-01,16.79,16.81,16.35,16.59,326814
2016-03-02,16.48,17.11,16.32,17.11,338529
2016-03-03,17.14,17.56,17.08,17.37,304759
2016-03-04,17.53,17.77,16.97,17.2,229106
2016-03-07,17.29,17.91,17.16,17.88,423752
2016-03-08,17.68,17.81,17.07,17.61,636026
2016-03-09,17.75,17.97,17.08,17.13,234269
2016-03-10,17.08,17.33,16.78,17.3,270676
2016-03-11,17.58,17.79,17.41,17.5,359990
2016-03-14,17.33,17.53,16.97,17.46,296093
2016-03-15,17.12,17.26,16.89,17.1,296296
2016-03-16,17.21,18.0,17.11,17.89,228191
2016-03-17,18.09,18.68,18.02,18.62,248259
2016-03-18,18.77,18.99,18.18,18.55,265853
2016-03-21,18.54,18.56,17.87,18.12,146369
2016-03-22,18.0,18.74,17.99,18.55,114298
2016-03-23,18.32,18.45,17.44,17.5,689838
2016-03-24,17.21,17.66,16.94,17.46,506499
2016-03-28,17.56,17.6,17.21,17.46,143335
2016-03-29,17.37,17.53,16.98,17.34,314392
2016-03-30,17.52,18.06,17.52,17.76,226631
2016-03-31,17.77,18.09,17.76,17.95,296072
2016-04-01,17.55,17.6,16.83,16.87,611650
2016-04-04,16.91,17.15,16.63,16.75,212331
2016-04-05,16.51,16.78,16.48,16.48,253841
2016-04-06,16.55,17.23,16.47,17.21,241249
2016-04-07,17.14,17.39,16.88,17.16,215205
2016-04-08,17.58,18.1,17.54,17.67,260144
2016-04-11,17.89,18.14,17.51,17.67,181201
2016-04-12,17.73,18.94,17.6,18.92,385689
2016-04-13,18.96,19.17,18.57,19.0,194499
2016-04-14,18.91,19.1,18.62,19.07,328858
2016-04-15,18.88,19.15,18.61,19.0,388381
2016-04-18,18.45,19.74,18.25,19.64,220275
2016-04-19,19.7,20.91,19.7,20.81,290260
2016-04-20,20.67,21.23,20.56,20.88,206469
