Date,Open,High,Low,Close,Volume
2016-01-04,40.77,42.76,40.42,41.02,1518983
2016-01-05,40.8,41.79,40.02,41.22,1371919
2016-01-06,39.73,39.89,36.67,36.71,1386090
2016-01-07,35.59,37.07,35.24,36.05,1245856
2016-01-08,36.38,36.85,35.18,35.72,1113637
2016-01-11,36.34,36.61,34.29,35.05,1489768
2016-01-12,35.85,36.2,32.05,32.75,2226015
2016-01-13,33.44,34.06,30.91,31.5,2139663
2016-01-14,31.91,33.3,31.01,32.3,2126536
2016-01-15,30.6,31.43,30.15,31.27,2056967
2016-01-19,31.6,31.8,27.86,28.72,2145949
2016-01-20,27.96,28.32,26.23,27.92,2507021
2016-01-21,27.61,29.96,27.41,29.4,2283444
2016-01-22,31.38,31.57,29.16,29.9,2346655
2016-01-25,27.63,29.12,27.44,27.91,2273157
2016-01-26,28.69,30.89,28.34,30.84,2230722
2016-01-27,30.37,32.53,30.03,31.25,1478547
2016-01-28,33.26,34.35,32.57,33.84,1652159
2016-01-29,34.0,35.61,33.65,35.27,1927400
2016-02-01,34.5,34.53,31.95,32.91,1410471
2016-02-02,31.7,32.48,31.17,31.19,1035180
2016-02-03,31.77,33.8,30.38,33.59,1869372
2016-02-04,34.05,35.09,32.22,32.81,2151038
2016-02-05,32.2,32.82,29.93,30.35,2393557
2016-02-08,29.23,29.31,27.83,28.84,1911552
2016-02-09,27.95,28.28,26.11,26.77,2323201
2016-02-10,26.64,27.56,25.34,26.18,2643929
2016-02-11,25.7,25.86,24.27,24.67,3994964
2016-02-12,20.76,23.67,20.76,22.91,7219290
2016-02-16,21.6,23.58,20.78,22.9,3878664
2016-02-17,21.56,24.2,20.94,24.03,19972653
2016-02-18,24.23,26.11,23.91,25.53,6848429
2016-02-19,24.92,25.23,23.34,24.42,5048094
2016-02-22,25.59,26.29,24.75,26.05,2366323
2016-02-23,25.59,25.96,24.58,24.65,1858086
2016-02-24,24.06,25.69,23.62,24.83,2432989
2016-02-25,24.58,25.78,23.7,25.28,1518471
2016-02-26,26.17,27.25,25.87,26.77,2338102
2016-02-29,26.99,27.03,26.12,26.48,6894705
2016-03-01,26.66,27.4,25.38,27.38,2405656
2016-03-02,27.46,29.11,27.11,29.08,2178788
2016-03-03,28.94,30.5,28.57,30.2,2873201
2016-03-04,30.29,31.41,29.26,31.0,3509109
2016-03-07,31.12,32.25,30.79,32.07,4728758
2016-03-08,31.78,31.86,28.53,29.44,2611712
2016-03-09,30.13,32.47,29.05,31.34,2962723
2016-03-10,31.24,31.65,29.84,31.35,1559722
2016-03-11,32.14,33.77,31.98,33.35,1694036
2016-03-14,32.44,33.46,32.04,32.79,1508620
2016-03-15,31.97,32.63,31.43,32.61,1200493
2016-03-16,32.87,35.53,32.87,35.1,2377024
2016-03-17,35.91,36.23,34.86,35.36,1553341
2016-03-18,35.68,36.47,33.78,34.07,4522773
2016-03-21,34.02,34.95,33.46,34.1,1475145
2016-03-22,33.7,34.92,33.7,34.29,1394718
2016-03-23,33.72,34.3,32.81,32.93,1433669
2016-03-24,32.16,34.18,31.73,33.97,1496695
2016-03-28,34.12,34.23,32.33,33.63,1101330
2016-03-29,32.89,34.48,32.25,34.47,1779753
2016-03-30,35.59,36.03,33.72,34.71,1318889
2016-03-31,34.94,37.59,34.76,36.59,2312492
2016-04-01,36.1,37.47,35.49,37.23,1940143
2016-04-04,37.32,37.5,35.11,35.57,1802127
2016-04-05,35.2,35.97,34.03,35.35,1972501
2016-04-06,35.76,37.12,35.33,37.06,1804440
2016-04-07,36.9,37.26,35.66,36.65,1048219
2016-04-08,38.08,38.88,37.45,37.94,1478506
2016-04-11,38.36,39.33,37.78,37.83,1587900
2016-04-12,38.5,40.7,37.89,39.79,1321672
2016-04-13,39.56,39.8,38.15,39.01,1703330
2016-04-14,39.3,39.56,38.28,39.26,1109523
2016-04-15,38.84,39.0,37.85,38.01,1116026
2016-04-18,36.41,39.91,35.91,39.37,1010746
2016-04-19,39.49,41.36,39.49,40.71,1114178
2016-04-20,40.36,41.88,39.67,40.81,1479218
2016-04-21,41.09,41.46,39.04,40.11,1562923
2016-04-22,40.39,42.19,40.24,41.55,1739707
2016-04-25,41.26,41.56,40.1,40.98,1034282
2016-04-26,41.33,42.96,41.09,42.61,1374003
2016-04-27,43.31,44.76,43.05,44.59,1316223
2016-04-28,44.46,45.82,43.38,43.48,1345339
2016-04-29,44.18,44.75,41.11,42.49,1992961
2016-05-02,42.61,43.56,41.42,43.11,1377526
2016-05-03,42.03,42.36,40.35,40.73,2176993
2016-05-04,40.83,41.73,38.46,38.75,1758532
2016-05-05,39.89,40.98,38.95,40.14,1748472
2016-05-06,40.52,42.25,39.66,40.19,2288513
2016-05-09,39.79,40.39,38.11,38.85,2309586
2016-05-10,39.43,40.72,39.36,40.5,2730849
2016-05-11,40.68,42.8,39.74,42.26,2453668
2016-05-12,43.06,43.9,42.14,43.08,1842419
2016-05-13,42.87,43.93,41.64,42.18,1293468
2016-05-16,43.46,45.5,43.36,44.99,1838715
2016-05-17,45.02,46.77,44.63,45.95,1749146
2016-05-18,45.79,46.43,44.27,44.6,1238002
2016-05-19,43.87,44.48,42.71,43.31,1413144
2016-05-20,43.55,44.23,42.69,43.68,1386926
2016-05-23,43.03,44.25,42.88,43.99,858474
2016-05-24,44.69,45.98,43.96,45.09,1374490
2016-05-25,45.47,47.24,45.47,47.04,1994819
2016-05-26,47.21,48.34,47.14,47.67,1529183
2016-05-27,47.17,47.82,46.57,47.41,937123
2016-05-31,47.55,48.95,47.43,47.62,1411354
2016-06-01,46.69,48.5,46.42,48.39,1146589
2016-06-02,47.54,47.99,46.66,47.98,1295406
2016-06-03,48.11,48.73,46.52,46.98,1116727
2016-06-06,47.67,48.42,47.23,48.18,1014468
2016-06-07,48.83,49.82,48.15,49.8,1798515
2016-06-08,50.0,51.27,49.47,49.5,1725690
2016-06-09,48.56,49.04,47.99,48.68,1259953
2016-06-10,47.91,48.06,45.99,46.28,980599
2016-06-13,45.73,46.87,45.19,45.29,1051559
2016-06-14,45.13,46.3,44.76,46.22,877629
2016-06-15,45.79,47.22,45.25,46.1,1031909
2016-06-16,45.48,45.49,43.66,44.92,1042070
2016-06-17,45.6,47.45,45.47,47.19,1745679
2016-06-20,48.17,49.23,48.01,48.42,1295502
2016-06-21,48.42,49.6,47.38,49.24,2064850
2016-06-22,49.75,50.64,48.54,49.13,1417634
2016-06-23,49.84,50.08,49.08,49.85,988591
2016-06-24,47.1,48.08,46.15,46.52,1417520
2016-06-27,45.85,46.25,43.29,43.86,1145284
2016-06-28,45.3,46.27,45.21,46.15,1170463
2016-06-29,46.93,47.64,46.29,47.32,1110418
2016-06-30,47.14,49.15,46.45,48.21,1658580
2016-07-01,48.23,49.16,47.87,48.03,1114541
2016-07-05,46.67,46.67,45.08,45.8,1097562
2016-07-06,45.52,47.67,45.04,47.39,1944096
2016-07-07,48.47,49.4,46.25,46.71,1008999
2016-07-08,47.55,48.01,46.71,47.49,929917
2016-07-11,48.07,48.37,46.74,46.8,895508
2016-07-12,47.8,50.21,47.6,49.69,874326
2016-07-13,49.51,49.71,46.94,48.5,1474607
2016-07-14,49.39,49.69,48.14,48.41,707120
2016-07-15,48.7,49.28,48.46,49.23,683740
2016-07-18,48.74,49.38,48.19,49.11,944566
2016-07-19,48.79,49.29,48.35,48.58,764193
2016-07-20,48.04,49.05,46.94,48.62,923868
2016-07-21,48.84,50.12,47.62,47.67,884866
2016-07-22,47.98,48.05,47.01,47.47,1074333
2016-07-25,46.98,47.1,44.06,44.56,1862096
2016-07-26,44.32,45.35,43.91,45.22,829119
2016-07-27,45.73,46.42,43.7,44.24,1328895
2016-07-28,44.21,45.92,44.2,45.66,1119866
2016-07-29,45.03,47.63,44.89,47.38,994720
2016-08-01,46.92,46.97,45.64,45.94,1360174
2016-08-02,46.66,47.24,44.73,46.61,1188770
2016-08-03,46.79,48.65,46.1,48.49,1326856
2016-08-04,48.16,50.19,47.76,50.15,1369898
2016-08-05,50.25,51.96,49.96,51.84,1626716
2016-08-08,52.29,53.18,51.58,52.53,1733022
2016-08-09,54.0,54.97,51.1,52.76,2494659
2016-08-10,52.96,53.73,51.73,51.86,1570938
2016-08-11,52.28,53.08,51.64,52.92,1621277
2016-08-12,53.14,53.37,52.43,53.2,813756
2016-08-15,53.77,54.3,52.82,54.21,879097
2016-08-16,54.25,54.48,53.21,53.9,1865700
2016-08-17,53.81,55.41,52.76,55.21,1823606
2016-08-18,55.73,57.38,55.44,56.75,2173201
2016-08-19,55.77,56.27,54.77,55.85,1394788
2016-08-22,54.9,55.27,54.07,54.84,1800525
2016-08-23,54.58,56.4,54.43,56.08,612130
2016-08-24,55.55,56.94,55.55,56.43,1173218
2016-08-25,56.35,56.62,55.58,56.53,888903
2016-08-26,56.82,58.22,56.29,56.92,784294
2016-08-29,56.76,58.06,56.45,57.72,823929
2016-08-30,58.28,59.38,57.56,58.22,943451
2016-08-31,57.76,58.16,56.85,57.5,1046828
2016-09-01,57.22,58.53,56.87,58.48,1116234
2016-09-02,59.42,60.0,58.86,59.46,702000
2016-09-06,59.71,59.93,57.77,58.73,1057760
2016-09-07,59.35,59.35,57.29,58.07,1209119
2016-09-08,58.81,59.43,57.62,58.43,1087441
2016-09-09,57.78,58.16,56.18,56.18,1173160
2016-09-12,55.35,56.56,54.59,56.03,1183238
2016-09-13,54.91,55.13,52.3,52.48,1190946
2016-09-14,52.07,53.5,51.67,52.19,1059089
2016-09-15,52.45,53.23,51.87,52.31,808826
2016-09-16,51.55,53.04,51.18,52.83,1674157
2016-09-19,53.73,53.78,52.61,52.68,932709
2016-09-20,52.35,53.08,51.13,52.27,744471
2016-09-21,53.12,54.3,52.62,54.08,1166280
2016-09-22,55.08,55.98,54.47,55.35,1174195
2016-09-23,54.93,55.56,51.97,52.97,1195838
2016-09-26,53.12,55.02,53.0,53.67,1059191
2016-09-27,52.65,53.05,51.15,52.14,1152031
