Date,Open,High,Low,Close,Volume
2016-01-04,3.03,3.1,2.93,3.08,4426881
2016-01-05,3.09,3.12,2.99,3.0,2839645
2016-01-06,3.06,3.1,3.03,3.08,3202278
2016-01-07,3.13,3.35,3.11,3.28,4025751
2016-01-08,3.19,3.3,3.14,3.25,3462062
2016-01-11,3.31,3.31,2.97,3.07,3351303
2016-01-12,2.56,2.6,2.32,2.48,11285766
2016-01-13,2.51,2.6,2.5,2.52,4266392
2016-01-14,2.52,2.53,2.36,2.41,4323372
2016-01-15,2.48,2.49,2.22,2.28,5720287
2016-01-19,2.31,2.34,2.07,2.13,5162448
2016-01-20,2.18,2.2,2.08,2.12,7185334
2016-01-21,2.1,2.19,2.02,2.16,6058656
2016-01-22,2.16,2.32,2.13,2.28,3644687
2016-01-25,2.18,2.2,1.87,2.1,9023406
2016-01-26,2.13,2.31,2.07,2.23,4233469
2016-01-27,2.22,2.3,2.13,2.3,3862591
2016-01-28,2.26,2.29,2.19,2.22,2797423
2016-01-29,2.23,2.3,2.21,2.24,2829304
2016-02-01,2.28,2.42,2.24,2.32,3556028
2016-02-02,2.3,2.31,2.21,2.28,2021709
2016-02-03,2.29,2.49,2.28,2.47,4954545
2016-02-04,2.54,2.82,2.54,2.7,6607281
2016-02-05,2.63,2.87,2.56,2.86,4956692
2016-02-08,3.04,3.08,2.71,2.76,8329539
2016-02-09,2.81,2.82,2.6,2.62,6521581
2016-02-10,2.62,2.7,2.49,2.67,6380592
2016-02-11,2.98,3.12,2.86,3.03,8926138
2016-02-12,2.96,3.17,2.94,3.13,3805664
2016-02-16,2.95,3.04,2.76,2.83,6327934
2016-02-17,2.9,2.92,2.71,2.79,5372364
2016-02-18,2.73,3.03,2.73,3.0,6741777
2016-02-19,2.95,3.04,2.88,2.92,5065681
2016-02-22,2.86,2.93,2.8,2.89,4103505
2016-02-23,2.95,2.96,2.86,2.91,3661027
2016-02-24,2.98,3.03,2.82,2.84,4670525
2016-02-25,2.84,3.01,2.81,2.97,3569434
2016-02-26,2.93,3.08,2.88,2.91,3297402
2016-02-29,2.97,3.0,2.92,3.0,2618356
2016-03-01,3.04,3.06,2.82,2.85,4656734
2016-03-02,2.88,2.95,2.84,2.95,3774950
2016-03-03,2.95,3.24,2.95,3.24,6761394
2016-03-04,3.26,3.56,3.23,3.47,14993938
2016-03-07,3.55,3.72,3.54,3.67,8262657
2016-03-08,3.67,3.72,3.41,3.47,7341259
2016-03-09,3.37,3.45,3.25,3.38,5317744
2016-03-10,3.42,3.68,3.4,3.62,9802371
2016-03-11,3.61,3.63,3.33,3.38,9749399
