Date,Open,High,Low,Close,Volume
2016-01-04,26.69,26.89,26.22,26.58,209431
2016-01-05,26.8,27.06,26.55,26.68,121509
2016-01-06,26.35,27.18,26.35,27.0,184473
2016-01-07,26.5,26.91,26.19,26.27,339052
2016-01-08,26.4,26.46,25.13,25.2,298557
2016-01-11,25.41,25.78,25.2,25.56,118803
2016-01-12,26.05,26.05,25.28,25.55,105316
2016-01-13,25.62,25.62,24.14,24.42,204364
2016-01-14,24.56,25.09,24.43,24.79,107111
2016-01-15,24.3,24.49,23.89,24.47,119907
2016-01-19,24.67,24.96,24.05,24.4,150397
2016-01-20,24.07,24.49,23.4,24.23,122807
2016-01-21,24.28,24.4,23.79,23.96,125803
2016-01-22,24.24,24.54,23.99,24.21,100482
2016-01-25,24.2,24.36,23.84,23.89,63231
2016-01-26,23.95,24.68,23.95,24.5,142091
2016-01-27,24.5,24.5,23.85,23.94,150229
2016-01-28,24.0,24.31,23.92,24.08,87834
2016-01-29,24.19,24.94,24.19,24.91,182697
2016-02-01,24.79,24.79,24.22,24.54,131166
2016-02-02,24.22,24.22,23.85,24.16,88445
2016-02-03,24.39,24.39,23.45,23.65,119204
2016-02-04,23.6,23.76,22.92,23.04,121025
2016-02-05,23.04,23.18,22.58,23.01,183658
2016-02-08,22.83,23.28,22.62,23.16,171754
2016-02-09,22.87,23.5,22.76,23.37,118257
2016-02-10,23.64,24.03,23.15,23.15,140475
2016-02-11,22.72,23.0,22.61,22.82,82901
2016-02-12,23.1,23.76,23.04,23.65,147377
2016-02-16,23.93,23.93,23.21,23.52,115516
2016-02-17,26.5,29.2,26.1,27.92,553210
2016-02-18,28.06,28.1,27.41,27.88,365292
2016-02-19,27.79,28.06,27.13,27.21,184931
2016-02-22,27.58,28.65,27.47,28.01,192539
2016-02-23,27.92,28.04,27.17,27.33,238540
2016-02-24,27.11,27.79,26.92,27.51,117293
2016-02-25,27.59,28.32,27.21,28.09,387437
2016-02-26,28.12,28.54,27.31,27.62,188863
2016-02-29,27.62,28.53,27.46,27.76,249650
2016-03-01,28.05,28.53,27.99,28.19,163547
2016-03-02,28.19,28.57,28.11,28.5,144767
2016-03-03,28.42,28.53,28.04,28.2,164731
2016-03-04,28.21,28.22,27.82,27.88,158770
2016-03-07,27.76,28.23,27.69,28.22,178774
2016-03-08,27.93,28.31,27.76,28.02,165647
2016-03-09,28.09,28.33,27.77,28.07,131004
2016-03-10,28.21,28.3,27.54,27.67,123113
2016-03-11,27.83,28.41,27.69,28.15,134761
2016-03-14,28.05,28.09,27.71,27.72,103404
2016-03-15,27.67,27.75,27.28,27.36,124786
2016-03-16,27.31,28.0,27.29,27.82,158844
2016-03-17,27.84,28.26,27.46,28.06,160034
2016-03-18,28.26,28.49,28.07,28.29,203206
2016-03-21,28.15,28.15,27.68,27.87,107660
2016-03-22,27.84,28.12,27.66,27.88,75635
2016-03-23,27.89,28.13,27.52,27.53,85277
2016-03-24,27.53,27.53,27.01,27.32,102171
2016-03-28,27.36,27.87,27.21,27.81,104016
2016-03-29,27.81,28.34,27.68,28.25,124513
2016-03-30,28.36,28.64,28.36,28.5,198278
2016-03-31,28.48,28.48,28.06,28.14,103553
2016-04-01,28.04,28.44,27.75,28.43,102124
2016-04-04,28.28,28.28,27.71,27.95,223081
2016-04-05,27.79,28.24,27.79,27.86,121977
2016-04-06,27.84,27.89,27.32,27.57,104274
2016-04-07,27.3,27.54,27.09,27.27,167201
2016-04-08,27.55,27.63,27.07,27.32,84438
2016-04-11,27.49,27.73,27.22,27.23,135574
2016-04-12,27.38,28.0,27.34,27.86,90267
2016-04-13,28.07,28.47,27.99,28.31,118261
2016-04-14,28.26,28.57,28.13,28.36,79503
2016-04-15,28.3,28.54,28.28,28.5,199104
2016-04-18,28.45,28.5,28.03,28.31,139578
2016-04-19,28.2,28.5,28.16,28.3,82194
2016-04-20,28.27,28.6,28.12,28.54,116717
2016-04-21,28.59,28.73,28.04,28.4,192980
2016-04-22,28.31,28.66,28.28,28.6,190285
2016-04-25,28.33,28.67,28.13,28.65,158383
2016-04-26,28.53,29.36,28.44,29.1,292771
2016-04-27,29.0,29.26,28.7,29.14,288949
2016-04-28,28.77,29.15,28.21,29.03,250813
2016-04-29,29.04,29.89,28.94,29.7,231945
2016-05-02,29.93,30.23,29.53,29.61,256604
