Date,Open,High,Low,Close,Volume
2016-09-22,24.0,27.4,23.73,26.5,13618817
2016-09-23,25.67,26.05,24.13,25.33,2152512
2016-09-26,25.38,25.76,24.72,25.26,531844
2016-09-27,25.45,25.5,24.57,24.6,976674
2016-09-28,24.95,26.8,24.75,26.54,1071421
2016-09-29,26.24,28.92,25.7,26.85,2143828
2016-09-30,27.91,28.43,26.87,28.12,968960
2016-10-03,28.4,28.68,26.54,26.79,644490
2016-10-04,26.76,26.76,25.85,26.31,469596
2016-10-05,25.78,27.14,25.78,26.51,395801
2016-10-06,26.11,26.51,26.0,26.4,211958
2016-10-07,26.58,26.99,26.0,26.67,164256
2016-10-10,26.64,26.92,26.01,26.3,193426
2016-10-11,26.68,26.68,25.05,25.57,360212
2016-10-12,25.84,26.65,25.17,26.63,290047
2016-10-13,26.57,27.99,26.3,27.05,535954
2016-10-14,27.51,27.83,26.81,26.94,269895
2016-10-17,26.92,27.83,26.55,27.48,412442
2016-10-18,27.98,27.98,26.24,26.88,170105
2016-10-19,26.8,27.2,26.35,27.03,73562
2016-10-20,26.81,27.09,26.35,26.6,100236
2016-10-21,26.32,27.07,26.25,26.81,102178
2016-10-24,26.97,27.57,26.51,26.79,233588
2016-10-25,26.94,27.58,26.6,27.16,158947
2016-10-26,27.35,27.53,26.58,26.66,194521
2016-10-27,26.69,27.72,26.25,26.86,187215
2016-10-28,27.08,27.36,26.4,26.42,138353
2016-10-31,26.61,26.8,25.83,25.86,312812
2016-11-01,25.72,26.55,25.25,25.54,191145
2016-11-02,25.33,25.88,25.33,25.85,71293
2016-11-03,26.02,26.12,25.05,25.71,69747
2016-11-04,25.69,26.52,25.56,26.28,131613
2016-11-07,26.57,26.77,25.63,26.31,194181
2016-11-08,26.34,26.88,26.23,26.57,189093
2016-11-09,26.24,26.68,25.33,25.71,287346
2016-11-10,25.93,26.48,25.0,25.92,219577
2016-11-11,27.23,28.47,25.5,27.0,403362
2016-11-14,27.27,30.5,27.16,29.37,525935
2016-11-15,29.99,31.1,28.92,29.0,491370
2016-11-16,29.3,29.59,28.59,29.45,149481
2016-11-17,29.49,29.78,29.0,29.36,178770
2016-11-18,29.35,29.77,28.9,29.39,90027
2016-11-21,29.62,31.0,29.49,30.32,283347
2016-11-22,30.51,30.85,28.73,30.02,305546
2016-11-23,30.04,31.84,29.8,31.35,248068
2016-11-25,31.9,31.95,30.39,30.86,183180
2016-11-28,31.24,31.26,30.1,31.1,199125
2016-11-29,31.3,32.54,30.93,31.74,368935
2016-11-30,31.8,32.12,31.2,31.47,376738
2016-12-01,31.67,32.45,29.4,30.15,451190
2016-12-02,30.26,30.69,28.97,29.6,390409
2016-12-05,29.79,30.9,29.3,30.82,239064
