Date,Open,High,Low,Close,Volume
2016-01-04,4.62,4.95,4.4,4.43,373564
2016-01-05,4.38,4.38,4.01,4.1,337388
2016-01-06,3.94,4.14,3.85,4.03,317724
2016-01-07,3.9,4.07,3.8,3.82,351245
2016-01-08,3.91,3.92,3.45,3.47,427881
2016-01-11,3.48,3.55,2.85,3.08,449870
2016-01-12,3.15,3.24,2.77,2.98,542961
2016-01-13,3.08,3.42,3.06,3.35,628826
2016-01-14,3.34,3.59,3.17,3.29,451545
2016-01-15,3.0,3.11,2.91,3.08,372138
2016-01-19,3.12,3.14,3.0,3.03,217007
2016-01-20,2.95,2.96,1.97,2.25,1756709
2016-01-21,2.25,2.83,2.16,2.76,559227
2016-01-22,3.1,3.48,2.98,3.09,949297
2016-01-25,2.92,3.35,2.61,2.63,466426
2016-01-26,2.93,2.98,2.65,2.86,356363
2016-01-27,2.87,3.27,2.71,2.97,434927
2016-01-28,3.21,3.39,3.05,3.26,690655
2016-01-29,3.36,3.97,3.32,3.97,731917
2016-02-01,3.84,3.92,3.52,3.91,361683
2016-02-02,3.58,3.9,3.57,3.74,248715
2016-02-03,3.9,4.08,3.39,4.05,535988
2016-02-04,4.15,4.5,4.02,4.44,485412
2016-02-05,4.43,4.64,4.0,4.08,317290
2016-02-08,3.98,3.98,3.22,3.28,426096
2016-02-09,3.3,3.42,2.95,3.0,451939
2016-02-10,3.06,3.4,2.98,3.29,392823
2016-02-11,3.15,3.24,2.91,3.2,337943
2016-02-12,3.42,3.54,3.3,3.5,267618
2016-02-16,3.59,3.75,3.36,3.64,389073
2016-02-17,3.77,4.24,3.77,4.11,418231
2016-02-18,4.21,4.29,3.93,4.14,229812
2016-02-19,4.1,4.1,3.7,3.8,307604
2016-02-22,4.04,4.2,3.9,3.92,240386
2016-02-23,3.92,3.97,3.6,3.72,207567
2016-02-24,3.58,3.58,3.27,3.35,295207
2016-02-25,3.25,3.34,2.92,3.05,439723
2016-02-26,3.15,3.56,3.05,3.29,380261
2016-02-29,3.17,3.57,3.16,3.47,292205
2016-03-01,3.44,3.6,3.16,3.27,387939
2016-03-02,3.27,3.7,3.27,3.63,495087
2016-03-03,3.59,4.56,3.56,4.37,1227101
2016-03-04,4.45,5.66,4.4,5.08,2112250
2016-03-07,5.16,6.2,5.05,6.17,1635782
2016-03-08,6.28,6.63,5.55,5.78,1316707
2016-03-09,6.16,6.24,5.76,6.05,530571
2016-03-10,6.06,6.06,5.4,5.74,832226
2016-03-11,5.97,6.3,5.52,5.66,645722
2016-03-14,5.52,5.76,5.2,5.62,371991
2016-03-15,5.37,5.49,4.91,4.97,475746
2016-03-16,4.99,5.47,4.99,5.22,252913
2016-03-17,5.4,6.25,5.4,6.14,1897384
2016-03-18,6.3,6.51,5.51,5.64,1249254
2016-03-21,5.47,5.73,5.12,5.26,704255
2016-03-22,5.21,5.25,4.81,5.14,686018
2016-03-23,4.98,5.06,4.62,4.7,410199
2016-03-24,4.66,4.92,4.4,4.82,298531
2016-03-28,4.93,4.93,4.58,4.66,174069
2016-03-29,4.6,4.94,4.4,4.91,269175
2016-03-30,5.0,5.29,4.83,4.89,339259
2016-03-31,4.86,5.05,4.78,4.97,206381
2016-04-01,4.73,4.96,4.71,4.84,171043
2016-04-04,4.84,5.09,4.6,4.62,242149
2016-04-05,4.61,4.69,4.26,4.57,174139
2016-04-06,4.65,5.0,4.58,4.93,420257
2016-04-07,4.9,5.0,4.61,4.69,236878
2016-04-08,5.0,5.21,4.75,4.98,505592
2016-04-11,5.16,5.25,4.8,4.94,212254
2016-04-12,5.1,5.8,4.94,5.77,1578570
2016-04-13,5.95,5.95,5.19,5.25,789125
2016-04-14,5.21,5.47,5.05,5.12,272982
2016-04-15,5.08,5.43,5.02,5.26,239545
2016-04-18,4.86,5.28,4.85,5.02,362647
2016-04-19,5.27,5.36,5.01,5.3,418662
2016-04-20,5.28,5.58,5.16,5.35,508487
2016-04-21,5.34,5.75,5.28,5.48,606350
2016-04-22,5.57,5.81,5.25,5.44,700023
2016-04-25,5.45,5.46,5.0,5.16,344785
2016-04-26,5.25,5.31,5.08,5.23,162584
2016-04-27,4.92,5.59,4.81,4.96,970285
2016-04-28,4.88,5.2,4.81,4.85,474541
2016-04-29,4.88,5.03,4.51,4.65,416537
2016-05-02,4.68,4.68,4.15,4.23,384917
2016-05-03,4.05,4.15,4.0,4.05,331266
2016-05-04,4.05,4.29,3.76,3.8,490289
2016-05-05,4.04,4.25,3.76,3.82,452475
2016-05-06,3.8,4.17,3.77,3.82,339024
2016-05-09,3.76,3.83,3.52,3.53,318167
2016-05-10,3.42,3.42,3.0,3.37,615631
2016-05-11,3.33,3.84,3.16,3.74,343493
2016-05-12,3.8,4.14,3.74,4.11,322187
2016-05-13,4.06,4.2,3.9,3.96,164239
2016-05-16,4.11,4.25,3.93,3.98,266511
2016-05-17,4.03,4.41,3.98,4.32,282125
2016-05-18,4.23,4.39,3.91,3.98,228623
2016-05-19,3.9,3.93,3.7,3.82,201870
2016-05-20,3.88,4.05,3.76,3.96,231256
2016-05-23,3.85,4.06,3.77,3.94,260130
2016-05-24,3.94,4.1,3.81,3.93,130650
2016-05-25,3.98,4.33,3.96,4.28,406441
2016-05-26,4.35,4.8,4.35,4.75,496113
2016-05-27,4.74,5.0,4.53,4.61,303962
2016-05-31,4.68,5.17,4.66,5.05,505493
2016-06-01,5.1,5.1,4.81,4.88,185810
2016-06-02,4.82,5.06,4.61,4.91,147264
2016-06-03,4.86,5.88,4.86,5.78,1556364
2016-06-06,5.85,6.26,5.66,6.12,1192404
2016-06-07,6.2,6.96,6.2,6.8,1218176
2016-06-08,7.0,7.75,6.98,7.41,1739421
2016-06-09,7.29,10.0,6.88,9.65,5187988
2016-06-10,9.05,12.06,8.88,10.4,10731734
2016-06-13,9.49,9.98,8.67,9.51,3039938
2016-06-14,9.34,9.82,8.62,9.43,1109972
2016-06-15,9.23,10.98,9.05,10.31,1963686
2016-06-16,10.1,10.9,9.6,10.25,1523442
2016-06-17,10.59,11.25,10.12,10.15,1351550
2016-06-20,10.65,10.93,10.3,10.57,647883
2016-06-21,10.43,11.1,10.21,10.93,904720
2016-06-22,11.25,12.17,11.03,11.22,1622306
2016-06-23,11.55,11.91,11.07,11.51,1301439
2016-06-24,12.68,13.8,12.16,13.06,3145486
2016-06-27,12.92,12.99,10.34,11.08,2014003
2016-06-28,11.74,11.93,11.18,11.37,820635
2016-06-29,11.65,12.37,11.52,11.89,678791
2016-06-30,11.85,12.05,11.31,11.53,547332
2016-07-01,11.35,11.95,11.12,11.74,637528
2016-07-05,11.31,11.71,10.82,11.1,593428
2016-07-06,10.9,11.45,10.75,11.09,362142
2016-07-07,11.19,11.9,11.1,11.45,457465
2016-07-08,11.66,11.9,11.38,11.39,332344
2016-07-11,11.63,11.9,11.1,11.14,421051
2016-07-12,11.3,12.05,11.21,11.92,1008578
2016-07-13,11.92,12.16,11.33,11.55,361674
2016-07-14,11.85,12.13,11.51,11.73,413185
2016-07-15,11.4,11.67,10.69,11.11,685470
2016-07-18,10.89,11.11,10.38,10.59,547621
2016-07-19,10.53,10.66,9.85,10.01,624960
2016-07-20,9.75,10.67,9.21,10.06,756165
2016-07-21,9.85,10.24,9.5,9.55,465958
2016-07-22,9.46,9.8,9.36,9.76,287177
2016-07-25,9.44,9.71,9.21,9.3,256680
2016-07-26,9.14,9.45,9.03,9.08,285654
2016-07-27,9.2,9.63,9.01,9.12,274076
2016-07-28,9.05,9.27,8.73,8.81,341073
2016-07-29,8.7,9.56,8.25,9.28,479716
2016-08-01,9.26,9.37,8.5,8.55,485016
2016-08-02,8.52,9.09,8.12,8.29,406965
2016-08-03,8.34,8.98,8.28,8.9,365340
2016-08-04,8.75,9.63,8.75,9.41,477797
2016-08-05,9.54,9.6,8.72,8.8,661294
2016-08-08,9.2,10.88,9.17,10.5,1388374
2016-08-09,10.98,11.15,10.06,10.45,480958
2016-08-10,10.54,10.9,10.29,10.57,360356
2016-08-11,10.25,11.25,9.78,10.86,775891
2016-08-12,10.92,11.6,10.75,11.46,581235
2016-08-15,11.63,12.24,11.63,12.03,556390
2016-08-16,12.31,12.35,11.56,11.8,400600
2016-08-17,11.88,12.6,11.71,12.15,480112
2016-08-18,12.26,12.59,12.11,12.4,452583
2016-08-19,12.4,12.6,11.87,12.02,348077
2016-08-22,11.87,12.16,11.81,12.13,314691
2016-08-23,11.83,12.2,11.83,12.01,200801
2016-08-24,11.94,12.02,11.36,11.41,385744
2016-08-25,11.32,11.62,11.28,11.41,168939
2016-08-26,11.47,11.7,10.81,10.99,197710
2016-08-29,10.91,11.39,10.86,11.37,171744
2016-08-30,11.39,11.72,10.98,11.22,242885
2016-08-31,11.07,11.26,10.65,11.09,271645
2016-09-01,10.82,11.5,10.68,11.42,230011
2016-09-02,11.67,11.85,11.5,11.78,322968
2016-09-06,11.88,12.37,11.81,12.36,380653
2016-09-07,12.4,12.9,12.16,12.86,516068
2016-09-08,12.98,14.6,12.98,14.51,1111595
2016-09-09,14.31,14.35,14.01,14.13,805871
2016-09-12,13.81,14.2,13.36,13.6,563664
2016-09-13,13.45,13.62,13.06,13.19,291007
2016-09-14,13.17,13.8,13.17,13.41,156126
2016-09-15,13.45,13.7,13.21,13.32,269202
2016-09-16,12.8,13.24,12.3,13.0,404563
2016-09-19,13.24,13.51,12.95,13.15,158617
2016-09-20,13.07,13.6,13.01,13.16,149469
2016-09-21,13.54,13.84,13.16,13.29,357588
2016-09-22,13.59,13.82,12.78,12.89,338363
2016-09-23,12.81,13.08,12.28,12.44,305405
2016-09-26,12.61,12.61,11.8,12.01,268575
2016-09-27,11.84,11.99,10.92,11.05,434389
2016-09-28,11.1,13.25,11.02,13.06,705921
2016-09-29,13.77,13.78,12.7,12.95,604579
2016-09-30,12.97,13.4,12.81,13.04,432165
2016-10-03,13.36,13.5,12.88,13.17,267798
2016-10-04,13.36,13.36,12.46,12.53,266705
2016-10-05,13.08,13.2,12.7,12.72,309859
2016-10-06,12.87,13.3,12.51,12.64,318180
2016-10-07,12.71,12.75,12.1,12.29,182812
2016-10-10,12.47,12.85,12.4,12.74,277342
2016-10-11,12.69,12.69,12.08,12.54,179816
2016-10-12,12.66,13.01,12.27,12.95,233110
2016-10-13,12.95,12.95,12.44,12.51,214962
2016-10-14,12.61,12.85,12.29,12.83,249171
2016-10-17,12.78,12.88,12.46,12.56,78810
2016-10-18,12.75,14.0,12.69,13.97,734490
2016-10-19,14.06,14.49,13.67,14.11,565501
2016-10-20,13.69,15.2,13.66,15.05,741560
2016-10-21,14.91,15.6,14.57,15.18,668767
2016-10-24,15.18,15.44,14.69,15.24,348913
2016-10-25,15.27,15.75,15.16,15.16,334622
2016-10-26,14.7,15.17,13.76,14.21,634120
2016-10-27,14.14,14.71,13.66,13.66,234051
2016-10-28,13.6,13.97,12.88,13.0,300517
2016-10-31,12.89,13.09,12.5,12.95,260189
2016-11-01,13.18,13.18,12.0,12.81,489034
2016-11-02,12.43,12.5,10.91,10.98,904598
2016-11-03,11.0,11.64,10.96,11.12,200027
2016-11-04,11.0,11.09,10.22,10.32,350598
2016-11-07,10.41,10.97,8.9,9.09,676647
2016-11-08,9.12,10.65,8.92,10.49,540075
2016-11-09,10.11,11.67,9.93,11.36,471008
2016-11-10,11.68,12.09,11.04,11.06,341177
2016-11-11,10.99,11.4,10.51,11.13,175623
2016-11-14,11.06,11.39,10.88,11.01,136467
2016-11-15,11.35,11.64,11.15,11.48,209966
2016-11-16,11.41,11.86,11.26,11.27,188976
2016-11-17,11.45,11.69,10.8,10.93,225620
2016-11-18,10.07,10.72,9.71,10.72,2070086
2016-11-21,10.73,11.18,10.52,10.98,701809
2016-11-22,11.18,11.25,10.71,10.86,357689
2016-11-23,10.76,11.56,10.7,11.42,661250
2016-11-25,11.4,11.5,11.15,11.4,189889
2016-11-28,11.44,11.74,11.05,11.09,196902
2016-11-29,10.88,11.0,10.35,10.65,381447
2016-11-30,11.45,12.94,11.45,12.9,1939328
2016-12-01,13.28,13.75,12.1,12.5,759286
2016-12-02,12.37,12.89,12.23,12.34,502647
2016-12-05,12.72,13.4,12.54,12.96,732930
2016-12-06,12.75,13.17,12.75,12.93,498165
2016-12-07,12.72,12.98,12.25,12.46,528169
2016-12-08,12.4,12.97,12.23,12.61,770982
2016-12-09,12.96,12.98,12.02,12.21,597790
2016-12-12,13.18,13.34,12.05,12.27,726215
2016-12-13,12.43,12.48,11.6,11.93,578609
2016-12-14,11.8,12.34,11.64,12.03,464479
2016-12-15,11.97,12.21,11.6,12.13,380047
2016-12-16,12.16,12.67,12.04,12.09,199685
2016-12-19,12.2,12.68,11.8,12.04,353795
2016-12-20,12.13,12.86,12.13,12.54,533028
2016-12-21,12.63,12.77,12.1,12.24,285657
2016-12-22,12.21,12.5,11.32,11.48,437822
2016-12-23,11.5,12.36,11.34,11.94,459431
2016-12-27,12.0,12.36,11.71,12.22,364203
2016-12-28,12.2,12.57,12.12,12.29,389602
2016-12-29,12.11,12.5,11.81,11.92,342215
2016-12-30,11.83,12.57,11.81,12.31,339443
2017-01-03,12.53,12.94,12.37,12.57,364287
2017-01-04,12.59,13.06,12.45,13.01,331342
2017-01-05,13.11,13.37,12.25,12.74,430663
2017-01-06,12.76,12.86,12.52,12.58,121494
2017-01-09,12.58,12.93,12.55,12.83,163535
2017-01-10,12.89,13.07,12.58,12.63,207244
2017-01-11,12.67,13.29,12.51,13.15,269195
2017-01-12,13.21,13.37,12.76,13.23,315093
2017-01-13,13.25,13.5,12.91,13.08,323485
2017-01-17,13.07,13.51,12.81,13.5,421264
2017-01-18,13.48,14.57,13.39,14.4,808561
2017-01-19,14.5,15.68,14.46,14.68,926628
2017-01-20,15.77,16.54,15.05,15.88,1512283
2017-01-23,16.03,16.5,15.0,15.45,805207
2017-01-24,15.59,16.9,15.4,16.19,833204
2017-01-25,16.46,17.9,16.01,17.12,981260
2017-01-26,17.32,18.51,17.25,18.46,1047798
2017-01-27,18.59,18.96,17.31,18.23,908010
2017-01-30,18.22,18.22,16.85,17.57,534041
2017-01-31,17.47,18.1,17.28,17.95,420010
2017-02-01,18.45,18.64,17.41,18.0,468295
2017-02-02,18.08,18.14,17.54,17.73,198361
2017-02-03,18.0,20.02,17.57,19.8,972726
2017-02-06,20.05,21.56,19.32,20.71,1043610
2017-02-07,20.91,21.58,19.42,20.5,1133199
2017-02-08,20.5,20.87,19.73,20.75,620267
2017-02-09,20.96,21.65,20.79,20.91,739194
2017-02-10,21.31,21.56,20.7,21.07,436652
2017-02-13,21.25,21.48,20.2,20.64,423866
2017-02-14,20.75,21.2,20.4,21.0,291925
2017-02-15,20.94,20.95,20.1,20.52,325007
2017-02-16,20.36,20.56,19.65,20.56,360837
2017-02-17,20.49,20.55,19.8,19.99,241742
2017-02-21,20.52,21.0,20.3,20.47,359466
2017-02-22,20.51,23.65,20.15,23.49,1268700
2017-02-23,23.75,24.45,20.39,21.08,1094367
2017-02-24,20.05,20.89,17.62,18.55,1658190
2017-02-27,17.88,21.0,17.8,18.34,1127210
