Date,Open,High,Low,Close,Volume
2016-01-04,12.31,12.95,12.31,12.87,300752
2016-01-05,12.93,12.93,12.54,12.73,240364
2016-01-06,12.46,12.65,11.76,11.93,163728
2016-01-07,11.68,11.92,11.35,11.35,284483
2016-01-08,11.4,11.65,11.15,11.33,245671
2016-01-11,11.37,11.42,10.46,10.6,185769
2016-01-12,10.75,11.03,9.81,10.16,206776
2016-01-13,10.26,10.39,9.33,9.38,187655
2016-01-14,9.4,9.77,8.94,9.75,253006
2016-01-15,9.32,9.61,9.06,9.2,232272
2016-01-19,9.34,9.34,8.15,8.32,293450
2016-01-20,7.96,7.96,6.96,7.41,468258
2016-01-21,7.32,7.79,7.32,7.58,556024
2016-01-22,7.98,8.88,7.93,8.79,481660
2016-01-25,8.59,9.29,8.45,8.53,173596
2016-01-26,8.7,9.41,8.62,9.41,345146
2016-01-27,9.32,9.57,8.99,9.14,245880
2016-01-28,9.82,9.93,9.51,9.92,250946
2016-01-29,10.04,10.45,10.01,10.33,125786
2016-02-01,10.22,10.22,9.8,10.04,111228
2016-02-02,9.52,9.78,9.18,9.69,309250
2016-02-03,9.88,9.95,9.34,9.85,253398
2016-02-04,9.89,10.53,9.67,10.19,319393
2016-02-05,10.19,10.21,9.42,9.61,130468
2016-02-08,9.34,9.35,8.06,8.17,333927
2016-02-09,7.8,7.96,7.27,7.4,312121
2016-02-10,7.47,7.57,7.15,7.25,355970
2016-02-11,7.04,7.34,6.71,6.93,226272
2016-02-12,7.1,7.42,6.92,7.29,316938
2016-02-16,7.62,8.03,7.55,7.95,213165
2016-02-17,8.03,8.64,7.95,8.59,302974
2016-02-18,8.79,8.91,8.51,8.8,272228
2016-02-19,8.74,8.77,8.42,8.74,115241
2016-02-22,9.04,9.6,9.02,9.58,170302
2016-02-23,9.56,9.71,9.26,9.3,145699
2016-02-24,9.09,9.64,8.86,9.51,146109
2016-02-25,9.44,9.52,9.32,9.43,144030
