Date,Open,High,Low,Close,Volume
2016-01-04,32.62,32.98,32.13,32.9,1960208
2016-01-05,32.74,32.93,32.32,32.89,1957689
2016-01-06,32.08,32.31,31.42,31.67,2323503
2016-01-07,31.06,31.81,30.76,31.0,1478571
2016-01-08,31.05,32.17,31.02,31.71,1469393
2016-01-11,31.91,31.99,30.77,31.14,1237453
2016-01-12,31.53,31.94,30.42,31.24,1947567
2016-01-13,31.7,31.9,29.34,29.81,1304906
2016-01-14,30.12,31.28,29.97,31.17,2647139
2016-01-15,29.54,30.56,29.27,30.31,1698999
2016-01-19,30.37,30.66,29.52,30.28,2425581
2016-01-20,29.35,29.63,27.42,28.44,3299566
2016-01-21,28.73,31.35,28.56,31.26,3914704
2016-01-22,32.51,33.53,31.93,33.45,2790610
2016-01-25,33.05,33.73,31.52,31.55,2128543
2016-01-26,32.18,32.94,31.42,32.59,1568039
2016-01-27,32.53,33.17,31.37,32.17,1421325
2016-01-28,33.42,33.79,32.44,33.05,1425668
2016-01-29,33.72,34.7,33.16,34.6,1245062
2016-02-01,33.91,33.96,33.08,33.73,1091670
2016-02-02,32.6,33.09,32.12,32.87,1208265
2016-02-03,33.95,34.85,32.73,34.74,1510647
2016-02-04,34.7,35.48,34.46,34.67,1251101
2016-02-05,34.37,34.44,33.67,33.89,1284849
2016-02-08,33.3,33.48,32.34,33.33,1520328
2016-02-09,32.79,33.21,31.7,32.24,1707100
2016-02-10,32.17,32.42,31.48,31.57,1960510
2016-02-11,30.68,31.43,30.2,30.83,1889397
2016-02-12,31.58,32.72,31.45,31.88,1314274
2016-02-16,32.72,32.81,31.39,32.56,1355352
2016-02-17,33.29,33.69,32.54,33.18,1419771
2016-02-18,33.72,33.72,31.8,32.09,2371894
2016-02-19,31.85,31.9,30.66,31.34,1637712
2016-02-22,32.31,32.76,31.84,31.92,1589259
2016-02-23,31.7,31.73,30.87,31.04,1458713
2016-02-24,30.49,31.61,29.63,31.5,1217957
2016-02-25,30.82,33.71,29.89,33.69,9777122
2016-02-26,34.17,35.33,34.08,34.74,3367854
2016-02-29,34.74,35.43,34.7,35.32,2276532
2016-03-01,34.96,36.05,34.82,35.06,1847132
2016-03-02,34.91,35.05,34.14,34.76,1180210
2016-03-03,34.8,35.54,34.49,35.33,1622231
2016-03-04,35.59,36.81,35.41,36.7,1781399
2016-03-07,36.64,37.7,36.56,37.66,1722639
2016-03-08,37.37,37.77,37.1,37.14,2304983
2016-03-09,37.4,38.29,37.3,38.18,2120316
2016-03-10,38.13,38.43,37.47,38.1,1638971
2016-03-11,38.62,38.83,37.99,38.7,1217986
2016-03-14,38.15,38.3,37.52,37.64,1056313
2016-03-15,37.18,37.59,36.58,37.46,935786
2016-03-16,37.72,38.53,37.46,38.35,1508205
2016-03-17,38.9,39.4,38.78,39.05,1220423
2016-03-18,39.02,39.14,37.48,37.98,2069881
2016-03-21,37.94,38.14,37.13,37.87,1049380
2016-03-22,37.72,38.38,37.68,38.08,1070331
2016-03-23,38.13,38.19,37.03,37.28,818187
2016-03-24,36.72,37.76,36.55,37.46,931876
2016-03-28,37.61,37.83,37.1,37.8,849308
2016-03-29,37.3,37.69,36.99,37.61,1172369
2016-03-30,38.12,39.08,38.07,38.68,1040473
2016-03-31,38.68,39.3,38.68,38.91,798780
2016-04-01,38.57,38.61,37.74,37.94,662159
2016-04-04,38.07,38.35,37.75,37.93,548260
2016-04-05,37.52,37.63,37.02,37.07,669319
2016-04-06,37.25,37.93,37.17,37.87,631473
2016-04-07,37.5,37.88,37.3,37.69,617452
2016-04-08,38.59,39.05,38.44,38.97,842856
2016-04-11,39.26,39.68,39.1,39.12,896266
2016-04-12,39.0,40.59,38.86,40.23,1225109
2016-04-13,40.37,40.66,40.04,40.6,762159
2016-04-14,40.72,40.74,40.16,40.57,567368
2016-04-15,40.17,40.53,39.98,40.51,1210822
2016-04-18,39.54,41.39,39.54,41.38,1092922
2016-04-19,41.7,42.33,41.46,42.3,826883
2016-04-20,42.29,42.89,42.0,42.32,1045060
2016-04-21,42.12,42.5,41.95,42.17,654957
2016-04-22,42.38,42.61,42.09,42.5,1044852
2016-04-25,42.46,42.61,41.66,41.85,802783
2016-04-26,42.2,42.52,41.49,41.57,1229215
2016-04-27,41.95,42.26,41.45,41.94,1171942
2016-04-28,41.74,42.56,41.52,41.9,628309
2016-04-29,41.75,42.18,41.49,41.54,952180
2016-05-02,41.35,41.51,41.07,41.33,928029
2016-05-03,40.8,40.99,40.22,40.42,898476
2016-05-04,40.23,40.63,39.07,39.57,813763
2016-05-05,40.2,40.22,39.01,39.1,1318826
2016-05-06,38.81,39.48,38.64,39.29,1018060
2016-05-09,39.11,39.27,38.4,38.52,870494
2016-05-10,39.01,40.24,38.84,40.0,778545
2016-05-11,40.09,40.12,39.32,39.81,1168443
2016-05-12,40.68,40.84,39.95,40.24,1063162
2016-05-13,40.0,40.67,39.79,39.96,892268
2016-05-16,40.18,40.87,40.18,40.48,966392
2016-05-17,40.31,41.54,40.26,40.88,886127
2016-05-18,40.66,41.13,39.92,40.21,708295
2016-05-19,39.45,39.77,38.94,39.74,815802
2016-05-20,39.82,40.36,39.82,40.29,727870
2016-05-23,40.04,40.24,39.75,39.87,397933
2016-05-24,40.32,40.64,39.95,40.29,894721
2016-05-25,40.56,41.06,40.36,40.91,736436
2016-05-26,41.41,41.43,40.51,40.63,634520
2016-05-27,40.32,40.79,39.93,40.46,758800
2016-05-31,40.16,40.55,39.59,39.89,1129167
2016-06-01,39.76,40.27,39.5,40.15,730776
2016-06-02,39.82,40.57,39.81,40.44,648775
2016-06-03,40.87,41.23,40.6,41.05,542998
2016-06-06,41.29,42.1,41.17,41.95,714995
2016-06-07,42.2,43.05,42.2,42.7,892219
2016-06-08,43.25,43.39,42.33,42.53,706167
2016-06-09,42.02,42.56,42.02,42.43,444032
2016-06-10,42.02,42.52,41.67,41.93,610779
2016-06-13,41.53,42.45,41.45,42.3,952910
2016-06-14,42.14,42.51,41.14,41.51,1321310
2016-06-15,41.14,41.66,41.03,41.23,904252
2016-06-16,40.64,40.8,40.14,40.63,1330945
2016-06-17,40.89,41.27,40.77,41.12,2540378
2016-06-20,41.8,42.25,41.51,42.01,1304973
2016-06-21,41.89,42.53,41.75,42.33,932569
2016-06-22,42.49,42.75,42.26,42.37,987801
2016-06-23,42.91,43.08,42.78,43.04,1120406
2016-06-24,41.92,42.28,40.54,41.54,1769137
2016-06-27,41.01,41.18,40.4,41.07,1421112
2016-06-28,41.33,41.66,40.86,41.38,581507
2016-06-29,41.83,42.16,41.74,42.08,757290
2016-06-30,42.12,42.45,41.69,42.36,1016821
2016-07-01,42.36,43.49,42.35,43.39,952424
2016-07-05,42.83,43.15,41.94,42.14,1051135
2016-07-06,41.93,42.35,41.51,42.18,1187315
2016-07-07,42.71,42.78,41.16,41.39,1348778
2016-07-08,41.65,41.86,41.27,41.32,1184702
2016-07-11,41.32,41.72,41.23,41.58,850212
2016-07-12,42.24,42.58,41.9,42.52,749125
2016-07-13,42.47,42.74,41.94,42.11,1338489
2016-07-14,42.48,42.68,41.77,41.79,1316123
2016-07-15,41.97,42.0,41.42,41.71,868364
2016-07-18,41.52,42.01,41.11,41.96,895314
2016-07-19,41.73,41.89,41.37,41.87,785027
2016-07-20,41.28,41.86,40.86,41.03,999248
2016-07-21,40.99,41.01,40.39,40.69,1347304
2016-07-22,40.78,40.84,39.96,40.17,671926
2016-07-25,39.86,40.0,39.4,39.43,1064503
2016-07-26,39.33,39.59,38.58,39.29,1351335
2016-07-27,39.31,39.55,38.58,38.73,1471900
2016-07-28,38.78,39.23,38.66,39.09,1272902
2016-07-29,39.09,41.19,38.94,41.13,1402248
2016-08-01,40.62,40.7,39.83,40.01,1024392
2016-08-02,40.57,40.88,40.17,40.41,1384714
2016-08-03,40.38,40.62,39.91,40.56,1868133
2016-08-04,40.58,41.41,40.56,41.29,762952
2016-08-05,41.2,41.54,41.03,41.31,730817
2016-08-08,41.56,42.09,41.41,41.98,497329
2016-08-09,41.98,42.21,41.61,41.68,949151
2016-08-10,41.99,42.07,41.5,41.61,581247
2016-08-11,41.69,41.98,41.33,41.93,595994
2016-08-12,42.13,42.24,41.71,41.83,417579
2016-08-15,42.16,42.43,41.67,41.78,684292
2016-08-16,41.85,41.93,41.3,41.78,609577
2016-08-17,41.59,41.66,41.33,41.54,759002
2016-08-18,41.68,42.42,41.62,42.32,570974
2016-08-19,42.05,42.08,41.57,41.62,594421
2016-08-22,41.13,41.34,40.82,40.97,873465
2016-08-23,41.12,41.62,41.0,41.52,1466011
2016-08-24,41.26,41.39,40.65,40.7,616956
2016-08-25,40.71,40.71,39.93,40.02,954939
2016-08-26,40.28,40.67,39.72,39.96,680852
2016-08-29,39.86,39.93,39.35,39.6,627090
2016-08-30,39.55,39.7,39.2,39.57,710695
2016-08-31,39.4,39.55,38.68,39.49,1178751
2016-09-01,39.24,39.68,39.2,39.57,1341193
2016-09-02,39.97,41.0,39.85,40.99,1416311
2016-09-06,41.13,44.29,41.07,43.06,26350464
2016-09-07,43.21,43.84,43.05,43.72,10071380
