Date,Open,High,Low,Close,Volume
2016-01-04,33.69,34.89,33.39,34.7,579801
2016-01-05,34.81,35.46,34.45,34.55,465407
2016-01-06,34.15,34.9,33.96,34.33,455876
2016-01-07,33.69,34.13,33.1,33.11,427164
2016-01-08,32.63,32.99,31.78,31.95,1003839
2016-01-11,32.04,32.27,31.0,31.4,936336
2016-01-12,31.62,32.09,31.16,31.94,674719
2016-01-13,31.96,32.37,30.86,31.4,812681
2016-01-14,31.46,31.69,30.99,31.44,337840
2016-01-15,30.52,31.26,30.33,30.62,538627
2016-01-19,31.08,31.36,30.0,30.23,525752
2016-01-20,29.83,30.95,28.86,30.66,1108918
2016-01-21,30.62,31.91,30.02,31.29,649696
2016-01-22,31.63,32.09,31.41,31.82,347582
2016-01-25,31.64,32.56,31.32,32.32,700222
2016-01-26,32.48,32.67,30.94,31.94,894945
2016-01-27,31.83,32.07,31.35,31.66,358092
2016-01-28,31.75,32.36,30.96,31.3,774127
2016-01-29,31.48,32.33,31.2,32.04,905713
2016-02-01,31.92,32.62,31.52,31.85,629779
2016-02-02,31.78,32.19,31.1,31.58,1277835
2016-02-03,35.87,37.34,34.71,36.86,2481744
2016-02-04,37.19,39.38,36.68,37.85,1739863
2016-02-05,37.64,38.49,36.36,36.43,936872
2016-02-08,36.18,37.33,35.51,36.93,733656
2016-02-09,36.46,37.48,36.31,36.59,384854
2016-02-10,36.88,38.01,36.64,37.31,599188
2016-02-11,36.74,36.86,34.76,35.62,727153
2016-02-12,35.9,36.93,35.75,36.4,505625
2016-02-16,36.81,37.55,36.36,37.28,350969
2016-02-17,37.11,38.1,37.11,37.43,508007
2016-02-18,37.4,37.58,36.32,36.92,433078
2016-02-19,36.7,36.87,35.64,36.83,632230
2016-02-22,37.11,39.05,36.91,38.54,766541
2016-02-23,38.19,38.68,37.59,37.9,1483092
2016-02-24,37.69,37.88,36.92,37.34,767726
2016-02-25,37.44,38.89,37.32,38.84,747553
2016-02-26,39.03,39.4,38.79,39.18,723691
2016-02-29,39.26,39.33,38.66,38.94,600071
2016-03-01,39.11,39.36,38.52,39.25,454781
2016-03-02,39.19,40.0,38.61,39.96,427719
2016-03-03,40.0,40.95,39.88,40.88,515408
2016-03-04,40.81,41.88,40.56,41.54,474536
2016-03-07,41.44,41.67,41.01,41.51,444485
2016-03-08,41.28,41.3,40.37,40.49,525952
2016-03-09,40.71,41.04,40.32,40.63,383599
2016-03-10,40.74,40.74,39.58,40.01,253261
2016-03-11,40.44,40.44,39.52,39.78,267540
2016-03-14,39.95,40.83,39.85,40.49,294967
2016-03-15,40.18,40.62,39.94,40.53,161027
2016-03-16,40.53,41.2,40.44,40.68,364680
2016-03-17,40.73,40.73,39.94,40.31,501092
