Date,Open,High,Low,Close,Volume
2016-01-04,13.24,13.26,13.03,13.07,249685
2016-01-05,13.15,13.26,13.13,13.19,112453
2016-01-06,13.16,13.18,12.92,12.94,358660
2016-01-07,12.86,12.92,12.71,12.71,199159
2016-01-08,12.89,12.91,12.5,12.5,193106
2016-01-11,12.6,12.63,12.37,12.38,168797
2016-01-12,12.54,12.62,12.49,12.54,208000
2016-01-13,12.65,12.65,12.1,12.1,181810
2016-01-14,12.18,12.33,12.01,12.22,197864
2016-01-15,12.0,12.03,11.77,11.84,206339
2016-01-19,11.95,12.04,11.79,11.89,196121
2016-01-20,11.65,11.88,11.01,11.3,249907
2016-01-21,11.39,11.64,11.39,11.58,142036
2016-01-22,11.84,12.04,11.81,11.91,147121
2016-01-25,12.11,12.31,11.78,11.78,198724
2016-01-26,11.87,12.1,11.82,12.09,153406
2016-01-27,12.15,12.15,11.92,11.92,99595
2016-01-28,11.97,12.05,11.87,11.99,210065
2016-01-29,12.09,12.26,12.05,12.24,133154
2016-02-01,12.23,12.38,12.18,12.37,97849
2016-02-02,12.31,12.31,12.2,12.26,61066
2016-02-03,12.35,12.5,12.12,12.48,123226
2016-02-04,12.54,12.76,12.4,12.74,136137
2016-02-05,12.83,12.86,12.47,12.48,461366
2016-02-08,12.35,12.39,11.8,12.03,262807
2016-02-09,11.85,11.89,11.61,11.69,149752
2016-02-10,11.81,11.89,11.71,11.75,106434
2016-02-11,11.65,11.74,11.35,11.4,207761
2016-02-12,11.55,12.29,11.5,12.24,259999
2016-02-16,12.27,12.39,12.06,12.18,155933
2016-02-17,12.37,12.52,12.3,12.38,191942
2016-02-18,12.36,12.49,12.22,12.24,216041
2016-02-19,12.25,12.5,12.1,12.33,232523
2016-02-22,12.44,12.47,12.3,12.3,159938
2016-02-23,12.34,12.44,12.17,12.23,134990
2016-02-24,12.15,12.63,12.08,12.45,153510
2016-02-25,12.54,12.64,12.4,12.42,158172
2016-02-26,12.49,12.55,12.38,12.38,142127
2016-02-29,12.38,12.55,12.36,12.47,119448
2016-03-01,12.64,12.71,12.56,12.69,180981
2016-03-02,12.67,12.75,12.58,12.6,120720
2016-03-03,12.7,12.71,12.5,12.54,191384
2016-03-04,12.69,12.69,12.5,12.51,208677
2016-03-07,12.56,12.61,12.45,12.57,126033
2016-03-08,12.58,12.68,12.45,12.46,106739
2016-03-09,12.58,12.71,12.45,12.51,133464
2016-03-10,12.61,12.61,12.45,12.55,121894
2016-03-11,12.63,12.77,12.62,12.7,99403
2016-03-14,12.7,12.76,12.67,12.7,56533
2016-03-15,12.64,12.7,12.6,12.62,111006
2016-03-16,12.61,12.74,12.61,12.65,137697
2016-03-17,12.63,12.67,12.59,12.59,170102
2016-03-18,12.64,12.68,12.58,12.59,70805
2016-03-21,12.57,12.64,12.55,12.64,93938
2016-03-22,12.56,12.66,12.51,12.63,86672
2016-03-23,12.68,12.68,12.51,12.57,57646
2016-03-24,12.56,12.6,12.28,12.35,120766
2016-03-28,12.41,12.52,12.33,12.48,119205
2016-03-29,12.57,12.6,12.4,12.57,107144
2016-03-30,12.71,12.72,12.55,12.72,101776
2016-03-31,12.69,12.71,12.53,12.53,198594
2016-04-01,12.47,12.77,12.45,12.77,98859
2016-04-04,12.75,12.75,12.48,12.73,178766
2016-04-05,12.71,12.71,12.51,12.65,136614
2016-04-06,12.77,12.79,12.58,12.79,123672
2016-04-07,12.77,12.77,12.61,12.77,131089
2016-04-08,12.8,12.9,12.7,12.9,111313
2016-04-11,12.88,12.89,12.72,12.89,109222
2016-04-12,12.9,12.9,12.78,12.9,136203
2016-04-13,12.9,12.94,12.86,12.94,132292
2016-04-14,12.91,12.93,12.84,12.9,100155
2016-04-15,12.87,12.9,12.75,12.75,108555
2016-04-18,12.75,12.91,12.75,12.91,128217
2016-04-19,12.92,12.96,12.87,12.91,89657
2016-04-20,12.87,12.91,12.81,12.9,68978
2016-04-21,12.91,12.94,12.9,12.9,59683
2016-04-22,12.89,12.92,12.75,12.79,69342
2016-04-25,12.76,12.82,12.73,12.8,59807
2016-04-26,12.91,12.93,12.86,12.92,64251
2016-04-27,13.0,13.01,12.93,12.97,75879
2016-04-28,12.9,13.04,12.78,12.79,121220
2016-04-29,12.87,12.87,12.58,12.59,140578
2016-05-02,12.61,12.74,12.59,12.74,113207
2016-05-03,12.68,12.77,12.51,12.76,108084
2016-05-04,12.65,12.71,12.58,12.69,102107
2016-05-05,12.75,12.75,12.54,12.65,109585
2016-05-06,12.61,12.77,12.61,12.77,105695
2016-05-09,12.71,12.77,12.59,12.75,145554
2016-05-10,12.81,12.83,12.65,12.73,153339
2016-05-11,12.7,12.78,12.62,12.7,128551
2016-05-12,12.72,12.81,12.66,12.78,203568
2016-05-13,12.85,12.87,12.75,12.75,137356
2016-05-16,12.75,12.95,12.7,12.92,131606
2016-05-17,12.89,13.03,12.75,13.03,163591
2016-05-18,13.04,13.05,12.79,12.89,180518
2016-05-19,12.83,12.94,12.61,12.66,208995
2016-05-20,12.82,12.84,12.73,12.84,87865
2016-05-23,12.79,12.89,12.79,12.83,120157
2016-05-24,12.91,12.94,12.78,12.82,149253
2016-05-25,12.84,13.05,12.84,12.88,174913
2016-05-26,13.01,13.01,12.94,13.01,87001
2016-05-27,12.98,13.17,12.98,13.03,141890
2016-05-31,13.01,13.23,13.01,13.13,175099
2016-06-01,13.07,13.25,13.06,13.24,122897
2016-06-02,13.16,13.38,13.13,13.36,119122
2016-06-03,13.38,13.38,13.17,13.17,118746
2016-06-06,13.23,13.33,13.12,13.13,124120
2016-06-07,13.18,13.25,13.11,13.18,64008
2016-06-08,13.17,13.28,13.1,13.23,80012
2016-06-09,13.17,13.21,13.09,13.17,84495
2016-06-10,13.07,13.18,13.07,13.1,54806
2016-06-13,13.1,13.15,12.98,12.99,101915
2016-06-14,13.0,13.08,12.89,13.01,142229
2016-06-15,13.04,13.05,12.87,12.95,108861
2016-06-16,12.85,12.88,12.7,12.81,151493
2016-06-17,12.86,12.96,12.85,12.96,128072
2016-06-20,13.04,13.07,12.98,13.03,79185
2016-06-21,12.94,12.95,12.87,12.9,61410
2016-06-22,12.96,13.0,12.91,12.92,57056
2016-06-23,12.98,13.07,12.84,12.85,137120
2016-06-24,12.49,12.82,12.48,12.73,152943
2016-06-27,12.63,12.67,12.52,12.57,126729
2016-06-28,12.71,12.82,12.67,12.77,142556
2016-06-29,12.83,12.96,12.57,12.62,625319
2016-06-30,12.69,12.76,12.65,12.74,184023
2016-07-01,12.74,12.89,12.74,12.88,105889
2016-07-05,12.84,12.84,12.68,12.77,126799
2016-07-06,12.78,12.95,12.72,12.91,78494
2016-07-07,12.97,13.0,12.91,12.96,71921
2016-07-08,13.04,13.11,13.0,13.03,92270
2016-07-11,13.1,13.14,13.04,13.1,84409
2016-07-12,13.16,13.24,13.11,13.17,63480
2016-07-13,13.2,13.21,13.07,13.1,65566
2016-07-14,13.15,13.25,13.09,13.12,130966
2016-07-15,13.17,13.28,13.11,13.2,166203
2016-07-18,13.16,13.41,13.16,13.37,260858
2016-07-19,13.45,13.5,13.24,13.47,169131
2016-07-20,13.36,13.44,13.26,13.3,115304
2016-07-21,13.35,13.35,13.16,13.23,110689
2016-07-22,13.3,13.3,13.16,13.18,87068
2016-07-25,13.19,13.22,13.11,13.15,101231
2016-07-26,13.19,13.21,13.1,13.18,106742
2016-07-27,13.23,13.3,13.19,13.27,86867
2016-07-28,13.22,13.28,13.14,13.27,74089
2016-07-29,13.28,13.28,13.17,13.2,113277
2016-08-01,13.18,13.25,13.12,13.24,48763
2016-08-02,13.23,13.26,13.08,13.14,85747
2016-08-03,13.1,13.13,13.02,13.13,207485
2016-08-04,13.14,13.19,13.05,13.18,143945
2016-08-05,13.25,13.26,13.2,13.25,97624
2016-08-08,13.27,13.28,13.18,13.26,105238
2016-08-09,13.27,13.3,13.12,13.23,180985
2016-08-10,13.18,13.22,13.05,13.07,147917
2016-08-11,13.08,13.15,13.06,13.07,209615
2016-08-12,13.08,13.16,13.07,13.16,145757
2016-08-15,13.2,13.21,13.13,13.16,73609
2016-08-16,13.12,13.13,13.07,13.11,98361
2016-08-17,13.12,13.13,13.07,13.13,69803
2016-08-18,13.14,13.16,13.07,13.16,144830
2016-08-19,13.15,13.16,13.07,13.16,85446
2016-08-22,13.04,13.06,12.99,13.05,166357
2016-08-23,13.1,13.11,13.04,13.07,169466
2016-08-24,13.02,13.06,12.97,12.98,118518
2016-08-25,13.01,13.01,12.93,12.94,100585
2016-08-26,12.98,13.06,12.91,12.99,81727
2016-08-29,12.96,13.08,12.96,13.07,81463
2016-08-30,13.07,13.08,12.99,13.07,83139
2016-08-31,13.05,13.07,13.0,13.07,65154
2016-09-01,13.06,13.08,12.96,13.07,75395
2016-09-02,13.08,13.12,13.05,13.1,102360
2016-09-06,13.1,13.1,13.05,13.1,115147
2016-09-07,13.1,13.12,13.04,13.06,110818
2016-09-08,13.04,13.07,12.96,13.0,137607
2016-09-09,12.92,12.95,12.78,12.79,126692
2016-09-12,12.75,12.91,12.7,12.89,143007
2016-09-13,12.81,12.81,12.58,12.63,199206
2016-09-14,12.61,12.73,12.57,12.63,117518
2016-09-15,12.62,12.75,12.62,12.66,175048
2016-09-16,12.61,12.65,12.54,12.61,183261
2016-09-19,12.64,12.68,12.59,12.6,167961
2016-09-20,12.62,12.67,12.55,12.58,142063
2016-09-21,12.56,12.64,12.52,12.61,134098
2016-09-22,12.68,12.72,12.64,12.66,87060
2016-09-23,12.69,12.69,12.59,12.63,51836
2016-09-26,12.57,12.58,12.47,12.52,86885
2016-09-27,12.5,12.64,12.48,12.63,78078
2016-09-28,12.62,12.67,12.58,12.64,83117
2016-09-29,12.6,12.65,12.52,12.59,66152
2016-09-30,12.66,12.72,12.6,12.65,108076
2016-10-03,12.67,12.72,12.6,12.7,67227
2016-10-04,12.65,12.66,12.55,12.62,161487
2016-10-05,12.64,12.69,12.62,12.64,50092
2016-10-06,12.65,12.67,12.56,12.63,132404
2016-10-07,12.68,12.68,12.53,12.55,103395
2016-10-10,12.58,12.63,12.58,12.61,70775
2016-10-11,12.58,12.61,12.48,12.54,93965
2016-10-12,12.49,12.54,12.46,12.5,66446
2016-10-13,12.45,12.47,12.41,12.41,90468
2016-10-14,12.47,12.52,12.41,12.42,69747
2016-10-17,12.43,12.45,12.16,12.18,325638
2016-10-18,12.32,12.34,12.24,12.3,104086
2016-10-19,12.3,12.42,12.26,12.42,96063
2016-10-20,12.31,12.32,12.23,12.28,62146
2016-10-21,12.28,12.36,12.24,12.36,68507
2016-10-24,12.4,12.43,12.35,12.42,77909
2016-10-25,12.43,12.43,12.34,12.39,138586
2016-10-26,12.33,12.4,12.3,12.35,79057
2016-10-27,12.42,12.42,12.27,12.3,61289
2016-10-28,12.29,12.31,12.15,12.17,137333
2016-10-31,12.23,12.26,12.07,12.07,140112
2016-11-01,12.12,12.12,11.9,11.97,166666
2016-11-02,11.85,11.93,11.79,11.85,196380
2016-11-03,11.82,11.84,11.69,11.71,127472
2016-11-04,11.65,11.68,11.6,11.65,193842
2016-11-07,11.78,11.93,11.73,11.88,270872
2016-11-08,11.83,12.0,11.82,11.95,119037
2016-11-09,11.79,12.11,11.72,12.02,200122
2016-11-10,12.06,12.2,11.94,12.07,281799
2016-11-11,12.03,12.1,11.92,11.96,133740
2016-11-14,12.0,12.06,11.82,11.98,191591
2016-11-15,11.96,12.12,11.96,12.12,150887
2016-11-16,12.1,12.21,12.05,12.21,113593
2016-11-17,12.23,12.25,12.16,12.21,168770
2016-11-18,12.24,12.25,12.16,12.22,101679
2016-11-21,12.14,12.25,12.14,12.22,172949
2016-11-22,12.28,12.29,12.2,12.26,73345
2016-11-23,12.2,12.29,12.18,12.21,77792
2016-11-25,12.21,12.34,12.21,12.31,136615
2016-11-28,12.29,12.32,12.25,12.26,81321
2016-11-29,12.28,12.29,12.18,12.21,86188
2016-11-30,12.27,12.28,12.16,12.19,100390
2016-12-01,12.17,12.21,12.1,12.11,115495
2016-12-02,12.11,12.12,12.01,12.01,99516
2016-12-05,12.09,12.12,12.0,12.02,149860
2016-12-06,12.06,12.12,12.03,12.12,195320
2016-12-07,12.1,12.32,12.1,12.32,158363
2016-12-08,12.27,12.33,12.25,12.3,104034
2016-12-09,12.33,12.39,12.31,12.39,94348
2016-12-12,12.41,12.42,12.31,12.33,100468
2016-12-13,12.39,12.44,12.34,12.42,213195
2016-12-14,12.37,12.44,12.36,12.41,129385
2016-12-15,12.42,12.5,12.38,12.49,110578
2016-12-16,12.5,12.5,12.37,12.45,227511
2016-12-19,12.49,12.55,12.46,12.52,119536
2016-12-20,12.51,12.6,12.51,12.6,110078
2016-12-21,12.52,12.52,12.4,12.47,129294
2016-12-22,12.45,12.5,12.44,12.48,118195
2016-12-23,12.51,12.51,12.43,12.45,101506
2016-12-27,12.45,12.54,12.44,12.47,129584
2016-12-28,12.46,12.48,12.32,12.32,92073
2016-12-29,12.37,12.48,12.28,12.44,232176
2016-12-30,12.5,12.5,12.37,12.4,195714
2017-01-03,12.46,12.49,12.4,12.41,91577
2017-01-04,12.44,12.55,12.44,12.52,80815
2017-01-05,12.41,12.53,12.41,12.48,157662
2017-01-06,12.51,12.6,12.51,12.57,112907
2017-01-09,12.57,12.62,12.51,12.55,160940
2017-01-10,12.54,12.6,12.53,12.56,86860
2017-01-11,12.55,12.6,12.52,12.56,102073
2017-01-12,12.55,12.57,12.46,12.51,161262
2017-01-13,12.51,12.58,12.51,12.55,107309
2017-01-17,12.55,12.58,12.5,12.52,126134
2017-01-18,12.58,12.6,12.54,12.59,107222
2017-01-19,12.59,12.61,12.51,12.59,136694
2017-01-20,12.55,12.58,12.5,12.57,92669
2017-01-23,12.58,12.6,12.51,12.58,118229
2017-01-24,12.55,12.67,12.55,12.6,136265
2017-01-25,12.63,12.69,12.61,12.65,121423
2017-01-26,12.65,12.74,12.65,12.72,127867
2017-01-27,12.73,12.81,12.7,12.8,148489
2017-01-30,12.75,12.79,12.69,12.79,108509
2017-01-31,12.76,12.8,12.68,12.79,100451
2017-02-01,12.81,12.83,12.75,12.78,90848
2017-02-02,12.75,12.77,12.71,12.74,100340
2017-02-03,12.8,12.85,12.78,12.85,111998
2017-02-06,12.81,12.85,12.79,12.81,98952
2017-02-07,12.85,12.86,12.81,12.86,117630
