Date,Open,High,Low,Close,Volume
2016-01-04,77.97,78.04,73.88,75.13,485331
2016-01-05,75.27,76.96,74.9,75.11,320984
2016-01-06,74.02,75.0,73.42,74.32,343973
2016-01-07,73.08,74.58,72.05,72.28,445919
2016-01-08,73.02,73.59,70.26,70.49,777624
2016-01-11,69.56,70.7,68.55,70.2,592396
2016-01-12,70.87,71.86,69.92,70.47,442498
2016-01-13,71.04,71.72,69.5,70.2,547741
2016-01-14,70.5,73.15,68.99,72.78,557795
2016-01-15,71.19,71.32,68.26,69.06,618226
2016-01-19,69.85,70.43,67.61,67.84,676108
2016-01-20,66.58,69.07,64.82,68.77,550674
2016-01-21,68.22,70.68,67.48,70.18,467354
2016-01-22,71.13,72.45,70.87,72.12,381644
2016-01-25,71.72,72.96,71.38,72.49,483868
2016-01-26,72.42,72.76,70.61,70.99,317291
2016-01-27,70.66,72.42,69.88,70.67,403993
2016-01-28,71.63,72.62,70.57,71.5,281382
2016-01-29,72.11,74.94,71.55,74.9,496316
2016-02-01,74.36,76.77,73.95,75.86,500988
2016-02-02,75.0,76.34,74.42,75.2,385611
2016-02-03,76.0,76.0,71.06,71.71,475282
2016-02-04,71.37,72.02,67.75,68.86,526871
2016-02-05,68.26,68.26,58.66,60.92,1967999
2016-02-08,59.54,61.93,58.15,59.77,1584193
2016-02-09,58.96,60.74,56.93,58.69,923101
2016-02-10,58.91,60.99,57.96,58.06,706712
2016-02-11,56.95,58.52,56.49,58.05,772516
2016-02-12,58.0,59.0,54.88,57.0,905098
2016-02-16,57.89,61.14,57.23,60.44,668414
2016-02-17,60.87,61.05,59.35,60.1,592485
2016-02-18,62.78,68.64,62.36,65.67,905894
2016-02-19,65.5,66.82,64.67,66.43,709552
2016-02-22,66.97,67.39,64.03,64.17,485743
2016-02-23,63.99,65.64,62.89,64.93,606780
2016-02-24,63.9,65.88,63.11,65.74,483958
2016-02-25,66.0,67.29,65.15,67.21,461556
2016-02-26,67.47,68.0,66.72,67.29,454539
2016-02-29,67.35,68.89,67.04,68.38,743111
2016-03-01,68.93,70.87,68.15,70.13,594734
2016-03-02,69.85,70.75,69.21,69.73,314569
2016-03-03,69.63,71.1,68.8,70.97,386394
2016-03-04,71.07,72.06,70.07,71.38,414496
2016-03-07,70.29,71.52,69.58,70.74,586992
2016-03-08,70.17,70.63,69.16,69.62,402389
2016-03-09,70.09,70.09,68.34,69.12,404501
2016-03-10,69.26,69.83,67.12,68.17,407750
2016-03-11,68.77,69.71,68.47,69.56,311696
2016-03-14,69.56,71.93,69.56,71.58,459209
2016-03-15,71.01,71.15,70.18,70.34,465317
2016-03-16,69.99,72.3,69.85,70.78,555538
2016-03-17,70.61,71.67,70.11,71.18,401546
2016-03-18,71.65,71.99,70.31,70.6,734995
2016-03-21,70.24,71.19,70.24,70.67,252503
2016-03-22,70.0,70.96,69.89,70.46,411527
2016-03-23,70.46,71.27,70.08,70.74,313558
2016-03-24,70.33,71.29,69.88,70.52,286851
2016-03-28,70.53,72.38,70.43,72.15,317446
2016-03-29,71.73,73.83,71.56,73.76,337477
2016-03-30,74.51,74.88,73.16,73.34,280139
2016-03-31,73.32,75.25,73.06,74.67,369780
2016-04-01,74.19,77.18,73.88,76.99,606934
2016-04-04,76.8,76.8,75.31,75.59,567799
2016-04-05,75.1,75.54,73.95,74.13,310544
2016-04-06,74.2,74.63,73.77,74.32,281629
2016-04-07,73.68,74.34,72.43,72.74,336576
2016-04-08,73.2,73.78,72.66,73.7,216315
2016-04-11,74.01,75.5,73.42,73.43,304637
2016-04-12,73.48,74.26,72.75,74.23,380989
2016-04-13,74.94,76.38,74.56,76.14,433638
2016-04-14,76.05,76.32,75.18,76.17,380891
2016-04-15,76.2,77.38,75.86,77.2,430225
2016-04-18,76.93,77.96,76.58,77.46,296142
2016-04-19,77.57,77.96,75.72,77.08,395575
2016-04-20,76.95,77.71,76.01,77.23,324197
2016-04-21,77.08,78.1,76.8,77.92,408489
2016-04-22,77.77,78.4,77.08,78.08,384508
2016-04-25,77.86,78.14,76.62,77.4,265055
2016-04-26,77.8,78.28,76.57,78.1,270894
2016-04-27,77.92,77.92,74.83,75.37,732610
2016-04-28,75.5,75.5,73.47,73.55,533731
2016-04-29,73.5,73.99,72.11,72.93,532957
2016-05-02,73.22,73.42,72.28,73.4,509754
2016-05-03,72.9,73.19,70.67,71.63,521885
2016-05-04,71.06,71.58,70.1,70.87,694005
2016-05-05,70.5,74.12,69.5,71.26,1015313
2016-05-06,72.75,73.09,69.46,71.19,547956
2016-05-09,71.07,71.99,70.07,70.14,523680
2016-05-10,70.13,71.44,69.61,71.34,513708
2016-05-11,71.16,72.85,71.06,72.0,582569
2016-05-12,72.5,73.19,70.62,71.03,450780
2016-05-13,71.19,73.15,70.57,71.52,537253
2016-05-16,71.93,73.38,71.01,72.9,500316
2016-05-17,72.61,72.95,70.71,71.04,487367
2016-05-18,70.92,72.6,70.36,72.06,356586
2016-05-19,71.53,72.72,70.34,70.85,329720
2016-05-20,71.14,73.0,71.1,72.61,328548
2016-05-23,72.57,72.87,71.96,72.11,171674
2016-05-24,72.59,74.98,71.95,74.69,320171
2016-05-25,75.0,75.43,74.32,74.62,308846
2016-05-26,74.98,74.98,74.12,74.55,276249
2016-05-27,74.56,75.9,74.42,75.74,461100
2016-05-31,75.84,76.68,75.2,76.51,428745
2016-06-01,76.06,76.28,74.91,75.95,304425
2016-06-02,75.86,75.93,75.07,75.93,230628
2016-06-03,75.99,75.99,74.21,75.54,269931
2016-06-06,75.34,76.53,74.64,76.18,263301
2016-06-07,76.18,76.65,75.22,75.27,270936
2016-06-08,75.57,75.74,74.41,74.5,422664
2016-06-09,73.99,74.34,72.92,73.36,694731
2016-06-10,72.7,72.82,71.46,71.54,285755
2016-06-13,71.0,72.09,70.71,71.08,253274
2016-06-14,70.75,71.4,69.86,71.17,383306
2016-06-15,71.44,71.48,70.0,70.1,327431
2016-06-16,69.75,69.76,68.38,69.54,272629
2016-06-17,69.71,70.78,67.63,68.42,543462
2016-06-20,69.22,72.48,69.08,71.77,762430
2016-06-21,71.83,72.45,70.74,71.03,324877
2016-06-22,71.0,71.78,70.64,71.01,270656
2016-06-23,71.91,72.39,70.72,72.39,415779
2016-06-24,68.33,68.55,65.47,65.84,958255
2016-06-27,65.14,65.2,61.32,61.8,1255935
2016-06-28,63.84,66.87,63.67,66.55,1408556
2016-06-29,67.36,67.55,65.83,65.9,754472
2016-06-30,65.9,66.11,62.03,64.31,955735
2016-07-01,64.39,64.54,63.07,63.51,627527
2016-07-05,62.98,63.3,61.81,62.24,682338
2016-07-06,62.0,63.62,61.47,63.4,751550
2016-07-07,62.93,64.51,62.44,63.1,599442
2016-07-08,63.83,66.38,63.55,65.95,700133
2016-07-11,66.21,66.79,65.76,65.92,252799
2016-07-12,66.76,67.8,66.27,67.7,529522
2016-07-13,68.35,68.97,67.72,68.19,649302
2016-07-14,68.83,69.38,68.12,68.28,318919
2016-07-15,68.74,68.98,67.6,68.61,372078
2016-07-18,68.37,68.72,67.94,68.49,202012
2016-07-19,68.47,68.61,68.1,68.37,213682
2016-07-20,68.89,71.0,68.89,69.87,415462
2016-07-21,69.83,70.98,69.43,69.8,515982
2016-07-22,69.65,70.56,68.78,70.31,385288
2016-07-25,70.31,70.94,69.66,70.67,293994
2016-07-26,70.55,71.09,70.06,70.46,233789
2016-07-27,70.4,70.55,69.5,69.92,208584
2016-07-28,69.85,70.69,69.81,70.37,246527
2016-07-29,70.46,70.58,70.0,70.24,383005
2016-08-01,70.17,71.79,69.91,71.6,437428
2016-08-02,71.3,71.41,69.91,70.19,406675
2016-08-03,70.27,70.86,69.94,70.17,435906
2016-08-04,64.0,67.06,62.82,66.59,1635008
2016-08-05,66.9,67.8,66.23,66.64,748205
2016-08-08,66.84,66.87,65.87,65.99,434591
2016-08-09,66.5,67.06,65.9,66.71,402550
2016-08-10,66.52,66.92,66.25,66.46,258812
2016-08-11,66.61,67.18,66.16,67.05,387139
2016-08-12,67.5,68.61,66.86,68.4,447488
2016-08-15,68.45,68.45,67.64,67.67,289952
2016-08-16,67.67,67.67,65.8,66.35,513338
2016-08-17,66.5,67.07,66.19,66.52,347413
2016-08-18,66.66,67.21,65.96,66.07,351804
2016-08-19,66.1,66.62,65.56,65.63,311674
2016-08-22,65.35,66.04,65.02,65.95,208619
2016-08-23,65.87,68.25,65.87,67.74,413609
2016-08-24,67.51,67.99,66.79,67.11,241939
2016-08-25,66.96,67.7,66.68,67.41,244316
2016-08-26,67.54,68.11,67.35,67.83,158928
2016-08-29,67.8,68.24,67.28,67.36,118319
2016-08-30,67.5,67.59,66.76,67.39,305233
2016-08-31,67.52,68.45,67.22,68.21,219200
2016-09-01,68.2,69.09,67.93,69.09,251711
2016-09-02,69.46,71.18,69.41,70.74,551830
2016-09-06,70.8,71.32,70.08,70.3,346587
2016-09-07,70.23,70.74,69.54,70.27,203421
2016-09-08,69.79,70.57,69.49,70.09,186314
2016-09-09,70.34,70.44,68.08,68.09,391940
2016-09-12,67.67,68.42,67.2,68.32,537900
2016-09-13,67.4,68.1,66.71,67.17,371581
2016-09-14,66.96,67.41,66.51,67.01,286728
2016-09-15,66.8,68.67,66.69,68.31,262419
2016-09-16,68.38,68.38,67.29,67.87,375693
2016-09-19,68.0,68.97,67.78,68.4,160780
2016-09-20,68.71,68.88,68.22,68.23,221893
2016-09-21,68.67,69.45,68.18,69.0,392607
2016-09-22,69.58,69.81,68.71,69.72,333914
2016-09-23,69.28,69.99,69.28,69.86,220681
2016-09-26,69.86,69.86,66.43,66.99,406209
2016-09-27,66.74,67.9,66.54,67.49,166979
2016-09-28,67.57,67.98,67.07,67.59,259927
2016-09-29,67.92,69.86,67.76,68.15,337794
2016-09-30,68.43,69.97,67.76,69.31,530931
2016-10-03,69.2,69.2,67.64,68.02,344903
2016-10-04,67.89,68.26,67.13,67.53,327397
2016-10-05,67.91,68.99,67.39,67.68,261645
2016-10-06,67.42,67.76,66.8,67.33,382076
2016-10-07,67.08,67.36,65.5,65.84,233127
2016-10-10,66.15,67.14,66.15,66.78,284146
2016-10-11,66.39,66.39,64.35,64.57,262027
2016-10-12,64.57,65.22,63.96,64.6,186480
2016-10-13,64.0,64.53,63.15,64.35,267586
2016-10-14,64.85,65.07,64.01,64.81,284519
2016-10-17,64.69,65.27,64.55,64.63,231246
2016-10-18,65.33,65.55,64.7,65.02,218420
2016-10-19,65.36,65.36,63.92,64.59,300750
2016-10-20,65.49,66.5,64.19,64.49,429969
2016-10-21,64.17,64.17,62.95,63.35,302404
2016-10-24,63.82,66.94,63.82,66.9,490986
2016-10-25,67.0,67.23,65.43,66.08,222599
2016-10-26,65.9,67.08,65.3,66.36,231266
2016-10-27,66.74,66.74,65.2,65.33,195603
2016-10-28,65.29,65.99,64.68,64.89,229909
2016-10-31,64.83,64.99,63.82,64.37,470868
2016-11-01,64.31,65.3,64.0,64.27,336205
2016-11-02,64.01,64.76,63.81,63.99,370038
2016-11-03,64.21,64.74,61.85,62.16,513062
2016-11-04,62.16,63.93,61.64,61.73,1111461
2016-11-07,58.98,62.47,54.53,60.67,1927987
2016-11-08,60.12,61.2,59.52,60.75,778764
2016-11-09,59.47,61.14,58.88,60.85,649503
2016-11-10,61.1,62.2,60.31,61.43,596063
2016-11-11,61.3,62.93,60.64,62.73,493066
2016-11-14,63.39,63.82,60.78,61.95,485197
2016-11-15,62.25,62.45,61.1,62.14,280431
2016-11-16,62.12,63.0,62.06,62.86,226763
2016-11-17,63.14,64.08,62.82,64.07,404749
2016-11-18,64.46,65.14,64.0,64.86,419923
2016-11-21,65.08,66.36,64.63,66.26,499115
2016-11-22,66.31,66.53,65.13,66.3,507508
2016-11-23,65.95,68.0,65.14,67.54,619485
2016-11-25,67.61,67.61,66.35,66.9,197370
2016-11-28,66.7,67.66,66.63,66.92,482020
2016-11-29,67.18,68.13,66.59,67.51,757543
2016-11-30,67.55,67.87,65.85,65.9,285334
2016-12-01,65.82,65.86,62.29,62.71,391027
2016-12-02,62.45,62.86,61.34,62.01,562202
2016-12-05,62.46,63.1,62.1,62.43,395424
2016-12-06,62.58,63.0,61.88,62.22,374388
2016-12-07,61.99,63.1,61.78,62.49,440728
2016-12-08,62.25,64.37,62.25,63.75,460449
2016-12-09,63.95,64.75,63.15,63.21,333575
2016-12-12,63.05,63.76,62.36,63.44,268467
2016-12-13,63.5,64.26,62.52,63.03,640225
2016-12-14,62.83,63.43,62.56,63.09,454306
2016-12-15,62.88,63.5,62.43,62.76,405506
2016-12-16,62.66,63.04,61.93,62.06,407931
2016-12-19,61.74,63.12,61.74,62.55,392372
2016-12-20,62.97,63.12,62.08,62.63,362137
2016-12-21,62.55,63.13,62.22,62.46,321779
2016-12-22,62.5,63.49,61.91,62.86,392671
