Date,Open,High,Low,Close,Volume
2016-01-04,58.2,58.33,57.62,58.19,489014
2016-01-05,58.19,59.24,58.19,59.2,467969
2016-01-06,59.04,59.69,58.95,59.6,369169
2016-01-07,58.75,59.15,57.73,57.74,437680
2016-01-08,58.04,58.07,56.32,56.44,424966
2016-01-11,56.68,57.58,56.68,57.3,311168
2016-01-12,57.79,57.81,56.56,57.03,428391
2016-01-13,57.15,57.63,56.01,56.17,331590
2016-01-14,57.06,58.31,56.51,57.75,960956
2016-01-15,54.99,55.95,54.01,54.09,10386256
2016-01-19,54.55,55.07,54.13,54.93,1426128
2016-01-20,54.66,54.94,53.0,54.51,1142545
2016-01-21,54.95,56.03,54.54,55.53,763479
2016-01-22,55.9,56.91,55.9,56.74,625702
2016-01-25,56.72,57.54,56.35,57.19,650420
2016-01-26,57.34,58.82,57.34,58.67,695569
2016-01-27,58.15,58.52,57.57,57.87,440023
2016-01-28,57.9,59.3,57.7,58.43,552014
2016-01-29,58.64,60.04,58.64,59.95,706292
2016-02-01,59.37,60.8,59.1,60.32,682216
2016-02-02,60.2,60.77,59.87,60.38,533909
2016-02-03,60.92,62.19,60.69,61.86,791899
2016-02-04,61.78,62.56,61.32,61.73,679323
2016-02-05,61.3,61.65,60.97,61.57,905394
2016-02-08,61.45,61.79,58.77,59.85,946459
2016-02-09,59.5,60.26,59.09,59.57,541978
2016-02-10,60.06,60.7,59.04,59.05,518789
2016-02-11,58.63,59.48,58.19,59.18,468815
2016-02-12,59.57,60.21,59.23,59.82,336728
2016-02-16,60.22,61.53,59.98,61.35,470244
2016-02-17,61.31,62.24,61.24,61.53,449481
2016-02-18,61.81,62.23,61.08,61.84,446370
2016-02-19,61.51,62.13,61.23,62.1,583497
2016-02-22,62.25,62.92,62.18,62.25,431902
2016-02-23,62.06,62.44,61.67,61.86,324606
2016-02-24,61.48,62.1,61.2,62.0,318882
2016-02-25,64.9,64.9,62.3,63.81,456172
2016-02-26,63.93,63.93,61.78,61.8,651420
2016-02-29,61.82,62.86,61.4,62.23,510110
2016-03-01,62.52,63.72,62.18,63.59,448499
2016-03-02,63.26,63.79,62.92,63.45,412779
2016-03-03,62.53,62.76,61.62,61.98,664298
2016-03-04,61.68,62.21,61.08,61.66,691170
2016-03-07,61.62,62.23,61.23,62.21,417268
2016-03-08,62.0,62.52,61.82,62.31,354082
2016-03-09,62.47,62.99,62.27,62.93,453352
2016-03-10,62.94,63.53,61.87,62.5,417696
2016-03-11,63.4,63.96,62.94,63.89,279282
2016-03-14,63.78,63.96,63.13,63.84,266926
2016-03-15,63.35,63.39,62.72,63.36,391081
2016-03-16,62.94,64.56,62.75,64.52,337619
2016-03-17,64.51,65.3,63.95,65.02,485994
2016-03-18,65.3,65.3,64.34,64.75,789909
2016-03-21,64.58,64.84,64.1,64.42,303431
2016-03-22,64.32,64.64,64.2,64.44,356153
2016-03-23,64.3,64.59,64.07,64.14,242197
2016-03-24,63.76,64.79,63.54,64.72,224106
2016-03-28,64.78,65.13,64.6,65.11,192331
2016-03-29,64.9,66.54,64.79,66.53,526889
2016-03-30,66.65,66.65,66.04,66.12,247443
2016-03-31,65.95,66.71,65.89,66.62,408999
2016-04-01,66.13,66.48,65.69,65.85,354651
2016-04-04,65.75,66.15,65.65,65.89,166811
2016-04-05,65.57,65.81,65.32,65.79,311725
2016-04-06,65.71,66.08,65.17,65.97,327581
2016-04-07,65.58,65.85,65.32,65.61,382189
2016-04-08,65.89,66.3,65.53,66.01,351267
2016-04-11,66.24,66.66,66.08,66.23,316466
2016-04-12,66.33,67.13,66.25,66.83,388051
2016-04-13,66.99,66.99,66.13,66.74,377042
2016-04-14,66.75,66.85,66.17,66.43,241220
2016-04-15,66.18,66.7,66.07,66.43,475086
2016-04-18,66.45,67.16,66.26,67.06,390321
2016-04-19,67.1,67.1,66.83,67.02,251553
2016-04-20,67.08,67.17,65.75,65.79,359720
2016-04-21,65.72,66.0,64.02,64.44,342607
2016-04-22,64.5,64.9,64.0,64.28,403899
2016-04-25,64.33,65.4,64.24,65.39,277324
2016-04-26,65.64,66.28,65.33,65.64,258760
2016-04-27,65.49,65.62,64.42,65.17,301043
2016-04-28,65.0,65.35,64.9,65.26,290206
2016-04-29,64.84,66.02,64.79,65.88,558606
2016-05-02,66.0,67.11,66.0,67.06,507102
2016-05-03,66.76,67.17,66.6,67.08,320532
2016-05-04,66.83,69.27,66.61,69.2,761586
2016-05-05,69.01,69.26,68.59,68.91,537876
2016-05-06,68.83,70.53,68.67,70.49,508433
2016-05-09,70.49,71.18,70.22,70.86,371892
2016-05-10,71.0,71.53,70.46,71.5,316341
2016-05-11,71.59,71.69,70.16,70.93,369141
2016-05-12,71.08,72.0,70.28,71.78,379984
2016-05-13,71.64,71.64,70.36,70.86,543015
2016-05-16,70.44,72.39,70.3,71.65,473546
2016-05-17,71.54,71.59,69.77,70.26,372107
2016-05-18,70.3,70.45,68.83,69.44,362169
2016-05-19,68.87,69.34,68.15,69.13,356585
2016-05-20,69.43,69.88,69.16,69.76,490033
2016-05-23,70.01,70.24,69.53,69.82,402672
2016-05-24,70.31,71.0,70.28,70.87,463257
2016-05-25,70.92,71.08,70.22,70.7,351886
2016-05-26,70.42,70.96,70.38,70.67,279560
2016-05-27,70.5,71.64,70.5,71.07,250448
2016-05-31,71.01,71.49,70.71,71.28,840833
2016-06-01,70.79,71.57,70.75,71.16,669600
2016-06-02,71.0,71.56,70.8,71.56,424937
2016-06-03,72.06,72.37,71.76,72.29,457097
2016-06-06,72.29,72.8,71.5,72.0,282035
2016-06-07,72.14,72.74,72.11,72.52,241583
2016-06-08,72.39,73.28,72.25,73.19,232745
2016-06-09,73.24,74.66,73.13,74.57,428352
2016-06-10,74.35,74.82,74.16,74.42,398978
2016-06-13,74.39,75.18,73.99,74.18,347603
2016-06-14,74.05,74.47,73.52,74.14,274391
2016-06-15,74.32,74.92,74.08,74.51,243211
2016-06-16,74.22,74.99,73.94,74.87,322346
2016-06-17,74.98,74.98,74.06,74.47,684822
2016-06-20,74.87,75.34,74.14,74.26,506321
2016-06-21,74.56,75.35,74.22,74.98,407373
2016-06-22,74.87,75.06,74.55,74.85,413042
2016-06-23,75.22,75.6,74.79,75.06,565126
2016-06-24,73.94,77.03,73.24,76.89,5608536
2016-06-27,76.52,76.87,75.51,76.55,1336658
2016-06-28,76.4,77.79,75.97,77.75,571741
2016-06-29,78.31,79.32,78.28,79.31,591447
2016-06-30,79.35,80.69,78.81,80.68,622098
2016-07-01,81.11,81.49,79.85,80.84,357502
2016-07-05,80.77,81.58,80.65,81.55,487598
2016-07-06,81.44,81.63,80.53,80.64,746136
2016-07-07,80.73,80.73,78.8,79.51,601570
2016-07-08,79.93,80.64,79.69,80.29,507878
2016-07-11,80.43,81.17,79.84,81.03,344261
2016-07-12,80.9,81.22,80.34,80.69,388682
2016-07-13,80.69,81.67,80.35,81.61,581025
2016-07-14,81.6,81.6,80.68,80.86,646850
2016-07-15,81.86,81.98,80.8,81.02,704528
2016-07-18,81.36,81.36,80.88,81.15,395512
2016-07-19,81.38,81.44,81.02,81.24,667601
2016-07-20,81.35,81.55,80.9,81.54,391102
2016-07-21,81.45,81.95,81.06,81.95,355017
2016-07-22,81.94,83.51,81.94,83.08,428374
2016-07-25,83.23,83.44,82.71,82.91,276290
2016-07-26,82.88,83.07,82.25,82.87,455828
2016-07-27,82.39,82.57,81.52,82.14,408335
2016-07-28,82.28,83.44,82.08,83.3,349237
2016-07-29,83.11,84.67,82.87,84.02,421785
2016-08-01,83.81,84.46,83.5,84.46,361705
2016-08-02,84.03,84.3,82.18,82.25,653590
2016-08-03,82.04,82.25,80.66,81.26,591877
2016-08-04,81.82,82.78,81.29,81.56,380314
2016-08-05,81.56,81.65,80.81,81.17,275773
2016-08-08,81.12,81.56,80.66,80.88,217349
2016-08-09,80.85,81.57,80.24,81.38,278560
2016-08-10,81.57,82.19,81.48,82.0,316448
2016-08-11,81.98,82.0,79.81,80.31,383886
2016-08-12,80.75,81.61,80.53,80.58,359591
2016-08-15,80.85,80.87,79.72,79.79,285600
2016-08-16,79.74,79.77,78.02,78.11,503401
2016-08-17,78.11,78.11,76.79,77.79,952061
2016-08-18,77.95,78.75,77.72,78.71,473451
2016-08-19,78.77,79.19,78.12,78.44,275610
2016-08-22,78.61,79.26,78.5,79.26,350788
2016-08-23,79.6,79.94,79.2,79.21,294441
2016-08-24,79.25,79.37,77.97,78.46,286616
2016-08-25,78.57,78.89,78.27,78.64,241584
2016-08-26,78.97,79.52,77.55,78.05,287291
2016-08-29,78.06,79.04,78.06,78.56,298791
2016-08-30,78.77,78.81,77.76,78.03,326126
2016-08-31,78.03,78.56,77.63,78.32,494180
2016-09-01,78.34,78.51,77.76,78.44,261870
2016-09-02,78.83,80.76,78.76,79.58,592258
2016-09-06,79.78,80.07,79.18,79.92,258803
2016-09-07,79.81,80.8,79.46,80.38,297474
2016-09-08,79.83,79.99,79.33,79.62,188539
2016-09-09,78.32,78.82,76.57,76.6,411454
2016-09-12,76.6,77.98,75.83,77.43,471475
2016-09-13,77.23,77.23,74.93,75.1,502602
2016-09-14,75.5,75.97,75.1,75.61,491954
2016-09-15,75.63,76.75,75.12,76.67,334275
2016-09-16,76.17,76.79,75.58,76.4,546892
2016-09-19,75.98,76.97,75.66,76.77,456889
2016-09-20,77.4,77.4,76.42,76.44,472730
2016-09-21,76.69,78.28,76.44,78.19,391830
2016-09-22,79.17,79.71,79.03,79.44,259400
2016-09-23,79.3,80.09,78.85,79.76,248293
2016-09-26,79.51,80.81,79.14,80.59,401625
2016-09-27,80.78,81.0,79.56,79.67,259900
2016-09-28,79.76,80.68,79.26,80.54,270870
2016-09-29,80.2,80.54,79.05,79.47,305928
2016-09-30,79.87,80.22,78.72,78.74,443645
2016-10-03,78.48,78.67,77.55,77.97,315279
2016-10-04,77.9,77.92,75.77,76.26,274504
2016-10-05,76.47,76.57,74.25,74.39,458757
2016-10-06,74.04,74.3,73.05,73.73,447623
2016-10-07,74.13,74.97,73.41,73.54,497682
2016-10-10,73.57,74.57,73.57,74.55,248665
2016-10-11,74.48,74.77,73.54,73.84,389933
2016-10-12,73.84,75.16,73.54,75.12,427421
2016-10-13,74.95,76.0,74.68,75.92,294780
2016-10-14,75.82,76.3,75.11,75.19,289782
2016-10-17,75.09,75.89,75.07,75.21,245387
2016-10-18,75.71,76.23,75.47,75.8,123210
2016-10-19,75.71,76.18,75.24,75.63,250480
2016-10-20,75.4,76.12,74.97,75.51,125287
2016-10-21,75.18,75.85,75.02,75.2,182454
2016-10-24,77.07,77.07,74.76,75.68,228400
2016-10-25,75.72,75.72,75.02,75.16,186622
2016-10-26,75.0,75.0,73.71,74.08,217198
2016-10-27,73.74,73.74,71.26,71.7,274755
2016-10-28,71.63,72.53,71.28,71.37,311667
2016-10-31,71.71,72.86,71.28,72.72,376387
2016-11-01,72.36,72.5,71.03,71.09,264327
2016-11-02,71.12,71.44,69.07,69.16,353533
2016-11-03,68.68,70.62,68.43,69.12,688287
2016-11-04,69.23,69.89,68.7,69.35,584925
2016-11-07,70.43,70.47,69.33,70.3,631743
2016-11-08,70.19,71.94,70.19,71.67,446519
2016-11-09,69.78,70.3,68.31,68.63,380271
2016-11-10,68.63,69.02,65.5,66.63,531234
2016-11-11,66.29,68.24,66.29,67.16,452849
2016-11-14,67.27,68.72,66.62,68.58,382020
2016-11-15,68.69,69.23,67.82,68.07,342163
2016-11-16,68.07,68.41,67.57,67.99,447319
2016-11-17,68.03,68.48,67.52,67.64,200685
2016-11-18,67.9,68.3,67.76,68.06,332406
2016-11-21,68.47,68.8,67.66,67.82,270401
2016-11-22,68.3,70.08,68.01,69.53,684980
2016-11-23,68.54,69.26,68.23,69.12,364042
2016-11-25,69.07,69.87,69.06,69.32,185290
2016-11-28,69.01,70.13,68.81,69.4,328471
2016-11-29,69.51,70.97,69.45,70.82,347430
2016-11-30,70.04,70.09,68.89,69.54,568520
2016-12-01,69.11,69.3,68.05,68.57,476636
2016-12-02,69.26,70.34,69.18,69.85,329834
2016-12-05,69.6,69.99,69.02,69.74,390700
2016-12-06,69.96,70.33,69.26,70.02,286755
2016-12-07,70.32,71.81,70.18,71.32,309504
2016-12-08,71.12,72.22,70.53,71.46,445406
2016-12-09,71.33,72.03,70.84,71.25,284211
2016-12-12,71.13,72.32,70.65,71.97,451330
2016-12-13,72.13,72.14,70.92,71.71,267275
2016-12-14,71.76,71.78,69.15,69.25,496073
2016-12-15,69.14,69.93,68.79,69.03,236367
2016-12-16,68.77,70.34,68.51,69.62,891142
2016-12-19,70.3,71.7,69.85,71.4,370194
2016-12-20,71.04,72.18,71.04,71.63,293503
2016-12-21,71.64,72.39,70.48,70.49,325001
2016-12-22,70.28,70.94,69.98,70.66,342701
2016-12-23,71.02,71.02,70.4,70.78,176765
2016-12-27,70.78,70.99,70.53,70.76,163988
2016-12-28,70.57,70.84,69.74,70.03,299338
2016-12-29,70.07,71.36,70.0,71.13,249137
2016-12-30,71.17,72.32,71.16,71.77,350446
2017-01-03,72.19,72.19,71.47,71.88,287179
2017-01-04,72.03,73.08,72.03,72.67,500872
2017-01-05,72.53,74.44,72.21,74.29,394508
2017-01-06,73.92,74.36,72.73,72.86,380248
2017-01-09,73.21,73.21,71.55,71.61,334299
2017-01-10,71.42,72.44,71.09,72.02,340549
2017-01-11,72.13,72.93,71.78,72.52,434546
2017-01-12,72.5,74.22,72.19,74.03,693818
2017-01-13,74.0,74.25,72.91,73.22,242015
2017-01-17,74.08,75.13,73.52,75.1,500790
2017-01-18,74.95,75.2,74.04,74.1,250190
2017-01-19,74.0,74.04,73.09,73.23,224622
2017-01-20,73.3,74.03,73.3,73.85,200804
2017-01-23,74.27,75.22,73.54,75.03,305199
2017-01-24,75.15,75.47,74.49,74.62,239623
