Date,Open,High,Low,Close,Volume
2016-01-04,9.15,9.23,8.5,8.84,611857
2016-01-05,8.94,9.02,8.45,8.59,400387
2016-01-06,8.38,8.63,7.82,7.94,628347
2016-01-07,7.83,7.83,6.8,7.18,1126784
2016-01-08,7.32,7.52,6.89,6.92,337113
2016-01-11,7.04,7.27,6.76,7.03,434400
2016-01-12,7.09,7.17,6.82,7.0,355169
2016-01-13,7.03,7.32,6.87,7.3,549281
2016-01-14,7.4,8.28,7.31,8.09,747689
2016-01-15,7.81,7.86,7.18,7.52,488686
2016-01-19,7.7,7.7,7.23,7.4,360469
2016-01-20,7.18,8.12,7.07,7.98,485758
2016-01-21,8.02,8.31,7.88,8.02,448635
2016-01-22,8.2,8.51,8.01,8.4,338710
2016-01-25,8.22,8.32,7.53,8.01,523468
2016-01-26,8.04,8.27,7.87,8.02,290722
2016-01-27,7.84,8.3,7.84,8.15,263291
2016-01-28,8.27,8.33,8.07,8.18,238003
2016-01-29,8.15,8.81,8.15,8.79,352388
2016-02-01,8.65,10.4,8.63,10.12,1518089
2016-02-02,9.93,10.06,8.85,8.95,518426
2016-02-03,8.96,8.96,7.77,8.14,621035
2016-02-04,8.06,8.26,7.86,8.04,321271
2016-02-05,7.89,7.96,7.23,7.24,841597
2016-02-08,7.12,7.36,7.01,7.26,389338
2016-02-09,7.05,7.19,6.98,7.04,653127
2016-02-10,7.09,7.18,6.82,6.95,879650
2016-02-11,6.85,7.63,6.73,7.46,677726
2016-02-12,7.5,7.58,7.07,7.25,385701
2016-02-16,7.55,7.71,7.19,7.61,363212
2016-02-17,5.59,6.9,5.59,6.81,1517335
2016-02-18,6.74,7.44,6.4,7.31,635945
2016-02-19,7.23,7.33,6.96,7.13,455690
2016-02-22,7.34,7.42,6.98,7.15,295616
2016-02-23,7.05,7.23,6.9,6.98,328277
2016-02-24,6.94,7.26,6.71,7.26,351781
2016-02-25,7.35,7.37,6.87,7.17,394616
2016-02-26,7.23,7.37,6.9,7.05,420811
2016-02-29,7.03,8.0,7.03,7.99,507585
2016-03-01,8.04,8.12,7.29,7.51,488575
2016-03-02,7.54,7.68,7.26,7.64,302586
2016-03-03,7.66,8.05,7.62,7.9,325517
2016-03-04,7.91,8.98,7.82,8.88,716053
2016-03-07,8.79,9.49,8.77,9.28,515899
2016-03-08,9.05,9.32,8.93,9.14,444922
2016-03-09,9.14,9.58,9.09,9.52,779548
2016-03-10,9.55,9.61,9.05,9.31,352075
2016-03-11,9.26,9.79,9.22,9.48,355970
2016-03-14,9.4,9.74,9.32,9.55,235378
2016-03-15,9.52,9.56,9.2,9.54,247898
2016-03-16,9.38,10.13,9.38,9.82,683570
2016-03-17,9.95,12.47,9.83,11.84,1019629
2016-03-18,11.81,12.47,11.12,11.53,747908
2016-03-21,11.97,13.8,11.6,12.11,898606
2016-03-22,12.01,12.12,11.52,11.6,291019
2016-03-23,11.59,11.68,10.5,10.5,410294
2016-03-24,10.5,11.15,10.4,11.08,433738
2016-03-28,11.11,11.4,10.89,11.31,397875
2016-03-29,11.24,11.64,10.89,11.5,252649
2016-03-30,11.68,11.88,11.34,11.34,195029
2016-03-31,11.3,11.66,11.3,11.51,380418
2016-04-01,11.3,11.45,11.22,11.41,275440
2016-04-04,11.52,11.54,11.11,11.11,165220
2016-04-05,11.0,11.23,10.82,10.9,162454
2016-04-06,10.99,11.06,10.6,10.72,194687
2016-04-07,10.69,10.92,10.36,10.45,96816
2016-04-08,10.59,11.14,10.48,10.97,199707
2016-04-11,11.01,11.24,10.92,11.14,146062
2016-04-12,11.25,11.39,10.88,11.28,130324
2016-04-13,11.31,11.79,11.31,11.67,167089
2016-04-14,11.6,11.73,11.13,11.17,166955
2016-04-15,11.13,11.6,11.06,11.19,199406
2016-04-18,11.17,11.5,11.04,11.32,153436
2016-04-19,11.33,11.98,11.32,11.61,212131
2016-04-20,11.43,12.49,11.43,12.29,189366
2016-04-21,12.31,12.9,12.26,12.73,199309
2016-04-22,12.79,13.06,12.7,12.82,152304
2016-04-25,12.74,13.02,12.29,12.55,117927
2016-04-26,12.6,12.97,12.55,12.96,220392
2016-04-27,12.9,13.12,12.71,13.0,114012
2016-04-28,13.03,13.41,12.9,13.02,98067
2016-04-29,13.22,13.38,12.6,13.38,158961
2016-05-02,13.43,13.56,12.96,13.55,131517
2016-05-03,13.41,13.55,13.0,13.11,127897
2016-05-04,13.26,13.41,12.8,13.13,143203
2016-05-05,13.26,13.32,12.9,12.96,126869
2016-05-06,12.84,13.37,12.82,13.19,125127
2016-05-09,13.2,13.65,13.01,13.36,229268
2016-05-10,13.41,14.97,13.28,14.62,445795
2016-05-11,14.59,14.72,14.12,14.62,189377
2016-05-12,14.7,15.89,14.17,15.3,450426
2016-05-13,15.14,15.22,14.09,14.38,226294
2016-05-16,14.41,14.53,13.85,14.5,156256
2016-05-17,14.51,14.51,13.8,14.11,222685
2016-05-18,14.09,14.11,13.51,13.71,204752
2016-05-19,13.61,13.7,12.85,13.44,169597
2016-05-20,13.57,13.89,13.44,13.77,252926
2016-05-23,13.76,13.93,13.37,13.42,162783
2016-05-24,13.5,14.16,13.36,13.92,236693
2016-05-25,13.92,14.2,13.68,13.97,113734
2016-05-26,13.99,14.25,13.86,14.15,194367
2016-05-27,14.21,15.0,14.13,14.9,161995
2016-05-31,14.94,15.7,14.56,14.7,478539
2016-06-01,14.6,14.6,13.89,14.0,331224
2016-06-02,13.95,14.1,12.54,13.18,830874
2016-06-03,13.1,13.37,12.64,13.14,348950
2016-06-06,13.0,14.33,13.0,13.84,250315
2016-06-07,13.88,14.07,13.38,13.68,360327
2016-06-08,14.6,14.78,12.81,13.59,549010
2016-06-09,13.4,13.59,11.66,12.33,646671
2016-06-10,12.5,12.62,11.35,12.18,336971
2016-06-13,12.18,13.08,12.16,12.71,252324
2016-06-14,12.58,12.86,11.94,12.47,366733
2016-06-15,12.45,12.81,12.38,12.49,184508
2016-06-16,12.41,13.17,12.22,12.95,221243
2016-06-17,13.06,13.47,12.65,12.82,255224
2016-06-20,12.92,14.0,12.92,13.34,221671
2016-06-21,13.39,13.52,12.94,13.43,143667
2016-06-22,13.5,13.98,13.3,13.38,147329
2016-06-23,13.57,14.46,13.39,14.33,223123
2016-06-24,14.01,14.19,12.95,13.75,420256
2016-06-27,13.94,14.34,13.42,13.99,283288
2016-06-28,14.2,15.06,14.09,14.68,446934
2016-06-29,15.43,15.83,14.95,15.63,309490
2016-06-30,15.47,16.49,15.47,16.27,520595
2016-07-01,16.33,16.71,15.68,16.46,234694
2016-07-05,16.3,16.46,15.06,15.71,234760
2016-07-06,15.49,15.98,15.43,15.6,126648
2016-07-07,15.47,16.54,15.47,16.38,237372
2016-07-08,16.64,17.16,16.34,17.06,268215
2016-07-11,17.25,18.5,17.13,18.35,257794
2016-07-12,18.41,18.94,18.41,18.68,306281
2016-07-13,18.85,18.85,17.43,17.91,298571
2016-07-14,18.03,18.51,17.71,18.27,201382
2016-07-15,18.64,18.77,18.06,18.45,95890
2016-07-18,18.4,18.73,18.03,18.5,193042
2016-07-19,18.36,18.7,17.87,18.0,295046
2016-07-20,17.92,18.04,17.61,17.77,242471
2016-07-21,17.59,17.96,17.5,17.75,194195
2016-07-22,17.81,18.0,17.59,17.72,151412
2016-07-25,17.66,17.8,17.44,17.73,100500
2016-07-26,17.57,18.05,17.57,17.94,133830
2016-07-27,17.98,18.24,17.37,17.8,144561
2016-07-28,17.69,18.05,17.6,17.83,109690
2016-07-29,17.73,17.84,17.25,17.41,335687
2016-08-01,17.35,18.0,17.25,17.99,124302
2016-08-02,18.0,18.0,17.49,17.59,93424
2016-08-03,17.74,18.0,17.64,17.99,62800
2016-08-04,18.0,18.44,17.84,18.28,159769
2016-08-05,18.3,19.0,18.22,18.94,240227
2016-08-08,18.99,19.87,18.82,19.23,324675
2016-08-09,19.11,19.38,17.95,18.14,318674
2016-08-10,18.06,18.43,17.94,18.11,89050
2016-08-11,18.16,18.16,17.72,17.96,104024
2016-08-12,17.88,18.2,17.71,18.12,102881
2016-08-15,18.1,18.1,17.52,18.0,142817
2016-08-16,17.9,17.93,17.46,17.87,84144
2016-08-17,17.9,18.05,17.7,17.89,136709
2016-08-18,17.77,17.93,17.1,17.81,127674
2016-08-19,17.8,17.99,17.48,17.6,113674
2016-08-22,17.48,17.69,17.11,17.38,93749
2016-08-23,17.46,17.89,17.28,17.38,146444
2016-08-24,17.27,17.49,16.73,16.9,150215
2016-08-25,16.96,18.03,16.7,16.99,265578
2016-08-26,17.12,17.19,16.68,17.01,111364
2016-08-29,17.0,17.5,16.75,16.85,106628
2016-08-30,16.79,17.16,16.74,16.78,165232
2016-08-31,16.73,17.06,16.28,16.71,135047
2016-09-01,16.68,17.04,16.17,16.33,102699
2016-09-02,16.48,16.61,16.14,16.57,110854
2016-09-06,16.69,16.93,16.42,16.5,105589
2016-09-07,16.65,16.7,16.46,16.6,80056
2016-09-08,16.62,17.16,16.38,16.95,181255
2016-09-09,17.0,17.17,15.19,15.2,368786
2016-09-12,15.57,17.12,15.28,16.07,283328
2016-09-13,15.8,16.17,15.24,15.92,189207
2016-09-14,15.77,15.99,15.5,15.59,184749
2016-09-15,15.7,16.0,15.54,15.99,68596
2016-09-16,16.0,16.01,15.5,15.59,151875
2016-09-19,15.64,16.43,15.46,15.98,208739
2016-09-20,16.0,16.14,15.83,16.1,93567
2016-09-21,16.1,16.3,15.87,16.25,176094
2016-09-22,16.2,16.35,15.89,16.24,173177
2016-09-23,16.16,16.3,16.09,16.22,142107
2016-09-26,16.0,16.05,15.72,15.95,49327
2016-09-27,15.78,16.13,15.75,16.09,57656
2016-09-28,16.1,16.25,15.68,16.17,110601
2016-09-29,15.99,16.15,15.65,15.68,115310
2016-09-30,15.69,16.0,15.21,15.32,282605
2016-10-03,15.23,15.7,15.23,15.49,159254
2016-10-04,15.45,15.51,15.3,15.45,135889
2016-10-05,15.45,16.13,15.28,15.98,207544
2016-10-06,15.9,16.04,15.87,15.91,76195
2016-10-07,15.85,15.95,15.49,15.85,138148
2016-10-10,15.72,16.11,15.72,15.89,237583
2016-10-11,15.84,15.84,15.32,15.63,154353
2016-10-12,15.69,16.2,15.46,15.98,113738
2016-10-13,15.77,16.05,15.62,15.92,110141
2016-10-14,16.01,16.43,15.89,16.19,149031
2016-10-17,16.05,16.05,15.8,16.0,73458
2016-10-18,16.0,17.0,16.0,16.5,186625
2016-10-19,16.45,17.05,16.4,16.55,168532
2016-10-20,16.4,17.38,16.25,17.15,170240
2016-10-21,16.9,17.4,16.9,17.2,91950
2016-10-24,17.25,17.3,16.95,17.15,100131
2016-10-25,17.05,17.15,16.85,17.15,68431
2016-10-26,17.0,17.15,16.9,16.95,128242
2016-10-27,17.0,17.2,16.85,16.95,53775
2016-10-28,16.85,17.05,16.85,16.95,92697
2016-10-31,17.1,17.8,17.1,17.75,222342
2016-11-01,17.65,17.75,17.25,17.65,117186
2016-11-02,17.6,17.6,16.8,17.2,124326
2016-11-03,17.25,17.5,17.05,17.1,84200
2016-11-04,17.1,17.6,16.95,17.05,112092
2016-11-07,17.6,17.9,17.2,17.75,119020
2016-11-08,17.7,18.0,17.5,18.0,202699
2016-11-09,17.6,18.85,17.45,18.75,290906
2016-11-10,18.55,18.75,18.2,18.35,431463
2016-11-11,17.35,18.1,17.3,18.0,330977
2016-11-14,18.0,18.0,15.2,15.45,439955
2016-11-15,15.3,15.35,15.0,15.25,164759
2016-11-16,15.25,16.75,15.1,16.65,354441
2016-11-17,16.75,16.98,16.1,16.2,188618
2016-11-18,16.3,16.35,15.75,15.95,146574
2016-11-21,16.0,16.0,15.4,15.7,221040
2016-11-22,15.85,16.2,15.12,15.35,214332
2016-11-23,15.4,15.45,15.05,15.35,207911
2016-11-25,15.35,15.75,15.35,15.7,55952
2016-11-28,15.5,15.5,14.95,15.0,227498
2016-11-29,14.95,15.25,14.75,14.75,117839
2016-11-30,14.7,15.0,14.0,14.05,265793
2016-12-01,14.15,14.35,12.95,13.05,296624
2016-12-02,13.05,14.0,13.0,13.6,225399
2016-12-05,13.65,14.3,13.35,13.6,261267
2016-12-06,13.65,14.0,13.35,13.85,140569
2016-12-07,13.55,14.0,13.1,13.8,263891
2016-12-08,13.8,16.4,13.15,15.35,615644
2016-12-09,15.75,17.3,15.5,15.6,754681
2016-12-12,15.6,16.05,15.08,15.25,190025
2016-12-13,15.4,15.4,14.29,14.9,404537
2016-12-14,14.9,15.05,13.75,14.0,364216
2016-12-15,14.15,14.3,13.55,14.0,408139
2016-12-16,13.9,14.2,13.6,13.7,369536
2016-12-19,13.75,13.94,13.55,13.55,170703
2016-12-20,13.6,13.9,13.35,13.7,223835
2016-12-21,13.6,13.8,13.05,13.25,247947
2016-12-22,13.2,13.35,12.85,13.3,287152
2016-12-23,13.25,13.6,12.75,13.15,375840
2016-12-27,13.2,13.3,12.45,12.65,407116
2016-12-28,12.75,13.25,12.65,13.2,193489
2016-12-29,13.2,13.35,12.75,13.0,169555
2016-12-30,12.95,13.25,12.8,13.05,286691
2017-01-03,13.35,13.4,12.65,12.75,195290
2017-01-04,12.8,12.95,11.85,12.5,539036
2017-01-05,12.5,12.6,11.7,11.95,318705
2017-01-06,12.05,12.05,11.48,11.9,299552
2017-01-09,11.85,11.9,11.3,11.6,264558
2017-01-10,11.7,11.8,10.75,11.2,496765
2017-01-11,11.25,12.1,11.15,12.0,456274
2017-01-12,12.0,12.04,11.3,11.45,301442
2017-01-13,11.5,11.8,11.45,11.45,270062
2017-01-17,11.3,11.6,11.15,11.45,271088
2017-01-18,11.5,11.6,11.2,11.35,174637
2017-01-19,11.35,11.9,11.35,11.55,253505
2017-01-20,11.55,11.7,11.2,11.35,187052
2017-01-23,11.3,11.7,11.3,11.45,160931
2017-01-24,11.4,11.78,11.35,11.75,160025
2017-01-25,11.8,12.15,11.75,12.1,221261
2017-01-26,12.0,12.15,11.7,11.8,188042
2017-01-27,11.85,12.2,11.8,12.0,186500
2017-01-30,11.9,12.0,11.55,11.7,148705
2017-01-31,11.75,12.2,11.55,11.9,189108
2017-02-01,11.95,12.3,11.7,11.9,142446
2017-02-02,11.95,12.3,11.88,12.1,116727
2017-02-03,12.15,12.3,11.9,11.95,101343
2017-02-06,11.9,12.0,11.65,11.75,155118
2017-02-07,11.75,11.9,11.7,11.7,110498
2017-02-08,11.65,11.9,11.5,11.8,105099
2017-02-09,11.8,12.0,11.75,11.9,86476
2017-02-10,11.9,12.2,11.8,11.9,224630
2017-02-13,12.0,12.35,11.85,11.9,182396
2017-02-14,11.95,13.3,11.95,13.1,270647
2017-02-15,13.2,13.2,12.25,12.3,272370
2017-02-16,12.3,12.5,11.85,11.9,233043
2017-02-17,11.95,12.5,11.9,12.5,170962
2017-02-21,12.5,12.75,11.7,11.7,326322
2017-02-22,11.7,12.15,11.55,12.05,178139
2017-02-23,12.05,12.25,11.6,11.85,274054
2017-02-24,11.65,11.85,11.4,11.5,211788
2017-02-27,11.55,11.85,11.5,11.5,226512
2017-02-28,11.35,11.85,11.35,11.5,229104
2017-03-01,11.65,12.0,11.65,12.0,313717
2017-03-02,12.0,12.1,11.8,11.8,310825
2017-03-03,11.75,12.1,11.65,11.7,234236
2017-03-06,11.6,12.0,11.5,11.75,227037
2017-03-07,11.8,11.8,10.8,11.05,226519
2017-03-08,11.0,11.05,9.1,9.65,1187030
2017-03-09,9.7,9.9,8.85,9.7,715632
2017-03-10,9.7,10.45,9.6,10.2,708088
2017-03-13,10.1,10.9,10.1,10.4,572437
2017-03-14,10.15,10.2,9.15,10.0,550786
2017-03-15,10.0,10.9,9.92,10.9,287642
2017-03-16,10.8,11.25,10.6,11.0,673721
2017-03-17,11.0,11.0,10.3,10.7,596256
2017-03-20,10.65,10.85,10.4,10.75,184571
2017-03-21,10.85,11.0,10.1,10.1,304782
2017-03-22,10.15,10.3,9.0,9.7,661617
2017-03-23,9.65,9.8,9.65,9.75,274586
2017-03-24,9.8,10.7,9.6,10.35,870390
2017-03-27,10.2,10.9,10.2,10.7,409931
2017-03-28,10.6,11.0,10.45,10.55,434951
2017-03-29,10.6,10.65,9.8,10.25,875699
2017-03-30,10.25,10.35,9.9,10.1,272850
2017-03-31,10.05,10.82,9.75,10.3,835139
2017-04-03,10.35,10.45,9.8,9.95,385595
2017-04-04,9.85,10.08,9.65,9.7,375783
2017-04-05,9.7,9.9,8.9,9.05,564579
2017-04-06,9.05,9.15,8.65,8.9,504375
2017-04-07,8.8,9.65,8.8,9.45,481754
2017-04-10,9.5,9.5,8.85,8.95,312472
2017-04-11,8.95,9.95,8.92,9.15,1036266
2017-04-12,9.2,10.0,9.2,9.75,462409
2017-04-13,9.75,9.88,9.5,9.65,252630
2017-04-17,9.65,10.3,9.65,10.05,509793
2017-04-18,9.95,10.45,9.6,9.65,437575
2017-04-19,9.7,9.8,9.3,9.3,237820
2017-04-20,9.35,9.6,9.3,9.45,231308
2017-04-21,9.45,9.65,9.4,9.5,375111
