Date,Open,High,Low,Close,Volume
2016-01-04,13.37,13.49,13.13,13.46,2058
2016-01-05,,,,13.46,0
2016-01-06,13.15,13.24,12.89,13.2,10276
2016-01-07,13.0,13.05,13.0,13.01,6231
2016-01-08,13.32,13.35,12.55,13.08,13145
2016-01-11,12.95,13.0,12.5,12.98,7744
2016-01-12,12.81,12.96,12.65,12.96,1581
2016-01-13,12.8,12.99,11.22,11.4,17442
2016-01-14,11.63,12.98,11.28,12.88,24549
2016-01-15,12.28,12.37,11.77,11.77,11356
2016-01-19,11.59,11.91,11.5,11.85,2990
2016-01-20,11.5,11.59,11.1,11.59,6567
2016-01-21,11.62,11.75,11.25,11.41,13481
2016-01-22,11.73,12.45,11.52,12.3,7769
2016-01-25,11.96,11.99,11.85,11.91,2389
2016-01-26,12.2,12.2,12.2,12.2,305
2016-01-27,12.49,12.5,12.3,12.3,2651
2016-01-28,12.4,12.48,12.04,12.25,4024
2016-01-29,12.25,12.27,12.09,12.27,11004
2016-02-01,12.2,12.79,11.98,12.53,2512
2016-02-02,12.31,12.5,12.1,12.28,4435
2016-02-03,12.59,12.59,12.16,12.38,6201
2016-02-04,12.4,12.4,12.06,12.07,2704
2016-02-05,12.23,12.38,11.75,11.75,2811
2016-02-08,12.07,12.21,11.92,12.08,26952
2016-02-09,11.9,12.0,11.79,11.79,1227
2016-02-10,11.79,11.98,11.76,11.98,743
2016-02-11,11.64,11.67,11.39,11.4,3348
2016-02-12,11.51,11.6,11.51,11.6,4400
2016-02-16,11.61,11.61,11.29,11.58,1336
2016-02-17,11.56,11.64,11.5,11.63,3526
2016-02-18,11.51,11.6,11.5,11.6,1048
2016-02-19,11.61,11.85,11.39,11.85,1266
2016-02-22,11.97,11.97,11.37,11.39,7337
2016-02-23,11.24,11.3,11.24,11.3,1090
2016-02-24,11.34,11.43,11.34,11.43,599
2016-02-25,11.5,11.5,11.5,11.5,1452
2016-02-26,11.51,11.6,11.29,11.45,2530
2016-02-29,11.19,11.31,11.1,11.1,1425
2016-03-01,11.0,11.2,10.75,11.2,6818
2016-03-02,11.03,11.35,10.76,11.35,5919
2016-03-03,11.05,11.06,10.78,10.95,4445
2016-03-04,11.04,11.25,11.01,11.16,27011
2016-03-07,11.52,11.81,11.29,11.81,86101
2016-03-08,11.97,12.0,11.62,11.7,11984
2016-03-09,11.71,12.39,11.71,12.39,9704
2016-03-10,12.37,12.5,12.35,12.4,5767
2016-03-11,12.45,12.47,12.19,12.4,12123
2016-03-14,12.01,12.46,11.95,12.16,5363
2016-03-15,11.8,12.08,11.76,12.0,7535
2016-03-16,12.13,12.15,12.01,12.15,1201
2016-03-17,12.16,12.35,12.12,12.35,5206
2016-03-18,12.52,13.37,12.35,13.37,25696
2016-03-21,12.98,14.19,12.98,13.89,16211
2016-03-22,13.75,13.75,13.14,13.14,2652
2016-03-23,13.0,13.0,12.5,12.7,4552
2016-03-24,12.6,12.81,12.6,12.63,2056
2016-03-28,12.68,13.0,12.5,12.61,8653
2016-03-29,12.44,12.68,12.12,12.68,7895
2016-03-30,12.68,13.75,12.6,12.8,86584
2016-03-31,12.94,13.15,11.62,12.11,47763
2016-04-01,12.13,12.2,11.31,11.5,36810
2016-04-04,11.33,11.5,10.69,10.7,32437
2016-04-05,10.73,11.35,10.73,11.35,8335
2016-04-06,11.54,12.1,11.25,11.9,30036
2016-04-07,11.88,12.57,11.88,12.35,12060
2016-04-08,12.6,13.25,12.6,13.25,13041
2016-04-11,13.19,14.17,13.19,13.95,1798
2016-04-12,13.85,13.85,13.1,13.55,14103
2016-04-13,13.48,13.6,13.38,13.38,1842
2016-04-14,13.54,13.54,12.55,12.64,7483
2016-04-15,12.52,12.64,12.22,12.31,5594
2016-04-18,12.19,12.51,12.06,12.4,20833
2016-04-19,12.85,12.87,12.25,12.49,9381
2016-04-20,12.6,12.6,12.08,12.18,9055
2016-04-21,12.7,12.7,11.75,11.81,15493
2016-04-22,11.78,12.5,11.78,12.5,8792
2016-04-25,12.28,12.57,12.28,12.35,1662
2016-04-26,12.71,12.85,12.5,12.85,7929
2016-04-27,12.97,13.45,12.66,13.28,12270
2016-04-28,13.1,13.38,12.95,13.2,14383
2016-04-29,13.25,13.81,13.25,13.81,13197
2016-05-02,13.67,13.79,13.6,13.74,9852
2016-05-03,13.49,13.54,12.63,12.7,10718
2016-05-04,12.65,12.66,11.44,11.99,24060
2016-05-05,11.98,12.19,11.6,11.95,23477
2016-05-06,11.85,12.23,11.85,12.2,43974
2016-05-09,12.05,12.09,11.36,11.36,4821
2016-05-10,11.45,11.59,10.67,11.0,19477
2016-05-11,10.75,12.05,10.75,11.65,16967
2016-05-12,11.51,11.66,11.22,11.41,16895
2016-05-13,11.36,11.75,11.04,11.24,9995
2016-05-16,11.44,13.05,11.44,13.05,43329
2016-05-17,12.57,12.9,12.44,12.76,6387
2016-05-18,12.83,12.83,12.35,12.35,4046
2016-05-19,12.88,12.9,11.94,12.16,14493
2016-05-20,12.2,12.34,12.2,12.22,5163
2016-05-23,12.18,14.0,12.14,13.58,68355
2016-05-24,13.5,14.99,13.5,14.84,46132
2016-05-25,14.82,15.93,14.6,15.86,41802
2016-05-26,15.6,15.78,15.06,15.56,41570
2016-05-27,15.04,15.56,14.0,14.12,37601
2016-05-31,14.0,14.12,13.29,13.3,69368
2016-06-01,13.0,13.6,12.78,13.3,33744
2016-06-02,12.93,13.45,12.69,13.33,73119
2016-06-03,13.25,13.29,12.72,12.75,31162
2016-06-06,13.0,13.12,12.89,13.1,81551
2016-06-07,13.05,13.6,13.0,13.51,161383
2016-06-08,13.6,13.7,12.7,13.09,81482
2016-06-09,12.85,13.11,12.34,12.67,69082
2016-06-10,12.55,12.85,12.25,12.52,58073
2016-06-13,12.49,12.51,11.9,12.15,79141
2016-06-14,12.07,12.57,11.7,11.98,62251
2016-06-15,11.89,12.4,11.8,11.97,52048
2016-06-16,10.6,10.64,10.22,10.25,1116998
2016-06-17,10.55,10.55,10.4,10.5,196260
2016-06-20,10.66,10.75,10.25,10.39,182736
2016-06-21,10.44,10.66,10.35,10.43,172017
2016-06-22,10.52,10.55,10.12,10.5,199635
2016-06-23,10.76,10.82,10.28,10.68,338725
2016-06-24,10.5,10.76,10.3,10.52,309467
2016-06-27,10.64,10.64,10.33,10.39,119528
2016-06-28,10.55,11.14,10.49,11.05,104848
2016-06-29,11.09,11.59,10.84,11.09,156384
2016-06-30,10.99,11.12,10.7,10.78,51348
2016-07-01,10.99,11.66,10.91,11.33,105636
2016-07-05,10.95,11.21,10.31,10.54,104305
2016-07-06,10.54,10.93,10.39,10.76,98890
2016-07-07,10.89,11.1,10.29,10.34,93863
2016-07-08,10.44,10.78,10.34,10.64,47007
2016-07-11,10.79,11.01,10.4,10.55,63129
2016-07-12,10.87,11.19,10.62,10.78,63860
2016-07-13,10.9,10.9,10.42,10.51,107441
2016-07-14,10.53,10.63,10.34,10.44,48167
2016-07-15,10.48,10.61,10.37,10.46,36501
2016-07-18,10.36,10.55,10.23,10.29,48144
2016-07-19,10.35,10.6,10.25,10.51,83007
2016-07-20,10.47,10.56,10.3,10.52,40748
2016-07-21,10.53,10.84,10.3,10.43,54091
2016-07-22,10.5,10.5,10.19,10.33,30208
2016-07-25,10.16,10.25,9.6,9.72,109929
2016-07-26,9.5,10.1,9.5,9.96,51033
2016-07-27,10.07,10.07,9.81,9.97,37367
2016-07-28,9.99,10.13,9.83,10.11,36506
2016-07-29,10.1,10.5,9.78,10.05,98236
2016-08-01,10.06,10.55,9.53,10.34,183051
2016-08-02,10.44,10.51,10.07,10.29,149871
2016-08-03,10.27,10.83,10.19,10.83,66812
2016-08-04,10.58,10.86,10.36,10.56,135875
2016-08-05,10.62,10.66,10.36,10.6,38975
2016-08-08,10.66,10.83,10.51,10.55,61583
2016-08-09,10.81,10.88,10.65,10.78,80125
2016-08-10,10.76,10.86,9.91,10.03,132392
2016-08-11,10.06,10.58,9.63,10.35,76097
2016-08-12,10.35,10.54,9.95,10.44,93231
2016-08-15,10.51,10.85,10.15,10.7,98738
2016-08-16,10.75,10.88,10.45,10.64,75299
2016-08-17,10.53,10.84,10.47,10.69,109145
2016-08-18,10.78,10.84,10.64,10.75,81558
2016-08-19,10.71,10.9,10.55,10.63,98861
2016-08-22,10.62,10.7,10.17,10.23,94466
2016-08-23,10.17,10.69,10.06,10.6,100819
2016-08-24,10.42,10.62,10.21,10.37,51851
2016-08-25,10.36,10.57,10.16,10.4,55145
2016-08-26,10.4,10.7,10.26,10.33,45827
2016-08-29,10.21,10.65,10.21,10.39,96116
2016-08-30,10.3,10.6,10.05,10.23,83772
2016-08-31,10.22,10.22,9.51,9.74,104035
2016-09-01,9.7,9.95,9.2,9.35,98139
2016-09-02,9.5,9.79,9.41,9.63,157360
2016-09-06,9.55,9.89,9.55,9.67,49780
2016-09-07,9.65,9.78,9.52,9.52,51404
2016-09-08,9.67,9.97,9.64,9.89,115503
2016-09-09,9.63,9.75,9.51,9.59,111799
2016-09-12,9.45,9.74,9.45,9.74,86311
2016-09-13,9.6,9.6,8.85,8.9,131009
2016-09-14,8.88,8.98,8.69,8.69,74149
2016-09-15,8.66,8.96,8.5,8.96,73508
2016-09-16,8.81,8.95,8.5,8.55,114880
2016-09-19,8.62,8.8,8.32,8.58,190581
2016-09-20,8.55,8.56,8.25,8.29,115478
2016-09-21,8.43,8.65,8.32,8.64,107380
2016-09-22,8.7,8.89,8.48,8.63,113553
2016-09-23,8.63,8.73,7.87,8.06,108303
2016-09-26,8.25,8.34,8.0,8.02,53530
2016-09-27,7.94,7.98,7.67,7.74,89756
2016-09-28,7.78,8.49,7.76,8.4,117397
2016-09-29,8.5,9.07,8.4,8.68,242797
2016-09-30,8.81,8.81,8.4,8.6,232272
2016-10-03,8.75,8.96,8.52,8.8,56029
2016-10-04,8.8,8.87,8.7,8.74,76228
2016-10-05,8.94,9.11,8.84,8.87,82790
2016-10-06,8.92,9.24,8.6,8.83,83183
2016-10-07,8.87,9.13,8.84,9.06,54318
2016-10-10,9.24,9.58,9.16,9.55,162455
2016-10-11,9.56,9.76,9.27,9.72,191077
2016-10-12,9.7,10.59,9.37,10.02,225797
2016-10-13,10.0,10.18,9.25,9.5,199978
2016-10-14,9.55,9.76,9.25,9.51,60151
2016-10-17,9.4,9.88,9.22,9.75,57573
2016-10-18,9.87,10.06,9.77,9.99,59070
2016-10-19,10.1,10.44,10.04,10.16,84682
2016-10-20,10.02,10.33,9.91,10.3,47062
2016-10-21,10.13,10.19,9.71,9.79,68840
2016-10-24,9.77,9.78,9.24,9.64,65152
2016-10-25,9.44,9.55,9.11,9.29,35663
2016-10-26,9.15,9.43,8.73,8.85,82194
2016-10-27,8.87,9.06,8.66,8.74,42767
2016-10-28,8.53,8.78,8.41,8.45,54352
2016-10-31,8.46,8.56,8.33,8.53,59458
2016-11-01,8.64,8.84,8.41,8.51,53635
2016-11-02,8.41,8.41,8.25,8.26,56362
2016-11-03,8.29,8.41,8.02,8.28,32751
2016-11-04,8.14,8.59,8.14,8.49,44449
2016-11-07,8.95,8.99,8.7,8.98,56191
2016-11-08,9.0,11.57,9.0,11.43,570675
2016-11-09,11.52,12.24,11.23,11.94,299202
2016-11-10,11.92,13.13,11.92,12.65,236201
2016-11-11,13.6,13.6,12.52,12.86,161749
2016-11-14,13.02,13.09,12.4,13.05,143204
2016-11-15,13.18,13.56,13.12,13.41,161523
2016-11-16,13.23,13.95,13.05,13.44,181701
2016-11-17,13.58,14.07,13.39,13.68,170104
2016-11-18,13.8,14.58,13.61,14.45,144249
2016-11-21,15.12,15.15,14.5,14.84,214084
2016-11-22,14.97,14.97,14.32,14.38,107736
2016-11-23,14.4,14.54,13.84,14.0,72527
2016-11-25,13.9,13.9,13.61,13.81,11179
2016-11-28,13.56,13.75,12.88,12.92,53206
2016-11-29,12.63,13.01,12.5,12.61,92264
2016-11-30,13.31,14.76,13.1,14.54,217784
2016-12-01,14.84,15.7,14.33,15.21,302401
2016-12-02,15.17,15.21,14.48,14.66,128059
2016-12-05,14.68,15.07,13.96,13.96,82078
2016-12-06,13.93,14.21,13.6,13.78,87808
2016-12-07,13.7,14.0,13.41,13.56,68709
2016-12-08,13.74,14.11,13.57,14.0,57013
2016-12-09,13.8,14.42,13.36,14.11,72165
2016-12-12,14.77,14.82,14.1,14.29,113708
2016-12-13,14.37,14.39,13.68,14.2,59605
2016-12-14,14.03,14.22,13.72,13.81,154093
2016-12-15,13.66,13.88,13.36,13.7,38126
2016-12-16,13.84,14.26,13.5,13.65,52999
2016-12-19,13.94,14.12,13.69,13.8,97634
2016-12-20,13.93,14.11,13.27,13.57,43423
2016-12-21,13.72,14.04,13.35,13.52,47652
2016-12-22,13.61,13.77,13.17,13.35,40118
2016-12-23,13.36,14.17,13.22,13.33,13106
2016-12-27,13.31,13.57,13.13,13.21,16951
2016-12-28,13.19,13.52,13.14,13.5,31439
2016-12-29,13.39,13.74,13.06,13.69,35902
2016-12-30,13.5,13.91,13.33,13.74,28504
2017-01-03,13.88,14.19,11.81,13.0,320107
2017-01-04,13.0,13.5,12.99,13.37,32827
2017-01-05,13.39,13.66,13.14,13.34,26802
2017-01-06,13.31,13.86,13.28,13.71,63286
2017-01-09,13.53,14.3,13.5,13.79,54186
2017-01-10,13.79,13.85,13.69,13.83,50777
2017-01-11,13.85,13.85,13.46,13.73,30824
2017-01-12,13.88,13.94,13.45,13.53,26068
2017-01-13,13.54,13.83,13.37,13.58,33992
