Date,Open,High,Low,Close,Volume
2016-01-04,15.38,16.1,15.08,15.89,6915023
2016-01-05,15.67,15.75,14.77,14.89,6941027
2016-01-06,14.29,14.3,12.6,13.5,14343700
2016-01-07,13.08,13.19,12.59,13.01,10594458
2016-01-08,13.05,13.13,12.58,12.79,6152621
2016-01-11,12.75,12.88,11.42,11.77,8532429
2016-01-12,11.98,12.1,10.72,11.34,10175583
2016-01-13,11.57,11.81,10.59,10.62,10172607
2016-01-14,10.64,11.21,10.26,11.01,8295758
2016-01-15,10.45,10.54,9.88,10.3,5766466
2016-01-19,10.35,10.35,9.23,9.42,8201434
2016-01-20,9.02,9.98,8.85,9.85,11810756
2016-01-21,9.77,10.42,9.51,9.97,8132062
2016-01-22,10.46,10.58,8.97,9.57,10926136
2016-01-25,9.24,9.52,8.81,8.86,9275339
2016-01-26,9.16,9.4,8.77,9.18,11150946
2016-01-27,9.07,9.35,8.84,8.98,8532956
2016-01-28,9.39,9.52,8.93,9.37,7465094
2016-01-29,9.26,9.8,8.91,9.78,10382206
2016-02-01,9.42,9.63,9.08,9.39,7764915
2016-02-02,9.05,9.1,8.71,8.81,7238644
2016-02-03,8.99,9.15,8.39,9.08,7321286
2016-02-04,9.15,10.24,9.15,9.74,9892918
2016-02-05,9.36,10.88,9.31,9.85,11205069
2016-02-08,9.43,9.74,9.15,9.3,7908919
2016-02-09,9.06,9.22,8.36,8.47,7639746
2016-02-10,8.47,8.77,8.08,8.09,6852334
2016-02-11,7.92,8.33,7.65,8.05,9482767
2016-02-12,8.22,8.56,8.07,8.38,10440688
2016-02-16,8.65,8.65,8.06,8.53,5419592
2016-02-17,8.58,9.2,8.52,8.87,8339394
2016-02-18,9.04,9.04,8.2,8.59,9359637
2016-02-19,8.41,8.62,8.0,8.22,7112209
2016-02-22,8.48,8.98,8.32,8.73,8216324
2016-02-23,8.6,9.04,8.3,8.32,6988730
2016-02-24,8.1,8.32,7.52,8.28,13484836
2016-02-25,8.29,8.29,7.25,7.88,15456559
2016-02-26,8.05,9.07,8.04,8.41,14314781
2016-02-29,8.47,8.95,8.4,8.67,22407995
2016-03-01,8.79,8.81,8.0,8.66,11300306
2016-03-02,8.62,9.6,8.52,9.58,11708085
2016-03-03,9.55,11.06,9.5,10.93,15892595
2016-03-04,11.03,12.9,10.83,12.36,22039245
2016-03-07,12.26,13.04,12.19,12.45,15341571
2016-03-08,12.26,12.29,10.5,10.85,15869268
2016-03-09,11.12,11.22,9.99,10.48,12649697
2016-03-10,10.42,11.27,10.08,10.97,13979661
2016-03-11,11.15,11.54,10.97,11.19,7636892
2016-03-14,10.9,11.34,10.61,10.96,7781514
2016-03-15,10.65,10.96,10.34,10.91,6607938
2016-03-16,11.02,11.6,11.0,11.26,8644987
2016-03-17,11.41,11.58,10.98,11.38,8528299
2016-03-18,11.47,11.6,10.98,11.27,14507335
2016-03-21,11.18,11.4,10.89,11.33,4807999
2016-03-22,10.87,11.16,10.73,11.01,4905416
2016-03-23,10.88,11.03,10.2,10.48,6442499
2016-03-24,10.17,10.79,10.05,10.6,5394563
2016-03-28,10.27,10.92,10.22,10.72,8077464
2016-03-29,10.37,10.52,9.66,10.3,51282745
2016-03-30,10.58,10.72,9.91,10.18,12190141
2016-03-31,10.17,10.54,10.1,10.37,8730549
2016-04-01,10.09,10.09,9.49,9.65,11640953
2016-04-04,9.73,10.04,9.42,9.55,6664260
2016-04-05,9.38,9.88,9.37,9.78,7631091
2016-04-06,9.87,10.07,9.42,9.69,8787736
2016-04-07,9.71,9.86,9.06,9.23,7138907
2016-04-08,9.46,9.68,9.38,9.47,7360360
2016-04-11,9.55,9.86,9.5,9.74,4881196
2016-04-12,9.93,11.22,9.68,11.08,12586463
2016-04-13,11.11,11.57,11.06,11.14,11347061
2016-04-14,11.28,11.35,10.3,10.59,8029312
2016-04-15,9.51,10.05,9.45,9.9,98453899
2016-04-18,9.68,10.17,9.57,10.08,22091926
2016-04-19,10.42,11.41,10.21,11.34,28782485
2016-04-20,11.16,11.73,10.97,11.3,11906793
2016-04-21,11.4,11.62,11.07,11.16,11182614
2016-04-22,11.2,12.15,11.15,11.9,10399264
2016-04-25,11.87,11.92,11.17,11.27,8153736
2016-04-26,11.37,11.65,10.88,11.6,8641267
2016-04-27,11.75,12.1,11.66,11.94,12587742
2016-04-28,11.67,12.36,11.44,11.63,11333966
2016-04-29,11.86,12.2,11.42,11.96,13153652
2016-05-02,11.94,11.99,11.26,11.68,13366728
2016-05-03,11.42,11.54,10.56,10.79,11051332
2016-05-04,10.85,11.0,10.36,10.49,8872995
2016-05-05,10.83,10.97,10.15,10.29,8658977
2016-05-06,10.14,11.02,10.12,10.78,9165439
2016-05-09,10.54,10.61,9.9,10.23,8497001
2016-05-10,10.36,10.64,10.26,10.53,6141931
2016-05-11,10.51,10.85,10.25,10.58,8095377
2016-05-12,10.75,10.95,10.28,10.46,8390065
2016-05-13,10.37,10.66,10.2,10.28,7425465
2016-05-16,10.55,11.07,10.52,10.64,5568600
2016-05-17,10.63,11.2,10.51,10.78,6340188
2016-05-18,10.78,11.03,10.01,10.12,8073427
2016-05-19,9.9,10.12,9.64,9.73,9485870
2016-05-20,9.78,10.2,9.62,10.16,7931622
2016-05-23,10.04,10.1,9.55,9.72,8478574
2016-05-24,9.84,9.84,9.48,9.57,6032533
2016-05-25,9.67,10.14,9.64,10.04,9932765
2016-05-26,10.25,10.28,9.42,9.43,6596371
2016-05-27,9.36,9.76,9.32,9.73,7233554
