Date,Open,High,Low,Close,Volume
2016-01-04,13.66,13.71,13.34,13.44,656734
2016-01-05,13.2,13.25,12.75,12.96,1093501
2016-01-06,12.75,12.76,12.52,12.6,972743
2016-01-07,12.2,12.52,12.11,12.32,666639
2016-01-08,12.44,12.44,12.06,12.07,493886
2016-01-11,11.97,11.97,11.29,11.42,1312585
2016-01-12,11.22,11.27,10.44,10.77,2863224
2016-01-13,11.04,11.23,10.39,10.48,1103146
2016-01-14,10.12,10.28,9.75,10.19,1962130
2016-01-15,10.02,10.13,9.74,10.09,1454244
2016-01-19,10.5,10.56,10.16,10.36,2101007
2016-01-20,10.08,10.46,9.95,10.4,937091
2016-01-21,10.55,10.86,10.45,10.63,548615
2016-01-22,11.07,11.17,10.86,10.99,499234
2016-01-25,11.13,11.25,10.98,11.02,775445
2016-01-26,11.29,11.33,11.11,11.23,2339951
2016-01-27,11.27,11.33,10.92,10.93,2164031
2016-01-28,11.71,11.76,11.3,11.35,1283513
2016-01-29,11.38,12.22,11.28,12.05,1748858
2016-02-01,11.68,12.42,11.63,12.27,939072
2016-02-02,11.84,11.84,11.41,11.51,926986
2016-02-03,11.52,11.53,11.11,11.45,494455
2016-02-04,11.5,11.71,11.24,11.58,1013777
2016-02-05,11.61,11.63,11.3,11.39,499255
2016-02-08,11.0,11.01,10.36,10.74,1014905
2016-02-09,10.71,10.82,10.31,10.51,487996
2016-02-10,10.68,10.78,10.55,10.7,377389
2016-02-11,10.64,10.92,10.55,10.71,861910
2016-02-12,10.73,10.95,10.62,10.93,1195274
2016-02-16,10.93,11.0,10.7,10.97,666249
2016-02-17,11.17,11.29,11.15,11.26,895282
2016-02-18,11.09,11.14,10.95,11.02,673122
2016-02-19,10.88,10.95,10.72,10.94,530546
2016-02-22,11.13,11.2,11.0,11.06,859163
2016-02-23,10.99,11.04,10.93,10.99,394280
2016-02-24,10.74,10.74,10.48,10.65,709547
2016-02-25,10.77,10.81,10.3,10.38,1818118
2016-02-26,9.87,9.94,9.38,9.54,1950700
2016-02-29,9.82,10.12,9.65,10.02,1618398
2016-03-01,10.4,10.5,10.18,10.34,1720755
2016-03-02,10.23,10.3,9.93,9.94,1359495
2016-03-03,9.95,10.04,9.87,9.98,958459
