Date,Open,High,Low,Close,Volume
2016-01-04,5.75,5.77,5.65,5.77,125343
2016-01-05,5.76,5.8,5.74,5.79,43784
2016-01-06,5.78,5.82,5.73,5.74,81485
2016-01-07,5.72,5.72,5.61,5.68,235382
2016-01-08,5.71,5.71,5.64,5.65,150802
2016-01-11,5.68,5.68,5.62,5.66,113378
2016-01-12,5.66,5.67,5.63,5.65,49662
2016-01-13,5.66,5.66,5.57,5.57,129838
2016-01-14,5.59,5.59,5.51,5.52,101051
2016-01-15,5.49,5.49,5.38,5.41,136217
2016-01-19,5.45,5.45,5.41,5.43,140343
2016-01-20,5.39,5.4,5.26,5.33,135073
2016-01-21,5.37,5.39,5.31,5.39,454291
2016-01-22,5.46,5.46,5.4,5.43,91923
2016-01-25,5.44,5.47,5.39,5.39,119446
2016-01-26,5.4,5.46,5.39,5.44,87551
2016-01-27,5.46,5.47,5.43,5.47,51385
2016-01-28,5.46,5.48,5.42,5.45,82699
2016-01-29,5.47,5.5,5.46,5.46,143066
2016-02-01,5.43,5.5,5.43,5.48,163265
2016-02-02,5.48,5.5,5.42,5.42,207314
2016-02-03,5.46,5.46,5.4,5.43,134379
2016-02-04,5.44,5.44,5.38,5.39,188368
2016-02-05,5.4,5.42,5.38,5.38,37372
2016-02-08,5.33,5.34,5.26,5.28,87505
2016-02-09,5.22,5.31,5.22,5.3,226361
2016-02-10,5.29,5.32,5.24,5.24,295099
2016-02-11,5.23,5.24,5.17,5.23,221548
2016-02-12,5.23,5.27,5.21,5.22,100867
2016-02-16,5.26,5.26,5.21,5.25,154075
2016-02-17,5.26,5.31,5.24,5.3,166020
2016-02-18,5.3,5.3,5.24,5.24,187478
2016-02-19,5.23,5.26,5.22,5.26,141241
2016-02-22,5.26,5.3,5.26,5.29,135264
2016-02-23,5.29,5.3,5.28,5.3,101868
2016-02-24,5.26,5.32,5.24,5.32,111258
2016-02-25,5.31,5.33,5.28,5.33,104439
2016-02-26,5.32,5.34,5.31,5.33,69441
2016-02-29,5.32,5.36,5.29,5.35,69936
2016-03-01,5.35,5.45,5.35,5.43,155565
2016-03-02,5.43,5.47,5.41,5.44,110250
2016-03-03,5.43,5.51,5.43,5.51,124405
2016-03-04,5.52,5.59,5.5,5.57,100395
2016-03-07,5.54,5.64,5.54,5.62,78472
2016-03-08,5.59,5.63,5.56,5.62,163573
2016-03-09,5.59,5.63,5.58,5.61,100348
2016-03-10,5.64,5.65,5.58,5.6,118444
2016-03-11,5.61,5.66,5.61,5.64,165587
2016-03-14,5.63,5.7,5.63,5.69,150008
