Date,Open,High,Low,Close,Volume
2016-01-04,4.38,4.5,4.14,4.44,530937
2016-01-05,4.46,4.49,4.23,4.39,386527
2016-01-06,4.37,4.46,4.23,4.23,445742
2016-01-07,4.2,4.2,3.95,4.12,681663
2016-01-08,4.16,4.17,3.97,3.99,647039
2016-01-11,4.01,4.12,3.9,3.98,431595
2016-01-12,4.02,4.04,3.78,3.91,371706
2016-01-13,3.9,3.92,3.5,3.51,602400
2016-01-14,3.46,3.6,3.38,3.51,531584
2016-01-15,3.4,3.56,3.21,3.56,611667
2016-01-19,3.57,3.61,3.29,3.39,506382
2016-01-20,3.3,3.48,3.14,3.48,657676
2016-01-21,3.41,3.52,3.34,3.44,380135
2016-01-22,3.46,3.56,3.37,3.56,511947
2016-01-25,3.44,3.49,2.79,2.99,1925652
2016-01-26,2.99,3.05,2.82,2.97,400519
2016-01-27,2.95,2.98,2.84,2.88,384287
2016-01-28,2.92,2.94,2.75,2.76,301669
2016-01-29,2.8,2.9,2.75,2.81,414087
2016-02-01,2.81,3.03,2.73,2.96,431950
2016-02-02,2.93,2.96,2.8,2.83,255673
2016-02-03,2.84,2.87,2.65,2.83,182461
2016-02-04,2.84,3.0,2.8,2.94,287334
2016-02-05,2.93,2.95,2.8,2.8,230870
2016-02-08,2.77,2.77,2.57,2.64,317378
2016-02-09,2.59,2.65,2.32,2.34,309123
2016-02-10,2.36,2.39,2.27,2.35,996939
2016-02-11,2.31,2.4,2.25,2.39,398360
2016-02-12,2.5,2.82,2.14,2.78,1028427
2016-02-16,2.89,2.89,2.51,2.55,446230
2016-02-17,2.55,2.6,2.47,2.52,827560
2016-02-18,2.56,2.61,2.5,2.56,358861
2016-02-19,2.54,2.56,2.48,2.52,340957
2016-02-22,2.57,2.78,2.55,2.76,586910
2016-02-23,2.83,2.84,2.73,2.81,440988
2016-02-24,2.91,2.93,2.73,2.77,417578
2016-02-25,2.81,2.81,2.65,2.7,326196
2016-02-26,2.73,2.89,2.73,2.83,307662
2016-02-29,2.83,2.98,2.83,2.94,348046
2016-03-01,2.98,3.06,2.92,3.02,341728
2016-03-02,3.05,3.39,3.03,3.31,439567
2016-03-03,3.38,3.47,3.3,3.47,497983
2016-03-04,3.46,3.5,3.28,3.32,271510
2016-03-07,3.32,3.6,3.29,3.6,261536
2016-03-08,3.56,3.6,3.43,3.44,300611
2016-03-09,3.46,3.51,3.25,3.41,250635
2016-03-10,3.39,3.41,3.05,3.07,281439
2016-03-11,3.09,3.24,3.08,3.24,217266
2016-03-14,3.25,3.29,3.1,3.18,172881
2016-03-15,3.12,3.16,3.02,3.16,238667
2016-03-16,2.5,2.6,1.73,2.38,4479170
2016-03-17,2.42,2.55,2.26,2.44,1088228
2016-03-18,2.39,2.48,2.24,2.28,1317148
2016-03-21,2.33,2.44,2.28,2.33,737102
2016-03-22,2.37,2.4,2.15,2.2,802436
2016-03-23,2.21,2.27,2.16,2.25,758129
2016-03-24,2.22,2.26,2.16,2.2,539102
2016-03-28,2.28,2.28,2.16,2.19,659377
2016-03-29,2.16,2.21,2.03,2.18,845849
2016-03-30,2.17,2.24,2.1,2.21,884611
2016-03-31,2.21,2.37,2.2,2.29,777831
2016-04-01,2.29,2.29,2.17,2.21,329340
2016-04-04,2.22,2.29,2.09,2.18,1321651
2016-04-05,2.18,2.21,2.08,2.09,583372
2016-04-06,2.08,2.17,2.08,2.15,776966
2016-04-07,2.15,2.16,2.02,2.1,556979
2016-04-08,2.15,2.15,2.07,2.11,986745
2016-04-11,2.14,2.15,2.04,2.12,989036
2016-04-12,2.11,2.14,2.09,2.12,563907
2016-04-13,2.14,2.18,2.11,2.15,743596
2016-04-14,2.18,2.22,2.18,2.21,712820
2016-04-15,2.19,2.23,2.12,2.19,209422
2016-04-18,2.17,2.2,2.14,2.2,293654
2016-04-19,2.21,2.29,2.2,2.25,370595
2016-04-20,2.22,2.27,2.02,2.04,579187
2016-04-21,2.02,2.07,1.91,2.04,546866
2016-04-22,2.02,2.05,1.8,1.88,937029
2016-04-25,1.92,1.98,1.82,1.83,549229
2016-04-26,1.83,1.86,1.75,1.77,568567
2016-04-27,1.77,1.86,1.77,1.84,455059
2016-04-28,1.83,1.86,1.8,1.8,357081
2016-04-29,1.8,1.8,1.64,1.68,574613
2016-05-02,1.7,1.74,1.65,1.73,405404
2016-05-03,1.73,1.76,1.66,1.66,276785
2016-05-04,1.65,1.7,1.6,1.6,254541
2016-05-05,1.66,1.67,1.5,1.5,567926
2016-05-06,1.49,1.52,1.48,1.51,571513
2016-05-09,1.52,1.56,1.33,1.47,633279
2016-05-10,1.5,1.67,1.45,1.65,913879
2016-05-11,1.51,1.72,1.35,1.57,1281105
2016-05-12,1.64,1.64,1.4,1.52,1072847
2016-05-13,1.48,1.64,1.44,1.46,6880318
2016-05-16,1.42,1.49,1.42,1.45,507057
2016-05-17,1.45,1.55,1.38,1.44,1452850
2016-05-18,1.43,1.51,1.36,1.37,796355
2016-05-19,1.39,1.4,1.19,1.2,917222
2016-05-20,1.3,1.31,1.21,1.23,635781
2016-05-23,1.23,1.23,1.13,1.14,844337
2016-05-24,1.17,1.43,1.17,1.35,2752483
2016-05-25,1.45,1.45,1.3,1.35,1012704
2016-05-26,1.37,1.42,1.34,1.41,852805
2016-05-27,1.4,1.56,1.4,1.5,869801
2016-05-31,1.66,1.66,1.4,1.43,1434350
2016-06-01,1.43,1.44,1.35,1.42,691111
2016-06-02,1.42,1.44,1.38,1.39,599535
2016-06-03,1.4,1.46,1.35,1.46,1374176
2016-06-06,1.47,1.6,1.46,1.59,545035
2016-06-07,1.6,1.67,1.58,1.66,837891
2016-06-08,1.7,1.7,1.6,1.65,602312
2016-06-09,1.67,1.67,1.61,1.64,411166
2016-06-10,1.62,1.63,1.56,1.59,575930
2016-06-13,1.66,1.66,1.52,1.59,433409
2016-06-14,1.61,1.62,1.42,1.62,446649
2016-06-15,1.63,1.64,1.6,1.61,211943
2016-06-16,1.61,1.61,1.5,1.52,393837
2016-06-17,1.53,1.6,1.52,1.58,668738
2016-06-20,1.6,1.66,1.58,1.6,593299
2016-06-21,1.6,1.62,1.53,1.6,656407
2016-06-22,1.6,1.61,1.55,1.59,727588
2016-06-23,1.62,1.62,1.55,1.56,1290375
2016-06-24,1.52,1.53,1.45,1.48,6891555
2016-06-27,1.47,1.47,1.22,1.25,1618832
2016-06-28,1.3,1.36,1.18,1.23,1488606
2016-06-29,1.26,1.29,1.15,1.21,1491622
2016-06-30,1.24,1.25,1.15,1.15,1085493
2016-07-01,1.19,1.5,1.16,1.47,1862560
2016-07-05,1.51,1.51,1.25,1.28,1308079
2016-07-06,1.24,1.31,1.23,1.25,885135
2016-07-07,1.3,1.35,1.24,1.26,1399411
2016-07-08,1.3,1.51,1.28,1.43,1099893
2016-07-11,1.49,1.49,1.3,1.43,1025654
2016-07-12,1.48,1.57,1.42,1.54,788476
2016-07-13,1.58,1.58,1.46,1.5,231207
2016-07-14,1.6,1.67,1.46,1.62,879271
2016-07-15,1.61,1.66,1.57,1.63,352797
2016-07-18,1.69,1.9,1.64,1.76,879547
2016-07-19,1.76,1.8,1.68,1.72,457819
2016-07-20,1.72,1.94,1.69,1.88,505404
2016-07-21,1.86,1.86,1.74,1.76,354640
2016-07-22,1.75,1.81,1.66,1.8,401896
2016-07-25,1.8,1.88,1.68,1.71,632262
2016-07-26,1.7,1.85,1.7,1.84,359266
2016-07-27,1.81,1.87,1.81,1.84,308916
2016-07-28,1.85,1.89,1.76,1.88,422177
2016-07-29,1.89,2.0,1.82,1.9,619523
2016-08-01,1.88,1.92,1.75,1.75,352823
2016-08-02,1.76,1.86,1.73,1.76,261828
2016-08-03,1.74,1.83,1.74,1.81,277426
2016-08-04,1.79,1.84,1.76,1.79,141431
2016-08-05,1.81,1.9,1.76,1.77,213192
2016-08-08,1.83,1.85,1.75,1.76,237580
2016-08-09,1.76,1.81,1.69,1.73,280585
2016-08-10,1.7,2.15,1.7,1.98,1904414
2016-08-11,2.07,2.1,1.91,1.98,634065
2016-08-12,1.98,2.1,1.94,2.05,638875
2016-08-15,2.03,2.21,2.01,2.13,555087
2016-08-16,2.15,2.23,2.07,2.12,340521
2016-08-17,2.14,2.14,2.04,2.1,162212
2016-08-18,2.16,2.21,2.11,2.13,189585
2016-08-19,2.1,2.19,2.09,2.14,244783
2016-08-22,2.11,2.24,2.11,2.22,290514
2016-08-23,2.22,2.22,2.05,2.17,320443
2016-08-24,2.15,2.22,2.14,2.21,296040
2016-08-25,2.24,2.24,2.11,2.17,216673
2016-08-26,2.14,2.18,2.05,2.06,138914
2016-08-29,2.05,2.2,1.97,2.19,213862
2016-08-30,2.19,2.2,2.11,2.19,212832
2016-08-31,2.2,2.2,2.09,2.11,121808
2016-09-01,2.08,2.13,2.01,2.11,326303
2016-09-02,2.15,2.25,2.12,2.22,167048
2016-09-06,2.22,2.28,2.2,2.23,178272
2016-09-07,2.21,2.33,2.17,2.31,380236
2016-09-08,2.31,2.37,2.28,2.36,137587
2016-09-09,2.33,2.37,2.18,2.2,259856
2016-09-12,2.15,2.27,2.12,2.23,142297
2016-09-13,2.18,2.21,2.11,2.17,146868
2016-09-14,2.17,2.19,2.14,2.18,97867
2016-09-15,2.19,2.23,2.17,2.22,60816
2016-09-16,2.18,2.23,2.15,2.2,204122
2016-09-19,2.21,2.35,2.18,2.31,150364
2016-09-20,2.3,2.32,2.22,2.24,82180
2016-09-21,2.26,2.32,2.25,2.28,59363
2016-09-22,2.29,2.37,2.28,2.35,104348
2016-09-23,2.32,2.44,2.3,2.42,225529
2016-09-26,2.43,2.44,2.38,2.41,126819
2016-09-27,2.36,2.44,2.33,2.43,181494
2016-09-28,2.45,2.5,2.38,2.48,243511
2016-09-29,2.47,2.6,2.45,2.54,243130
2016-09-30,2.58,2.64,2.4,2.47,474590
2016-10-03,2.5,2.53,2.38,2.38,135633
2016-10-04,2.41,2.47,2.25,2.4,310055
2016-10-05,2.42,2.52,2.37,2.44,102970
2016-10-06,2.44,2.5,2.36,2.48,123468
2016-10-07,2.48,2.5,2.4,2.44,52145
2016-10-10,2.46,2.58,2.46,2.56,292460
2016-10-11,2.53,2.56,2.46,2.55,151931
2016-10-12,2.51,2.53,2.47,2.5,101094
