Date,Open,High,Low,Close,Volume
2016-01-04,16.52,16.63,16.27,16.43,318666
2016-01-05,16.48,16.48,16.1,16.17,204545
2016-01-06,15.97,16.26,15.96,16.17,353766
2016-01-07,15.91,16.21,15.82,15.82,324977
2016-01-08,15.87,15.95,15.42,15.47,398605
2016-01-11,15.52,15.57,15.26,15.32,258679
2016-01-12,15.47,15.64,15.34,15.55,432489
2016-01-13,15.63,15.72,14.71,14.83,390360
2016-01-14,14.92,15.09,14.72,14.9,203314
2016-01-15,14.54,14.71,14.23,14.56,207083
2016-01-19,14.74,14.86,14.23,14.41,301954
2016-01-20,14.21,14.62,13.8,14.59,458025
2016-01-21,14.6,14.89,14.39,14.48,760051
2016-01-22,14.73,14.8,14.6,14.65,444998
2016-01-25,14.64,14.75,13.95,13.98,344705
2016-01-26,14.02,14.16,13.91,14.14,341003
2016-01-27,14.0,14.12,13.71,13.74,452651
2016-01-28,13.93,14.05,13.6,13.7,384429
2016-01-29,13.74,13.84,13.65,13.74,1113231
2016-02-01,13.69,13.88,13.62,13.83,861772
2016-02-02,13.79,13.79,13.32,13.41,221879
2016-02-03,13.54,13.59,13.16,13.4,392920
2016-02-04,13.4,13.46,12.89,12.98,849487
2016-02-05,12.92,13.0,12.57,12.58,491646
2016-02-08,12.46,12.48,12.11,12.27,803767
2016-02-09,12.21,12.32,11.71,11.72,670930
2016-02-10,11.78,12.41,11.75,12.09,957497
2016-02-11,11.92,12.08,11.81,11.88,325760
2016-02-12,11.99,12.1,11.87,11.93,528367
2016-02-16,12.01,12.29,11.9,12.25,610861
2016-02-17,12.37,12.63,12.29,12.45,459180
2016-02-18,12.7,13.32,11.41,11.52,1955207
2016-02-19,11.48,11.79,11.26,11.4,909959
2016-02-22,11.5,11.74,11.44,11.62,1103123
2016-02-23,11.57,11.68,11.46,11.63,620140
2016-02-24,11.49,11.59,11.4,11.51,352734
2016-02-25,11.86,12.11,11.55,11.71,703684
2016-02-26,11.81,11.97,11.72,11.85,960042
2016-02-29,11.87,12.18,11.87,11.9,438947
2016-03-01,11.99,12.13,11.96,12.08,368244
2016-03-02,12.09,12.77,12.09,12.72,2157061
2016-03-03,12.75,13.39,12.73,13.31,701655
2016-03-04,13.26,13.59,13.04,13.48,768863
2016-03-07,13.43,13.95,13.43,13.74,417368
2016-03-08,13.69,13.69,13.47,13.5,575239
2016-03-09,13.57,13.69,13.46,13.56,272895
2016-03-10,13.61,13.62,13.24,13.5,341945
2016-03-11,13.65,13.99,13.65,13.96,287470
2016-03-14,13.87,13.92,13.45,13.62,248245
2016-03-15,13.56,13.6,13.49,13.53,342610
2016-03-16,13.5,13.85,13.5,13.72,185438
2016-03-17,13.76,13.94,13.59,13.89,284448
2016-03-18,14.0,14.17,13.89,14.0,704130
2016-03-21,13.95,14.02,13.37,13.68,303421
2016-03-22,13.6,13.72,13.48,13.56,140973
2016-03-23,13.58,13.62,13.47,13.57,288799
2016-03-24,13.44,13.59,13.35,13.42,232555
2016-03-28,13.45,13.57,13.28,13.5,154629
2016-03-29,13.44,13.7,13.29,13.68,182755
2016-03-30,13.78,13.96,13.65,13.86,185838
2016-03-31,13.89,14.02,13.73,13.98,164744
2016-04-01,13.97,14.08,13.82,14.04,199515
2016-04-04,14.08,14.16,13.87,13.91,190182
2016-04-05,13.81,13.9,13.44,13.47,205953
2016-04-06,13.51,13.57,13.37,13.42,186796
2016-04-07,13.31,13.42,13.12,13.24,284854
2016-04-08,13.35,13.52,13.19,13.22,138033
2016-04-11,13.26,13.49,13.0,13.02,366858
2016-04-12,13.06,13.22,12.98,13.22,527285
2016-04-13,13.28,13.96,13.18,13.95,257797
2016-04-14,13.97,13.97,13.72,13.89,174737
2016-04-15,13.92,14.1,13.86,13.88,172049
2016-04-18,13.88,14.11,13.76,14.08,154666
2016-04-19,14.08,14.25,13.93,14.02,115402
2016-04-20,14.07,14.16,13.91,14.15,213815
2016-04-21,14.09,14.32,13.9,13.92,226784
2016-04-22,13.92,14.14,13.92,14.13,178211
2016-04-25,14.09,14.11,13.82,13.86,124245
2016-04-26,13.94,13.98,13.69,13.7,291481
2016-04-27,13.71,13.84,13.64,13.74,174509
2016-04-28,13.7,13.84,13.56,13.61,136737
2016-04-29,13.63,13.63,13.31,13.47,205208
2016-05-02,13.5,13.81,13.45,13.77,159826
2016-05-03,13.63,13.72,13.33,13.52,166807
2016-05-04,13.49,13.6,13.18,13.33,159570
2016-05-05,13.42,13.43,13.27,13.29,118585
2016-05-06,13.29,13.39,13.23,13.32,177104
2016-05-09,13.29,13.52,13.29,13.46,167509
2016-05-10,13.54,13.67,13.45,13.55,160455
2016-05-11,13.56,13.56,13.21,13.26,180783
2016-05-12,13.5,13.88,13.11,13.42,385795
2016-05-13,13.43,13.68,13.35,13.55,199128
2016-05-16,13.55,13.96,13.49,13.82,215640
2016-05-17,13.81,13.86,13.4,13.56,227755
2016-05-18,13.55,13.76,13.5,13.59,136703
2016-05-19,13.47,13.78,13.39,13.68,245057
2016-05-20,13.77,14.08,13.7,14.05,205734
2016-05-23,14.11,14.19,13.98,13.98,150164
2016-05-24,14.1,14.47,14.09,14.43,300320
2016-05-25,14.45,14.78,14.42,14.7,449198
2016-05-26,14.7,14.78,14.57,14.69,203245
2016-05-27,14.74,15.18,14.53,15.15,510715
2016-05-31,15.26,15.34,15.1,15.31,368607
2016-06-01,15.29,15.79,15.21,15.67,568354
2016-06-02,15.66,15.79,15.62,15.74,460200
2016-06-03,15.73,15.85,15.5,15.78,220323
2016-06-06,15.78,16.04,15.75,15.95,234968
2016-06-07,15.95,16.1,15.82,16.0,167177
2016-06-08,16.01,16.14,15.89,16.03,519692
2016-06-09,15.93,16.12,15.79,16.08,268184
2016-06-10,15.89,16.12,15.8,15.92,442728
2016-06-13,15.83,16.06,15.66,15.66,449405
2016-06-14,15.64,15.78,15.53,15.6,467443
2016-06-15,15.64,15.92,15.5,15.74,253527
2016-06-16,15.67,16.09,15.52,15.78,502644
2016-06-17,15.82,16.04,15.68,15.84,717294
2016-06-20,16.08,16.32,16.08,16.16,416600
2016-06-21,16.25,16.29,15.84,15.95,170403
2016-06-22,16.04,16.11,15.81,15.85,182480
2016-06-23,16.03,16.32,16.01,16.28,231333
2016-06-24,15.55,15.74,15.1,15.41,782031
2016-06-27,15.13,15.13,14.48,14.63,413803
2016-06-28,14.84,14.94,14.7,14.78,189713
2016-06-29,14.97,15.37,14.93,15.35,163137
2016-06-30,15.38,15.58,15.16,15.54,318569
2016-07-01,15.49,15.81,15.48,15.8,188394
2016-07-05,15.9,15.9,15.19,15.32,196859
2016-07-06,15.27,15.48,15.13,15.45,191721
2016-07-07,15.46,15.68,15.43,15.53,98975
2016-07-08,15.69,16.09,15.69,16.08,230364
2016-07-11,16.18,16.24,16.11,16.17,146470
2016-07-12,16.28,16.58,16.28,16.44,184183
2016-07-13,16.55,16.74,16.38,16.6,485105
2016-07-14,16.6,16.95,16.59,16.83,437868
2016-07-15,16.83,16.83,16.42,16.5,371980
2016-07-18,16.5,16.5,16.36,16.38,194593
2016-07-19,16.4,16.4,16.24,16.25,324569
2016-07-20,16.25,16.29,16.14,16.22,217921
2016-07-21,16.22,16.26,16.16,16.21,250969
2016-07-22,16.27,16.29,16.18,16.24,179348
2016-07-25,16.17,16.25,16.17,16.19,110927
2016-07-26,16.19,16.28,16.08,16.25,256017
2016-07-27,16.24,16.28,16.02,16.08,211662
2016-07-28,16.03,16.1,15.86,16.02,180956
2016-07-29,16.41,17.27,16.24,17.2,1180120
2016-08-01,17.24,17.43,17.1,17.21,468569
2016-08-02,17.15,17.23,16.97,17.12,384549
2016-08-03,17.08,17.2,17.06,17.11,135440
2016-08-04,17.08,17.35,17.08,17.26,281862
2016-08-05,17.3,17.55,17.3,17.5,281105
2016-08-08,17.51,17.59,17.34,17.34,86755
2016-08-09,17.44,17.62,17.36,17.4,219672
2016-08-10,17.45,17.56,17.14,17.2,232732
2016-08-11,17.29,17.51,17.25,17.35,307959
2016-08-12,17.33,17.42,17.16,17.26,239785
2016-08-15,17.29,17.49,17.18,17.19,180813
2016-08-16,17.06,17.2,16.88,16.96,158479
2016-08-17,16.91,17.05,16.9,16.94,232555
2016-08-18,16.92,17.11,16.92,16.96,206285
2016-08-19,16.88,17.1,16.88,16.91,376302
2016-08-22,16.86,16.95,16.69,16.75,257490
2016-08-23,16.84,17.07,16.84,17.01,215403
2016-08-24,16.95,17.11,16.92,16.94,172167
2016-08-25,16.85,17.02,16.85,16.95,153463
2016-08-26,16.95,17.02,16.8,16.88,144899
2016-08-29,17.15,17.15,16.86,16.89,132858
2016-08-30,16.88,17.07,16.88,16.99,167801
2016-08-31,16.95,17.13,16.93,17.06,441972
2016-09-01,17.1,17.23,16.96,17.08,278697
2016-09-02,17.14,17.23,16.98,17.04,246636
2016-09-06,17.06,17.14,16.82,16.87,177310
2016-09-07,16.87,17.08,16.8,17.0,272694
2016-09-08,16.97,17.08,16.91,17.0,179168
2016-09-09,16.84,16.92,16.44,16.45,224868
2016-09-12,16.37,16.78,16.34,16.56,423083
2016-09-13,16.43,16.66,16.4,16.55,346447
2016-09-14,16.61,16.67,16.4,16.44,239652
2016-09-15,16.47,16.8,16.47,16.75,263299
2016-09-16,16.8,16.85,16.56,16.79,847063
2016-09-19,16.93,17.11,16.92,17.05,266456
2016-09-20,17.17,17.19,17.05,17.08,236836
2016-09-21,17.19,17.27,16.98,17.09,240730
2016-09-22,17.22,17.3,16.94,17.17,210894
2016-09-23,17.13,17.17,16.78,16.79,155240
2016-09-26,16.72,16.87,16.6,16.65,191550
2016-09-27,16.59,16.74,16.52,16.73,152981
2016-09-28,16.72,16.9,16.53,16.89,212108
2016-09-29,16.82,16.97,16.45,16.46,176560
2016-09-30,16.59,16.82,16.37,16.78,306736
2016-10-03,16.73,16.77,16.48,16.65,195931
2016-10-04,16.67,16.72,16.44,16.5,311540
2016-10-05,16.62,16.64,16.38,16.39,205916
2016-10-06,16.37,16.4,16.07,16.33,296673
2016-10-07,16.39,16.49,16.06,16.08,237673
2016-10-10,16.25,16.45,16.0,16.15,175557
2016-10-11,16.1,16.2,15.55,15.7,194315
2016-10-12,15.7,15.9,15.65,15.8,431647
2016-10-13,15.75,15.95,15.45,15.7,455974
2016-10-14,15.75,15.95,15.55,15.8,209936
2016-10-17,15.8,15.9,15.75,15.85,194044
2016-10-18,16.0,16.1,15.55,15.75,262192
2016-10-19,15.8,15.9,15.5,15.6,148360
2016-10-20,15.65,15.75,15.4,15.7,308627
2016-10-21,15.5,15.65,15.42,15.6,190277
2016-10-24,15.75,16.05,15.6,15.7,199150
2016-10-25,15.65,15.75,15.5,15.65,245834
2016-10-26,15.55,15.7,15.5,15.5,233194
2016-10-27,15.65,15.65,15.32,15.45,207694
2016-10-28,15.55,15.7,15.05,15.25,153064
2016-10-31,15.2,15.4,15.0,15.15,564648
2016-11-01,15.15,15.5,14.8,14.8,380131
2016-11-02,14.85,14.95,14.2,14.25,413829
2016-11-03,14.5,14.85,14.15,14.2,335468
2016-11-04,14.25,14.7,14.15,14.35,478489
2016-11-07,14.7,15.1,14.5,14.65,408504
2016-11-08,14.7,14.85,14.5,14.6,273173
2016-11-09,14.4,14.95,14.4,14.95,523914
2016-11-10,15.15,15.45,15.05,15.3,316129
2016-11-11,15.35,15.95,15.25,15.7,588530
2016-11-14,15.9,16.05,15.4,15.6,398189
2016-11-15,15.55,15.8,15.5,15.65,374806
2016-11-16,15.55,15.8,15.5,15.75,366687
2016-11-17,15.9,16.0,15.8,15.85,295933
2016-11-18,15.85,15.85,15.7,15.8,753046
2016-11-21,15.8,16.15,15.75,16.15,318839
2016-11-22,16.25,17.0,16.15,16.95,873125
2016-11-23,17.0,17.45,16.8,17.3,1007599
2016-11-25,17.4,17.55,17.25,17.55,166601
2016-11-28,17.45,17.6,17.35,17.55,491382
2016-11-29,17.6,18.2,17.55,18.0,521102
2016-11-30,18.1,18.35,18.1,18.25,387276
2016-12-01,18.3,18.6,18.0,18.1,550767
2016-12-02,18.0,18.1,17.75,18.0,522704
2016-12-05,17.55,18.15,17.05,17.85,617906
2016-12-06,17.95,18.02,17.65,17.9,258306
2016-12-07,17.8,18.3,17.8,18.25,323292
2016-12-08,18.2,18.55,18.05,18.5,303546
2016-12-09,18.45,18.6,18.35,18.5,270823
2016-12-12,18.5,18.6,18.2,18.25,166345
2016-12-13,18.3,18.4,17.78,18.0,393693
2016-12-14,18.0,18.05,17.62,17.9,617542
2016-12-15,17.85,18.0,17.8,17.85,292056
2016-12-16,17.95,17.95,17.75,17.8,490068
2016-12-19,17.85,17.95,17.7,17.85,312646
2016-12-20,17.95,18.0,17.8,17.95,352867
2016-12-21,17.95,18.1,17.8,17.9,191760
2016-12-22,17.95,17.95,17.7,17.8,159519
2016-12-23,17.85,17.95,17.8,17.9,111651
2016-12-27,17.9,18.1,17.8,17.85,157494
2016-12-28,17.95,18.05,17.75,17.75,144767
2016-12-29,17.8,17.9,17.65,17.75,79893
2016-12-30,17.75,17.75,17.52,17.75,170408
2017-01-03,17.95,18.0,17.65,17.9,287712
2017-01-04,18.05,18.27,17.85,18.15,311468
2017-01-05,18.15,18.25,17.9,17.95,126869
2017-01-06,18.05,18.1,17.8,18.05,183576
2017-01-09,17.95,18.1,17.75,17.8,249082
2017-01-10,17.75,17.9,17.6,17.8,203731
2017-01-11,17.85,17.85,17.7,17.8,192090
2017-01-12,17.35,17.6,17.0,17.3,2355952
2017-01-13,17.4,17.9,17.4,17.9,641218
2017-01-17,17.85,17.95,17.5,17.55,215817
2017-01-18,17.55,17.8,17.4,17.8,184344
2017-01-19,17.8,17.9,17.4,17.55,174444
2017-01-20,17.5,17.7,17.4,17.45,178117
2017-01-23,17.45,17.5,17.32,17.4,162051
2017-01-24,17.4,17.5,17.22,17.45,266930
2017-01-25,17.55,17.7,17.5,17.6,105525
2017-01-26,17.55,17.62,17.3,17.45,143818
2017-01-27,17.5,17.55,17.2,17.3,98951
2017-01-30,17.2,17.22,16.9,17.1,163523
2017-01-31,17.1,17.25,16.82,17.05,173442
2017-02-01,17.2,17.4,16.9,17.0,312393
2017-02-02,17.0,17.05,16.85,17.05,168492
2017-02-03,17.2,17.28,17.0,17.2,276998
2017-02-06,17.2,17.3,16.9,17.0,185466
2017-02-07,17.05,17.05,16.65,16.85,195451
2017-02-08,16.8,16.95,16.65,16.9,184441
2017-02-09,16.95,17.32,16.95,17.3,179802
2017-02-10,17.35,17.4,17.05,17.15,258522
2017-02-13,17.3,17.35,17.1,17.2,147515
2017-02-14,17.1,17.4,17.05,17.4,569307
2017-02-15,17.3,17.4,17.2,17.4,168106
2017-02-16,17.4,17.45,17.05,17.25,180848
2017-02-17,17.3,17.3,17.1,17.2,198286
2017-02-21,17.15,17.25,17.0,17.25,305492
2017-02-22,17.15,17.3,17.05,17.15,369202
2017-02-23,16.9,18.2,16.85,17.05,523078
2017-02-24,17.0,17.7,17.0,17.45,350746
2017-02-27,17.35,17.5,17.1,17.25,227038
2017-02-28,17.2,17.2,16.75,16.85,284246
2017-03-01,17.0,17.8,17.0,17.5,458878
2017-03-02,17.5,17.55,17.05,17.1,179599
2017-03-03,17.05,17.3,16.9,17.25,182674
2017-03-06,17.15,17.2,16.85,16.9,215030
2017-03-07,16.8,16.94,16.45,16.5,399502
2017-03-08,16.5,16.5,16.25,16.25,330312
2017-03-09,16.25,16.5,16.1,16.15,333135
2017-03-10,16.3,16.35,16.1,16.25,249128
2017-03-13,16.25,16.35,16.15,16.25,164732
2017-03-14,16.05,16.35,16.0,16.25,209658
2017-03-15,16.35,16.75,16.15,16.7,228760
2017-03-16,16.75,16.85,16.6,16.8,230665
2017-03-17,16.8,16.8,16.45,16.7,425763
2017-03-20,16.75,16.75,16.45,16.7,182452
2017-03-21,16.85,16.85,16.2,16.25,380135
2017-03-22,16.25,16.38,15.7,15.85,297239
2017-03-23,15.85,16.0,15.85,15.95,230763
2017-03-24,16.0,16.05,15.7,15.75,147347
2017-03-27,15.5,15.65,15.42,15.55,213033
2017-03-28,15.45,15.8,15.45,15.75,365226
2017-03-29,15.65,15.8,15.6,15.75,257497
2017-03-30,15.75,15.95,15.55,15.7,380834
2017-03-31,15.75,16.1,15.65,15.9,309949
2017-04-03,16.0,16.0,15.6,15.7,319655
2017-04-04,15.65,15.75,15.45,15.6,233826
2017-04-05,15.65,15.8,15.32,15.55,290876
2017-04-06,15.55,15.8,15.45,15.7,336331
2017-04-07,15.6,16.3,15.55,16.05,421762
2017-04-10,16.1,16.3,15.45,15.5,425304
2017-04-11,15.45,15.9,15.45,15.85,278947
2017-04-12,15.85,15.9,15.55,15.8,294348
2017-04-13,15.7,15.8,15.45,15.45,139900
2017-04-17,15.45,15.6,15.4,15.6,192833
2017-04-18,15.5,15.65,15.4,15.5,275832
2017-04-19,15.55,15.7,15.5,15.65,180769
2017-04-20,15.65,16.02,15.65,16.0,430171
2017-04-21,15.9,16.05,15.8,15.85,361256
2017-04-24,16.1,16.15,16.0,16.1,188851
2017-04-25,16.25,16.32,16.08,16.15,333160
2017-04-26,16.05,16.3,16.05,16.2,296681
2017-04-27,16.2,16.4,16.05,16.05,208680
2017-04-28,16.05,16.05,15.7,15.85,348373
2017-05-01,15.95,16.05,15.85,15.9,248479
2017-05-02,15.9,16.05,15.6,15.6,224651
2017-05-03,15.5,15.54,14.8,14.85,457743
