Date,Open,High,Low,Close,Volume
2016-01-04,12.47,12.53,12.43,12.52,27989
2016-01-05,12.54,12.61,12.54,12.61,23556
2016-01-06,12.66,12.7,12.6,12.65,31524
2016-01-07,12.6,12.74,12.57,12.61,24831
2016-01-08,12.6,12.65,12.5,12.5,29843
2016-01-11,12.47,12.47,12.39,12.43,28616
2016-01-12,12.5,12.5,12.32,12.42,33341
2016-01-13,12.46,12.49,12.28,12.31,50864
2016-01-14,12.28,12.31,12.08,12.13,67592
2016-01-15,12.17,12.22,12.15,12.21,27638
2016-01-19,12.32,12.32,12.13,12.13,17169
2016-01-20,12.1,12.12,11.77,11.78,41325
2016-01-21,11.86,11.88,11.78,11.87,32505
2016-01-22,11.88,12.04,11.83,12.02,42751
2016-01-25,12.04,12.17,12.03,12.1,38847
2016-01-26,12.1,12.21,12.1,12.21,15520
2016-01-27,12.13,12.37,12.13,12.35,37089
2016-01-28,12.34,12.47,12.28,12.47,58073
2016-01-29,12.44,12.5,12.44,12.5,23201
2016-02-01,12.44,12.49,12.44,12.49,13809
2016-02-02,12.42,12.49,12.36,12.4,35966
2016-02-03,12.48,12.48,12.32,12.47,17532
2016-02-04,12.49,12.49,12.42,12.49,16395
2016-02-05,12.45,12.54,12.43,12.52,28767
2016-02-08,12.55,12.58,12.52,12.56,24162
2016-02-09,12.52,12.59,12.49,12.59,10079
2016-02-10,12.55,12.59,12.54,12.54,18048
2016-02-11,12.56,12.61,12.44,12.44,19709
2016-02-12,12.43,12.5,12.43,12.45,45841
2016-02-16,12.46,12.47,12.36,12.47,19021
2016-02-17,12.47,12.5,12.46,12.5,44312
2016-02-18,12.53,12.53,12.45,12.5,41764
2016-02-19,12.47,12.5,12.47,12.5,21084
2016-02-22,12.52,12.54,12.49,12.53,67427
2016-02-23,12.5,12.55,12.44,12.54,34393
2016-02-24,12.51,12.61,12.51,12.6,31765
2016-02-25,12.61,12.62,12.58,12.58,20043
2016-02-26,12.56,12.61,12.47,12.54,22515
2016-02-29,12.52,12.55,12.47,12.53,20223
2016-03-01,12.55,12.59,12.53,12.59,75071
2016-03-02,12.59,12.59,12.48,12.51,12054
2016-03-03,12.59,12.59,12.51,12.59,37217
2016-03-04,12.54,12.59,12.51,12.53,24207
2016-03-07,12.52,12.55,12.49,12.5,64821
2016-03-08,12.52,12.54,12.49,12.51,54238
2016-03-09,12.51,12.52,12.47,12.48,18054
2016-03-10,12.49,12.5,12.46,12.46,12099
2016-03-11,12.47,12.52,12.47,12.47,32054
2016-03-14,12.47,12.49,12.4,12.41,45999
2016-03-15,12.42,12.42,12.34,12.34,30656
